Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762170857,2025-11-03T11:54:17Z,LNK142B,"-22.978149,14.639549",0,0,160
1762171090,2025-11-03T11:58:10Z,LNK142B,"-22.978359,14.639613",0,6,165
1762171096,2025-11-03T11:58:16Z,LNK142B,"-22.97858,14.6396",0,8,188
1762171103,2025-11-03T11:58:23Z,LNK142B,"-22.978813,14.639461",0,9,216
1762171110,2025-11-03T11:58:30Z,LNK142B,"-22.979061,14.639257",0,10,216
1762171115,2025-11-03T11:58:35Z,LNK142B,"-22.979267,14.639155",0,11,199
1762171119,2025-11-03T11:58:39Z,LNK142B,"-22.979511,14.639142",0,12,180
1762171123,2025-11-03T11:58:43Z,LNK142B,"-22.979733,14.63918",0,12,165
1762171128,2025-11-03T11:58:48Z,LNK142B,"-22.979954,14.639257",0,12,160
1762171132,2025-11-03T11:58:52Z,LNK142B,"-22.980198,14.639346",0,12,160
1762171137,2025-11-03T11:58:57Z,LNK142B,"-22.980453,14.639435",0,12,163
1762171141,2025-11-03T11:59:01Z,LNK142B,"-22.980686,14.639511",0,12,163
1762171145,2025-11-03T11:59:05Z,LNK142B,"-22.98093,14.6396",0,12,160
1762171149,2025-11-03T11:59:09Z,LNK142B,"-22.98114,14.639676",0,11,163
1762171154,2025-11-03T11:59:14Z,LNK142B,"-22.98135,14.639707",0,11,177
1762171159,2025-11-03T11:59:19Z,LNK142B,"-22.981567,14.639632",0,11,205
1762171163,2025-11-03T11:59:23Z,LNK142B,"-22.981733,14.639397",0,12,241
1762171167,2025-11-03T11:59:27Z,LNK142B,"-22.981804,14.63918",0,13,250
1762171170,2025-11-03T11:59:30Z,LNK142B,"-22.981874,14.638965",0,14,253
1762171174,2025-11-03T11:59:34Z,LNK142B,"-22.981956,14.638696",0,15,253
1762171177,2025-11-03T11:59:37Z,LNK142B,"-22.982037,14.638431",0,16,250
1762171180,2025-11-03T11:59:40Z,LNK142B,"-22.982107,14.638227",0,17,250
1762171183,2025-11-03T11:59:43Z,LNK142B,"-22.982187,14.637935",0,17,253
1762171186,2025-11-03T11:59:46Z,LNK142B,"-22.982258,14.637731",0,18,253
1762171188,2025-11-03T11:59:48Z,LNK142B,"-22.982323,14.637497",0,18,253
1762171191,2025-11-03T11:59:51Z,LNK142B,"-22.982409,14.637222",0,19,253
1762171198,2025-11-03T11:59:58Z,LNK142B,"-22.982609,14.636548",0,20,253
1762171206,2025-11-03T12:00:06Z,LNK142B,"-22.98284,14.635785",0,22,253
1762171212,2025-11-03T12:00:12Z,LNK142B,"-22.983067,14.635025",0,23,253
1762171219,2025-11-03T12:00:19Z,LNK142B,"-22.983316,14.634209",0,24,253
1762171226,2025-11-03T12:00:26Z,LNK142B,"-22.983547,14.633414",0,22,253
1762171234,2025-11-03T12:00:34Z,LNK142B,"-22.983713,14.63281",0,16,258
1762171236,2025-11-03T12:00:36Z,LNK142B,"-22.98373,14.632578",0,15,270
1762171239,2025-11-03T12:00:39Z,LNK142B,"-22.98369,14.632352",0,15,286
1762171243,2025-11-03T12:00:43Z,LNK142B,"-22.983582,14.632104",0,15,295
1762171246,2025-11-03T12:00:46Z,LNK142B,"-22.983467,14.631854",0,13,295
1762171251,2025-11-03T12:00:51Z,LNK142B,"-22.983398,14.631604",0,11,281
1762171256,2025-11-03T12:00:56Z,LNK142B,"-22.983421,14.631398",0,10,255
1762171262,2025-11-03T12:01:02Z,LNK142B,"-22.983627,14.631205",0,9,205
1762171267,2025-11-03T12:01:07Z,LNK142B,"-22.983845,14.631205",0,9,168
1762171273,2025-11-03T12:01:13Z,LNK142B,"-22.984051,14.631348",0,8,135
1762171280,2025-11-03T12:01:20Z,LNK142B,"-22.984085,14.631592",0,6,84
1762171359,2025-11-03T12:02:39Z,LNK142B,"-22.983902,14.632229",0,32,73
1762171367,2025-11-03T12:02:47Z,LNK142B,"-22.983305,14.634247",200,71,72
1762171373,2025-11-03T12:02:53Z,LNK142B,"-22.982513,14.636943",225,103,71
1762171378,2025-11-03T12:02:58Z,LNK142B,"-22.98177,14.639282",225,118,71
1762171380,2025-11-03T12:03:00Z,LNK142B,"-22.981443,14.640503",225,130,71
1762171382,2025-11-03T12:03:02Z,LNK142B,"-22.981018,14.641879",225,134,71
1762171384,2025-11-03T12:03:04Z,LNK142B,"-22.980606,14.643228",225,146,72
1762171387,2025-11-03T12:03:07Z,LNK142B,"-22.980047,14.645081",250,152,72
1762171389,2025-11-03T12:03:09Z,LNK142B,"-22.979507,14.646823",225,158,72
1762171391,2025-11-03T12:03:11Z,LNK142B,"-22.97905,14.648371",225,166,72
1762171399,2025-11-03T12:03:19Z,LNK142B,"-22.976944,14.655262",425,174,71
1762171406,2025-11-03T12:03:26Z,LNK142B,"-22.975159,14.661155",775,171,71
1762171414,2025-11-03T12:03:34Z,LNK142B,"-22.973297,14.667511",1150,171,72
1762171423,2025-11-03T12:03:43Z,LNK142B,"-22.971249,14.674988",1475,179,76
1762171425,2025-11-03T12:03:45Z,LNK142B,"-22.970922,14.676717",1525,184,80
1762171427,2025-11-03T12:03:47Z,LNK142B,"-22.970644,14.678955",1575,187,84
1762171429,2025-11-03T12:03:49Z,LNK142B,"-22.970596,14.681294",1600,192,89
1762171432,2025-11-03T12:03:52Z,LNK142B,"-22.970644,14.683177",1650,195,94
1762171434,2025-11-03T12:03:54Z,LNK142B,"-22.970922,14.685161",1675,200,98
1762171436,2025-11-03T12:03:56Z,LNK142B,"-22.971313,14.687323",1700,204,101
1762171438,2025-11-03T12:03:58Z,LNK142B,"-22.971725,14.68942",1750,207,103
1762171440,2025-11-03T12:04:00Z,LNK142B,"-22.972366,14.691916",1775,212,105
1762171442,2025-11-03T12:04:02Z,LNK142B,"-22.97287,14.693914",1825,214,105
1762171444,2025-11-03T12:04:04Z,LNK142B,"-22.973482,14.696198",1875,218,106
1762171447,2025-11-03T12:04:07Z,LNK142B,"-22.974089,14.698334",1925,221,107
1762171449,2025-11-03T12:04:09Z,LNK142B,"-22.974838,14.700756",2000,223,108
1762171451,2025-11-03T12:04:11Z,LNK142B,"-22.975479,14.702804",2075,226,108
1762171453,2025-11-03T12:04:13Z,LNK142B,"-22.976166,14.705001",2125,228,108
1762171455,2025-11-03T12:04:15Z,LNK142B,"-22.97702,14.707845",2225,229,108
1762171457,2025-11-03T12:04:17Z,LNK142B,"-22.977718,14.710032",2300,232,108
1762171459,2025-11-03T12:04:19Z,LNK142B,"-22.978416,14.71227",2375,234,108
1762171461,2025-11-03T12:04:21Z,LNK142B,"-22.97905,14.714389",2425,237,108
1762171463,2025-11-03T12:04:23Z,LNK142B,"-22.979815,14.716797",2500,240,108
1762171465,2025-11-03T12:04:25Z,LNK142B,"-22.98056,14.719382",2525,243,108
1762171468,2025-11-03T12:04:28Z,LNK142B,"-22.981293,14.721729",2575,248,108
1762171476,2025-11-03T12:04:36Z,LNK142B,"-22.984423,14.732361",2750,261,107
1762171485,2025-11-03T12:04:45Z,LNK142B,"-22.987701,14.743802",3000,272,107
1762171494,2025-11-03T12:04:54Z,LNK142B,"-22.99086,14.754989",3275,279,107
1762171500,2025-11-03T12:05:00Z,LNK142B,"-22.993332,14.763627",3525,282,106
1762171509,2025-11-03T12:05:09Z,LNK142B,"-22.996759,14.775848",3925,284,107
1762171511,2025-11-03T12:05:11Z,LNK142B,"-22.997452,14.778309",4000,285,106
1762171513,2025-11-03T12:05:13Z,LNK142B,"-22.99823,14.781055",4100,285,106
1762171515,2025-11-03T12:05:15Z,LNK142B,"-22.999191,14.784451",4225,285,106
1762171517,2025-11-03T12:05:17Z,LNK142B,"-22.999971,14.787343",4300,285,106
1762171519,2025-11-03T12:05:19Z,LNK142B,"-23.000576,14.789581",4400,285,106
1762171528,2025-11-03T12:05:28Z,LNK142B,"-23.004044,14.80188",4850,284,106
1762171534,2025-11-03T12:05:34Z,LNK142B,"-23.006395,14.810333",5200,283,106
