Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761910614,2025-10-31T11:36:54Z,LNK215X,"-20.835115,33.885921",26550,0,216
1761910621,2025-10-31T11:37:01Z,LNK215X,"-20.841251,33.879528",26550,240,216
1761910624,2025-10-31T11:37:04Z,LNK215X,"-20.846024,33.875511",26825,302,218
1761910629,2025-10-31T11:37:09Z,LNK215X,"-20.852928,33.869671",26825,338,222
1761910632,2025-10-31T11:37:12Z,LNK215X,"-20.859039,33.864491",26825,355,221
1761910738,2025-10-31T11:38:58Z,LNK215X,"-21.000151,33.740932",29650,360,219
1761910743,2025-10-31T11:39:03Z,LNK215X,"-21.008759,33.73415",29775,120,224
1761910746,2025-10-31T11:39:06Z,LNK215X,"-21.013725,33.72979",29800,378,218
1761910748,2025-10-31T11:39:08Z,LNK215X,"-21.016806,33.727222",29825,384,218
1761910751,2025-10-31T11:39:11Z,LNK215X,"-21.019133,33.724983",29825,375,219
1761910834,2025-10-31T11:40:34Z,LNK215X,"-21.131271,33.626827",32225,360,219
1761910842,2025-10-31T11:40:42Z,LNK215X,"-21.141825,33.617512",32475,370,219
1761910846,2025-10-31T11:40:46Z,LNK215X,"-21.146053,33.614326",32475,420,214
1761910848,2025-10-31T11:40:48Z,LNK215X,"-21.149866,33.610844",32475,389,217
1761910850,2025-10-31T11:40:50Z,LNK215X,"-21.152191,33.608459",32650,200,223
1761910853,2025-10-31T11:40:53Z,LNK215X,"-21.154379,33.606731",32700,260,219
1761910856,2025-10-31T11:40:56Z,LNK215X,"-21.15941,33.602146",32725,330,218
1761910858,2025-10-31T11:40:58Z,LNK215X,"-21.162319,33.599667",32725,190,220
1761910862,2025-10-31T11:41:02Z,LNK215X,"-21.165522,33.596222",32925,200,225
1761910865,2025-10-31T11:41:05Z,LNK215X,"-21.16954,33.592999",33000,190,215
1761910868,2025-10-31T11:41:08Z,LNK215X,"-21.17441,33.589138",33000,330,216
1761910871,2025-10-31T11:41:11Z,LNK215X,"-21.179214,33.584724",33075,370,219
1761910873,2025-10-31T11:41:13Z,LNK215X,"-21.181572,33.582607",33200,210,220
1761910876,2025-10-31T11:41:16Z,LNK215X,"-21.18532,33.579266",33200,440,217
1761910878,2025-10-31T11:41:18Z,LNK215X,"-21.188499,33.576748",33325,150,222
1761910882,2025-10-31T11:41:22Z,LNK215X,"-21.19183,33.573456",33400,220,222
1761910885,2025-10-31T11:41:25Z,LNK215X,"-21.196104,33.569942",33450,370,217
1761910887,2025-10-31T11:41:27Z,LNK215X,"-21.199793,33.56654",33500,371,219
1761910890,2025-10-31T11:41:30Z,LNK215X,"-21.202011,33.564533",33575,220,213
1761910892,2025-10-31T11:41:32Z,LNK215X,"-21.206104,33.561344",33625,290,216
1761910895,2025-10-31T11:41:35Z,LNK215X,"-21.209463,33.558437",33650,382,217
1761910897,2025-10-31T11:41:37Z,LNK215X,"-21.21312,33.555164",33650,369,218
1761910901,2025-10-31T11:41:41Z,LNK215X,"-21.218927,33.550114",33775,300,218
1761910905,2025-10-31T11:41:45Z,LNK215X,"-21.222433,33.546551",33875,240,223
1761910907,2025-10-31T11:41:47Z,LNK215X,"-21.225166,33.544121",33875,170,224
1761910913,2025-10-31T11:41:53Z,LNK215X,"-21.231522,33.538544",34000,300,218
1761910916,2025-10-31T11:41:56Z,LNK215X,"-21.237471,33.533604",34100,350,215
1761910918,2025-10-31T11:41:58Z,LNK215X,"-21.240074,33.531189",34200,160,220
1761910921,2025-10-31T11:42:01Z,LNK215X,"-21.243,33.528236",34275,30,219
1761910924,2025-10-31T11:42:04Z,LNK215X,"-21.246737,33.525536",34325,310,218
1761910928,2025-10-31T11:42:08Z,LNK215X,"-21.250919,33.52142",34400,230,225
1761910931,2025-10-31T11:42:11Z,LNK215X,"-21.255365,33.517502",34450,100,223
1761910933,2025-10-31T11:42:13Z,LNK215X,"-21.25934,33.514183",34500,150,231
1761910935,2025-10-31T11:42:15Z,LNK215X,"-21.261719,33.512436",34600,340,209
1761910938,2025-10-31T11:42:18Z,LNK215X,"-21.266733,33.508247",34675,390,216
1761910941,2025-10-31T11:42:21Z,LNK215X,"-21.267803,33.506462",34700,120,237
1761910943,2025-10-31T11:42:23Z,LNK215X,"-21.27301,33.502361",34775,260,216
1761910945,2025-10-31T11:42:25Z,LNK215X,"-21.275028,33.5005",34825,300,220
1761910948,2025-10-31T11:42:28Z,LNK215X,"-21.27816,33.497787",34900,10,217
1761910951,2025-10-31T11:42:31Z,LNK215X,"-21.281128,33.495003",34925,50,223
1761910955,2025-10-31T11:42:35Z,LNK215X,"-21.287428,33.489418",35000,450,218
1761910960,2025-10-31T11:42:40Z,LNK215X,"-21.29266,33.485004",35100,320,215
1761910963,2025-10-31T11:42:43Z,LNK215X,"-21.297852,33.480209",35100,349,220
1761910965,2025-10-31T11:42:45Z,LNK215X,"-21.300552,33.477711",35200,349,220
1761910967,2025-10-31T11:42:47Z,LNK215X,"-21.30331,33.475224",35200,352,220
1761910970,2025-10-31T11:42:50Z,LNK215X,"-21.30584,33.473064",35300,355,220
1761910973,2025-10-31T11:42:53Z,LNK215X,"-21.311317,33.468384",35300,360,219
1761910977,2025-10-31T11:42:57Z,LNK215X,"-21.315205,33.465057",35400,365,219
1761910980,2025-10-31T11:43:00Z,LNK215X,"-21.318594,33.462147",35500,366,219
1761911010,2025-10-31T11:43:30Z,LNK215X,"-21.358738,33.426697",35950,369,219
1761911042,2025-10-31T11:44:02Z,LNK215X,"-21.40378,33.386604",36000,382,220
