Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762260134,2025-11-04T12:42:14Z,QFA7227,"-33.928528,151.175034",0,0,0
1762260721,2025-11-04T12:52:01Z,QFA7227,"-33.928482,151.174805",0,6,0
1762260728,2025-11-04T12:52:08Z,QFA7227,"-33.928539,151.17453",0,9,0
1762260736,2025-11-04T12:52:16Z,QFA7227,"-33.928596,151.174103",0,8,0
1762260746,2025-11-04T12:52:26Z,QFA7227,"-33.928829,151.173904",0,8,0
1762260753,2025-11-04T12:52:33Z,QFA7227,"-33.929123,151.173935",0,11,0
1762260760,2025-11-04T12:52:40Z,QFA7227,"-33.929535,151.17395",0,13,0
1762260767,2025-11-04T12:52:47Z,QFA7227,"-33.929958,151.174042",0,15,0
1762260774,2025-11-04T12:52:54Z,QFA7227,"-33.930458,151.174194",0,16,0
1762260782,2025-11-04T12:53:02Z,QFA7227,"-33.931042,151.174332",0,17,0
1762260790,2025-11-04T12:53:10Z,QFA7227,"-33.931683,151.1745",0,17,0
1762260797,2025-11-04T12:53:17Z,QFA7227,"-33.932358,151.174683",0,18,0
1762260805,2025-11-04T12:53:25Z,QFA7227,"-33.932823,151.174789",0,19,0
1762260808,2025-11-04T12:53:28Z,QFA7227,"-33.933346,151.174911",0,20,168
1762260812,2025-11-04T12:53:32Z,QFA7227,"-33.93359,151.174973",0,19,168
1762260814,2025-11-04T12:53:34Z,QFA7227,"-33.933868,151.175034",0,20,171
1762260817,2025-11-04T12:53:37Z,QFA7227,"-33.934135,151.175049",0,19,171
1762260820,2025-11-04T12:53:40Z,QFA7227,"-33.934376,151.175049",0,17,171
1762260824,2025-11-04T12:53:44Z,QFA7227,"-33.934696,151.175034",0,17,171
1762260828,2025-11-04T12:53:48Z,QFA7227,"-33.934994,151.175079",0,18,171
1762260834,2025-11-04T12:53:54Z,QFA7227,"-33.935543,151.175217",0,18,171
1762260841,2025-11-04T12:54:01Z,QFA7227,"-33.93615,151.175385",0,19,171
1762260850,2025-11-04T12:54:10Z,QFA7227,"-33.936848,151.175568",0,19,171
