Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762466651,2025-11-06T22:04:11Z,CEB587,"14.524967,121.001877",0,0,270
1762466691,2025-11-06T22:04:51Z,CEB587,"14.524979,121.002083",0,0,270
1762466716,2025-11-06T22:05:16Z,CEB587,"14.524979,121.002296",0,0,267
1762466736,2025-11-06T22:05:36Z,CEB587,"14.525008,121.002502",0,2,292
1762466755,2025-11-06T22:05:55Z,CEB587,"14.524944,121.002708",0,2,323
1762466781,2025-11-06T22:06:21Z,CEB587,"14.524729,121.002838",0,2,357
1762466798,2025-11-06T22:06:38Z,CEB587,"14.524521,121.002853",0,3,357
1762466815,2025-11-06T22:06:55Z,CEB587,"14.52431,121.002861",0,3,357
1762466834,2025-11-06T22:07:14Z,CEB587,"14.524075,121.002876",0,3,357
1762466850,2025-11-06T22:07:30Z,CEB587,"14.523869,121.002876",0,3,357
1762466867,2025-11-06T22:07:47Z,CEB587,"14.523663,121.002884",0,3,357
1762466882,2025-11-06T22:08:02Z,CEB587,"14.523457,121.002899",0,3,357
1762466928,2025-11-06T22:08:48Z,CEB587,"14.52367,121.002922",0,0,11
1762467195,2025-11-06T22:13:15Z,CEB587,"14.52388,121.003036",0,3,28
1762467209,2025-11-06T22:13:29Z,CEB587,"14.524097,121.003181",0,5,36
1762467219,2025-11-06T22:13:39Z,CEB587,"14.524178,121.003418",0,6,73
1762467229,2025-11-06T22:13:49Z,CEB587,"14.524042,121.003632",0,5,118
1762467236,2025-11-06T22:13:56Z,CEB587,"14.524007,121.003838",0,7,98
1762467245,2025-11-06T22:14:05Z,CEB587,"14.524181,121.004059",0,8,53
1762467252,2025-11-06T22:14:12Z,CEB587,"14.524391,121.004265",0,9,45
1762467258,2025-11-06T22:14:18Z,CEB587,"14.524601,121.004471",0,10,45
1762467270,2025-11-06T22:14:30Z,CEB587,"14.52481,121.004684",0,5,45
1762467281,2025-11-06T22:14:41Z,CEB587,"14.525013,121.004898",0,5,47
1762467288,2025-11-06T22:14:48Z,CEB587,"14.524997,121.005104",0,6,90
