Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762446879,2025-11-06T16:34:39Z,IGO395,"28.565279,77.117424",0,0,194
1762446908,2025-11-06T16:35:08Z,IGO395,"28.565489,77.117493",0,2,194
1762446928,2025-11-06T16:35:28Z,IGO395,"28.565689,77.1175",0,2,222
1762446961,2025-11-06T16:36:01Z,IGO395,"28.565897,77.117722",0,0,284
1762447109,2025-11-06T16:38:29Z,IGO395,"28.565941,77.117485",0,4,284
1762447117,2025-11-06T16:38:37Z,IGO395,"28.566002,77.117249",0,7,284
1762447124,2025-11-06T16:38:44Z,IGO395,"28.566067,77.11692",0,10,284
1762447131,2025-11-06T16:38:51Z,IGO395,"28.566147,77.116539",0,11,284
1762447138,2025-11-06T16:38:58Z,IGO395,"28.566235,77.116173",0,11,284
1762447145,2025-11-06T16:39:05Z,IGO395,"28.566315,77.115799",0,11,284
1762447152,2025-11-06T16:39:12Z,IGO395,"28.566399,77.115402",0,11,284
1762447160,2025-11-06T16:39:20Z,IGO395,"28.56649,77.115028",0,11,284
1762447168,2025-11-06T16:39:28Z,IGO395,"28.566593,77.114571",0,11,284
1762447175,2025-11-06T16:39:35Z,IGO395,"28.566662,77.114212",0,8,284
1762447182,2025-11-06T16:39:42Z,IGO395,"28.566584,77.114006",0,6,247
1762447192,2025-11-06T16:39:52Z,IGO395,"28.566362,77.113953",0,5,205
1762447200,2025-11-06T16:40:00Z,IGO395,"28.566141,77.113899",0,7,194
1762447206,2025-11-06T16:40:06Z,IGO395,"28.565931,77.113831",0,8,194
1762447212,2025-11-06T16:40:12Z,IGO395,"28.565699,77.113777",0,10,194
1762447219,2025-11-06T16:40:19Z,IGO395,"28.565372,77.113686",0,11,194
1762447226,2025-11-06T16:40:26Z,IGO395,"28.565001,77.113579",0,11,194
1762447233,2025-11-06T16:40:33Z,IGO395,"28.56464,77.113464",0,12,194
1762447240,2025-11-06T16:40:40Z,IGO395,"28.564259,77.113365",0,12,194
1762447247,2025-11-06T16:40:47Z,IGO395,"28.563871,77.113251",0,14,194
1762447254,2025-11-06T16:40:54Z,IGO395,"28.563488,77.113144",0,11,194
1762447262,2025-11-06T16:41:02Z,IGO395,"28.563114,77.113037",0,10,194
1762447270,2025-11-06T16:41:10Z,IGO395,"28.562771,77.112946",0,9,194
1762447277,2025-11-06T16:41:17Z,IGO395,"28.562496,77.112877",0,8,188
1762447284,2025-11-06T16:41:24Z,IGO395,"28.562323,77.113091",0,8,137
1762447290,2025-11-06T16:41:30Z,IGO395,"28.562277,77.113319",0,7,112
1762447297,2025-11-06T16:41:37Z,IGO395,"28.562231,77.113548",0,8,104
1762447303,2025-11-06T16:41:43Z,IGO395,"28.562183,77.113792",0,8,104
1762447308,2025-11-06T16:41:48Z,IGO395,"28.56213,77.114014",0,9,104
1762447314,2025-11-06T16:41:54Z,IGO395,"28.562061,77.114304",0,9,104
1762447322,2025-11-06T16:42:02Z,IGO395,"28.561974,77.114708",0,10,104
1762447328,2025-11-06T16:42:08Z,IGO395,"28.56189,77.115074",0,11,104
1762447335,2025-11-06T16:42:15Z,IGO395,"28.561787,77.115456",0,11,104
1762447343,2025-11-06T16:42:23Z,IGO395,"28.561684,77.115906",0,12,104
1762447350,2025-11-06T16:42:30Z,IGO395,"28.561613,77.116226",0,9,104
1762447358,2025-11-06T16:42:38Z,IGO395,"28.561489,77.116432",0,5,126
1762447368,2025-11-06T16:42:48Z,IGO395,"28.561283,77.116364",0,4,180
1762447621,2025-11-06T16:47:01Z,IGO395,"28.561077,77.116257",0,5,194
1762447628,2025-11-06T16:47:08Z,IGO395,"28.560871,77.116196",0,8,194
1762447636,2025-11-06T16:47:16Z,IGO395,"28.560509,77.116096",0,9,194
1762447644,2025-11-06T16:47:24Z,IGO395,"28.560242,77.11602",0,7,194
1762447654,2025-11-06T16:47:34Z,IGO395,"28.560089,77.115814",0,5,230
1762447665,2025-11-06T16:47:45Z,IGO395,"28.560162,77.115585",0,5,275
1762447673,2025-11-06T16:47:53Z,IGO395,"28.560207,77.115372",0,7,281
1762447676,2025-11-06T16:47:56Z,IGO395,"28.560251,77.11515",0,13,284
1762447679,2025-11-06T16:47:59Z,IGO395,"28.560322,77.114845",0,24,284
1762447680,2025-11-06T16:48:00Z,IGO395,"28.560379,77.114639",0,29,284
1762447681,2025-11-06T16:48:01Z,IGO395,"28.560425,77.114433",0,34,284
1762447684,2025-11-06T16:48:04Z,IGO395,"28.560555,77.113869",0,49,284
1762447685,2025-11-06T16:48:05Z,IGO395,"28.560608,77.113602",0,54,284
1762447686,2025-11-06T16:48:06Z,IGO395,"28.560688,77.113258",0,58,284
1762447687,2025-11-06T16:48:07Z,IGO395,"28.560768,77.112915",0,63,284
1762447688,2025-11-06T16:48:08Z,IGO395,"28.560848,77.112549",0,68,284
1762447689,2025-11-06T16:48:09Z,IGO395,"28.560951,77.112129",0,72,284
1762447690,2025-11-06T16:48:10Z,IGO395,"28.561043,77.111755",0,76,284
1762447698,2025-11-06T16:48:18Z,IGO395,"28.561935,77.107864",775,110,284
1762447707,2025-11-06T16:48:27Z,IGO395,"28.56315,77.102539",775,140,284
1762447713,2025-11-06T16:48:33Z,IGO395,"28.564316,77.097565",725,160,284
1762447721,2025-11-06T16:48:41Z,IGO395,"28.566082,77.090256",950,165,284
1762447728,2025-11-06T16:48:48Z,IGO395,"28.567387,77.084763",1250,160,284
1762447736,2025-11-06T16:48:56Z,IGO395,"28.568922,77.077873",1550,164,283
1762447743,2025-11-06T16:49:03Z,IGO395,"28.570084,77.072685",1725,169,285
1762447751,2025-11-06T16:49:11Z,IGO395,"28.571995,77.064888",1975,177,285
1762447759,2025-11-06T16:49:19Z,IGO395,"28.573811,77.057617",2175,188,286
1762447766,2025-11-06T16:49:26Z,IGO395,"28.575394,77.051323",2350,195,286
1762447774,2025-11-06T16:49:34Z,IGO395,"28.577591,77.042419",2575,210,285
1762447781,2025-11-06T16:49:41Z,IGO395,"28.579239,77.035339",2725,220,284
1762447789,2025-11-06T16:49:49Z,IGO395,"28.581491,77.025688",2975,234,284
1762447797,2025-11-06T16:49:57Z,IGO395,"28.583908,77.01506",3250,244,284
1762447804,2025-11-06T16:50:04Z,IGO395,"28.585693,77.007294",3475,252,284
1762447812,2025-11-06T16:50:12Z,IGO395,"28.58812,76.996361",3850,258,284
1762447819,2025-11-06T16:50:19Z,IGO395,"28.590103,76.987503",4200,261,284
1762447827,2025-11-06T16:50:27Z,IGO395,"28.592524,76.976624",4650,263,284
1762447836,2025-11-06T16:50:36Z,IGO395,"28.595085,76.964882",5050,266,284
1762447849,2025-11-06T16:50:49Z,IGO395,"28.598995,76.947273",5350,269,284
1762447861,2025-11-06T16:51:01Z,IGO395,"28.602951,76.929649",5625,266,284
1762447874,2025-11-06T16:51:14Z,IGO395,"28.606815,76.912323",5875,266,284
1762447887,2025-11-06T16:51:27Z,IGO395,"28.610825,76.894577",6100,266,284
1762447898,2025-11-06T16:51:38Z,IGO395,"28.613239,76.878929",6275,270,274
1762447901,2025-11-06T16:51:41Z,IGO395,"28.613342,76.875931",6300,270,271
1762447903,2025-11-06T16:51:43Z,IGO395,"28.613297,76.872978",6325,272,268
1762447905,2025-11-06T16:51:45Z,IGO395,"28.613113,76.870125",6350,274,264
1762447907,2025-11-06T16:51:47Z,IGO395,"28.612728,76.867188",6400,275,261
1762447909,2025-11-06T16:51:49Z,IGO395,"28.612152,76.863625",6425,277,257
