Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762123603,2025-11-02T22:46:43Z,AAL1137,"32.89608,-97.035484",0,0,286
1762125595,2025-11-02T23:19:55Z,AAL1137,"32.896034,-97.035271",0,0,278
1762125619,2025-11-02T23:20:19Z,AAL1137,"32.896011,-97.035019",0,2,270
1762125634,2025-11-02T23:20:34Z,AAL1137,"32.896011,-97.034813",0,3,270
1762125649,2025-11-02T23:20:49Z,AAL1137,"32.896011,-97.034569",0,3,270
1762125665,2025-11-02T23:21:05Z,AAL1137,"32.896011,-97.034348",0,3,267
1762125679,2025-11-02T23:21:19Z,AAL1137,"32.896019,-97.034134",0,2,270
1762125994,2025-11-02T23:26:34Z,AAL1137,"32.896221,-97.034248",0,5,337
1762126002,2025-11-02T23:26:42Z,AAL1137,"32.896488,-97.034218",0,7,14
1762126012,2025-11-02T23:26:52Z,AAL1137,"32.896591,-97.034012",0,4,70
1762126066,2025-11-02T23:27:46Z,AAL1137,"32.896629,-97.033745",0,0,75
1762126074,2025-11-02T23:27:54Z,AAL1137,"32.896755,-97.033531",0,7,50
1762126082,2025-11-02T23:28:02Z,AAL1137,"32.897072,-97.033325",0,11,25
1762126086,2025-11-02T23:28:06Z,AAL1137,"32.897289,-97.033226",0,12,16
1762126091,2025-11-02T23:28:11Z,AAL1137,"32.897552,-97.033173",0,14,8
1762126094,2025-11-02T23:28:14Z,AAL1137,"32.897781,-97.033173",0,14,2
1762126098,2025-11-02T23:28:18Z,AAL1137,"32.898048,-97.033173",0,14,357
1762126102,2025-11-02T23:28:22Z,AAL1137,"32.898273,-97.033173",0,14,357
1762126105,2025-11-02T23:28:25Z,AAL1137,"32.898491,-97.033142",0,13,8
1762126109,2025-11-02T23:28:29Z,AAL1137,"32.898731,-97.033005",0,14,33
1762126114,2025-11-02T23:28:34Z,AAL1137,"32.898869,-97.032692",0,14,73
1762126119,2025-11-02T23:28:39Z,AAL1137,"32.898949,-97.032295",0,15,73
1762126122,2025-11-02T23:28:42Z,AAL1137,"32.899059,-97.032089",0,16,53
1762126126,2025-11-02T23:28:46Z,AAL1137,"32.899315,-97.031937",0,16,19
1762126129,2025-11-02T23:28:49Z,AAL1137,"32.899582,-97.031906",0,16,5
1762126132,2025-11-02T23:28:52Z,AAL1137,"32.899796,-97.031906",0,16,357
1762126135,2025-11-02T23:28:55Z,AAL1137,"32.900051,-97.031921",0,16,357
1762126138,2025-11-02T23:28:58Z,AAL1137,"32.900288,-97.031921",0,17,357
1762126141,2025-11-02T23:29:01Z,AAL1137,"32.900494,-97.031921",0,17,357
1762126144,2025-11-02T23:29:04Z,AAL1137,"32.900768,-97.031921",0,17,357
1762126147,2025-11-02T23:29:07Z,AAL1137,"32.900986,-97.031921",0,18,357
1762126150,2025-11-02T23:29:10Z,AAL1137,"32.90126,-97.031921",0,18,357
1762126157,2025-11-02T23:29:17Z,AAL1137,"32.901913,-97.031921",0,18,357
1762126166,2025-11-02T23:29:26Z,AAL1137,"32.902657,-97.031921",0,19,357
1762126175,2025-11-02T23:29:35Z,AAL1137,"32.903481,-97.031914",0,21,357
1762126178,2025-11-02T23:29:38Z,AAL1137,"32.903759,-97.031914",0,20,359
1762126181,2025-11-02T23:29:41Z,AAL1137,"32.904076,-97.031906",0,20,359
1762126184,2025-11-02T23:29:44Z,AAL1137,"32.904396,-97.031921",0,20,357
1762126187,2025-11-02T23:29:47Z,AAL1137,"32.904659,-97.031921",0,21,357
1762126190,2025-11-02T23:29:50Z,AAL1137,"32.904991,-97.031921",0,21,357
1762126193,2025-11-02T23:29:53Z,AAL1137,"32.905254,-97.031906",0,21,357
1762126195,2025-11-02T23:29:55Z,AAL1137,"32.905495,-97.031906",0,21,357
1762126198,2025-11-02T23:29:58Z,AAL1137,"32.905762,-97.031906",0,21,357
1762126206,2025-11-02T23:30:06Z,AAL1137,"32.906464,-97.031891",0,22,357
1762126213,2025-11-02T23:30:13Z,AAL1137,"32.907333,-97.031891",0,22,357
1762126221,2025-11-02T23:30:21Z,AAL1137,"32.908207,-97.031891",0,24,357
1762126229,2025-11-02T23:30:29Z,AAL1137,"32.909115,-97.031883",0,25,357
1762126235,2025-11-02T23:30:35Z,AAL1137,"32.909878,-97.031883",0,26,357
1762126243,2025-11-02T23:30:43Z,AAL1137,"32.910759,-97.031883",0,22,357
1762126249,2025-11-02T23:30:49Z,AAL1137,"32.91132,-97.031883",0,19,357
1762126257,2025-11-02T23:30:57Z,AAL1137,"32.911968,-97.031883",0,14,357
1762126264,2025-11-02T23:31:04Z,AAL1137,"32.912384,-97.031868",0,11,357
1762126272,2025-11-02T23:31:12Z,AAL1137,"32.912693,-97.031868",0,8,357
1762126281,2025-11-02T23:31:21Z,AAL1137,"32.912991,-97.031868",0,7,359
1762126291,2025-11-02T23:31:31Z,AAL1137,"32.913208,-97.031868",0,3,359
1762126356,2025-11-02T23:32:36Z,AAL1137,"32.91341,-97.031883",0,4,359
1762126365,2025-11-02T23:32:45Z,AAL1137,"32.913631,-97.031868",0,6,359
1762126372,2025-11-02T23:32:52Z,AAL1137,"32.91386,-97.031883",0,7,359
1762126382,2025-11-02T23:33:02Z,AAL1137,"32.914112,-97.031731",0,7,39
1762126387,2025-11-02T23:33:07Z,AAL1137,"32.914146,-97.031509",0,8,81
1762126396,2025-11-02T23:33:16Z,AAL1137,"32.914135,-97.031288",0,3,92
1762126441,2025-11-02T23:34:01Z,AAL1137,"32.914135,-97.031082",0,4,92
1762126450,2025-11-02T23:34:10Z,AAL1137,"32.914124,-97.0308",0,7,92
1762126458,2025-11-02T23:34:18Z,AAL1137,"32.914124,-97.030426",0,8,90
1762126465,2025-11-02T23:34:25Z,AAL1137,"32.914131,-97.030128",0,8,90
1762126473,2025-11-02T23:34:33Z,AAL1137,"32.913998,-97.029892",0,7,140
1762126518,2025-11-02T23:35:18Z,AAL1137,"32.913719,-97.0299",0,3,169
