Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762521116,2025-11-07T13:11:56Z,AAL142,"40.655949,-73.800781",0,0,0
1762521257,2025-11-07T13:14:17Z,AAL142,"40.656162,-73.800781",0,4,0
1762521271,2025-11-07T13:14:31Z,AAL142,"40.656441,-73.800674",0,5,0
1762521282,2025-11-07T13:14:42Z,AAL142,"40.656464,-73.8004",0,4,0
1762521295,2025-11-07T13:14:55Z,AAL142,"40.656429,-73.800049",0,5,0
1762521308,2025-11-07T13:15:08Z,AAL142,"40.656399,-73.799751",0,0,0
1762521316,2025-11-07T13:15:16Z,AAL142,"40.656399,-73.799538",0,0,89
1762521322,2025-11-07T13:15:22Z,AAL142,"40.656399,-73.799301",0,3,89
1762521327,2025-11-07T13:15:27Z,AAL142,"40.656399,-73.799057",0,4,65
1762521332,2025-11-07T13:15:32Z,AAL142,"40.65638,-73.798828",0,4,89
1762521336,2025-11-07T13:15:36Z,AAL142,"40.656399,-73.798607",0,4,65
1762521341,2025-11-07T13:15:41Z,AAL142,"40.656399,-73.798347",0,5,66
1762521345,2025-11-07T13:15:45Z,AAL142,"40.65638,-73.798141",0,5,89
1762521350,2025-11-07T13:15:50Z,AAL142,"40.6563,-73.797867",0,4,134
1762521357,2025-11-07T13:15:57Z,AAL142,"40.656078,-73.79776",0,4,139
1762521363,2025-11-07T13:16:03Z,AAL142,"40.655869,-73.79776",0,4,179
1762521369,2025-11-07T13:16:09Z,AAL142,"40.655609,-73.79776",0,5,179
1762521375,2025-11-07T13:16:15Z,AAL142,"40.655331,-73.797783",0,5,176
1762521380,2025-11-07T13:16:20Z,AAL142,"40.655121,-73.797783",0,5,176
1762521386,2025-11-07T13:16:26Z,AAL142,"40.654839,-73.797783",0,5,178
1762521391,2025-11-07T13:16:31Z,AAL142,"40.654629,-73.797791",0,5,188
1762521397,2025-11-07T13:16:37Z,AAL142,"40.654369,-73.797791",0,5,179
1762521402,2025-11-07T13:16:42Z,AAL142,"40.654129,-73.797791",0,5,179
1762521408,2025-11-07T13:16:48Z,AAL142,"40.653858,-73.797791",0,5,179
1762521413,2025-11-07T13:16:53Z,AAL142,"40.653622,-73.797821",0,5,178
1762521418,2025-11-07T13:16:58Z,AAL142,"40.653358,-73.797791",0,5,179
1762521423,2025-11-07T13:17:03Z,AAL142,"40.653149,-73.797791",0,5,150
1762521428,2025-11-07T13:17:08Z,AAL142,"40.652908,-73.797707",0,5,145
1762521439,2025-11-07T13:17:19Z,AAL142,"40.652462,-73.797379",0,9,151
1762521446,2025-11-07T13:17:26Z,AAL142,"40.652229,-73.797211",0,9,149
1762521451,2025-11-07T13:17:31Z,AAL142,"40.652023,-73.797058",0,9,151
1762521460,2025-11-07T13:17:40Z,AAL142,"40.651714,-73.79686",0,8,163
1762521465,2025-11-07T13:17:45Z,AAL142,"40.651508,-73.796844",0,8,188
1762521478,2025-11-07T13:17:58Z,AAL142,"40.651085,-73.797272",0,10,225
1762521488,2025-11-07T13:18:08Z,AAL142,"40.650696,-73.797676",0,0,213
1762521498,2025-11-07T13:18:18Z,AAL142,"40.65023,-73.797943",0,11,196
1762521502,2025-11-07T13:18:22Z,AAL142,"40.650021,-73.797989",0,11,188
1762521506,2025-11-07T13:18:26Z,AAL142,"40.649815,-73.798019",0,11,182
1762521510,2025-11-07T13:18:30Z,AAL142,"40.64959,-73.798035",0,11,180
1762521515,2025-11-07T13:18:35Z,AAL142,"40.649323,-73.79805",0,11,180
1762521519,2025-11-07T13:18:39Z,AAL142,"40.649105,-73.79805",0,11,180
1762521523,2025-11-07T13:18:43Z,AAL142,"40.648876,-73.79805",0,11,180
1762521530,2025-11-07T13:18:50Z,AAL142,"40.648518,-73.79805",0,11,180
1762521539,2025-11-07T13:18:59Z,AAL142,"40.648018,-73.798035",0,12,174
1762521550,2025-11-07T13:19:10Z,AAL142,"40.647503,-73.797821",0,0,154
1762521560,2025-11-07T13:19:20Z,AAL142,"40.647076,-73.797478",0,11,146
1762521567,2025-11-07T13:19:27Z,AAL142,"40.646759,-73.797195",0,11,143
1762521572,2025-11-07T13:19:32Z,AAL142,"40.646549,-73.797005",0,11,146
1762521578,2025-11-07T13:19:38Z,AAL142,"40.64629,-73.796753",0,11,143
1762521585,2025-11-07T13:19:45Z,AAL142,"40.646038,-73.796524",0,10,143
1762521592,2025-11-07T13:19:52Z,AAL142,"40.645821,-73.796295",0,9,137
1762521597,2025-11-07T13:19:57Z,AAL142,"40.64576,-73.796059",0,7,95
1762521602,2025-11-07T13:20:02Z,AAL142,"40.645809,-73.795853",0,6,87
1762521608,2025-11-07T13:20:08Z,AAL142,"40.645889,-73.795647",0,6,87
1762528524,2025-11-07T15:15:24Z,AAL142,"40.64613,-73.794312",0,0,80
1762528532,2025-11-07T15:15:32Z,AAL142,"40.64613,-73.794518",0,0,271
1762528547,2025-11-07T15:15:47Z,AAL142,"40.646099,-73.794868",0,4,264
1762528556,2025-11-07T15:15:56Z,AAL142,"40.646072,-73.79509",0,5,264
1762528564,2025-11-07T15:16:04Z,AAL142,"40.646122,-73.795303",0,4,278
1762528575,2025-11-07T15:16:15Z,AAL142,"40.64629,-73.795517",0,5,315
1762528583,2025-11-07T15:16:23Z,AAL142,"40.6465,-73.795677",0,7,330
1762528590,2025-11-07T15:16:30Z,AAL142,"40.64669,-73.795883",0,8,323
1762528596,2025-11-07T15:16:36Z,AAL142,"40.6469,-73.796059",0,10,325
1762528602,2025-11-07T15:16:42Z,AAL142,"40.647121,-73.796249",0,10,326
1762528607,2025-11-07T15:16:47Z,AAL142,"40.647331,-73.796463",0,11,323
1762528613,2025-11-07T15:16:53Z,AAL142,"40.64761,-73.796707",0,12,326
1762528617,2025-11-07T15:16:57Z,AAL142,"40.647831,-73.796867",0,13,329
1762528622,2025-11-07T15:17:02Z,AAL142,"40.64809,-73.796997",0,12,336
1762528625,2025-11-07T15:17:05Z,AAL142,"40.648331,-73.797058",0,13,343
1762528631,2025-11-07T15:17:11Z,AAL142,"40.648602,-73.79705",0,12,357
1762528635,2025-11-07T15:17:15Z,AAL142,"40.648842,-73.797028",0,12,1
1762528639,2025-11-07T15:17:19Z,AAL142,"40.649059,-73.797028",0,12,1
1762528644,2025-11-07T15:17:24Z,AAL142,"40.649368,-73.797028",0,13,359
1762528648,2025-11-07T15:17:28Z,AAL142,"40.649609,-73.797043",0,13,359
1762528651,2025-11-07T15:17:31Z,AAL142,"40.649849,-73.79702",0,13,1
1762528656,2025-11-07T15:17:36Z,AAL142,"40.650082,-73.796959",0,12,7
1762528660,2025-11-07T15:17:40Z,AAL142,"40.650291,-73.796852",0,12,17
1762528666,2025-11-07T15:17:46Z,AAL142,"40.650558,-73.796539",0,12,37
1762528670,2025-11-07T15:17:50Z,AAL142,"40.650711,-73.796272",0,13,48
1762528673,2025-11-07T15:17:53Z,AAL142,"40.65081,-73.796066",0,13,53
1762528677,2025-11-07T15:17:57Z,AAL142,"40.650928,-73.795738",0,15,61
1762528680,2025-11-07T15:18:00Z,AAL142,"40.651039,-73.795509",0,15,59
1762528685,2025-11-07T15:18:05Z,AAL142,"40.65123,-73.795044",0,15,61
1762528691,2025-11-07T15:18:11Z,AAL142,"40.651409,-73.794601",0,16,62
1762528696,2025-11-07T15:18:16Z,AAL142,"40.6516,-73.794189",0,16,59
1762528699,2025-11-07T15:18:19Z,AAL142,"40.651718,-73.79393",0,15,61
1762528702,2025-11-07T15:18:22Z,AAL142,"40.651836,-73.79364",0,15,61
1762528708,2025-11-07T15:18:28Z,AAL142,"40.652012,-73.793221",0,15,60
1762528711,2025-11-07T15:18:31Z,AAL142,"40.652069,-73.792999",0,14,67
1762528714,2025-11-07T15:18:34Z,AAL142,"40.652115,-73.792709",0,14,75
1762528718,2025-11-07T15:18:38Z,AAL142,"40.652115,-73.792389",0,14,87
1762528722,2025-11-07T15:18:42Z,AAL142,"40.652058,-73.792007",0,15,101
1762528726,2025-11-07T15:18:46Z,AAL142,"40.651989,-73.791718",0,15,104
1762528732,2025-11-07T15:18:52Z,AAL142,"40.651859,-73.791199",0,15,105
1762528735,2025-11-07T15:18:55Z,AAL142,"40.651791,-73.790947",0,14,109
1762528739,2025-11-07T15:18:59Z,AAL142,"40.651711,-73.790619",0,14,109
1762528744,2025-11-07T15:19:04Z,AAL142,"40.651619,-73.790169",0,15,105
1762528748,2025-11-07T15:19:08Z,AAL142,"40.65152,-73.78981",0,14,106
1762528750,2025-11-07T15:19:10Z,AAL142,"40.651474,-73.789597",0,14,106
1762528757,2025-11-07T15:19:17Z,AAL142,"40.651405,-73.789108",0,14,98
1762528759,2025-11-07T15:19:19Z,AAL142,"40.651382,-73.788879",0,14,95
1762528762,2025-11-07T15:19:22Z,AAL142,"40.651382,-73.788651",0,14,92
1762528765,2025-11-07T15:19:25Z,AAL142,"40.651382,-73.788406",0,14,90
1762528768,2025-11-07T15:19:28Z,AAL142,"40.651405,-73.788147",0,14,84
1762528771,2025-11-07T15:19:31Z,AAL142,"40.651428,-73.787918",0,12,81
1762528775,2025-11-07T15:19:35Z,AAL142,"40.651485,-73.787628",0,11,78
1762528780,2025-11-07T15:19:40Z,AAL142,"40.651543,-73.787376",0,9,73
1762528785,2025-11-07T15:19:45Z,AAL142,"40.651627,-73.787148",0,7,67
1762528793,2025-11-07T15:19:53Z,AAL142,"40.65173,-73.78688",0,6,61
1762528801,2025-11-07T15:20:01Z,AAL142,"40.651825,-73.786659",0,5,61
1762528812,2025-11-07T15:20:12Z,AAL142,"40.651943,-73.786392",0,5,59
1762528822,2025-11-07T15:20:22Z,AAL142,"40.652046,-73.786133",0,5,59
1762528829,2025-11-07T15:20:29Z,AAL142,"40.652138,-73.785919",0,6,61
1762528837,2025-11-07T15:20:37Z,AAL142,"40.652252,-73.78566",0,7,61
1762528844,2025-11-07T15:20:44Z,AAL142,"40.652393,-73.785316",0,9,61
1762528851,2025-11-07T15:20:51Z,AAL142,"40.652546,-73.784958",0,9,61
1762528858,2025-11-07T15:20:58Z,AAL142,"40.652672,-73.784698",0,6,56
1762528867,2025-11-07T15:21:07Z,AAL142,"40.652916,-73.784615",0,7,16
1762528875,2025-11-07T15:21:15Z,AAL142,"40.653122,-73.78476",0,6,340
1762528885,2025-11-07T15:21:25Z,AAL142,"40.653381,-73.784866",0,6,348
1762528894,2025-11-07T15:21:34Z,AAL142,"40.653557,-73.784653",0,6,33
