Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762708709,2025-11-09T17:18:29Z,AAL1601,"21.027191,-86.861931",425,177,123
1762708717,2025-11-09T17:18:37Z,AAL1601,"21.023895,-86.856491",725,177,122
1762708725,2025-11-09T17:18:45Z,AAL1601,"21.02005,-86.850113",1050,180,122
1762708734,2025-11-09T17:18:54Z,AAL1601,"21.016241,-86.843925",1300,184,123
1762708742,2025-11-09T17:19:02Z,AAL1601,"21.01181,-86.836823",1450,193,123
1762708749,2025-11-09T17:19:09Z,AAL1601,"21.008467,-86.83149",1575,199,123
1762708757,2025-11-09T17:19:17Z,AAL1601,"21.004166,-86.824509",1800,204,123
1762708764,2025-11-09T17:19:24Z,AAL1601,"21.000595,-86.818672",2025,206,123
1762708771,2025-11-09T17:19:31Z,AAL1601,"20.997154,-86.813065",2250,208,123
1762708780,2025-11-09T17:19:40Z,AAL1601,"20.992264,-86.805084",2500,216,123
1762708786,2025-11-09T17:19:46Z,AAL1601,"20.988775,-86.799286",2650,221,122
1762708788,2025-11-09T17:19:48Z,AAL1601,"20.98732,-86.796501",2700,226,119
1762708791,2025-11-09T17:19:51Z,AAL1601,"20.986267,-86.794098",2725,229,117
1762708793,2025-11-09T17:19:53Z,AAL1601,"20.985489,-86.791946",2750,231,114
1762708795,2025-11-09T17:19:55Z,AAL1601,"20.984756,-86.789635",2800,236,108
1762708797,2025-11-09T17:19:57Z,AAL1601,"20.984161,-86.786987",2825,239,105
1762708799,2025-11-09T17:19:59Z,AAL1601,"20.983841,-86.785248",2850,241,102
1762708801,2025-11-09T17:20:01Z,AAL1601,"20.983654,-86.782707",2900,244,96
1762708803,2025-11-09T17:20:03Z,AAL1601,"20.983566,-86.780121",2950,247,93
1762708805,2025-11-09T17:20:05Z,AAL1601,"20.983561,-86.776909",3000,249,90
1762708808,2025-11-09T17:20:08Z,AAL1601,"20.983658,-86.774582",3050,251,88
1762708810,2025-11-09T17:20:10Z,AAL1601,"20.983793,-86.772064",3075,253,87
1762708812,2025-11-09T17:20:12Z,AAL1601,"20.983932,-86.769531",3125,255,86
1762708814,2025-11-09T17:20:14Z,AAL1601,"20.984161,-86.766975",3175,257,85
1762708816,2025-11-09T17:20:16Z,AAL1601,"20.984446,-86.763878",3225,261,84
1762708818,2025-11-09T17:20:18Z,AAL1601,"20.984756,-86.761047",3275,262,83
1762708820,2025-11-09T17:20:20Z,AAL1601,"20.98505,-86.758583",3350,264,82
1762708823,2025-11-09T17:20:23Z,AAL1601,"20.985443,-86.755745",3425,265,81
1762708825,2025-11-09T17:20:25Z,AAL1601,"20.98613,-86.752266",3525,266,80
1762708827,2025-11-09T17:20:27Z,AAL1601,"20.986771,-86.749466",3625,267,76
1762708829,2025-11-09T17:20:29Z,AAL1601,"20.987549,-86.746819",3725,267,73
1762708832,2025-11-09T17:20:32Z,AAL1601,"20.988602,-86.743881",3825,268,70
1762708834,2025-11-09T17:20:34Z,AAL1601,"20.9897,-86.741325",3925,268,67
1762708836,2025-11-09T17:20:36Z,AAL1601,"20.990936,-86.738876",4000,269,63
1762708838,2025-11-09T17:20:38Z,AAL1601,"20.992355,-86.736572",4075,270,58
1762708840,2025-11-09T17:20:40Z,AAL1601,"20.993912,-86.734268",4150,271,55
1762708842,2025-11-09T17:20:42Z,AAL1601,"20.995972,-86.731567",4250,272,52
1762708845,2025-11-09T17:20:45Z,AAL1601,"20.998085,-86.729317",4350,272,48
1762708847,2025-11-09T17:20:47Z,AAL1601,"21.000088,-86.727425",4450,273,43
1762708849,2025-11-09T17:20:49Z,AAL1601,"21.002151,-86.725685",4550,273,39
1762708852,2025-11-09T17:20:52Z,AAL1601,"21.004486,-86.723915",4650,273,36
1762708854,2025-11-09T17:20:54Z,AAL1601,"21.007233,-86.722252",4750,273,31
1762708856,2025-11-09T17:20:56Z,AAL1601,"21.00975,-86.720924",4825,274,29
1762708858,2025-11-09T17:20:58Z,AAL1601,"21.012098,-86.719833",4900,275,24
1762708861,2025-11-09T17:21:01Z,AAL1601,"21.015106,-86.718666",5000,275,21
1762708863,2025-11-09T17:21:03Z,AAL1601,"21.01767,-86.717934",5075,276,18
1762708865,2025-11-09T17:21:05Z,AAL1601,"21.020096,-86.717392",5150,277,14
1762708867,2025-11-09T17:21:07Z,AAL1601,"21.023409,-86.716888",5225,278,11
1762708870,2025-11-09T17:21:10Z,AAL1601,"21.025738,-86.716682",5300,279,6
1762708872,2025-11-09T17:21:12Z,AAL1601,"21.028839,-86.716507",5375,280,4
1762708874,2025-11-09T17:21:14Z,AAL1601,"21.031723,-86.716537",5475,281,1
1762708876,2025-11-09T17:21:16Z,AAL1601,"21.034582,-86.716866",5550,281,356
1762708878,2025-11-09T17:21:18Z,AAL1601,"21.037674,-86.717232",5650,281,353
1762708881,2025-11-09T17:21:21Z,AAL1601,"21.041054,-86.717934",5775,281,351
1762708883,2025-11-09T17:21:23Z,AAL1601,"21.043579,-86.718483",5850,281,348
1762708885,2025-11-09T17:21:25Z,AAL1601,"21.045868,-86.719032",5925,280,348
1762708887,2025-11-09T17:21:27Z,AAL1601,"21.048569,-86.719681",6025,281,347
1762708889,2025-11-09T17:21:29Z,AAL1601,"21.051388,-86.720428",6100,283,346
1762708891,2025-11-09T17:21:31Z,AAL1601,"21.05418,-86.721245",6175,282,345
1762708894,2025-11-09T17:21:34Z,AAL1601,"21.056717,-86.721977",6250,283,345
1762708896,2025-11-09T17:21:36Z,AAL1601,"21.059767,-86.72287",6325,284,344
1762708898,2025-11-09T17:21:38Z,AAL1601,"21.06284,-86.723785",6425,284,344
1762708901,2025-11-09T17:21:41Z,AAL1601,"21.066513,-86.724922",6550,285,343
1762708903,2025-11-09T17:21:43Z,AAL1601,"21.069683,-86.725922",6650,285,343
1762708906,2025-11-09T17:21:46Z,AAL1601,"21.072847,-86.726891",6750,285,343
1762708908,2025-11-09T17:21:48Z,AAL1601,"21.075129,-86.7276",6825,285,343
1762708921,2025-11-09T17:22:01Z,AAL1601,"21.092102,-86.732613",7350,287,344
1762708935,2025-11-09T17:22:15Z,AAL1601,"21.109903,-86.737572",7875,289,345
1762708948,2025-11-09T17:22:28Z,AAL1601,"21.126942,-86.742043",8400,291,346
1762708962,2025-11-09T17:22:42Z,AAL1601,"21.145981,-86.747032",8950,293,346
1762708975,2025-11-09T17:22:55Z,AAL1601,"21.163147,-86.751495",9425,295,346
1762708989,2025-11-09T17:23:09Z,AAL1601,"21.182106,-86.756439",9900,299,346
1762709002,2025-11-09T17:23:22Z,AAL1601,"21.199423,-86.760864",10275,304,346
1762709015,2025-11-09T17:23:35Z,AAL1601,"21.218445,-86.765778",10625,312,346
1762709029,2025-11-09T17:23:49Z,AAL1601,"21.237783,-86.770683",11000,319,346
1762709042,2025-11-09T17:24:02Z,AAL1601,"21.257584,-86.775711",11350,326,346
1762709056,2025-11-09T17:24:16Z,AAL1601,"21.277817,-86.780907",11725,335,346
1762709069,2025-11-09T17:24:29Z,AAL1601,"21.297462,-86.785889",12075,342,346
1762709100,2025-11-09T17:25:00Z,AAL1601,"21.347031,-86.798531",12925,359,346
1762709131,2025-11-09T17:25:31Z,AAL1601,"21.398342,-86.811623",13950,369,346
1762709162,2025-11-09T17:26:02Z,AAL1601,"21.450806,-86.825005",15200,372,346
1762709194,2025-11-09T17:26:34Z,AAL1601,"21.50355,-86.838379",16425,375,346
1762709225,2025-11-09T17:27:05Z,AAL1601,"21.558388,-86.852417",17450,382,346
1762709257,2025-11-09T17:27:37Z,AAL1601,"21.613646,-86.86895",18375,391,342
1762709288,2025-11-09T17:28:08Z,AAL1601,"21.667511,-86.886673",19450,393,342
1762709320,2025-11-09T17:28:40Z,AAL1601,"21.721848,-86.906853",20650,392,339
1762709352,2025-11-09T17:29:12Z,AAL1601,"21.777786,-86.925377",21700,395,346
1762709361,2025-11-09T17:29:21Z,AAL1601,"21.793854,-86.928719",22000,395,349
1762709375,2025-11-09T17:29:35Z,AAL1601,"21.818344,-86.935013",22425,396,344
1762709377,2025-11-09T17:29:37Z,AAL1601,"21.822945,-86.93644",22525,396,344
1762709379,2025-11-09T17:29:39Z,AAL1601,"21.8249,-86.93705",22550,396,343
1762709411,2025-11-09T17:30:11Z,AAL1601,"21.882477,-86.956886",23475,401,341
1762709441,2025-11-09T17:30:41Z,AAL1601,"21.935715,-86.975266",24425,401,342
1762709473,2025-11-09T17:31:13Z,AAL1601,"21.993418,-86.994324",25350,400,342
1762709504,2025-11-09T17:31:44Z,AAL1601,"22.048462,-87.012466",26175,401,343
1762709537,2025-11-09T17:32:17Z,AAL1601,"22.106121,-87.031303",26800,408,343
1762709568,2025-11-09T17:32:48Z,AAL1601,"22.163799,-87.050171",27350,415,342
1762709602,2025-11-09T17:33:22Z,AAL1601,"22.228088,-87.071297",27900,423,342
1762709634,2025-11-09T17:33:54Z,AAL1601,"22.288147,-87.091118",28400,430,342
1762709666,2025-11-09T17:34:26Z,AAL1601,"22.349487,-87.111443",28850,436,342
1762709692,2025-11-09T17:34:52Z,AAL1601,"22.400711,-87.128471",29225,441,342
1762709729,2025-11-09T17:35:29Z,AAL1601,"22.473604,-87.152657",29825,445,342
1762709760,2025-11-09T17:36:00Z,AAL1601,"22.534882,-87.172966",30325,447,342
1762709792,2025-11-09T17:36:32Z,AAL1601,"22.597458,-87.193741",30900,448,342
1762709823,2025-11-09T17:37:03Z,AAL1601,"22.660355,-87.214668",31425,451,342
1762709855,2025-11-09T17:37:35Z,AAL1601,"22.722845,-87.235466",32075,450,342
1762709885,2025-11-09T17:38:05Z,AAL1601,"22.784637,-87.255966",32575,452,342
1762709917,2025-11-09T17:38:37Z,AAL1601,"22.846722,-87.276611",32925,452,342
1762709948,2025-11-09T17:39:08Z,AAL1601,"22.90873,-87.297264",33000,452,342
1762709979,2025-11-09T17:39:39Z,AAL1601,"22.972733,-87.318588",33000,451,342
1762710011,2025-11-09T17:40:11Z,AAL1601,"23.036329,-87.339882",33000,452,342
1762710042,2025-11-09T17:40:42Z,AAL1601,"23.098618,-87.360733",33000,454,342
1762710067,2025-11-09T17:41:07Z,AAL1601,"23.147873,-87.381111",33125,443,331
1762710069,2025-11-09T17:41:09Z,AAL1601,"23.151451,-87.383675",33150,441,328
1762710073,2025-11-09T17:41:13Z,AAL1601,"23.156107,-87.387489",33175,436,323
1762710075,2025-11-09T17:41:15Z,AAL1601,"23.159412,-87.390388",33200,436,322
1762710077,2025-11-09T17:41:17Z,AAL1601,"23.163254,-87.394196",33225,433,319
1762710079,2025-11-09T17:41:19Z,AAL1601,"23.165976,-87.397057",33250,432,317
1762710081,2025-11-09T17:41:21Z,AAL1601,"23.168976,-87.400482",33275,430,315
1762710083,2025-11-09T17:41:23Z,AAL1601,"23.171585,-87.403679",33300,429,313
1762710085,2025-11-09T17:41:25Z,AAL1601,"23.173983,-87.406822",33325,427,310
1762710087,2025-11-09T17:41:27Z,AAL1601,"23.176895,-87.410873",33350,426,308
1762710090,2025-11-09T17:41:30Z,AAL1601,"23.179092,-87.414169",33375,424,306
1762710092,2025-11-09T17:41:32Z,AAL1601,"23.181757,-87.418617",33400,424,304
1762710094,2025-11-09T17:41:34Z,AAL1601,"23.18376,-87.422028",33425,423,302
1762710096,2025-11-09T17:41:36Z,AAL1601,"23.186367,-87.426964",33475,421,300
1762710099,2025-11-09T17:41:39Z,AAL1601,"23.188202,-87.43045",33500,421,299
1762710101,2025-11-09T17:41:41Z,AAL1601,"23.190138,-87.434135",33525,420,299
1762710103,2025-11-09T17:41:43Z,AAL1601,"23.192558,-87.438713",33550,421,299
1762710105,2025-11-09T17:41:45Z,AAL1601,"23.194839,-87.442879",33600,421,300
1762710108,2025-11-09T17:41:48Z,AAL1601,"23.196899,-87.446724",33625,422,300
1762710110,2025-11-09T17:41:50Z,AAL1601,"23.1994,-87.451271",33650,422,300
1762710112,2025-11-09T17:41:52Z,AAL1601,"23.201797,-87.455666",33675,422,300
1762710114,2025-11-09T17:41:54Z,AAL1601,"23.20373,-87.459106",33700,422,300
1762710117,2025-11-09T17:41:57Z,AAL1601,"23.206146,-87.463455",33750,423,300
1762710148,2025-11-09T17:42:28Z,AAL1601,"23.238052,-87.519836",34200,423,301
1762710179,2025-11-09T17:42:59Z,AAL1601,"23.269602,-87.575325",34675,422,301
1762710210,2025-11-09T17:43:30Z,AAL1601,"23.302322,-87.633492",35175,420,301
1762710242,2025-11-09T17:44:02Z,AAL1601,"23.334169,-87.690331",35675,417,301
1762710273,2025-11-09T17:44:33Z,AAL1601,"23.36554,-87.746208",35950,415,301
1762710305,2025-11-09T17:45:05Z,AAL1601,"23.396347,-87.801384",36000,413,301
1762710336,2025-11-09T17:45:36Z,AAL1601,"23.427181,-87.857872",36000,413,300
1762710368,2025-11-09T17:46:08Z,AAL1601,"23.458054,-87.914948",36000,414,300
1762710398,2025-11-09T17:46:38Z,AAL1601,"23.487885,-87.969818",36000,416,300
1762710429,2025-11-09T17:47:09Z,AAL1601,"23.518478,-88.026306",36000,418,300
1762710460,2025-11-09T17:47:40Z,AAL1601,"23.548729,-88.081589",36000,419,300
1762710493,2025-11-09T17:48:13Z,AAL1601,"23.580917,-88.140717",36000,417,300
1762710524,2025-11-09T17:48:44Z,AAL1601,"23.611725,-88.197731",36000,417,300
1762710555,2025-11-09T17:49:15Z,AAL1601,"23.642159,-88.254051",36000,417,300
1762710587,2025-11-09T17:49:47Z,AAL1601,"23.67321,-88.311478",36000,417,300
1762710618,2025-11-09T17:50:18Z,AAL1601,"23.702774,-88.366394",36000,417,300
1762710650,2025-11-09T17:50:50Z,AAL1601,"23.734426,-88.425117",36000,415,300
1762710682,2025-11-09T17:51:22Z,AAL1601,"23.766081,-88.48378",36000,415,300
1762710715,2025-11-09T17:51:55Z,AAL1601,"23.797876,-88.542862",36000,413,300
1762710747,2025-11-09T17:52:27Z,AAL1601,"23.829067,-88.600952",36000,413,300
1762710780,2025-11-09T17:53:00Z,AAL1601,"23.860489,-88.659515",36000,412,300
1762710812,2025-11-09T17:53:32Z,AAL1601,"23.890503,-88.715614",36000,410,300
1762710841,2025-11-09T17:54:01Z,AAL1601,"23.918493,-88.768082",36000,410,300
1762710876,2025-11-09T17:54:36Z,AAL1601,"23.951797,-88.830208",36000,409,300
1762710907,2025-11-09T17:55:07Z,AAL1601,"23.981619,-88.885872",36000,408,300
1762710939,2025-11-09T17:55:39Z,AAL1601,"24.012249,-88.943398",36000,407,300
1762710972,2025-11-09T17:56:12Z,AAL1601,"24.043812,-89.002625",36000,406,300
1762711006,2025-11-09T17:56:46Z,AAL1601,"24.075027,-89.061279",36000,406,300
1762711038,2025-11-09T17:57:18Z,AAL1601,"24.106384,-89.120277",36000,408,299
1762711072,2025-11-09T17:57:52Z,AAL1601,"24.138107,-89.180092",36000,409,300
1762711103,2025-11-09T17:58:23Z,AAL1601,"24.16745,-89.235382",36000,409,300
1762711135,2025-11-09T17:58:55Z,AAL1601,"24.198029,-89.293213",36000,409,300
1762711167,2025-11-09T17:59:27Z,AAL1601,"24.228333,-89.350433",36000,409,299
1762711211,2025-11-09T18:00:11Z,AAL1601,"24.270172,-89.429222",36000,409,300
1762711238,2025-11-09T18:00:38Z,AAL1601,"24.296265,-89.478554",36000,408,299
1762711297,2025-11-09T18:01:37Z,AAL1601,"24.351009,-89.582832",36000,406,299
1762711329,2025-11-09T18:02:09Z,AAL1601,"24.380663,-89.639526",36000,405,299
1762711361,2025-11-09T18:02:41Z,AAL1601,"24.411346,-89.697876",36000,404,299
1762711392,2025-11-09T18:03:12Z,AAL1601,"24.440018,-89.752441",36000,404,299
1762711423,2025-11-09T18:03:43Z,AAL1601,"24.469528,-89.808098",36000,405,301
