Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762443267,2025-11-06T15:34:27Z,AAL2408,"39.874939,-75.239372",0,1,166
1762443413,2025-11-06T15:36:53Z,AAL2408,"39.87471,-75.23925",0,0,120
1762443555,2025-11-06T15:39:15Z,AAL2408,"39.877689,-75.233978",0,0,118
1762443558,2025-11-06T15:39:18Z,AAL2408,"39.87748,-75.233818",0,14,150
1762443563,2025-11-06T15:39:23Z,AAL2408,"39.877258,-75.233719",0,13,161
1762443567,2025-11-06T15:39:27Z,AAL2408,"39.87701,-75.233597",0,14,159
1762443572,2025-11-06T15:39:32Z,AAL2408,"39.876709,-75.233429",0,14,157
1762443576,2025-11-06T15:39:36Z,AAL2408,"39.876419,-75.233223",0,15,150
1762443580,2025-11-06T15:39:40Z,AAL2408,"39.876362,-75.232841",0,16,110
1762443583,2025-11-06T15:39:43Z,AAL2408,"39.876411,-75.232552",0,17,84
1762443587,2025-11-06T15:39:47Z,AAL2408,"39.876469,-75.232239",0,14,77
1762443593,2025-11-06T15:39:53Z,AAL2408,"39.87627,-75.231934",0,14,129
1762443597,2025-11-06T15:39:57Z,AAL2408,"39.876041,-75.23185",0,13,160
1762443601,2025-11-06T15:40:01Z,AAL2408,"39.87582,-75.231728",0,11,161
1762443610,2025-11-06T15:40:10Z,AAL2408,"39.875591,-75.231628",0,6,159
1762443624,2025-11-06T15:40:24Z,AAL2408,"39.87537,-75.231506",0,4,157
1762443637,2025-11-06T15:40:37Z,AAL2408,"39.87516,-75.2314",0,4,156
1762443647,2025-11-06T15:40:47Z,AAL2408,"39.87495,-75.2313",0,4,158
1762443703,2025-11-06T15:41:43Z,AAL2408,"39.874741,-75.231201",0,2,159
1762443756,2025-11-06T15:42:36Z,AAL2408,"39.874512,-75.231079",0,6,157
1762443763,2025-11-06T15:42:43Z,AAL2408,"39.873951,-75.230827",0,18,161
1762443768,2025-11-06T15:42:48Z,AAL2408,"39.873619,-75.230637",0,19,158
1762443772,2025-11-06T15:42:52Z,AAL2408,"39.87328,-75.230507",0,19,162
1762443775,2025-11-06T15:42:55Z,AAL2408,"39.873051,-75.23037",0,19,158
1762443778,2025-11-06T15:42:58Z,AAL2408,"39.87281,-75.23024",0,18,157
1762443781,2025-11-06T15:43:01Z,AAL2408,"39.872608,-75.230141",0,17,158
1762443785,2025-11-06T15:43:05Z,AAL2408,"39.872349,-75.229988",0,16,156
1762443790,2025-11-06T15:43:10Z,AAL2408,"39.87207,-75.229874",0,13,159
1762443794,2025-11-06T15:43:14Z,AAL2408,"39.871811,-75.229843",0,14,172
1762443797,2025-11-06T15:43:17Z,AAL2408,"39.871571,-75.23008",0,15,212
1762443800,2025-11-06T15:43:20Z,AAL2408,"39.871498,-75.230362",0,16,243
1762443804,2025-11-06T15:43:24Z,AAL2408,"39.871529,-75.230568",0,13,271
1762443811,2025-11-06T15:43:31Z,AAL2408,"39.87146,-75.230797",0,3,255
1762444272,2025-11-06T15:51:12Z,AAL2408,"39.871399,-75.231049",0,4,252
1762444281,2025-11-06T15:51:21Z,AAL2408,"39.871349,-75.23127",0,5,250
1762444287,2025-11-06T15:51:27Z,AAL2408,"39.871319,-75.231491",0,5,257
1762444296,2025-11-06T15:51:36Z,AAL2408,"39.87117,-75.231712",0,5,230
1762444306,2025-11-06T15:51:46Z,AAL2408,"39.870949,-75.23188",0,6,209
1762444316,2025-11-06T15:51:56Z,AAL2408,"39.870781,-75.232101",0,4,226
1762444347,2025-11-06T15:52:27Z,AAL2408,"39.870689,-75.232323",0,0,271
1762444358,2025-11-06T15:52:38Z,AAL2408,"39.870579,-75.232559",0,5,240
1762444420,2025-11-06T15:53:40Z,AAL2408,"39.870468,-75.232803",0,2,234
1762444427,2025-11-06T15:53:47Z,AAL2408,"39.87038,-75.233047",0,7,243
1762444435,2025-11-06T15:53:55Z,AAL2408,"39.870319,-75.233276",0,4,250
1762444813,2025-11-06T16:00:13Z,AAL2408,"39.8703,-75.233513",0,5,255
1762444821,2025-11-06T16:00:21Z,AAL2408,"39.870159,-75.233994",0,11,250
1762444825,2025-11-06T16:00:25Z,AAL2408,"39.869961,-75.2342",0,11,226
1762444828,2025-11-06T16:00:28Z,AAL2408,"39.869759,-75.234222",0,13,198
1762444834,2025-11-06T16:00:34Z,AAL2408,"39.869469,-75.23407",0,12,156
1762444840,2025-11-06T16:00:40Z,AAL2408,"39.869209,-75.233978",0,11,161
1762444844,2025-11-06T16:00:44Z,AAL2408,"39.868992,-75.234138",0,11,201
1762444849,2025-11-06T16:00:49Z,AAL2408,"39.868931,-75.234413",0,12,243
1762444855,2025-11-06T16:00:55Z,AAL2408,"39.868931,-75.234642",0,6,268
1762444866,2025-11-06T16:01:06Z,AAL2408,"39.86887,-75.234909",0,8,256
1762444869,2025-11-06T16:01:09Z,AAL2408,"39.868809,-75.235161",0,16,252
1762444871,2025-11-06T16:01:11Z,AAL2408,"39.86874,-75.235558",0,27,255
1762444872,2025-11-06T16:01:12Z,AAL2408,"39.86869,-75.235817",0,34,255
1762444873,2025-11-06T16:01:13Z,AAL2408,"39.868561,-75.236443",0,48,255
1762444875,2025-11-06T16:01:15Z,AAL2408,"39.868431,-75.23716",0,60,256
1762444877,2025-11-06T16:01:17Z,AAL2408,"39.868259,-75.237984",0,70,255
1762444879,2025-11-06T16:01:19Z,AAL2408,"39.868069,-75.238899",0,79,255
1762444881,2025-11-06T16:01:21Z,AAL2408,"39.86784,-75.239929",0,89,254
1762444882,2025-11-06T16:01:22Z,AAL2408,"39.867722,-75.240517",0,95,254
1762444885,2025-11-06T16:01:25Z,AAL2408,"39.867481,-75.241707",0,103,254
1762444887,2025-11-06T16:01:27Z,AAL2408,"39.867119,-75.243721",0,116,256
1762444890,2025-11-06T16:01:30Z,AAL2408,"39.866638,-75.245941",0,129,255
1762444893,2025-11-06T16:01:33Z,AAL2408,"39.866322,-75.24752",0,136,254
1762444895,2025-11-06T16:01:35Z,AAL2408,"39.865829,-75.250092",0,149,255
1762444898,2025-11-06T16:01:38Z,AAL2408,"39.865269,-75.252792",0,156,255
1762444902,2025-11-06T16:01:42Z,AAL2408,"39.864658,-75.255707",0,168,254
1762444905,2025-11-06T16:01:45Z,AAL2408,"39.86401,-75.258751",0,177,254
1762444907,2025-11-06T16:01:47Z,AAL2408,"39.863441,-75.26165",0,171,255
1762444910,2025-11-06T16:01:50Z,AAL2408,"39.863049,-75.263588",0,168,255
1762444912,2025-11-06T16:01:52Z,AAL2408,"39.862652,-75.265419",0,160,254
