Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762056591,2025-11-02T04:09:51Z,AAL2409,"33.93964,-118.406746",0,0,219
1762059733,2025-11-02T05:02:13Z,AAL2409,"33.939434,-118.406807",0,2,2
1762059746,2025-11-02T05:02:26Z,AAL2409,"33.939228,-118.406845",0,3,334
1762059761,2025-11-02T05:02:41Z,AAL2409,"33.939026,-118.406815",0,3,295
1762059776,2025-11-02T05:02:56Z,AAL2409,"33.938931,-118.406593",0,3,255
1762060111,2025-11-02T05:08:31Z,AAL2409,"33.938919,-118.406807",0,3,261
1762060120,2025-11-02T05:08:40Z,AAL2409,"33.938873,-118.407051",0,6,255
1762060127,2025-11-02T05:08:47Z,AAL2409,"33.938709,-118.407272",0,8,230
1762060134,2025-11-02T05:08:54Z,AAL2409,"33.938465,-118.407341",0,8,196
1762060140,2025-11-02T05:09:00Z,AAL2409,"33.938244,-118.407242",0,8,163
1762060146,2025-11-02T05:09:06Z,AAL2409,"33.938107,-118.407028",0,9,132
1762060150,2025-11-02T05:09:10Z,AAL2409,"33.938084,-118.406822",0,10,106
1762060153,2025-11-02T05:09:13Z,AAL2409,"33.938107,-118.406609",0,10,90
1762060158,2025-11-02T05:09:18Z,AAL2409,"33.938141,-118.406364",0,10,84
1762060163,2025-11-02T05:09:23Z,AAL2409,"33.938164,-118.40609",0,10,81
1762060166,2025-11-02T05:09:26Z,AAL2409,"33.938187,-118.405884",0,11,81
1762060169,2025-11-02T05:09:29Z,AAL2409,"33.93821,-118.405655",0,12,81
1762060177,2025-11-02T05:09:37Z,AAL2409,"33.938271,-118.405136",0,13,81
1762060180,2025-11-02T05:09:40Z,AAL2409,"33.938305,-118.404854",0,14,84
1762060187,2025-11-02T05:09:47Z,AAL2409,"33.938351,-118.404266",0,15,84
1762060191,2025-11-02T05:09:51Z,AAL2409,"33.938385,-118.403946",0,15,81
1762060194,2025-11-02T05:09:54Z,AAL2409,"33.938416,-118.403694",0,15,81
1762060198,2025-11-02T05:09:58Z,AAL2409,"33.938454,-118.403381",0,15,81
1762060202,2025-11-02T05:10:02Z,AAL2409,"33.938492,-118.40303",0,15,84
1762060207,2025-11-02T05:10:07Z,AAL2409,"33.938526,-118.402664",0,14,84
1762060210,2025-11-02T05:10:10Z,AAL2409,"33.938549,-118.40242",0,15,81
1762060213,2025-11-02T05:10:13Z,AAL2409,"33.938576,-118.402122",0,15,81
1762060216,2025-11-02T05:10:16Z,AAL2409,"33.938595,-118.401917",0,15,84
1762060221,2025-11-02T05:10:21Z,AAL2409,"33.938644,-118.401482",0,15,84
1762060224,2025-11-02T05:10:24Z,AAL2409,"33.938667,-118.40123",0,15,81
1762060228,2025-11-02T05:10:28Z,AAL2409,"33.938702,-118.400917",0,15,81
1762060230,2025-11-02T05:10:30Z,AAL2409,"33.938736,-118.400703",0,16,81
1762060233,2025-11-02T05:10:33Z,AAL2409,"33.938759,-118.400391",0,16,84
1762060237,2025-11-02T05:10:37Z,AAL2409,"33.938782,-118.400108",0,16,84
1762060239,2025-11-02T05:10:39Z,AAL2409,"33.938805,-118.399902",0,16,84
1762060241,2025-11-02T05:10:41Z,AAL2409,"33.938828,-118.399658",0,16,84
1762060246,2025-11-02T05:10:46Z,AAL2409,"33.938862,-118.399277",0,16,81
1762060249,2025-11-02T05:10:49Z,AAL2409,"33.938885,-118.399055",0,15,81
1762060255,2025-11-02T05:10:55Z,AAL2409,"33.938946,-118.39856",0,13,84
1762060258,2025-11-02T05:10:58Z,AAL2409,"33.938957,-118.398331",0,13,84
1762060261,2025-11-02T05:11:01Z,AAL2409,"33.938988,-118.398087",0,13,84
1762060265,2025-11-02T05:11:05Z,AAL2409,"33.939011,-118.397797",0,14,81
1762060271,2025-11-02T05:11:11Z,AAL2409,"33.939056,-118.397346",0,13,81
1762060276,2025-11-02T05:11:16Z,AAL2409,"33.939102,-118.396996",0,13,81
1762060284,2025-11-02T05:11:24Z,AAL2409,"33.939163,-118.396385",0,14,84
1762060288,2025-11-02T05:11:28Z,AAL2409,"33.93919,-118.39608",0,14,84
1762060295,2025-11-02T05:11:35Z,AAL2409,"33.939251,-118.395508",0,15,84
1762060300,2025-11-02T05:11:40Z,AAL2409,"33.939297,-118.395088",0,15,81
1762060304,2025-11-02T05:11:44Z,AAL2409,"33.939327,-118.394791",0,15,81
1762060308,2025-11-02T05:11:48Z,AAL2409,"33.939354,-118.394547",0,15,84
1762060312,2025-11-02T05:11:52Z,AAL2409,"33.939384,-118.394165",0,14,81
1762060314,2025-11-02T05:11:54Z,AAL2409,"33.939411,-118.393951",0,15,84
1762060318,2025-11-02T05:11:58Z,AAL2409,"33.939434,-118.393646",0,15,81
1762060322,2025-11-02T05:12:02Z,AAL2409,"33.93948,-118.39328",0,16,81
1762060325,2025-11-02T05:12:05Z,AAL2409,"33.939503,-118.39296",0,16,84
1762060329,2025-11-02T05:12:09Z,AAL2409,"33.939537,-118.392632",0,16,81
1762060333,2025-11-02T05:12:13Z,AAL2409,"33.939583,-118.392303",0,16,81
1762060335,2025-11-02T05:12:15Z,AAL2409,"33.939617,-118.392021",0,17,81
1762060342,2025-11-02T05:12:22Z,AAL2409,"33.93969,-118.391327",0,18,83
1762060344,2025-11-02T05:12:24Z,AAL2409,"33.93972,-118.391121",0,18,81
1762060348,2025-11-02T05:12:28Z,AAL2409,"33.939735,-118.3908",0,17,84
1762060352,2025-11-02T05:12:32Z,AAL2409,"33.939758,-118.390549",0,16,84
1762060358,2025-11-02T05:12:38Z,AAL2409,"33.939823,-118.389931",0,15,84
1762060362,2025-11-02T05:12:42Z,AAL2409,"33.939857,-118.389595",0,15,81
1762060365,2025-11-02T05:12:45Z,AAL2409,"33.939888,-118.389328",0,15,84
1762060368,2025-11-02T05:12:48Z,AAL2409,"33.939915,-118.389053",0,15,84
