Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762194386,2025-11-03T18:26:26Z,AAL2768,"39.869522,-104.696426",5100,160,1
1762194400,2025-11-03T18:26:40Z,AAL2768,"39.882187,-104.696289",5325,188,1
1762194413,2025-11-03T18:26:53Z,AAL2768,"39.892731,-104.695526",5875,183,8
1762194415,2025-11-03T18:26:55Z,AAL2768,"39.894562,-104.69487",5975,183,13
1762194417,2025-11-03T18:26:57Z,AAL2768,"39.895779,-104.694214",6025,183,18
1762194419,2025-11-03T18:26:59Z,AAL2768,"39.897408,-104.693298",6125,182,22
1762194421,2025-11-03T18:27:01Z,AAL2768,"39.899002,-104.692307",6200,183,25
1762194423,2025-11-03T18:27:03Z,AAL2768,"39.90062,-104.691162",6300,183,27
1762194425,2025-11-03T18:27:05Z,AAL2768,"39.902115,-104.689972",6375,184,29
1762194427,2025-11-03T18:27:07Z,AAL2768,"39.903625,-104.688843",6450,185,30
1762194429,2025-11-03T18:27:09Z,AAL2768,"39.905136,-104.687645",6500,188,31
1762194431,2025-11-03T18:27:11Z,AAL2768,"39.906921,-104.686211",6550,189,32
1762194433,2025-11-03T18:27:13Z,AAL2768,"39.908257,-104.685059",6600,190,32
1762194435,2025-11-03T18:27:15Z,AAL2768,"39.909744,-104.683777",6650,191,32
1762194437,2025-11-03T18:27:17Z,AAL2768,"39.91119,-104.682556",6675,193,32
1762194439,2025-11-03T18:27:19Z,AAL2768,"39.912865,-104.681152",6700,195,33
1762194441,2025-11-03T18:27:21Z,AAL2768,"39.914726,-104.679565",6750,198,33
1762194443,2025-11-03T18:27:23Z,AAL2768,"39.916264,-104.678284",6775,200,33
1762194445,2025-11-03T18:27:25Z,AAL2768,"39.917725,-104.677017",6800,203,33
1762194447,2025-11-03T18:27:27Z,AAL2768,"39.918869,-104.676064",6825,204,33
1762194462,2025-11-03T18:27:42Z,AAL2768,"39.931458,-104.665405",7075,219,32
1762194476,2025-11-03T18:27:56Z,AAL2768,"39.944412,-104.654602",7350,232,32
1762194489,2025-11-03T18:28:09Z,AAL2768,"39.956543,-104.644592",7550,244,32
1762194500,2025-11-03T18:28:20Z,AAL2768,"39.965889,-104.634354",7625,256,47
1762194502,2025-11-03T18:28:22Z,AAL2768,"39.967392,-104.632019",7650,257,48
1762194504,2025-11-03T18:28:24Z,AAL2768,"39.969131,-104.628906",7675,262,52
1762194506,2025-11-03T18:28:26Z,AAL2768,"39.970497,-104.626358",7700,263,55
1762194508,2025-11-03T18:28:28Z,AAL2768,"39.971752,-104.623611",7725,265,58
1762194510,2025-11-03T18:28:30Z,AAL2768,"39.973251,-104.620117",7775,268,61
1762194512,2025-11-03T18:28:32Z,AAL2768,"39.974304,-104.617126",7800,270,64
1762194514,2025-11-03T18:28:34Z,AAL2768,"39.975292,-104.613998",7800,272,67
1762194517,2025-11-03T18:28:37Z,AAL2768,"39.976135,-104.610779",7825,274,70
1762194519,2025-11-03T18:28:39Z,AAL2768,"39.97678,-104.607445",7850,276,73
1762194521,2025-11-03T18:28:41Z,AAL2768,"39.977325,-104.604248",7875,278,77
1762194523,2025-11-03T18:28:43Z,AAL2768,"39.977646,-104.601013",7875,280,80
1762194525,2025-11-03T18:28:45Z,AAL2768,"39.977875,-104.59729",7900,282,84
1762194527,2025-11-03T18:28:47Z,AAL2768,"39.977898,-104.594086",7900,285,88
1762194529,2025-11-03T18:28:49Z,AAL2768,"39.977737,-104.590759",7925,287,93
1762194531,2025-11-03T18:28:51Z,AAL2768,"39.977478,-104.587349",7950,288,95
1762194533,2025-11-03T18:28:53Z,AAL2768,"39.976913,-104.583008",8000,289,98
1762194535,2025-11-03T18:28:55Z,AAL2768,"39.976456,-104.580078",8025,292,101
1762194537,2025-11-03T18:28:57Z,AAL2768,"39.975712,-104.576363",8075,293,103
1762194539,2025-11-03T18:28:59Z,AAL2768,"39.974762,-104.572266",8150,293,106
1762194541,2025-11-03T18:29:01Z,AAL2768,"39.973846,-104.568871",8225,292,108
1762194543,2025-11-03T18:29:03Z,AAL2768,"39.973057,-104.566063",8300,292,110
1762194545,2025-11-03T18:29:05Z,AAL2768,"39.97197,-104.562561",8375,292,111
1762194548,2025-11-03T18:29:08Z,AAL2768,"39.970917,-104.559326",8450,292,112
1762194550,2025-11-03T18:29:10Z,AAL2768,"39.969818,-104.555908",8525,293,112
1762194552,2025-11-03T18:29:12Z,AAL2768,"39.968681,-104.552391",8600,293,113
1762194554,2025-11-03T18:29:14Z,AAL2768,"39.967346,-104.548401",8675,294,113
1762194556,2025-11-03T18:29:16Z,AAL2768,"39.966156,-104.544983",8725,295,113
1762194558,2025-11-03T18:29:18Z,AAL2768,"39.965096,-104.541779",8775,297,113
1762194560,2025-11-03T18:29:20Z,AAL2768,"39.963821,-104.538086",8850,297,113
1762194562,2025-11-03T18:29:22Z,AAL2768,"39.962814,-104.534912",8925,298,113
1762194564,2025-11-03T18:29:24Z,AAL2768,"39.961651,-104.53154",9000,299,113
1762194566,2025-11-03T18:29:26Z,AAL2768,"39.960533,-104.528046",9075,299,112
1762194579,2025-11-03T18:29:39Z,AAL2768,"39.953979,-104.507202",9550,301,111
1762194594,2025-11-03T18:29:54Z,AAL2768,"39.946564,-104.481873",10175,299,110
1762194606,2025-11-03T18:30:06Z,AAL2768,"39.940521,-104.46051",10500,306,110
1762194619,2025-11-03T18:30:19Z,AAL2768,"39.934341,-104.438538",10700,318,110
1762194633,2025-11-03T18:30:33Z,AAL2768,"39.926605,-104.410828",10925,331,109
1762194646,2025-11-03T18:30:46Z,AAL2768,"39.919941,-104.38678",11125,343,109
1762194661,2025-11-03T18:31:01Z,AAL2768,"39.911934,-104.357605",11325,354,109
1762194673,2025-11-03T18:31:13Z,AAL2768,"39.904999,-104.332581",11500,366,109
1762194686,2025-11-03T18:31:26Z,AAL2768,"39.897812,-104.306526",11650,376,109
1762194700,2025-11-03T18:31:40Z,AAL2768,"39.888611,-104.273438",11850,387,109
1762194713,2025-11-03T18:31:53Z,AAL2768,"39.880978,-104.245789",12000,397,109
1762194744,2025-11-03T18:32:24Z,AAL2768,"39.861053,-104.174072",12700,410,110
1762194776,2025-11-03T18:32:56Z,AAL2768,"39.840427,-104.100342",13500,418,109
1762194807,2025-11-03T18:33:27Z,AAL2768,"39.82077,-104.026619",14900,410,104
1762194811,2025-11-03T18:33:31Z,AAL2768,"39.819168,-104.016945",15025,411,101
1762194814,2025-11-03T18:33:34Z,AAL2768,"39.818363,-104.010742",15100,411,99
1762194816,2025-11-03T18:33:36Z,AAL2768,"39.817886,-104.006195",15150,412,98
1762194818,2025-11-03T18:33:38Z,AAL2768,"39.817474,-104.000221",15225,412,96
1762194820,2025-11-03T18:33:40Z,AAL2768,"39.817245,-103.99527",15300,413,94
1762194822,2025-11-03T18:33:42Z,AAL2768,"39.817108,-103.990608",15375,412,92
1762194824,2025-11-03T18:33:44Z,AAL2768,"39.817013,-103.986511",15450,413,91
1762194826,2025-11-03T18:33:46Z,AAL2768,"39.816925,-103.980164",15525,413,91
1762194828,2025-11-03T18:33:48Z,AAL2768,"39.816833,-103.975449",15575,413,91
1762194830,2025-11-03T18:33:50Z,AAL2768,"39.816788,-103.970726",15625,414,91
1762194832,2025-11-03T18:33:52Z,AAL2768,"39.816696,-103.966011",15650,415,91
1762194834,2025-11-03T18:33:54Z,AAL2768,"39.816593,-103.959412",15700,416,91
1762194836,2025-11-03T18:33:56Z,AAL2768,"39.816547,-103.954102",15725,417,91
1762194839,2025-11-03T18:33:59Z,AAL2768,"39.816456,-103.949341",15750,418,91
1762194841,2025-11-03T18:34:01Z,AAL2768,"39.816315,-103.942993",15800,420,91
1762194872,2025-11-03T18:34:32Z,AAL2768,"39.814686,-103.862183",16275,437,91
1762194904,2025-11-03T18:35:04Z,AAL2768,"39.812943,-103.777092",16950,447,91
1762194936,2025-11-03T18:35:36Z,AAL2768,"39.811287,-103.692261",17675,454,91
1762194967,2025-11-03T18:36:07Z,AAL2768,"39.809464,-103.605316",18475,457,91
1762194999,2025-11-03T18:36:39Z,AAL2768,"39.80761,-103.518005",19200,462,91
1762195030,2025-11-03T18:37:10Z,AAL2768,"39.805656,-103.429565",19925,467,91
1762195062,2025-11-03T18:37:42Z,AAL2768,"39.803699,-103.340576",20625,471,91
1762195094,2025-11-03T18:38:14Z,AAL2768,"39.801605,-103.250732",21175,478,91
1762195126,2025-11-03T18:38:46Z,AAL2768,"39.799393,-103.159531",21725,484,91
1762195158,2025-11-03T18:39:18Z,AAL2768,"39.797012,-103.06543",22275,489,91
1762195190,2025-11-03T18:39:50Z,AAL2768,"39.794575,-102.969116",22850,493,91
1762195222,2025-11-03T18:40:22Z,AAL2768,"39.791931,-102.874069",23375,498,92
1762195254,2025-11-03T18:40:54Z,AAL2768,"39.789368,-102.779068",23775,505,92
1762195286,2025-11-03T18:41:26Z,AAL2768,"39.786568,-102.679443",24150,512,92
1762195319,2025-11-03T18:41:59Z,AAL2768,"39.7836,-102.57869",24650,515,92
1762195350,2025-11-03T18:42:30Z,AAL2768,"39.780655,-102.481018",25075,519,92
1762195383,2025-11-03T18:43:03Z,AAL2768,"39.777557,-102.381058",25600,520,92
1762195415,2025-11-03T18:43:35Z,AAL2768,"39.774353,-102.280388",26050,523,92
1762195447,2025-11-03T18:44:07Z,AAL2768,"39.771114,-102.180847",26375,526,92
1762195477,2025-11-03T18:44:37Z,AAL2768,"39.767902,-102.083862",27075,522,92
1762195510,2025-11-03T18:45:10Z,AAL2768,"39.764465,-101.982262",27675,519,92
1762195541,2025-11-03T18:45:41Z,AAL2768,"39.761059,-101.885681",28225,517,92
1762195573,2025-11-03T18:46:13Z,AAL2768,"39.757519,-101.785767",28600,519,92
1762195605,2025-11-03T18:46:45Z,AAL2768,"39.753887,-101.685791",28950,522,92
1762195638,2025-11-03T18:47:18Z,AAL2768,"39.750027,-101.583984",29325,524,92
1762195668,2025-11-03T18:47:48Z,AAL2768,"39.746338,-101.48925",29650,525,92
1762195700,2025-11-03T18:48:20Z,AAL2768,"39.742401,-101.389656",29950,528,93
1762195732,2025-11-03T18:48:52Z,AAL2768,"39.738247,-101.287048",30350,528,92
1762195764,2025-11-03T18:49:24Z,AAL2768,"39.73407,-101.186348",30675,529,93
1762195796,2025-11-03T18:49:56Z,AAL2768,"39.729729,-101.083069",31100,528,93
1762195828,2025-11-03T18:50:28Z,AAL2768,"39.725445,-100.983521",31525,527,93
1762195860,2025-11-03T18:51:00Z,AAL2768,"39.721024,-100.881287",31975,525,93
