Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762211550,2025-11-03T23:12:30Z,AAL3138,"32.898777,-97.035126",0,0,258
1762213242,2025-11-03T23:40:42Z,AAL3138,"32.898811,-97.03479",0,4,261
1762213254,2025-11-03T23:40:54Z,AAL3138,"32.898846,-97.034576",0,3,272
1762213267,2025-11-03T23:41:07Z,AAL3138,"32.898834,-97.034325",0,3,295
1762213284,2025-11-03T23:41:24Z,AAL3138,"32.89872,-97.034119",0,3,334
1762213304,2025-11-03T23:41:44Z,AAL3138,"32.898502,-97.034042",0,3,357
1762213435,2025-11-03T23:43:55Z,AAL3138,"32.898708,-97.034027",0,6,2
1762213519,2025-11-03T23:45:19Z,AAL3138,"32.898911,-97.033829",0,0,64
1762213529,2025-11-03T23:45:29Z,AAL3138,"32.899006,-97.0336",0,8,59
1762213535,2025-11-03T23:45:35Z,AAL3138,"32.899223,-97.033379",0,11,36
1762213540,2025-11-03T23:45:40Z,AAL3138,"32.899452,-97.033257",0,12,22
1762213544,2025-11-03T23:45:44Z,AAL3138,"32.899666,-97.03318",0,10,11
1762213549,2025-11-03T23:45:49Z,AAL3138,"32.899899,-97.033157",0,9,2
1762213559,2025-11-03T23:45:59Z,AAL3138,"32.900127,-97.033157",0,4,2
1762213567,2025-11-03T23:46:07Z,AAL3138,"32.900341,-97.033157",0,6,357
1762213573,2025-11-03T23:46:13Z,AAL3138,"32.900585,-97.033157",0,10,357
1762213578,2025-11-03T23:46:18Z,AAL3138,"32.900864,-97.033157",0,11,357
1762213583,2025-11-03T23:46:23Z,AAL3138,"32.901157,-97.033157",0,13,357
1762213590,2025-11-03T23:46:30Z,AAL3138,"32.90163,-97.033157",0,15,357
1762213598,2025-11-03T23:46:38Z,AAL3138,"32.90221,-97.033142",0,16,357
1762213605,2025-11-03T23:46:45Z,AAL3138,"32.902737,-97.033142",0,15,357
1762213608,2025-11-03T23:46:48Z,AAL3138,"32.902954,-97.033134",0,14,5
1762213612,2025-11-03T23:46:52Z,AAL3138,"32.903172,-97.032997",0,14,30
1762213615,2025-11-03T23:46:55Z,AAL3138,"32.903286,-97.032776",0,14,61
1762213620,2025-11-03T23:47:00Z,AAL3138,"32.90332,-97.03244",0,12,87
1762213627,2025-11-03T23:47:07Z,AAL3138,"32.903423,-97.032074",0,12,59
1762213631,2025-11-03T23:47:11Z,AAL3138,"32.903629,-97.031952",0,13,22
1762213636,2025-11-03T23:47:16Z,AAL3138,"32.903904,-97.031921",0,13,2
1762213640,2025-11-03T23:47:20Z,AAL3138,"32.904156,-97.031906",0,14,2
1762213643,2025-11-03T23:47:23Z,AAL3138,"32.904362,-97.031906",0,15,2
1762213646,2025-11-03T23:47:26Z,AAL3138,"32.904659,-97.031906",0,17,2
1762213649,2025-11-03T23:47:29Z,AAL3138,"32.904911,-97.031906",0,19,2
1762213652,2025-11-03T23:47:32Z,AAL3138,"32.90514,-97.031906",0,20,2
1762213654,2025-11-03T23:47:34Z,AAL3138,"32.905346,-97.031906",0,21,2
1762213662,2025-11-03T23:47:42Z,AAL3138,"32.906124,-97.031906",0,21,2
1762213668,2025-11-03T23:47:48Z,AAL3138,"32.906788,-97.031906",0,21,2
1762213675,2025-11-03T23:47:55Z,AAL3138,"32.907463,-97.031891",0,21,2
1762213683,2025-11-03T23:48:03Z,AAL3138,"32.908241,-97.031891",0,21,2
1762213691,2025-11-03T23:48:11Z,AAL3138,"32.909012,-97.031891",0,22,2
1762213698,2025-11-03T23:48:18Z,AAL3138,"32.909809,-97.031898",0,22,2
1762213705,2025-11-03T23:48:25Z,AAL3138,"32.910519,-97.031883",0,20,2
1762213712,2025-11-03T23:48:32Z,AAL3138,"32.911163,-97.031883",0,18,2
1762213720,2025-11-03T23:48:40Z,AAL3138,"32.911812,-97.031883",0,17,2
1762213728,2025-11-03T23:48:48Z,AAL3138,"32.912441,-97.031868",0,16,2
1762213736,2025-11-03T23:48:56Z,AAL3138,"32.912979,-97.031883",0,15,2
1762213742,2025-11-03T23:49:02Z,AAL3138,"32.913429,-97.031883",0,14,359
1762213750,2025-11-03T23:49:10Z,AAL3138,"32.913746,-97.031868",0,9,359
1762213757,2025-11-03T23:49:17Z,AAL3138,"32.914017,-97.031799",0,7,22
1762213765,2025-11-03T23:49:25Z,AAL3138,"32.914139,-97.031479",0,8,60
1762213771,2025-11-03T23:49:31Z,AAL3138,"32.914131,-97.031265",0,6,90
1762213781,2025-11-03T23:49:41Z,AAL3138,"32.914135,-97.031059",0,4,90
1762213790,2025-11-03T23:49:50Z,AAL3138,"32.914131,-97.030815",0,7,90
1762213794,2025-11-03T23:49:54Z,AAL3138,"32.914131,-97.030594",0,9,90
1762213802,2025-11-03T23:50:02Z,AAL3138,"32.914135,-97.03022",0,8,90
1762213810,2025-11-03T23:50:10Z,AAL3138,"32.914143,-97.029991",0,5,92
1762213827,2025-11-03T23:50:27Z,AAL3138,"32.91386,-97.0299",0,4,171
1762213833,2025-11-03T23:50:33Z,AAL3138,"32.913589,-97.029922",0,10,179
1762213837,2025-11-03T23:50:37Z,AAL3138,"32.913261,-97.02993",0,22,182
1762213839,2025-11-03T23:50:39Z,AAL3138,"32.912941,-97.02993",0,30,180
1762213840,2025-11-03T23:50:40Z,AAL3138,"32.912521,-97.029922",0,41,179
1762213842,2025-11-03T23:50:42Z,AAL3138,"32.9123,-97.029922",0,44,179
1762213843,2025-11-03T23:50:43Z,AAL3138,"32.91201,-97.029922",0,52,179
1762213844,2025-11-03T23:50:44Z,AAL3138,"32.911629,-97.02993",0,0,180
1762213846,2025-11-03T23:50:46Z,AAL3138,"32.911304,-97.029922",0,64,180
1762213847,2025-11-03T23:50:47Z,AAL3138,"32.910645,-97.02993",0,72,180
1762213853,2025-11-03T23:50:53Z,AAL3138,"32.908031,-97.029938",0,94,179
1762213856,2025-11-03T23:50:56Z,AAL3138,"32.907059,-97.029961",0,102,180
1762213858,2025-11-03T23:50:58Z,AAL3138,"32.90554,-97.029938",0,111,179
1762213861,2025-11-03T23:51:01Z,AAL3138,"32.904602,-97.029984",300,120,180
1762213863,2025-11-03T23:51:03Z,AAL3138,"32.903641,-97.029984",300,120,180
1762213865,2025-11-03T23:51:05Z,AAL3138,"32.901718,-97.029984",300,133,180
1762213867,2025-11-03T23:51:07Z,AAL3138,"32.901028,-97.029961",300,139,180
1762213869,2025-11-03T23:51:09Z,AAL3138,"32.898933,-97.030014",300,144,180
1762213871,2025-11-03T23:51:11Z,AAL3138,"32.897537,-97.030014",275,150,180
1762213879,2025-11-03T23:51:19Z,AAL3138,"32.891464,-97.030098",350,171,181
1762213887,2025-11-03T23:51:27Z,AAL3138,"32.885284,-97.030258",700,162,181
1762213896,2025-11-03T23:51:36Z,AAL3138,"32.879147,-97.030518",1150,158,181
1762213904,2025-11-03T23:51:44Z,AAL3138,"32.873329,-97.030632",1475,158,180
1762213910,2025-11-03T23:51:50Z,AAL3138,"32.868668,-97.030701",1675,161,180
1762213918,2025-11-03T23:51:58Z,AAL3138,"32.86253,-97.030693",1875,169,180
1762213926,2025-11-03T23:52:06Z,AAL3138,"32.855713,-97.030647",2050,176,179
1762213934,2025-11-03T23:52:14Z,AAL3138,"32.849167,-97.030533",2225,185,179
1762213943,2025-11-03T23:52:23Z,AAL3138,"32.841858,-97.030411",2350,197,178
1762213951,2025-11-03T23:52:31Z,AAL3138,"32.834133,-97.030243",2500,208,178
1762213957,2025-11-03T23:52:37Z,AAL3138,"32.828018,-97.030151",2625,217,179
1762213965,2025-11-03T23:52:45Z,AAL3138,"32.819275,-97.030045",2775,230,179
1762213974,2025-11-03T23:52:54Z,AAL3138,"32.810532,-97.02993",2975,239,179
1762213980,2025-11-03T23:53:00Z,AAL3138,"32.802429,-97.029823",3175,245,179
1762213989,2025-11-03T23:53:09Z,AAL3138,"32.792908,-97.029709",3500,249,179
1762213995,2025-11-03T23:53:15Z,AAL3138,"32.786182,-97.029678",3775,249,179
1762214003,2025-11-03T23:53:23Z,AAL3138,"32.775833,-97.029655",4200,250,179
1762214010,2025-11-03T23:53:30Z,AAL3138,"32.768261,-97.029625",4475,252,179
1762214018,2025-11-03T23:53:38Z,AAL3138,"32.758667,-97.029549",4775,257,179
1762214026,2025-11-03T23:53:46Z,AAL3138,"32.748753,-97.02951",5125,258,179
1762214039,2025-11-03T23:53:59Z,AAL3138,"32.733253,-97.028557",5625,265,171
1762214041,2025-11-03T23:54:01Z,AAL3138,"32.730831,-97.028",5725,264,169
1762214043,2025-11-03T23:54:03Z,AAL3138,"32.728317,-97.027267",5825,264,165
1762214046,2025-11-03T23:54:06Z,AAL3138,"32.725525,-97.02626",5950,264,161
1762214048,2025-11-03T23:54:08Z,AAL3138,"32.723236,-97.025208",6050,265,158
1762214050,2025-11-03T23:54:10Z,AAL3138,"32.720776,-97.023796",6150,266,153
1762214052,2025-11-03T23:54:12Z,AAL3138,"32.718403,-97.022224",6225,267,151
1762214054,2025-11-03T23:54:14Z,AAL3138,"32.716324,-97.020592",6300,269,145
1762214056,2025-11-03T23:54:16Z,AAL3138,"32.714355,-97.018837",6375,269,141
1762214058,2025-11-03T23:54:18Z,AAL3138,"32.712257,-97.016678",6475,271,138
1762214061,2025-11-03T23:54:21Z,AAL3138,"32.71035,-97.014488",6575,272,135
1762214063,2025-11-03T23:54:23Z,AAL3138,"32.708588,-97.012192",6650,272,131
1762214065,2025-11-03T23:54:25Z,AAL3138,"32.706619,-97.009277",6775,272,128
1762214067,2025-11-03T23:54:27Z,AAL3138,"32.705227,-97.006981",6875,272,124
1762214069,2025-11-03T23:54:29Z,AAL3138,"32.703831,-97.004288",6950,273,120
1762214071,2025-11-03T23:54:31Z,AAL3138,"32.70253,-97.001541",7050,273,117
1762214073,2025-11-03T23:54:33Z,AAL3138,"32.701271,-96.998238",7150,275,114
1762214076,2025-11-03T23:54:36Z,AAL3138,"32.70034,-96.995598",7225,275,111
1762214078,2025-11-03T23:54:38Z,AAL3138,"32.69957,-96.992851",7300,276,107
1762214080,2025-11-03T23:54:40Z,AAL3138,"32.698711,-96.989044",7375,277,105
1762214082,2025-11-03T23:54:42Z,AAL3138,"32.698059,-96.985901",7450,278,103
1762214084,2025-11-03T23:54:44Z,AAL3138,"32.697594,-96.983551",7500,279,102
1762214086,2025-11-03T23:54:46Z,AAL3138,"32.69696,-96.980217",7575,281,102
1762214088,2025-11-03T23:54:48Z,AAL3138,"32.696198,-96.976318",7675,281,102
1762214090,2025-11-03T23:54:50Z,AAL3138,"32.695637,-96.973289",7750,282,102
1762214092,2025-11-03T23:54:52Z,AAL3138,"32.694988,-96.969818",7850,282,102
1762214094,2025-11-03T23:54:54Z,AAL3138,"32.694443,-96.966927",7950,281,102
1762214097,2025-11-03T23:54:57Z,AAL3138,"32.693893,-96.964066",8050,281,102
1762214099,2025-11-03T23:54:59Z,AAL3138,"32.693172,-96.960175",8175,281,102
1762214101,2025-11-03T23:55:01Z,AAL3138,"32.692657,-96.957314",8250,282,102
1762214103,2025-11-03T23:55:03Z,AAL3138,"32.692055,-96.953957",8350,283,101
1762214105,2025-11-03T23:55:05Z,AAL3138,"32.691605,-96.95105",8425,283,100
1762214120,2025-11-03T23:55:20Z,AAL3138,"32.689075,-96.928055",9125,284,94
1762214124,2025-11-03T23:55:24Z,AAL3138,"32.688766,-96.921333",9300,286,92
1762214126,2025-11-03T23:55:26Z,AAL3138,"32.688656,-96.918304",9375,288,91
1762214128,2025-11-03T23:55:28Z,AAL3138,"32.688656,-96.914993",9450,289,90
1762214130,2025-11-03T23:55:30Z,AAL3138,"32.68861,-96.911804",9525,290,89
1762214132,2025-11-03T23:55:32Z,AAL3138,"32.68861,-96.908493",9575,291,89
1762214134,2025-11-03T23:55:34Z,AAL3138,"32.68861,-96.905128",9625,292,89
1762214137,2025-11-03T23:55:37Z,AAL3138,"32.688629,-96.902054",9650,292,89
1762214139,2025-11-03T23:55:39Z,AAL3138,"32.688629,-96.898697",9675,293,89
1762214151,2025-11-03T23:55:51Z,AAL3138,"32.688858,-96.877548",9800,307,89
1762214164,2025-11-03T23:56:04Z,AAL3138,"32.689213,-96.854912",9775,331,88
1762214177,2025-11-03T23:56:17Z,AAL3138,"32.689678,-96.831253",9775,351,88
1762214191,2025-11-03T23:56:31Z,AAL3138,"32.690331,-96.802498",9750,362,88
1762214204,2025-11-03T23:56:44Z,AAL3138,"32.690796,-96.777328",9750,366,88
1762214217,2025-11-03T23:56:57Z,AAL3138,"32.691261,-96.751488",9775,369,88
1762214232,2025-11-03T23:57:12Z,AAL3138,"32.691742,-96.721603",10150,373,88
1762214245,2025-11-03T23:57:25Z,AAL3138,"32.692101,-96.694763",10675,374,89
1762214257,2025-11-03T23:57:37Z,AAL3138,"32.692383,-96.66848",11050,381,89
1762214270,2025-11-03T23:57:50Z,AAL3138,"32.692749,-96.641129",11500,386,89
1762214283,2025-11-03T23:58:03Z,AAL3138,"32.693123,-96.615395",11900,390,88
1762214296,2025-11-03T23:58:16Z,AAL3138,"32.693542,-96.586525",12350,395,88
1762214328,2025-11-03T23:58:48Z,AAL3138,"32.694534,-96.518021",13500,404,89
1762214359,2025-11-03T23:59:19Z,AAL3138,"32.695358,-96.445389",14650,412,89
1762214390,2025-11-03T23:59:50Z,AAL3138,"32.696198,-96.376778",15800,418,89
1762214422,2025-11-04T00:00:22Z,AAL3138,"32.69466,-96.301834",16950,427,94
1762214455,2025-11-04T00:00:55Z,AAL3138,"32.689728,-96.225235",17950,438,94
1762214488,2025-11-04T00:01:28Z,AAL3138,"32.684513,-96.145058",19050,447,94
1762214518,2025-11-04T00:01:58Z,AAL3138,"32.67952,-96.070114",20200,451,94
1762214551,2025-11-04T00:02:31Z,AAL3138,"32.673981,-95.988976",21425,454,94
1762214581,2025-11-04T00:03:01Z,AAL3138,"32.668808,-95.914268",22475,458,94
1762214612,2025-11-04T00:03:32Z,AAL3138,"32.663361,-95.835609",23425,465,94
1762214643,2025-11-04T00:04:03Z,AAL3138,"32.657837,-95.75605",24225,474,94
1762214676,2025-11-04T00:04:36Z,AAL3138,"32.651833,-95.670288",25050,482,94
1762214709,2025-11-04T00:05:09Z,AAL3138,"32.645645,-95.5821",25850,489,94
1762214740,2025-11-04T00:05:40Z,AAL3138,"32.63987,-95.500565",26600,495,94
1762214771,2025-11-04T00:06:11Z,AAL3138,"32.63377,-95.41581",27375,498,94
1762214804,2025-11-04T00:06:44Z,AAL3138,"32.627197,-95.325516",28475,494,94
