Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762182588,2025-11-03T15:09:48Z,SKW3515,"32.120346,-110.93837",0,0,351
1762182783,2025-11-03T15:13:03Z,SKW3515,"32.120052,-110.938362",0,1,14
1762182808,2025-11-03T15:13:28Z,SKW3515,"32.119846,-110.938431",0,2,36
1762182838,2025-11-03T15:13:58Z,SKW3515,"32.119648,-110.938637",0,0,47
1762182867,2025-11-03T15:14:27Z,SKW3515,"32.119461,-110.93885",0,0,30
1762182894,2025-11-03T15:14:54Z,SKW3515,"32.119251,-110.938942",0,0,5
1762182920,2025-11-03T15:15:20Z,SKW3515,"32.119041,-110.938919",0,0,326
1762183108,2025-11-03T15:18:28Z,SKW3515,"32.11916,-110.939156",0,7,315
1762183116,2025-11-03T15:18:36Z,SKW3515,"32.119343,-110.939392",0,9,317
1762183123,2025-11-03T15:18:43Z,SKW3515,"32.119526,-110.939613",0,7,317
1762183134,2025-11-03T15:18:54Z,SKW3515,"32.119728,-110.939842",0,2,317
1762183908,2025-11-03T15:31:48Z,SKW3515,"32.119938,-110.940063",0,8,317
1762183915,2025-11-03T15:31:55Z,SKW3515,"32.120182,-110.940361",0,10,317
1762183920,2025-11-03T15:32:00Z,SKW3515,"32.120289,-110.940582",0,10,295
1762183925,2025-11-03T15:32:05Z,SKW3515,"32.12027,-110.940865",0,11,255
1762183930,2025-11-03T15:32:10Z,SKW3515,"32.120102,-110.941132",0,11,233
1762183935,2025-11-03T15:32:15Z,SKW3515,"32.120045,-110.941429",0,12,272
1762183939,2025-11-03T15:32:19Z,SKW3515,"32.120148,-110.941666",0,12,306
1762183944,2025-11-03T15:32:24Z,SKW3515,"32.120323,-110.941902",0,13,317
1762183948,2025-11-03T15:32:28Z,SKW3515,"32.120533,-110.942131",0,14,317
1762183952,2025-11-03T15:32:32Z,SKW3515,"32.120739,-110.942383",0,14,317
1762183956,2025-11-03T15:32:36Z,SKW3515,"32.120914,-110.942589",0,15,317
1762183964,2025-11-03T15:32:44Z,SKW3515,"32.121323,-110.943069",0,16,317
1762183971,2025-11-03T15:32:51Z,SKW3515,"32.121731,-110.943542",0,16,317
1762183978,2025-11-03T15:32:58Z,SKW3515,"32.122128,-110.944008",0,16,317
1762183985,2025-11-03T15:33:05Z,SKW3515,"32.122498,-110.94445",0,17,317
1762183993,2025-11-03T15:33:13Z,SKW3515,"32.122936,-110.944954",0,17,317
1762183999,2025-11-03T15:33:19Z,SKW3515,"32.123245,-110.94532",0,15,317
1762184007,2025-11-03T15:33:27Z,SKW3515,"32.123657,-110.945793",0,15,317
1762184013,2025-11-03T15:33:33Z,SKW3515,"32.123966,-110.946167",0,14,317
1762184020,2025-11-03T15:33:40Z,SKW3515,"32.124176,-110.946442",0,9,306
1762184025,2025-11-03T15:33:45Z,SKW3515,"32.124172,-110.946686",0,9,264
1762184031,2025-11-03T15:33:51Z,SKW3515,"32.124035,-110.946915",0,9,230
1762184148,2025-11-03T15:35:48Z,SKW3515,"32.123825,-110.947174",0,6,227
1762184156,2025-11-03T15:35:56Z,SKW3515,"32.123638,-110.947395",0,8,227
1762184163,2025-11-03T15:36:03Z,SKW3515,"32.123463,-110.947601",0,8,227
1762184171,2025-11-03T15:36:11Z,SKW3515,"32.123245,-110.947746",0,6,191
1762184200,2025-11-03T15:36:40Z,SKW3515,"32.123024,-110.94751",0,11,137
1762184203,2025-11-03T15:36:43Z,SKW3515,"32.122787,-110.94722",0,25,137
1762184206,2025-11-03T15:36:46Z,SKW3515,"32.122547,-110.946945",0,36,137
1762184213,2025-11-03T15:36:53Z,SKW3515,"32.121056,-110.945198",0,76,137
