Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762097713,2025-11-02T15:35:13Z,SKW6315,"32.888226,-97.034584",0,0,106
1762097846,2025-11-02T15:37:26Z,SKW6315,"32.888294,-97.034882",0,4,101
1762097858,2025-11-02T15:37:38Z,SKW6315,"32.888329,-97.035126",0,4,67
1762098010,2025-11-02T15:40:10Z,SKW6315,"32.888546,-97.035095",0,8,25
1762098017,2025-11-02T15:40:17Z,SKW6315,"32.888832,-97.034958",0,10,22
1762098024,2025-11-02T15:40:24Z,SKW6315,"32.889175,-97.034782",0,11,22
1762098032,2025-11-02T15:40:32Z,SKW6315,"32.889519,-97.034599",0,11,25
1762098038,2025-11-02T15:40:38Z,SKW6315,"32.889725,-97.034363",0,10,50
1762098043,2025-11-02T15:40:43Z,SKW6315,"32.889782,-97.034134",0,8,75
1762098051,2025-11-02T15:40:51Z,SKW6315,"32.889782,-97.033913",0,4,92
1762098058,2025-11-02T15:40:58Z,SKW6315,"32.889786,-97.033661",0,9,87
1762098063,2025-11-02T15:41:03Z,SKW6315,"32.889877,-97.033424",0,11,61
1762098069,2025-11-02T15:41:09Z,SKW6315,"32.890167,-97.033226",0,13,19
1762098074,2025-11-02T15:41:14Z,SKW6315,"32.890507,-97.033195",0,16,5
1762098077,2025-11-02T15:41:17Z,SKW6315,"32.890785,-97.033195",0,18,5
1762098081,2025-11-02T15:41:21Z,SKW6315,"32.891109,-97.033195",0,20,5
1762098083,2025-11-02T15:41:23Z,SKW6315,"32.891384,-97.033203",0,22,5
1762098085,2025-11-02T15:41:25Z,SKW6315,"32.891613,-97.033195",0,23,5
1762098088,2025-11-02T15:41:28Z,SKW6315,"32.891869,-97.033195",0,23,5
1762098095,2025-11-02T15:41:35Z,SKW6315,"32.892723,-97.033188",0,24,5
1762098102,2025-11-02T15:41:42Z,SKW6315,"32.893543,-97.03318",0,26,5
1762098110,2025-11-02T15:41:50Z,SKW6315,"32.894485,-97.03318",0,27,5
1762098118,2025-11-02T15:41:58Z,SKW6315,"32.895416,-97.03318",0,28,5
1762098125,2025-11-02T15:42:05Z,SKW6315,"32.896454,-97.033173",0,29,5
1762098132,2025-11-02T15:42:12Z,SKW6315,"32.897449,-97.033173",0,30,5
1762098140,2025-11-02T15:42:20Z,SKW6315,"32.898571,-97.033157",0,31,5
1762098147,2025-11-02T15:42:27Z,SKW6315,"32.899712,-97.033157",0,32,5
1762098154,2025-11-02T15:42:34Z,SKW6315,"32.900784,-97.033157",0,33,5
1762098161,2025-11-02T15:42:41Z,SKW6315,"32.901783,-97.033142",0,34,5
1762098168,2025-11-02T15:42:48Z,SKW6315,"32.902885,-97.033142",0,34,5
1762098175,2025-11-02T15:42:55Z,SKW6315,"32.904041,-97.033142",0,34,5
1762098183,2025-11-02T15:43:03Z,SKW6315,"32.905182,-97.033127",0,31,5
1762098189,2025-11-02T15:43:09Z,SKW6315,"32.906124,-97.033112",0,29,5
1762098196,2025-11-02T15:43:16Z,SKW6315,"32.907085,-97.033119",0,28,5
1762098206,2025-11-02T15:43:26Z,SKW6315,"32.908184,-97.033119",0,21,5
1762098212,2025-11-02T15:43:32Z,SKW6315,"32.908722,-97.033134",0,14,354
1762098218,2025-11-02T15:43:38Z,SKW6315,"32.908989,-97.03334",0,13,312
1762098222,2025-11-02T15:43:42Z,SKW6315,"32.909046,-97.033676",0,13,275
1762098225,2025-11-02T15:43:45Z,SKW6315,"32.909042,-97.033928",0,15,270
1762098229,2025-11-02T15:43:49Z,SKW6315,"32.909046,-97.034294",0,18,270
1762098232,2025-11-02T15:43:52Z,SKW6315,"32.909042,-97.034508",0,20,270
1762098233,2025-11-02T15:43:53Z,SKW6315,"32.909042,-97.034767",0,22,270
1762098236,2025-11-02T15:43:56Z,SKW6315,"32.909042,-97.035149",0,24,270
1762098237,2025-11-02T15:43:57Z,SKW6315,"32.909042,-97.035355",0,25,270
1762098240,2025-11-02T15:44:00Z,SKW6315,"32.909042,-97.035683",0,27,270
1762098243,2025-11-02T15:44:03Z,SKW6315,"32.909042,-97.036194",0,29,270
1762098244,2025-11-02T15:44:04Z,SKW6315,"32.909046,-97.036438",0,29,270
1762098248,2025-11-02T15:44:08Z,SKW6315,"32.909046,-97.037094",0,29,270
1762098259,2025-11-02T15:44:19Z,SKW6315,"32.90905,-97.038712",0,29,269
1762098265,2025-11-02T15:44:25Z,SKW6315,"32.909069,-97.039772",0,28,270
1762098272,2025-11-02T15:44:32Z,SKW6315,"32.909069,-97.04081",0,28,270
1762098280,2025-11-02T15:44:40Z,SKW6315,"32.909065,-97.042015",0,27,270
1762098289,2025-11-02T15:44:49Z,SKW6315,"32.909069,-97.043343",0,28,270
1762098296,2025-11-02T15:44:56Z,SKW6315,"32.909069,-97.044403",0,28,270
1762098302,2025-11-02T15:45:02Z,SKW6315,"32.9091,-97.045303",0,28,271
1762098303,2025-11-02T15:45:03Z,SKW6315,"32.9091,-97.045593",0,27,270
1762098306,2025-11-02T15:45:06Z,SKW6315,"32.909092,-97.045975",0,24,270
1762098308,2025-11-02T15:45:08Z,SKW6315,"32.909092,-97.046188",0,23,270
1762098313,2025-11-02T15:45:13Z,SKW6315,"32.909092,-97.046677",0,19,270
1762098315,2025-11-02T15:45:15Z,SKW6315,"32.9091,-97.046974",0,17,275
1762098318,2025-11-02T15:45:18Z,SKW6315,"32.909157,-97.04718",0,16,289
1762098322,2025-11-02T15:45:22Z,SKW6315,"32.909382,-97.047478",0,15,320
1762098326,2025-11-02T15:45:26Z,SKW6315,"32.909615,-97.047615",0,15,337
1762098330,2025-11-02T15:45:30Z,SKW6315,"32.909908,-97.047714",0,15,343
1762098335,2025-11-02T15:45:35Z,SKW6315,"32.910267,-97.047836",0,16,343
1762098339,2025-11-02T15:45:39Z,SKW6315,"32.910553,-97.04792",0,17,351
1762098341,2025-11-02T15:45:41Z,SKW6315,"32.910793,-97.047935",0,18,357
1762098344,2025-11-02T15:45:44Z,SKW6315,"32.911011,-97.047935",0,19,357
1762098346,2025-11-02T15:45:46Z,SKW6315,"32.911217,-97.047935",0,19,357
1762098350,2025-11-02T15:45:50Z,SKW6315,"32.911594,-97.047935",0,20,357
1762098353,2025-11-02T15:45:53Z,SKW6315,"32.911823,-97.047935",0,20,357
1762098355,2025-11-02T15:45:55Z,SKW6315,"32.912071,-97.047943",0,21,357
1762098357,2025-11-02T15:45:57Z,SKW6315,"32.912315,-97.047943",0,21,357
1762098364,2025-11-02T15:46:04Z,SKW6315,"32.912968,-97.047935",0,21,357
1762098371,2025-11-02T15:46:11Z,SKW6315,"32.913422,-97.047928",0,18,357
1762098378,2025-11-02T15:46:18Z,SKW6315,"32.914101,-97.04792",0,13,357
1762098387,2025-11-02T15:46:27Z,SKW6315,"32.914604,-97.047951",0,11,351
1762098393,2025-11-02T15:46:33Z,SKW6315,"32.914833,-97.048126",0,12,317
1762098396,2025-11-02T15:46:36Z,SKW6315,"32.914909,-97.048363",0,12,289
1762098400,2025-11-02T15:46:40Z,SKW6315,"32.914936,-97.048615",0,12,272
1762098405,2025-11-02T15:46:45Z,SKW6315,"32.914936,-97.048935",0,12,270
