Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762176028,2025-11-03T13:20:28Z,AAL944,"39.87254,-75.248291",0,1,271
1762176078,2025-11-03T13:21:18Z,AAL944,"39.872589,-75.248756",0,1,293
1762176347,2025-11-03T13:25:47Z,AAL944,"39.872662,-75.249023",0,0,182
1762176504,2025-11-03T13:28:24Z,AAL944,"39.869701,-75.257843",0,0,158
1762176509,2025-11-03T13:28:29Z,AAL944,"39.869492,-75.257782",0,11,161
1762176513,2025-11-03T13:28:33Z,AAL944,"39.869251,-75.25769",0,12,163
1762176515,2025-11-03T13:28:35Z,AAL944,"39.869019,-75.257622",0,15,166
1762176519,2025-11-03T13:28:39Z,AAL944,"39.868729,-75.25753",0,15,166
1762176523,2025-11-03T13:28:43Z,AAL944,"39.868488,-75.257446",0,15,165
1762176526,2025-11-03T13:28:46Z,AAL944,"39.868252,-75.25737",0,16,166
1762176529,2025-11-03T13:28:49Z,AAL944,"39.86805,-75.257294",0,15,164
1762176532,2025-11-03T13:28:52Z,AAL944,"39.867821,-75.25721",0,16,165
1762176536,2025-11-03T13:28:56Z,AAL944,"39.867561,-75.257141",0,15,166
1762176541,2025-11-03T13:29:01Z,AAL944,"39.867279,-75.257042",0,13,165
1762176546,2025-11-03T13:29:06Z,AAL944,"39.867062,-75.25695",0,12,164
1762176550,2025-11-03T13:29:10Z,AAL944,"39.866829,-75.256882",0,12,165
1762176558,2025-11-03T13:29:18Z,AAL944,"39.866589,-75.256813",0,8,166
1762176565,2025-11-03T13:29:25Z,AAL944,"39.866341,-75.256721",0,7,163
1762176571,2025-11-03T13:29:31Z,AAL944,"39.866119,-75.25666",0,9,166
1762176577,2025-11-03T13:29:37Z,AAL944,"39.865879,-75.256477",0,10,153
1762176580,2025-11-03T13:29:40Z,AAL944,"39.865799,-75.256248",0,12,131
1762176583,2025-11-03T13:29:43Z,AAL944,"39.865799,-75.255951",0,13,98
1762176587,2025-11-03T13:29:47Z,AAL944,"39.865898,-75.255699",0,12,66
1762176590,2025-11-03T13:29:50Z,AAL944,"39.86591,-75.255493",0,12,74
1762176594,2025-11-03T13:29:54Z,AAL944,"39.865952,-75.255257",0,13,76
1762176596,2025-11-03T13:29:56Z,AAL944,"39.86602,-75.254982",0,15,75
1762176599,2025-11-03T13:29:59Z,AAL944,"39.866081,-75.254692",0,16,73
1762176601,2025-11-03T13:30:01Z,AAL944,"39.8661,-75.254471",0,17,78
1762176604,2025-11-03T13:30:04Z,AAL944,"39.866161,-75.25425",0,18,74
1762176608,2025-11-03T13:30:08Z,AAL944,"39.866249,-75.253822",0,19,75
1762176611,2025-11-03T13:30:11Z,AAL944,"39.866291,-75.253532",0,17,79
1762176613,2025-11-03T13:30:13Z,AAL944,"39.866348,-75.25325",0,16,76
1762176616,2025-11-03T13:30:16Z,AAL944,"39.866409,-75.253014",0,15,75
1762176620,2025-11-03T13:30:20Z,AAL944,"39.866451,-75.252739",0,15,75
1762176623,2025-11-03T13:30:23Z,AAL944,"39.86652,-75.252403",0,15,76
1762176627,2025-11-03T13:30:27Z,AAL944,"39.8666,-75.252052",0,15,75
1762176630,2025-11-03T13:30:30Z,AAL944,"39.866638,-75.251839",0,16,75
1762176633,2025-11-03T13:30:33Z,AAL944,"39.866711,-75.25145",0,17,76
1762176637,2025-11-03T13:30:37Z,AAL944,"39.866791,-75.251152",0,17,74
1762176639,2025-11-03T13:30:39Z,AAL944,"39.866829,-75.250931",0,18,73
1762176640,2025-11-03T13:30:40Z,AAL944,"39.866879,-75.25071",0,18,74
1762176642,2025-11-03T13:30:42Z,AAL944,"39.866901,-75.250481",0,19,77
1762176644,2025-11-03T13:30:44Z,AAL944,"39.86694,-75.250229",0,20,79
1762176647,2025-11-03T13:30:47Z,AAL944,"39.867031,-75.249893",0,20,74
1762176650,2025-11-03T13:30:50Z,AAL944,"39.867088,-75.24955",0,20,75
1762176653,2025-11-03T13:30:53Z,AAL944,"39.867161,-75.249222",0,19,75
1762176657,2025-11-03T13:30:57Z,AAL944,"39.867222,-75.24884",0,21,76
1762176659,2025-11-03T13:30:59Z,AAL944,"39.86726,-75.248611",0,20,77
1762176660,2025-11-03T13:31:00Z,AAL944,"39.867329,-75.248383",0,20,74
1762176663,2025-11-03T13:31:03Z,AAL944,"39.86739,-75.248009",0,21,76
1762176665,2025-11-03T13:31:05Z,AAL944,"39.867432,-75.247749",0,21,77
1762176668,2025-11-03T13:31:08Z,AAL944,"39.867489,-75.247498",0,22,75
1762176669,2025-11-03T13:31:09Z,AAL944,"39.867538,-75.247261",0,21,74
1762176671,2025-11-03T13:31:11Z,AAL944,"39.867592,-75.247009",0,21,75
1762176674,2025-11-03T13:31:14Z,AAL944,"39.867641,-75.24675",0,22,75
1762176675,2025-11-03T13:31:15Z,AAL944,"39.867699,-75.246498",0,21,74
1762176677,2025-11-03T13:31:17Z,AAL944,"39.867741,-75.246231",0,22,77
1762176679,2025-11-03T13:31:19Z,AAL944,"39.867802,-75.245987",0,22,74
1762176681,2025-11-03T13:31:21Z,AAL944,"39.867851,-75.245728",0,22,76
1762176684,2025-11-03T13:31:24Z,AAL944,"39.867901,-75.245438",0,23,75
1762176685,2025-11-03T13:31:25Z,AAL944,"39.86795,-75.245216",0,21,75
1762176688,2025-11-03T13:31:28Z,AAL944,"39.868,-75.24498",0,21,74
1762176689,2025-11-03T13:31:29Z,AAL944,"39.86805,-75.244698",0,22,75
1762176692,2025-11-03T13:31:32Z,AAL944,"39.868111,-75.244469",0,21,73
1762176693,2025-11-03T13:31:33Z,AAL944,"39.86816,-75.244209",0,22,75
1762176696,2025-11-03T13:31:36Z,AAL944,"39.86821,-75.243942",0,22,74
1762176698,2025-11-03T13:31:38Z,AAL944,"39.868259,-75.243683",0,22,76
1762176700,2025-11-03T13:31:40Z,AAL944,"39.868301,-75.243423",0,22,77
1762176702,2025-11-03T13:31:42Z,AAL944,"39.86837,-75.243156",0,22,74
1762176705,2025-11-03T13:31:45Z,AAL944,"39.868431,-75.242752",0,23,76
1762176706,2025-11-03T13:31:46Z,AAL944,"39.868488,-75.242477",0,23,76
1762176710,2025-11-03T13:31:50Z,AAL944,"39.868561,-75.242058",0,24,76
1762176711,2025-11-03T13:31:51Z,AAL944,"39.868629,-75.241798",0,23,74
1762176713,2025-11-03T13:31:53Z,AAL944,"39.868671,-75.24157",0,22,76
1762176716,2025-11-03T13:31:56Z,AAL944,"39.868752,-75.241211",0,21,73
1762176720,2025-11-03T13:32:00Z,AAL944,"39.86882,-75.240921",0,18,74
1762176722,2025-11-03T13:32:02Z,AAL944,"39.868858,-75.2407",0,18,74
1762176723,2025-11-03T13:32:03Z,AAL944,"39.868889,-75.240479",0,18,76
1762176727,2025-11-03T13:32:07Z,AAL944,"39.868969,-75.24012",0,16,76
1762176730,2025-11-03T13:32:10Z,AAL944,"39.869019,-75.239861",0,15,75
1762176733,2025-11-03T13:32:13Z,AAL944,"39.869061,-75.239616",0,14,77
1762176736,2025-11-03T13:32:16Z,AAL944,"39.86911,-75.23938",0,14,75
1762176739,2025-11-03T13:32:19Z,AAL944,"39.86916,-75.23909",0,15,76
1762176742,2025-11-03T13:32:22Z,AAL944,"39.869228,-75.238823",0,16,74
1762176745,2025-11-03T13:32:25Z,AAL944,"39.869289,-75.238548",0,15,73
1762176748,2025-11-03T13:32:28Z,AAL944,"39.86932,-75.238243",0,16,79
1762176751,2025-11-03T13:32:31Z,AAL944,"39.869389,-75.237938",0,17,75
1762176755,2025-11-03T13:32:35Z,AAL944,"39.869461,-75.237648",0,17,74
1762176757,2025-11-03T13:32:37Z,AAL944,"39.869499,-75.237419",0,14,75
1762176762,2025-11-03T13:32:42Z,AAL944,"39.869572,-75.237106",0,11,72
1762176766,2025-11-03T13:32:46Z,AAL944,"39.869621,-75.2369",0,10,74
1762176770,2025-11-03T13:32:50Z,AAL944,"39.869652,-75.236679",0,10,76
1762176774,2025-11-03T13:32:54Z,AAL944,"39.869709,-75.236443",0,10,73
1762176779,2025-11-03T13:32:59Z,AAL944,"39.869759,-75.236168",0,9,74
1762176784,2025-11-03T13:33:04Z,AAL944,"39.869801,-75.235939",0,8,76
1762176792,2025-11-03T13:33:12Z,AAL944,"39.869839,-75.23571",0,6,76
1762176804,2025-11-03T13:33:24Z,AAL944,"39.869888,-75.235451",0,4,178
1762176822,2025-11-03T13:33:42Z,AAL944,"39.869942,-75.235237",0,1,235
1762177193,2025-11-03T13:39:53Z,AAL944,"39.869968,-75.235031",0,5,89
1762177198,2025-11-03T13:39:58Z,AAL944,"39.870029,-75.234734",0,9,46
1762177203,2025-11-03T13:40:03Z,AAL944,"39.870041,-75.234467",0,8,77
1762177208,2025-11-03T13:40:08Z,AAL944,"39.86993,-75.234238",0,9,105
1762177214,2025-11-03T13:40:14Z,AAL944,"39.869659,-75.234131",0,10,153
1762177219,2025-11-03T13:40:19Z,AAL944,"39.86945,-75.234062",0,9,166
