Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762472035,2025-11-06T23:33:55Z,AAL9793,"32.908482,-97.059952",0,0,357
1762472330,2025-11-06T23:38:50Z,AAL9793,"32.908695,-97.059952",0,6,357
1762472338,2025-11-06T23:38:58Z,AAL9793,"32.908916,-97.059868",0,7,14
1762472344,2025-11-06T23:39:04Z,AAL9793,"32.909008,-97.059662",0,7,45
1762472350,2025-11-06T23:39:10Z,AAL9793,"32.909031,-97.059456",0,7,67
1762472355,2025-11-06T23:39:15Z,AAL9793,"32.909031,-97.059227",0,8,81
1762472361,2025-11-06T23:39:21Z,AAL9793,"32.909023,-97.059013",0,8,87
1762472366,2025-11-06T23:39:26Z,AAL9793,"32.909019,-97.058754",0,9,87
1762472371,2025-11-06T23:39:31Z,AAL9793,"32.909012,-97.058502",0,7,87
1762472379,2025-11-06T23:39:39Z,AAL9793,"32.909012,-97.05825",0,6,87
1762472385,2025-11-06T23:39:45Z,AAL9793,"32.909069,-97.058029",0,7,73
1762472393,2025-11-06T23:39:53Z,AAL9793,"32.909317,-97.057877",0,8,30
1762472399,2025-11-06T23:39:59Z,AAL9793,"32.90958,-97.057861",0,10,5
1762472404,2025-11-06T23:40:04Z,AAL9793,"32.90979,-97.057877",0,10,357
1762472409,2025-11-06T23:40:09Z,AAL9793,"32.91,-97.057831",0,9,8
1762472414,2025-11-06T23:40:14Z,AAL9793,"32.910141,-97.05761",0,8,42
1762472420,2025-11-06T23:40:20Z,AAL9793,"32.910175,-97.057373",0,7,67
1762472426,2025-11-06T23:40:26Z,AAL9793,"32.910175,-97.057137",0,8,81
1762472431,2025-11-06T23:40:31Z,AAL9793,"32.910175,-97.056915",0,8,87
1762472436,2025-11-06T23:40:36Z,AAL9793,"32.910164,-97.056709",0,7,87
1762472443,2025-11-06T23:40:43Z,AAL9793,"32.910164,-97.056503",0,5,87
1762472452,2025-11-06T23:40:52Z,AAL9793,"32.910164,-97.056282",0,3,87
1762472493,2025-11-06T23:41:33Z,AAL9793,"32.910172,-97.055992",0,7,90
1762472500,2025-11-06T23:41:40Z,AAL9793,"32.910164,-97.055367",0,19,87
1762472507,2025-11-06T23:41:47Z,AAL9793,"32.910152,-97.054482",0,21,87
1762472515,2025-11-06T23:41:55Z,AAL9793,"32.910152,-97.053581",0,16,87
1762472522,2025-11-06T23:42:02Z,AAL9793,"32.910152,-97.053009",0,14,87
1762472531,2025-11-06T23:42:11Z,AAL9793,"32.910141,-97.052292",0,15,87
1762472537,2025-11-06T23:42:17Z,AAL9793,"32.910141,-97.051674",0,16,87
1762472545,2025-11-06T23:42:25Z,AAL9793,"32.910141,-97.050888",0,18,87
1762472553,2025-11-06T23:42:33Z,AAL9793,"32.910141,-97.050102",0,19,87
1762472559,2025-11-06T23:42:39Z,AAL9793,"32.910141,-97.049484",0,16,87
1762472566,2025-11-06T23:42:46Z,AAL9793,"32.910141,-97.048843",0,15,87
1762472573,2025-11-06T23:42:53Z,AAL9793,"32.91013,-97.048225",0,17,87
1762472581,2025-11-06T23:43:01Z,AAL9793,"32.91013,-97.047531",0,19,87
1762472587,2025-11-06T23:43:07Z,AAL9793,"32.910118,-97.046822",0,22,87
1762472594,2025-11-06T23:43:14Z,AAL9793,"32.91013,-97.045883",0,20,87
1762472602,2025-11-06T23:43:22Z,AAL9793,"32.910118,-97.045036",0,21,87
1762472609,2025-11-06T23:43:29Z,AAL9793,"32.910118,-97.044212",0,20,87
1762472617,2025-11-06T23:43:37Z,AAL9793,"32.910107,-97.043663",0,20,87
1762472625,2025-11-06T23:43:45Z,AAL9793,"32.910107,-97.042412",0,18,87
1762472632,2025-11-06T23:43:52Z,AAL9793,"32.910103,-97.041771",0,16,87
1762472639,2025-11-06T23:43:59Z,AAL9793,"32.910103,-97.0411",0,15,87
1762472646,2025-11-06T23:44:06Z,AAL9793,"32.910103,-97.040596",0,14,87
1762472653,2025-11-06T23:44:13Z,AAL9793,"32.910095,-97.040001",0,15,87
1762472661,2025-11-06T23:44:21Z,AAL9793,"32.910103,-97.039436",0,16,87
1762472667,2025-11-06T23:44:27Z,AAL9793,"32.910091,-97.038773",0,15,87
1762472675,2025-11-06T23:44:35Z,AAL9793,"32.910091,-97.038216",0,13,87
1762472682,2025-11-06T23:44:42Z,AAL9793,"32.910095,-97.03772",0,12,87
1762472690,2025-11-06T23:44:50Z,AAL9793,"32.910091,-97.037125",0,14,87
1762472697,2025-11-06T23:44:57Z,AAL9793,"32.910091,-97.036606",0,14,87
1762472705,2025-11-06T23:45:05Z,AAL9793,"32.91008,-97.036026",0,13,87
1762472713,2025-11-06T23:45:13Z,AAL9793,"32.91008,-97.035507",0,11,87
1762472720,2025-11-06T23:45:20Z,AAL9793,"32.91008,-97.035156",0,9,87
1762472727,2025-11-06T23:45:27Z,AAL9793,"32.91008,-97.034851",0,7,87
1762472735,2025-11-06T23:45:35Z,AAL9793,"32.91008,-97.03463",0,3,87
1762472790,2025-11-06T23:46:30Z,AAL9793,"32.91008,-97.034393",0,4,89
1762472797,2025-11-06T23:46:37Z,AAL9793,"32.910072,-97.034134",0,8,87
1762472804,2025-11-06T23:46:44Z,AAL9793,"32.910084,-97.033737",0,11,87
1762472812,2025-11-06T23:46:52Z,AAL9793,"32.910072,-97.033119",0,13,87
1762472820,2025-11-06T23:47:00Z,AAL9793,"32.910069,-97.032593",0,12,87
1762472827,2025-11-06T23:47:07Z,AAL9793,"32.910069,-97.03215",0,10,87
1762472834,2025-11-06T23:47:14Z,AAL9793,"32.910069,-97.031822",0,7,87
1762472842,2025-11-06T23:47:22Z,AAL9793,"32.910057,-97.03157",0,4,87
1762472860,2025-11-06T23:47:40Z,AAL9793,"32.910057,-97.031364",0,1,87
1762472927,2025-11-06T23:48:47Z,AAL9793,"32.910061,-97.031029",0,10,90
1762472933,2025-11-06T23:48:53Z,AAL9793,"32.910061,-97.030525",0,18,87
1762472943,2025-11-06T23:49:03Z,AAL9793,"32.910061,-97.029518",0,19,89
1762472949,2025-11-06T23:49:09Z,AAL9793,"32.910046,-97.029022",0,14,87
1762472956,2025-11-06T23:49:16Z,AAL9793,"32.910049,-97.028488",0,11,87
1762472962,2025-11-06T23:49:22Z,AAL9793,"32.910057,-97.028198",0,6,84
1762472971,2025-11-06T23:49:31Z,AAL9793,"32.910233,-97.027992",0,8,45
1762472976,2025-11-06T23:49:36Z,AAL9793,"32.91045,-97.027954",0,9,16
1762472982,2025-11-06T23:49:42Z,AAL9793,"32.910736,-97.027954",0,11,357
1762472986,2025-11-06T23:49:46Z,AAL9793,"32.910954,-97.027954",0,12,357
1762472992,2025-11-06T23:49:52Z,AAL9793,"32.911228,-97.027969",0,10,357
1762472998,2025-11-06T23:49:58Z,AAL9793,"32.911537,-97.027954",0,11,357
1762473006,2025-11-06T23:50:06Z,AAL9793,"32.911949,-97.027954",0,11,357
1762473013,2025-11-06T23:50:13Z,AAL9793,"32.912247,-97.027954",0,10,357
1762473020,2025-11-06T23:50:20Z,AAL9793,"32.912556,-97.027954",0,7,357
1762473028,2025-11-06T23:50:28Z,AAL9793,"32.912769,-97.027954",0,6,357
1762473041,2025-11-06T23:50:41Z,AAL9793,"32.913082,-97.027946",0,6,357
1762473746,2025-11-07T00:02:26Z,AAL9793,"32.913288,-97.027946",0,2,358
1762473759,2025-11-07T00:02:39Z,AAL9793,"32.91349,-97.027946",0,5,357
1762473773,2025-11-07T00:02:53Z,AAL9793,"32.913757,-97.027939",0,4,357
1762473789,2025-11-07T00:03:09Z,AAL9793,"32.914074,-97.027946",0,4,357
1762473803,2025-11-07T00:03:23Z,AAL9793,"32.914284,-97.027946",0,2,357
1762473832,2025-11-07T00:03:52Z,AAL9793,"32.91449,-97.027946",0,2,355
1762473847,2025-11-07T00:04:07Z,AAL9793,"32.914742,-97.027946",0,5,359
1762473858,2025-11-07T00:04:18Z,AAL9793,"32.914909,-97.028236",0,6,295
1762473863,2025-11-07T00:04:23Z,AAL9793,"32.91489,-97.02845",0,7,272
1762473882,2025-11-07T00:04:42Z,AAL9793,"32.914841,-97.028671",0,1,248
1762473889,2025-11-07T00:04:49Z,AAL9793,"32.914841,-97.028938",0,7,268
1762473894,2025-11-07T00:04:54Z,AAL9793,"32.914841,-97.02916",0,9,269
1762473901,2025-11-07T00:05:01Z,AAL9793,"32.914841,-97.029549",0,9,270
1762473907,2025-11-07T00:05:07Z,AAL9793,"32.914761,-97.029808",0,8,254
1762473915,2025-11-07T00:05:15Z,AAL9793,"32.914551,-97.02993",0,7,216
1762473945,2025-11-07T00:05:45Z,AAL9793,"32.914341,-97.029877",0,4,182
1762473953,2025-11-07T00:05:53Z,AAL9793,"32.913677,-97.029892",0,32,177
1762473957,2025-11-07T00:05:57Z,AAL9793,"32.912945,-97.029907",0,52,177
1762473961,2025-11-07T00:06:01Z,AAL9793,"32.911957,-97.029907",0,0,177
1762473962,2025-11-07T00:06:02Z,AAL9793,"32.911617,-97.029907",0,70,177
1762473965,2025-11-07T00:06:05Z,AAL9793,"32.911297,-97.029907",0,74,177
1762473967,2025-11-07T00:06:07Z,AAL9793,"32.9095,-97.029907",650,88,180
1762473969,2025-11-07T00:06:09Z,AAL9793,"32.908401,-97.02993",650,88,180
1762473972,2025-11-07T00:06:12Z,AAL9793,"32.90744,-97.02993",650,112,180
1762473975,2025-11-07T00:06:15Z,AAL9793,"32.905334,-97.02993",650,112,180
1762473977,2025-11-07T00:06:17Z,AAL9793,"32.904194,-97.029907",650,131,180
1762473980,2025-11-07T00:06:20Z,AAL9793,"32.902222,-97.02993",650,141,180
1762473988,2025-11-07T00:06:28Z,AAL9793,"32.896362,-97.029984",750,158,180
1762473996,2025-11-07T00:06:36Z,AAL9793,"32.89032,-97.030014",1100,154,180
1762474005,2025-11-07T00:06:45Z,AAL9793,"32.884686,-97.030014",1475,152,179
1762474013,2025-11-07T00:06:53Z,AAL9793,"32.878876,-97.029984",1875,150,179
1762474019,2025-11-07T00:06:59Z,AAL9793,"32.874725,-97.029961",2150,152,179
1762474027,2025-11-07T00:07:07Z,AAL9793,"32.868713,-97.02977",2475,159,177
1762474031,2025-11-07T00:07:11Z,AAL9793,"32.865692,-97.029495",2600,164,175
1762474033,2025-11-07T00:07:13Z,AAL9793,"32.864204,-97.029343",2675,166,174
1762474035,2025-11-07T00:07:15Z,AAL9793,"32.862717,-97.02916",2725,169,173
1762474037,2025-11-07T00:07:17Z,AAL9793,"32.86084,-97.028831",2825,173,171
1762474039,2025-11-07T00:07:19Z,AAL9793,"32.859238,-97.028557",2875,176,170
1762474041,2025-11-07T00:07:21Z,AAL9793,"32.857502,-97.028168",2950,180,168
1762474043,2025-11-07T00:07:23Z,AAL9793,"32.855759,-97.027733",3000,183,167
1762474046,2025-11-07T00:07:26Z,AAL9793,"32.854065,-97.027237",3050,187,165
1762474048,2025-11-07T00:07:28Z,AAL9793,"32.852287,-97.026657",3100,191,163
1762474050,2025-11-07T00:07:30Z,AAL9793,"32.850494,-97.025978",3150,194,161
1762474052,2025-11-07T00:07:32Z,AAL9793,"32.848843,-97.025253",3225,197,160
1762474054,2025-11-07T00:07:34Z,AAL9793,"32.847198,-97.024551",3275,201,159
1762474056,2025-11-07T00:07:36Z,AAL9793,"32.845352,-97.023682",3375,203,158
1762474058,2025-11-07T00:07:38Z,AAL9793,"32.843208,-97.022675",3475,206,158
1762474060,2025-11-07T00:07:40Z,AAL9793,"32.841522,-97.021912",3550,209,158
1762474062,2025-11-07T00:07:42Z,AAL9793,"32.839691,-97.021034",3625,211,158
1762474064,2025-11-07T00:07:44Z,AAL9793,"32.837578,-97.020042",3700,215,158
1762474066,2025-11-07T00:07:46Z,AAL9793,"32.8358,-97.019218",3775,216,158
1762474068,2025-11-07T00:07:48Z,AAL9793,"32.833805,-97.018303",3875,220,158
1762474070,2025-11-07T00:07:50Z,AAL9793,"32.831772,-97.017349",3975,222,158
1762474072,2025-11-07T00:07:52Z,AAL9793,"32.829941,-97.01651",4050,223,158
