Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762244185,2025-11-04T08:16:25Z,AAL999,"33.939781,-118.407379",0,0,70
1762244244,2025-11-04T08:17:24Z,AAL999,"33.939419,-118.408272",0,0,70
1762244252,2025-11-04T08:17:32Z,AAL999,"33.939777,-118.407379",0,0,70
1762244259,2025-11-04T08:17:39Z,AAL999,"33.939423,-118.407944",0,1,70
1762244266,2025-11-04T08:17:46Z,AAL999,"33.93977,-118.407372",0,1,70
1762244301,2025-11-04T08:18:21Z,AAL999,"33.939419,-118.408272",0,0,70
1762244302,2025-11-04T08:18:22Z,AAL999,"33.939442,-118.408012",0,24,83
1762244305,2025-11-04T08:18:25Z,AAL999,"33.93977,-118.407341",0,3,70
1762244349,2025-11-04T08:19:09Z,AAL999,"33.939423,-118.408249",0,0,70
1762244355,2025-11-04T08:19:15Z,AAL999,"33.939766,-118.407295",0,4,70
1762244624,2025-11-04T08:23:44Z,AAL999,"33.939468,-118.408287",0,0,70
1762244630,2025-11-04T08:23:50Z,AAL999,"33.939777,-118.407349",0,1,70
1762245650,2025-11-04T08:40:50Z,AAL999,"33.939732,-118.407578",0,3,64
1762245669,2025-11-04T08:41:09Z,AAL999,"33.93964,-118.407784",0,2,33
1762245689,2025-11-04T08:41:29Z,AAL999,"33.939434,-118.407944",0,3,22
1762245707,2025-11-04T08:41:47Z,AAL999,"33.939213,-118.408058",0,3,16
1762245725,2025-11-04T08:42:05Z,AAL999,"33.939011,-118.408134",0,3,33
1762245747,2025-11-04T08:42:27Z,AAL999,"33.938805,-118.408272",0,0,64
1762245764,2025-11-04T08:42:44Z,AAL999,"33.938747,-118.408485",0,3,87
1762245785,2025-11-04T08:43:05Z,AAL999,"33.938725,-118.408699",0,1,84
1762245969,2025-11-04T08:46:09Z,AAL999,"33.938759,-118.40847",0,3,84
1762245986,2025-11-04T08:46:26Z,AAL999,"33.938782,-118.408241",0,2,84
1762246005,2025-11-04T08:46:45Z,AAL999,"33.938793,-118.408028",0,2,84
1762246020,2025-11-04T08:47:00Z,AAL999,"33.938805,-118.407814",0,2,92
1762246030,2025-11-04T08:47:10Z,AAL999,"33.938698,-118.407585",0,7,123
1762246036,2025-11-04T08:47:16Z,AAL999,"33.938496,-118.40741",0,9,149
1762246042,2025-11-04T08:47:22Z,AAL999,"33.938282,-118.407272",0,8,149
1762246049,2025-11-04T08:47:29Z,AAL999,"33.938129,-118.407013",0,9,118
1762246053,2025-11-04T08:47:33Z,AAL999,"33.938107,-118.406776",0,10,95
1762246058,2025-11-04T08:47:38Z,AAL999,"33.938118,-118.40654",0,10,84
1762246063,2025-11-04T08:47:43Z,AAL999,"33.938152,-118.406281",0,10,81
1762246066,2025-11-04T08:47:46Z,AAL999,"33.938164,-118.406075",0,10,81
1762246071,2025-11-04T08:47:51Z,AAL999,"33.938198,-118.405792",0,10,81
1762246076,2025-11-04T08:47:56Z,AAL999,"33.938232,-118.405495",0,11,84
1762246080,2025-11-04T08:48:00Z,AAL999,"33.938259,-118.405266",0,11,84
1762246087,2025-11-04T08:48:07Z,AAL999,"33.938305,-118.404793",0,12,81
1762246091,2025-11-04T08:48:11Z,AAL999,"33.938324,-118.404549",0,12,81
1762246095,2025-11-04T08:48:15Z,AAL999,"33.938358,-118.404312",0,13,81
1762246098,2025-11-04T08:48:18Z,AAL999,"33.938374,-118.404076",0,13,84
1762246101,2025-11-04T08:48:21Z,AAL999,"33.938404,-118.403847",0,13,81
1762246103,2025-11-04T08:48:23Z,AAL999,"33.938416,-118.403641",0,14,81
1762246107,2025-11-04T08:48:27Z,AAL999,"33.938442,-118.403381",0,14,81
1762246110,2025-11-04T08:48:30Z,AAL999,"33.938477,-118.403091",0,14,81
1762246114,2025-11-04T08:48:34Z,AAL999,"33.938503,-118.402863",0,15,84
1762246116,2025-11-04T08:48:36Z,AAL999,"33.938519,-118.402641",0,15,81
1762246119,2025-11-04T08:48:39Z,AAL999,"33.938538,-118.402435",0,15,81
1762246121,2025-11-04T08:48:41Z,AAL999,"33.938564,-118.402206",0,15,81
1762246125,2025-11-04T08:48:45Z,AAL999,"33.938606,-118.401863",0,15,81
1762246127,2025-11-04T08:48:47Z,AAL999,"33.938633,-118.401649",0,15,81
1762246130,2025-11-04T08:48:50Z,AAL999,"33.938652,-118.401405",0,16,81
1762246133,2025-11-04T08:48:53Z,AAL999,"33.938679,-118.401146",0,16,84
1762246140,2025-11-04T08:49:00Z,AAL999,"33.938747,-118.400513",0,17,84
1762246148,2025-11-04T08:49:08Z,AAL999,"33.938816,-118.399811",0,18,84
1762246155,2025-11-04T08:49:15Z,AAL999,"33.938896,-118.398987",0,18,84
1762246163,2025-11-04T08:49:23Z,AAL999,"33.93898,-118.398224",0,18,84
1762246170,2025-11-04T08:49:30Z,AAL999,"33.939049,-118.397537",0,17,81
1762246179,2025-11-04T08:49:39Z,AAL999,"33.939125,-118.396828",0,17,81
1762246184,2025-11-04T08:49:44Z,AAL999,"33.939178,-118.396255",0,17,84
1762246185,2025-11-04T08:49:45Z,AAL999,"33.939201,-118.395996",0,17,81
1762246189,2025-11-04T08:49:49Z,AAL999,"33.939224,-118.395607",0,17,84
1762246193,2025-11-04T08:49:53Z,AAL999,"33.939285,-118.395233",0,17,84
1762246198,2025-11-04T08:49:58Z,AAL999,"33.939327,-118.394791",0,17,84
1762246200,2025-11-04T08:50:00Z,AAL999,"33.939339,-118.394577",0,17,84
1762246203,2025-11-04T08:50:03Z,AAL999,"33.939373,-118.394333",0,18,81
1762246205,2025-11-04T08:50:05Z,AAL999,"33.9394,-118.394112",0,18,81
1762246207,2025-11-04T08:50:07Z,AAL999,"33.939423,-118.393852",0,18,81
1762246210,2025-11-04T08:50:10Z,AAL999,"33.939445,-118.393578",0,18,81
1762246214,2025-11-04T08:50:14Z,AAL999,"33.939491,-118.393196",0,19,81
1762246216,2025-11-04T08:50:16Z,AAL999,"33.939514,-118.392937",0,19,84
1762246219,2025-11-04T08:50:19Z,AAL999,"33.939548,-118.392632",0,19,84
1762246221,2025-11-04T08:50:21Z,AAL999,"33.939571,-118.392403",0,19,84
1762246223,2025-11-04T08:50:23Z,AAL999,"33.939594,-118.392136",0,19,81
1762246225,2025-11-04T08:50:25Z,AAL999,"33.939617,-118.391907",0,19,84
1762246232,2025-11-04T08:50:32Z,AAL999,"33.939697,-118.391167",0,19,81
1762246234,2025-11-04T08:50:34Z,AAL999,"33.939709,-118.390953",0,19,81
1762246237,2025-11-04T08:50:37Z,AAL999,"33.939743,-118.390701",0,18,81
1762246239,2025-11-04T08:50:39Z,AAL999,"33.93977,-118.390472",0,18,81
1762246242,2025-11-04T08:50:42Z,AAL999,"33.939789,-118.390266",0,18,81
1762246244,2025-11-04T08:50:44Z,AAL999,"33.939816,-118.389977",0,18,81
1762246246,2025-11-04T08:50:46Z,AAL999,"33.939846,-118.38974",0,18,84
1762246248,2025-11-04T08:50:48Z,AAL999,"33.939865,-118.389503",0,18,84
1762246252,2025-11-04T08:50:52Z,AAL999,"33.939899,-118.389244",0,18,81
1762246255,2025-11-04T08:50:55Z,AAL999,"33.939938,-118.388771",0,18,84
1762246258,2025-11-04T08:50:58Z,AAL999,"33.939972,-118.388489",0,18,81
1762246261,2025-11-04T08:51:01Z,AAL999,"33.940002,-118.388214",0,18,81
1762246264,2025-11-04T08:51:04Z,AAL999,"33.940041,-118.387856",0,18,81
1762246268,2025-11-04T08:51:08Z,AAL999,"33.940075,-118.387497",0,18,81
1762246270,2025-11-04T08:51:10Z,AAL999,"33.940098,-118.387283",0,18,81
1762246273,2025-11-04T08:51:13Z,AAL999,"33.940132,-118.387001",0,18,81
1762246276,2025-11-04T08:51:16Z,AAL999,"33.940166,-118.386627",0,18,84
1762246283,2025-11-04T08:51:23Z,AAL999,"33.940235,-118.385971",0,18,84
1762246287,2025-11-04T08:51:27Z,AAL999,"33.940281,-118.385513",0,17,81
1762246290,2025-11-04T08:51:30Z,AAL999,"33.940304,-118.385284",0,17,84
1762246292,2025-11-04T08:51:32Z,AAL999,"33.940319,-118.385078",0,17,84
1762246295,2025-11-04T08:51:35Z,AAL999,"33.940353,-118.384796",0,17,81
1762246297,2025-11-04T08:51:37Z,AAL999,"33.940376,-118.384552",0,17,81
1762246300,2025-11-04T08:51:40Z,AAL999,"33.940407,-118.384247",0,17,84
1762246303,2025-11-04T08:51:43Z,AAL999,"33.940434,-118.383995",0,17,84
1762246306,2025-11-04T08:51:46Z,AAL999,"33.940453,-118.383751",0,17,84
1762246309,2025-11-04T08:51:49Z,AAL999,"33.940498,-118.3834",0,17,81
1762246312,2025-11-04T08:51:52Z,AAL999,"33.940514,-118.383163",0,17,84
1762246315,2025-11-04T08:51:55Z,AAL999,"33.940556,-118.382813",0,17,81
1762246317,2025-11-04T08:51:57Z,AAL999,"33.940578,-118.382607",0,17,81
1762246321,2025-11-04T08:52:01Z,AAL999,"33.940609,-118.382294",0,17,81
1762246324,2025-11-04T08:52:04Z,AAL999,"33.940632,-118.381973",0,17,84
1762246327,2025-11-04T08:52:07Z,AAL999,"33.940659,-118.381737",0,17,81
1762246329,2025-11-04T08:52:09Z,AAL999,"33.940689,-118.381477",0,17,84
1762246331,2025-11-04T08:52:11Z,AAL999,"33.940712,-118.381264",0,15,84
1762246334,2025-11-04T08:52:14Z,AAL999,"33.940727,-118.381035",0,14,81
1762246338,2025-11-04T08:52:18Z,AAL999,"33.940758,-118.380806",0,11,81
1762246341,2025-11-04T08:52:21Z,AAL999,"33.940784,-118.380585",0,11,81
1762246345,2025-11-04T08:52:25Z,AAL999,"33.940784,-118.380348",0,10,92
1762246350,2025-11-04T08:52:30Z,AAL999,"33.940643,-118.380104",0,11,129
1762246355,2025-11-04T08:52:35Z,AAL999,"33.940418,-118.380013",0,11,163
1762246360,2025-11-04T08:52:40Z,AAL999,"33.940178,-118.379967",0,11,174
1762246367,2025-11-04T08:52:47Z,AAL999,"33.939903,-118.380066",0,9,210
1762246373,2025-11-04T08:52:53Z,AAL999,"33.93985,-118.380302",0,7,255
1762246380,2025-11-04T08:53:00Z,AAL999,"33.939823,-118.380547",0,7,264
1762246385,2025-11-04T08:53:05Z,AAL999,"33.9398,-118.380783",0,9,261
1762246389,2025-11-04T08:53:09Z,AAL999,"33.939777,-118.381004",0,13,261
1762246391,2025-11-04T08:53:11Z,AAL999,"33.939743,-118.381302",0,23,264
1762246393,2025-11-04T08:53:13Z,AAL999,"33.939724,-118.381561",0,32,261
1762246395,2025-11-04T08:53:15Z,AAL999,"33.939655,-118.382179",0,41,261
1762246397,2025-11-04T08:53:17Z,AAL999,"33.939617,-118.382446",0,45,261
1762246398,2025-11-04T08:53:18Z,AAL999,"33.939571,-118.382896",0,54,264
1762246399,2025-11-04T08:53:19Z,AAL999,"33.939537,-118.38324",0,58,264
1762246400,2025-11-04T08:53:20Z,AAL999,"33.939503,-118.383614",0,62,264
1762246402,2025-11-04T08:53:22Z,AAL999,"33.939445,-118.384186",0,70,264
1762246403,2025-11-04T08:53:23Z,AAL999,"33.939411,-118.384583",0,74,264
