Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762417040,2025-11-06T08:17:20Z,ACA35,"49.195599,-123.180206",0,0,137
1762417158,2025-11-06T08:19:18Z,ACA35,"49.195869,-123.180412",0,4,143
1762417174,2025-11-06T08:19:34Z,ACA35,"49.196136,-123.180573",0,4,149
1762417186,2025-11-06T08:19:46Z,ACA35,"49.196342,-123.180679",0,4,149
1762417197,2025-11-06T08:19:57Z,ACA35,"49.196548,-123.180733",0,4,146
1762417211,2025-11-06T08:20:11Z,ACA35,"49.196789,-123.180809",0,3,118
1762417225,2025-11-06T08:20:25Z,ACA35,"49.196964,-123.181023",0,3,92
1762417240,2025-11-06T08:20:40Z,ACA35,"49.197079,-123.181313",0,3,47
1762417250,2025-11-06T08:20:50Z,ACA35,"49.197063,-123.181549",0,4,19
1762417260,2025-11-06T08:21:00Z,ACA35,"49.196972,-123.181755",0,3,351
1762417275,2025-11-06T08:21:15Z,ACA35,"49.196754,-123.181862",0,3,306
1762417295,2025-11-06T08:21:35Z,ACA35,"49.196548,-123.181686",0,2,264
1762417311,2025-11-06T08:21:51Z,ACA35,"49.196533,-123.181473",0,1,264
1762417337,2025-11-06T08:22:17Z,ACA35,"49.196568,-123.181709",0,3,267
1762417347,2025-11-06T08:22:27Z,ACA35,"49.196629,-123.181915",0,4,272
1762417354,2025-11-06T08:22:34Z,ACA35,"49.196697,-123.182129",0,4,278
1762417362,2025-11-06T08:22:42Z,ACA35,"49.196754,-123.182343",0,4,275
1762417369,2025-11-06T08:22:49Z,ACA35,"49.196789,-123.182564",0,4,270
1762417377,2025-11-06T08:22:57Z,ACA35,"49.196823,-123.182793",0,4,267
1762417387,2025-11-06T08:23:07Z,ACA35,"49.196846,-123.183029",0,2,264
1762417603,2025-11-06T08:26:43Z,ACA35,"49.19688,-123.183243",0,3,264
1762417611,2025-11-06T08:26:51Z,ACA35,"49.196907,-123.183464",0,5,264
1762417617,2025-11-06T08:26:57Z,ACA35,"49.19693,-123.183701",0,6,264
1762417625,2025-11-06T08:27:05Z,ACA35,"49.196976,-123.184135",0,8,264
1762417638,2025-11-06T08:27:18Z,ACA35,"49.197063,-123.184944",0,9,261
1762417643,2025-11-06T08:27:23Z,ACA35,"49.197102,-123.185249",0,8,264
1762417649,2025-11-06T08:27:29Z,ACA35,"49.197155,-123.185539",0,8,267
1762417653,2025-11-06T08:27:33Z,ACA35,"49.197231,-123.18576",0,8,278
1762417657,2025-11-06T08:27:37Z,ACA35,"49.197315,-123.185982",0,9,284
1762417662,2025-11-06T08:27:42Z,ACA35,"49.197407,-123.186211",0,9,281
1762417665,2025-11-06T08:27:45Z,ACA35,"49.197441,-123.186424",0,9,275
1762417668,2025-11-06T08:27:48Z,ACA35,"49.197475,-123.186653",0,10,270
1762417672,2025-11-06T08:27:52Z,ACA35,"49.197498,-123.186859",0,10,267
1762417675,2025-11-06T08:27:55Z,ACA35,"49.197521,-123.18708",0,10,264
1762417677,2025-11-06T08:27:57Z,ACA35,"49.197544,-123.187286",0,10,264
1762417681,2025-11-06T08:28:01Z,ACA35,"49.197567,-123.187531",0,10,264
1762417684,2025-11-06T08:28:04Z,ACA35,"49.197601,-123.187759",0,10,264
1762417688,2025-11-06T08:28:08Z,ACA35,"49.197624,-123.187988",0,10,264
1762417695,2025-11-06T08:28:15Z,ACA35,"49.197685,-123.188484",0,10,264
1762417702,2025-11-06T08:28:22Z,ACA35,"49.197739,-123.188942",0,9,264
1762417709,2025-11-06T08:28:29Z,ACA35,"49.197796,-123.189453",0,10,264
1762417715,2025-11-06T08:28:35Z,ACA35,"49.197826,-123.189804",0,7,264
1762417720,2025-11-06T08:28:40Z,ACA35,"49.197861,-123.190025",0,7,264
1762417726,2025-11-06T08:28:46Z,ACA35,"49.197887,-123.190292",0,7,264
