Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762272800,2025-11-04T16:13:20Z,ACA517,"49.198536,-123.174789",0,0,154
1762272847,2025-11-04T16:14:07Z,ACA517,"49.198734,-123.174995",0,1,180
1762272930,2025-11-04T16:15:30Z,ACA517,"49.198956,-123.174973",0,0,219
1762272998,2025-11-04T16:16:38Z,ACA517,"49.199135,-123.174767",0,1,255
1762273343,2025-11-04T16:22:23Z,ACA517,"49.199127,-123.175026",0,4,258
1762273351,2025-11-04T16:22:31Z,ACA517,"49.199123,-123.175278",0,5,270
1762273363,2025-11-04T16:22:43Z,ACA517,"49.199162,-123.175713",0,5,278
1762273371,2025-11-04T16:22:51Z,ACA517,"49.199192,-123.176003",0,6,278
1762273379,2025-11-04T16:22:59Z,ACA517,"49.199223,-123.176239",0,6,278
1762273381,2025-11-04T16:23:01Z,ACA517,"49.199245,-123.176453",0,6,281
1762273387,2025-11-04T16:23:07Z,ACA517,"49.199268,-123.176666",0,6,278
1762273391,2025-11-04T16:23:11Z,ACA517,"49.199291,-123.176888",0,7,278
1762273398,2025-11-04T16:23:18Z,ACA517,"49.199337,-123.177246",0,7,281
1762273404,2025-11-04T16:23:24Z,ACA517,"49.199371,-123.177521",0,7,278
1762273408,2025-11-04T16:23:28Z,ACA517,"49.199387,-123.177742",0,7,278
1762273414,2025-11-04T16:23:34Z,ACA517,"49.199455,-123.17804",0,7,289
1762273420,2025-11-04T16:23:40Z,ACA517,"49.199558,-123.178268",0,6,312
1762273431,2025-11-04T16:23:51Z,ACA517,"49.19981,-123.178413",0,6,348
1762273436,2025-11-04T16:23:56Z,ACA517,"49.200027,-123.178391",0,7,5
1762273443,2025-11-04T16:24:03Z,ACA517,"49.200245,-123.178413",0,8,351
1762273451,2025-11-04T16:24:11Z,ACA517,"49.200466,-123.178673",0,8,309
1762273457,2025-11-04T16:24:17Z,ACA517,"49.200542,-123.178993",0,8,286
1762273462,2025-11-04T16:24:22Z,ACA517,"49.200588,-123.179329",0,9,281
1762273467,2025-11-04T16:24:27Z,ACA517,"49.200619,-123.179596",0,9,278
1762273471,2025-11-04T16:24:31Z,ACA517,"49.200645,-123.17984",0,10,278
1762273473,2025-11-04T16:24:33Z,ACA517,"49.200668,-123.180084",0,10,278
1762273478,2025-11-04T16:24:38Z,ACA517,"49.20071,-123.180374",0,11,278
1762273482,2025-11-04T16:24:42Z,ACA517,"49.200733,-123.180611",0,11,278
1762273489,2025-11-04T16:24:49Z,ACA517,"49.200806,-123.181244",0,11,278
1762273499,2025-11-04T16:24:59Z,ACA517,"49.200897,-123.182022",0,12,278
1762273505,2025-11-04T16:25:05Z,ACA517,"49.200954,-123.182556",0,12,278
1762273517,2025-11-04T16:25:17Z,ACA517,"49.20108,-123.183609",0,12,281
1762273524,2025-11-04T16:25:24Z,ACA517,"49.201126,-123.184082",0,10,278
1762273532,2025-11-04T16:25:32Z,ACA517,"49.201176,-123.184532",0,7,278
1762273539,2025-11-04T16:25:39Z,ACA517,"49.201221,-123.184959",0,7,278
1762273547,2025-11-04T16:25:47Z,ACA517,"49.20126,-123.185219",0,4,278
1762273557,2025-11-04T16:25:57Z,ACA517,"49.201283,-123.185432",0,3,278
1762273613,2025-11-04T16:26:53Z,ACA517,"49.201309,-123.185669",0,0,278
1762273624,2025-11-04T16:27:04Z,ACA517,"49.20134,-123.185921",0,5,281
1762273632,2025-11-04T16:27:12Z,ACA517,"49.201378,-123.186226",0,7,278
1762273636,2025-11-04T16:27:16Z,ACA517,"49.201401,-123.186455",0,7,281
1762273641,2025-11-04T16:27:21Z,ACA517,"49.201431,-123.186699",0,8,278
1762273646,2025-11-04T16:27:26Z,ACA517,"49.201454,-123.186951",0,8,278
1762273651,2025-11-04T16:27:31Z,ACA517,"49.201447,-123.18718",0,6,267
1762273656,2025-11-04T16:27:36Z,ACA517,"49.201401,-123.187393",0,5,250
1762273667,2025-11-04T16:27:47Z,ACA517,"49.201271,-123.187599",0,3,222
1762273685,2025-11-04T16:28:05Z,ACA517,"49.201038,-123.187729",0,5,196
1762273695,2025-11-04T16:28:15Z,ACA517,"49.200794,-123.187798",0,6,191
1762273703,2025-11-04T16:28:23Z,ACA517,"49.200588,-123.187866",0,6,188
1762273710,2025-11-04T16:28:30Z,ACA517,"49.200363,-123.187912",0,7,188
1762273718,2025-11-04T16:28:38Z,ACA517,"49.200108,-123.187981",0,8,188
1762273724,2025-11-04T16:28:44Z,ACA517,"49.199886,-123.188049",0,8,188
1762273731,2025-11-04T16:28:51Z,ACA517,"49.199627,-123.18811",0,8,188
