Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762135155,2025-11-03T01:59:15Z,ACA559,"33.941086,-118.402603",0,0,84
1762135191,2025-11-03T01:59:51Z,ACA559,"33.941071,-118.40287",0,0,75
1762135219,2025-11-03T02:00:19Z,ACA559,"33.941021,-118.403091",0,1,89
1762135623,2025-11-03T02:07:03Z,ACA559,"33.940796,-118.403221",0,6,174
1762135634,2025-11-03T02:07:14Z,ACA559,"33.940384,-118.403145",0,9,174
1762135642,2025-11-03T02:07:22Z,ACA559,"33.940029,-118.403107",0,11,174
1762135652,2025-11-03T02:07:32Z,ACA559,"33.939434,-118.402992",0,13,168
1762135662,2025-11-03T02:07:42Z,ACA559,"33.938919,-118.402908",0,11,174
1762135667,2025-11-03T02:07:47Z,ACA559,"33.938652,-118.402817",0,10,160
1762135673,2025-11-03T02:07:53Z,ACA559,"33.938541,-118.402557",0,10,104
1762135678,2025-11-03T02:07:58Z,ACA559,"33.93856,-118.402275",0,12,84
1762135681,2025-11-03T02:08:01Z,ACA559,"33.938583,-118.402031",0,13,81
1762135686,2025-11-03T02:08:06Z,ACA559,"33.938618,-118.401634",0,14,81
1762135690,2025-11-03T02:08:10Z,ACA559,"33.938656,-118.401367",0,15,84
1762135694,2025-11-03T02:08:14Z,ACA559,"33.938675,-118.401077",0,16,84
1762135697,2025-11-03T02:08:17Z,ACA559,"33.938709,-118.400734",0,17,84
1762135699,2025-11-03T02:08:19Z,ACA559,"33.938736,-118.400459",0,18,84
1762135705,2025-11-03T02:08:25Z,ACA559,"33.93877,-118.399963",0,18,84
1762135707,2025-11-03T02:08:27Z,ACA559,"33.938828,-118.399628",0,20,84
1762135714,2025-11-03T02:08:34Z,ACA559,"33.938896,-118.399017",0,21,84
1762135722,2025-11-03T02:08:42Z,ACA559,"33.939011,-118.397865",0,21,84
1762135729,2025-11-03T02:08:49Z,ACA559,"33.939072,-118.397186",0,16,84
1762135733,2025-11-03T02:08:53Z,ACA559,"33.939095,-118.396957",0,16,84
1762135737,2025-11-03T02:08:57Z,ACA559,"33.939159,-118.396423",0,17,84
1762135741,2025-11-03T02:09:01Z,ACA559,"33.939194,-118.396042",0,18,84
1762135743,2025-11-03T02:09:03Z,ACA559,"33.939217,-118.395836",0,18,84
1762135748,2025-11-03T02:09:08Z,ACA559,"33.93927,-118.395309",0,20,82
1762135751,2025-11-03T02:09:11Z,ACA559,"33.939293,-118.395065",0,19,84
