Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762254466,2025-11-04T11:07:46Z,JZA7743,"52.170376,-106.692734",0,0,168
1762254487,2025-11-04T11:08:07Z,JZA7743,"52.170605,-106.692879",0,3,149
1762254509,2025-11-04T11:08:29Z,JZA7743,"52.170845,-106.693153",0,3,132
1762254527,2025-11-04T11:08:47Z,JZA7743,"52.170971,-106.693405",0,0,129
1762254721,2025-11-04T11:12:01Z,JZA7743,"52.170963,-106.693115",0,0,92
1762254730,2025-11-04T11:12:10Z,JZA7743,"52.171059,-106.692741",0,6,70
1762254735,2025-11-04T11:12:15Z,JZA7743,"52.171104,-106.692528",0,6,70
1762254744,2025-11-04T11:12:24Z,JZA7743,"52.1712,-106.692139",0,6,70
1762254750,2025-11-04T11:12:30Z,JZA7743,"52.171268,-106.691879",0,6,70
1762254755,2025-11-04T11:12:35Z,JZA7743,"52.171326,-106.691643",0,7,67
1762254766,2025-11-04T11:12:46Z,JZA7743,"52.171566,-106.691147",0,8,45
1762254775,2025-11-04T11:12:55Z,JZA7743,"52.171806,-106.690811",0,0,45
1762254783,2025-11-04T11:13:03Z,JZA7743,"52.171921,-106.690369",0,8,73
1762254787,2025-11-04T11:13:07Z,JZA7743,"52.171932,-106.690094",0,0,90
1762254791,2025-11-04T11:13:11Z,JZA7743,"52.171909,-106.689857",0,9,98
1762254800,2025-11-04T11:13:20Z,JZA7743,"52.171841,-106.68924",0,9,104
1762254813,2025-11-04T11:13:33Z,JZA7743,"52.171745,-106.688393",0,10,104
1762254817,2025-11-04T11:13:37Z,JZA7743,"52.171703,-106.688042",0,10,101
1762254821,2025-11-04T11:13:41Z,JZA7743,"52.171669,-106.687813",0,10,104
1762254824,2025-11-04T11:13:44Z,JZA7743,"52.171638,-106.687569",0,10,104
1762254828,2025-11-04T11:13:48Z,JZA7743,"52.1716,-106.687241",0,0,104
1762254831,2025-11-04T11:13:51Z,JZA7743,"52.171577,-106.687012",0,10,104
1762254836,2025-11-04T11:13:56Z,JZA7743,"52.171535,-106.686661",0,11,104
1762254843,2025-11-04T11:14:03Z,JZA7743,"52.171463,-106.686081",0,10,104
1762254846,2025-11-04T11:14:06Z,JZA7743,"52.17144,-106.685867",0,10,101
1762254853,2025-11-04T11:14:13Z,JZA7743,"52.171371,-106.685287",0,10,104
1762254860,2025-11-04T11:14:20Z,JZA7743,"52.171314,-106.684814",0,11,104
1762254862,2025-11-04T11:14:22Z,JZA7743,"52.17128,-106.684608",0,11,104
1762254866,2025-11-04T11:14:26Z,JZA7743,"52.171246,-106.684326",0,10,104
1762254871,2025-11-04T11:14:31Z,JZA7743,"52.171207,-106.683975",0,9,101
1762254888,2025-11-04T11:14:48Z,JZA7743,"52.171291,-106.683006",0,8,50
1762254895,2025-11-04T11:14:55Z,JZA7743,"52.171543,-106.682854",0,9,16
1762254907,2025-11-04T11:15:07Z,JZA7743,"52.172081,-106.682678",0,10,11
1762254913,2025-11-04T11:15:13Z,JZA7743,"52.172356,-106.682587",0,11,11
1762254927,2025-11-04T11:15:27Z,JZA7743,"52.17313,-106.682327",0,11,11
1762254936,2025-11-04T11:15:36Z,JZA7743,"52.173538,-106.682213",0,12,11
1762254942,2025-11-04T11:15:42Z,JZA7743,"52.173874,-106.682129",0,10,8
1762254949,2025-11-04T11:15:49Z,JZA7743,"52.174129,-106.682167",0,7,348
1762254957,2025-11-04T11:15:57Z,JZA7743,"52.174271,-106.682442",0,6,303
1762254962,2025-11-04T11:16:02Z,JZA7743,"52.174294,-106.682663",0,0,284
1762254968,2025-11-04T11:16:08Z,JZA7743,"52.174324,-106.68293",0,7,281
1762254972,2025-11-04T11:16:12Z,JZA7743,"52.174351,-106.683189",0,7,281
1762254976,2025-11-04T11:16:16Z,JZA7743,"52.174381,-106.683441",0,13,281
1762254981,2025-11-04T11:16:21Z,JZA7743,"52.174503,-106.684425",0,38,284
1762254982,2025-11-04T11:16:22Z,JZA7743,"52.174538,-106.684738",0,43,284
1762254984,2025-11-04T11:16:24Z,JZA7743,"52.174644,-106.685577",0,53,284
1762254985,2025-11-04T11:16:25Z,JZA7743,"52.174702,-106.68602",0,58,281
1762254989,2025-11-04T11:16:29Z,JZA7743,"52.174942,-106.688095",0,76,284
1762254991,2025-11-04T11:16:31Z,JZA7743,"52.175056,-106.689056",0,80,284
