Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762184127,2025-11-03T15:35:27Z,ACA776,"33.941998,-118.401588",0,0,264
1762187253,2025-11-03T16:27:33Z,ACA776,"33.942017,-118.401291",0,4,264
1762187265,2025-11-03T16:27:45Z,ACA776,"33.942005,-118.401077",0,2,225
1762187311,2025-11-03T16:28:31Z,ACA776,"33.941792,-118.400902",0,3,171
1762187327,2025-11-03T16:28:47Z,ACA776,"33.941586,-118.400871",0,3,171
1762187346,2025-11-03T16:29:06Z,ACA776,"33.941341,-118.400833",0,3,171
1762187361,2025-11-03T16:29:21Z,ACA776,"33.941097,-118.400803",0,3,171
1762187378,2025-11-03T16:29:38Z,ACA776,"33.940865,-118.400757",0,3,171
1762187399,2025-11-03T16:29:59Z,ACA776,"33.940556,-118.400726",0,4,171
1762187741,2025-11-03T16:35:41Z,ACA776,"33.940292,-118.400673",0,0,171
1762187749,2025-11-03T16:35:49Z,ACA776,"33.940083,-118.400642",0,6,171
1762187760,2025-11-03T16:36:00Z,ACA776,"33.93972,-118.400597",0,10,171
1762187766,2025-11-03T16:36:06Z,ACA776,"33.93935,-118.400543",0,9,174
1762187772,2025-11-03T16:36:12Z,ACA776,"33.93914,-118.400459",0,9,157
1762187779,2025-11-03T16:36:19Z,ACA776,"33.938919,-118.4002",0,9,132
1762187784,2025-11-03T16:36:24Z,ACA776,"33.938828,-118.399956",0,10,112
1762187790,2025-11-03T16:36:30Z,ACA776,"33.938801,-118.399643",0,12,100
1762187795,2025-11-03T16:36:35Z,ACA776,"33.93885,-118.399315",0,12,81
1762187800,2025-11-03T16:36:40Z,ACA776,"33.938896,-118.398926",0,13,81
1762187805,2025-11-03T16:36:45Z,ACA776,"33.938931,-118.398598",0,14,81
1762187809,2025-11-03T16:36:49Z,ACA776,"33.938969,-118.3983",0,14,81
1762187812,2025-11-03T16:36:52Z,ACA776,"33.938992,-118.398056",0,14,81
1762187819,2025-11-03T16:36:59Z,ACA776,"33.939049,-118.39743",0,14,84
1762187827,2025-11-03T16:37:07Z,ACA776,"33.939121,-118.396797",0,16,82
