Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762220813,2025-11-04T01:46:53Z,JZA143,"53.307198,-113.586174",0,0,0
1762220894,2025-11-04T01:48:14Z,JZA143,"53.306992,-113.586136",0,3,11
1762220907,2025-11-04T01:48:27Z,JZA143,"53.306782,-113.586189",0,4,39
1762220919,2025-11-04T01:48:39Z,JZA143,"53.306618,-113.586418",0,4,53
1762220930,2025-11-04T01:48:50Z,JZA143,"53.306492,-113.586655",0,4,56
1762220938,2025-11-04T01:48:58Z,JZA143,"53.306396,-113.586876",0,4,56
1762220946,2025-11-04T01:49:06Z,JZA143,"53.306305,-113.587082",0,4,53
1762220956,2025-11-04T01:49:16Z,JZA143,"53.30619,-113.587296",0,3,50
1762221127,2025-11-04T01:52:07Z,JZA143,"53.305954,-113.587326",0,4,182
1762221137,2025-11-04T01:52:17Z,JZA143,"53.305794,-113.587746",0,9,239
1762221148,2025-11-04T01:52:28Z,JZA143,"53.305424,-113.588409",0,10,227
1762221154,2025-11-04T01:52:34Z,JZA143,"53.305264,-113.588722",0,10,241
1762221158,2025-11-04T01:52:38Z,JZA143,"53.305233,-113.589043",0,10,267
1762221161,2025-11-04T01:52:41Z,JZA143,"53.305298,-113.589294",0,11,295
1762221165,2025-11-04T01:52:45Z,JZA143,"53.305458,-113.589569",0,12,317
1762221170,2025-11-04T01:52:50Z,JZA143,"53.305676,-113.589943",0,14,320
1762221179,2025-11-04T01:52:59Z,JZA143,"53.306129,-113.590698",0,17,320
1762221183,2025-11-04T01:53:03Z,JZA143,"53.306374,-113.591103",0,18,320
1762221185,2025-11-04T01:53:05Z,JZA143,"53.306499,-113.591316",0,18,320
1762221187,2025-11-04T01:53:07Z,JZA143,"53.306648,-113.591553",0,17,320
1762221192,2025-11-04T01:53:12Z,JZA143,"53.306896,-113.591988",0,16,320
1762221199,2025-11-04T01:53:19Z,JZA143,"53.307259,-113.592598",0,15,317
1762221202,2025-11-04T01:53:22Z,JZA143,"53.30735,-113.592834",0,14,306
1762221207,2025-11-04T01:53:27Z,JZA143,"53.3074,-113.593445",0,15,272
1762221241,2025-11-04T01:54:01Z,JZA143,"53.305641,-113.594627",0,17,140
1762221255,2025-11-04T01:54:15Z,JZA143,"53.303387,-113.590881",0,0,140
1762221266,2025-11-04T01:54:26Z,JZA143,"53.299149,-113.583847",2450,140,134
1762221274,2025-11-04T01:54:34Z,JZA143,"53.295609,-113.577629",2700,147,133
1762221283,2025-11-04T01:54:43Z,JZA143,"53.291512,-113.570114",3225,148,131
1762221292,2025-11-04T01:54:52Z,JZA143,"53.287415,-113.562279",3700,151,131
1762221294,2025-11-04T01:54:54Z,JZA143,"53.286251,-113.560097",3825,153,131
1762221296,2025-11-04T01:54:56Z,JZA143,"53.285507,-113.558647",3900,154,131
1762221298,2025-11-04T01:54:58Z,JZA143,"53.284332,-113.556412",4025,157,131
1762221301,2025-11-04T01:55:01Z,JZA143,"53.283371,-113.554764",4100,158,132
1762221303,2025-11-04T01:55:03Z,JZA143,"53.282135,-113.55249",4225,160,132
1762221305,2025-11-04T01:55:05Z,JZA143,"53.281086,-113.550568",4300,162,133
1762221307,2025-11-04T01:55:07Z,JZA143,"53.279984,-113.548569",4400,164,132
1762221309,2025-11-04T01:55:09Z,JZA143,"53.278839,-113.546524",4500,166,132
1762221311,2025-11-04T01:55:11Z,JZA143,"53.277824,-113.54467",4600,166,132
1762221314,2025-11-04T01:55:14Z,JZA143,"53.276428,-113.542244",4725,167,132
1762221316,2025-11-04T01:55:16Z,JZA143,"53.27536,-113.54023",4825,167,132
1762221318,2025-11-04T01:55:18Z,JZA143,"53.27449,-113.538681",4925,168,133
1762221327,2025-11-04T01:55:27Z,JZA143,"53.269089,-113.530357",5375,173,141
1762221329,2025-11-04T01:55:29Z,JZA143,"53.267818,-113.528839",5450,174,144
1762221331,2025-11-04T01:55:31Z,JZA143,"53.266514,-113.527542",5525,175,150
1762221333,2025-11-04T01:55:33Z,JZA143,"53.264832,-113.526047",5650,175,154
1762221335,2025-11-04T01:55:35Z,JZA143,"53.263321,-113.525024",5750,176,158
1762221337,2025-11-04T01:55:37Z,JZA143,"53.261856,-113.524162",5850,175,163
1762221339,2025-11-04T01:55:39Z,JZA143,"53.26009,-113.523422",5950,176,167
1762221342,2025-11-04T01:55:42Z,JZA143,"53.258194,-113.522903",6075,176,172
1762221344,2025-11-04T01:55:44Z,JZA143,"53.256134,-113.522751",6175,178,179
1762221346,2025-11-04T01:55:46Z,JZA143,"53.254642,-113.522781",6250,179,183
1762221348,2025-11-04T01:55:48Z,JZA143,"53.252609,-113.523064",6375,180,186
1762221350,2025-11-04T01:55:50Z,JZA143,"53.250824,-113.523537",6475,180,188
1762221352,2025-11-04T01:55:52Z,JZA143,"53.249084,-113.524002",6600,179,189
1762221355,2025-11-04T01:55:55Z,JZA143,"53.247528,-113.524475",6700,179,190
1762221357,2025-11-04T01:55:57Z,JZA143,"53.245613,-113.525124",6825,179,191
1762221359,2025-11-04T01:55:59Z,JZA143,"53.243984,-113.525688",6950,179,191
1762221361,2025-11-04T01:56:01Z,JZA143,"53.241886,-113.526413",7100,179,190
1762221364,2025-11-04T01:56:04Z,JZA143,"53.24007,-113.526901",7225,178,189
1762221366,2025-11-04T01:56:06Z,JZA143,"53.238537,-113.527382",7350,179,189
1762221368,2025-11-04T01:56:08Z,JZA143,"53.236908,-113.527786",7450,179,189
1762221370,2025-11-04T01:56:10Z,JZA143,"53.234711,-113.528397",7600,180,188
1762221372,2025-11-04T01:56:12Z,JZA143,"53.233044,-113.528755",7700,181,188
1762221375,2025-11-04T01:56:15Z,JZA143,"53.230995,-113.529243",7825,183,188
1762221388,2025-11-04T01:56:28Z,JZA143,"53.219742,-113.532875",8300,195,196
1762221390,2025-11-04T01:56:30Z,JZA143,"53.217449,-113.534172",8375,199,199
1762221393,2025-11-04T01:56:33Z,JZA143,"53.215576,-113.535461",8450,200,202
1762221395,2025-11-04T01:56:35Z,JZA143,"53.213699,-113.536873",8500,203,205
1762221397,2025-11-04T01:56:37Z,JZA143,"53.212002,-113.538368",8550,205,207
1762221399,2025-11-04T01:56:39Z,JZA143,"53.209858,-113.540466",8650,207,211
1762221401,2025-11-04T01:56:41Z,JZA143,"53.208298,-113.542213",8700,209,214
1762221404,2025-11-04T01:56:44Z,JZA143,"53.206276,-113.54467",8775,211,216
1762221406,2025-11-04T01:56:46Z,JZA143,"53.20483,-113.546608",8825,214,220
1762221408,2025-11-04T01:56:48Z,JZA143,"53.203388,-113.548706",8875,216,222
1762221410,2025-11-04T01:56:50Z,JZA143,"53.201889,-113.551003",8925,218,224
1762221412,2025-11-04T01:56:52Z,JZA143,"53.200424,-113.553429",9000,219,225
1762221414,2025-11-04T01:56:54Z,JZA143,"53.198685,-113.556496",9075,220,226
1762221416,2025-11-04T01:56:56Z,JZA143,"53.197266,-113.559158",9150,222,228
1762221418,2025-11-04T01:56:58Z,JZA143,"53.195988,-113.561714",9225,223,229
1762221421,2025-11-04T01:57:01Z,JZA143,"53.194702,-113.564339",9275,225,230
1762221423,2025-11-04T01:57:03Z,JZA143,"53.193054,-113.567795",9375,227,232
1762221425,2025-11-04T01:57:05Z,JZA143,"53.191704,-113.570763",9450,228,233
1762221427,2025-11-04T01:57:07Z,JZA143,"53.190166,-113.574158",9525,229,234
1762221429,2025-11-04T01:57:09Z,JZA143,"53.189003,-113.576904",9600,231,234
1762221432,2025-11-04T01:57:12Z,JZA143,"53.187469,-113.580666",9700,232,235
1762221434,2025-11-04T01:57:14Z,JZA143,"53.185913,-113.584587",9800,232,236
1762221436,2025-11-04T01:57:16Z,JZA143,"53.184673,-113.587807",9875,233,237
1762221438,2025-11-04T01:57:18Z,JZA143,"53.183487,-113.590942",9975,235,237
1762221441,2025-11-04T01:57:21Z,JZA143,"53.182068,-113.594788",10075,235,238
1762221443,2025-11-04T01:57:23Z,JZA143,"53.180832,-113.598244",10175,235,238
1762221445,2025-11-04T01:57:25Z,JZA143,"53.179916,-113.60067",10250,236,239
1762221447,2025-11-04T01:57:27Z,JZA143,"53.178452,-113.604752",10375,236,239
1762221460,2025-11-04T01:57:40Z,JZA143,"53.171219,-113.625237",10950,239,238
1762221473,2025-11-04T01:57:53Z,JZA143,"53.16354,-113.645241",11525,242,236
1762221486,2025-11-04T01:58:06Z,JZA143,"53.155243,-113.66526",12075,244,234
1762221517,2025-11-04T01:58:37Z,JZA143,"53.134537,-113.712936",13275,252,233
1762221549,2025-11-04T01:59:09Z,JZA143,"53.111031,-113.764961",14425,265,233
1762221581,2025-11-04T01:59:41Z,JZA143,"53.08696,-113.817101",15600,270,232
1762221612,2025-11-04T02:00:12Z,JZA143,"53.063919,-113.867493",16700,274,232
1762221645,2025-11-04T02:00:45Z,JZA143,"53.038284,-113.92334",17875,276,232
1762221675,2025-11-04T02:01:15Z,JZA143,"53.0149,-113.974129",18875,278,232
1762221706,2025-11-04T02:01:46Z,JZA143,"52.990402,-114.0271",19875,282,232
1762221738,2025-11-04T02:02:18Z,JZA143,"52.964111,-114.083839",19975,310,232
1762221768,2025-11-04T02:02:48Z,JZA143,"52.93634,-114.142838",20000,327,232
1762221801,2025-11-04T02:03:21Z,JZA143,"52.906155,-114.207664",20000,326,232
1762221821,2025-11-04T02:03:41Z,JZA143,"52.886692,-114.245964",20000,326,221
1762221823,2025-11-04T02:03:43Z,JZA143,"52.883667,-114.250122",20000,326,218
1762221825,2025-11-04T02:03:45Z,JZA143,"52.881248,-114.253029",20000,326,215
