Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762220859,2025-11-04T01:47:39Z,JZA164,"48.65094,-123.438896",0,8,334
1762220866,2025-11-04T01:47:46Z,JZA164,"48.651203,-123.439125",0,8,334
1762220873,2025-11-04T01:47:53Z,JZA164,"48.651432,-123.439285",0,8,340
1762220879,2025-11-04T01:47:59Z,JZA164,"48.651649,-123.439316",0,7,5
1762220885,2025-11-04T01:48:05Z,JZA164,"48.651745,-123.439095",0,6,59
1762220890,2025-11-04T01:48:10Z,JZA164,"48.651718,-123.438843",0,8,98
1762220895,2025-11-04T01:48:15Z,JZA164,"48.651661,-123.43856",0,13,109
1762220897,2025-11-04T01:48:17Z,JZA164,"48.651615,-123.438301",0,21,109
1762220899,2025-11-04T01:48:19Z,JZA164,"48.651535,-123.43792",0,33,109
1762220900,2025-11-04T01:48:20Z,JZA164,"48.651489,-123.43763",0,40,109
1762220901,2025-11-04T01:48:21Z,JZA164,"48.651421,-123.437309",0,47,109
1762220903,2025-11-04T01:48:23Z,JZA164,"48.651272,-123.436554",0,60,109
1762220905,2025-11-04T01:48:25Z,JZA164,"48.651146,-123.435883",0,66,109
1762220907,2025-11-04T01:48:27Z,JZA164,"48.650928,-123.434776",0,78,109
1762220908,2025-11-04T01:48:28Z,JZA164,"48.650768,-123.433914",0,90,109
1762220910,2025-11-04T01:48:30Z,JZA164,"48.650532,-123.43277",125,102,105
1762220912,2025-11-04T01:48:32Z,JZA164,"48.650253,-123.431259",150,113,105
1762220914,2025-11-04T01:48:34Z,JZA164,"48.649883,-123.42923",150,122,106
1762220917,2025-11-04T01:48:37Z,JZA164,"48.649555,-123.42749",125,132,106
1762220919,2025-11-04T01:48:39Z,JZA164,"48.649185,-123.42569",100,140,106
1762220921,2025-11-04T01:48:41Z,JZA164,"48.648716,-123.423225",100,150,105
1762220923,2025-11-04T01:48:43Z,JZA164,"48.648438,-123.42157",125,153,105
1762220926,2025-11-04T01:48:46Z,JZA164,"48.647644,-123.41745",250,154,106
1762220929,2025-11-04T01:48:49Z,JZA164,"48.647141,-123.414986",375,155,106
1762220931,2025-11-04T01:48:51Z,JZA164,"48.646717,-123.412964",475,156,106
1762220933,2025-11-04T01:48:53Z,JZA164,"48.646389,-123.411156",550,157,106
1762220935,2025-11-04T01:48:55Z,JZA164,"48.645905,-123.408859",675,157,105
1762220938,2025-11-04T01:48:58Z,JZA164,"48.645554,-123.406677",775,158,102
1762220940,2025-11-04T01:49:00Z,JZA164,"48.645172,-123.403366",900,159,97
1762220942,2025-11-04T01:49:02Z,JZA164,"48.645126,-123.401047",1025,159,91
1762220944,2025-11-04T01:49:04Z,JZA164,"48.645264,-123.398575",1125,159,86
1762220946,2025-11-04T01:49:06Z,JZA164,"48.645538,-123.396255",1225,160,77
1762220948,2025-11-04T01:49:08Z,JZA164,"48.645996,-123.393997",1325,162,72
1762220950,2025-11-04T01:49:10Z,JZA164,"48.646591,-123.391747",1400,164,67
1762220953,2025-11-04T01:49:13Z,JZA164,"48.647228,-123.389694",1475,166,62
1762220955,2025-11-04T01:49:15Z,JZA164,"48.648056,-123.387665",1550,169,57
1762220957,2025-11-04T01:49:17Z,JZA164,"48.649136,-123.385353",1650,172,54
1762220959,2025-11-04T01:49:19Z,JZA164,"48.649883,-123.383911",1700,175,51
1762220961,2025-11-04T01:49:21Z,JZA164,"48.651325,-123.381233",1800,177,49
1762220963,2025-11-04T01:49:23Z,JZA164,"48.652634,-123.378929",1900,178,48
1762220966,2025-11-04T01:49:26Z,JZA164,"48.653595,-123.37738",1975,180,47
1762220968,2025-11-04T01:49:28Z,JZA164,"48.65506,-123.375053",2075,181,46
1762220970,2025-11-04T01:49:30Z,JZA164,"48.656158,-123.373367",2150,183,45
1762220972,2025-11-04T01:49:32Z,JZA164,"48.657608,-123.371185",2250,185,44
1762220974,2025-11-04T01:49:34Z,JZA164,"48.658821,-123.369385",2350,186,44
1762220976,2025-11-04T01:49:36Z,JZA164,"48.660122,-123.3675",2425,187,43
1762220979,2025-11-04T01:49:39Z,JZA164,"48.6618,-123.36512",2550,188,43
1762220981,2025-11-04T01:49:41Z,JZA164,"48.663025,-123.363365",2625,191,42
1762220983,2025-11-04T01:49:43Z,JZA164,"48.664352,-123.361534",2700,192,42
1762220985,2025-11-04T01:49:45Z,JZA164,"48.665615,-123.35984",2775,194,41
1762220987,2025-11-04T01:49:47Z,JZA164,"48.666965,-123.358032",2850,197,41
1762220989,2025-11-04T01:49:49Z,JZA164,"48.668427,-123.356041",2900,200,41
1762220991,2025-11-04T01:49:51Z,JZA164,"48.669853,-123.354202",2950,199,41
1762220993,2025-11-04T01:49:53Z,JZA164,"48.671669,-123.351746",2975,201,40
1762220995,2025-11-04T01:49:55Z,JZA164,"48.673019,-123.350014",3000,204,40
1762220997,2025-11-04T01:49:57Z,JZA164,"48.674515,-123.348083",3025,206,40
1762221000,2025-11-04T01:50:00Z,JZA164,"48.676117,-123.346039",3025,207,40
1762221006,2025-11-04T01:50:06Z,JZA164,"48.681118,-123.3396",3050,212,40
