Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762269085,2025-11-04T15:11:25Z,JZA430,"48.577969,-81.370346",0,0,199
1762269243,2025-11-04T15:14:03Z,JZA430,"48.577469,-81.370621",0,29,199
1762269279,2025-11-04T15:14:39Z,JZA430,"48.55957,-81.380096",1525,145,196
1762269290,2025-11-04T15:14:50Z,JZA430,"48.552429,-81.382706",2025,146,192
1762269302,2025-11-04T15:15:02Z,JZA430,"48.544533,-81.384987",2325,163,190
1762269312,2025-11-04T15:15:12Z,JZA430,"48.536453,-81.387283",2575,176,190
1762269320,2025-11-04T15:15:20Z,JZA430,"48.529083,-81.389252",2825,181,189
1762269326,2025-11-04T15:15:26Z,JZA430,"48.524323,-81.390518",3000,185,189
1762269370,2025-11-04T15:16:10Z,JZA430,"48.485924,-81.400017",4475,207,189
1762269383,2025-11-04T15:16:23Z,JZA430,"48.473309,-81.403053",5000,208,188
1762269398,2025-11-04T15:16:38Z,JZA430,"48.457901,-81.406883",5575,209,189
1762269427,2025-11-04T15:17:07Z,JZA430,"48.430435,-81.413971",6725,212,190
1762269443,2025-11-04T15:17:23Z,JZA430,"48.414001,-81.418343",7350,215,190
1762269460,2025-11-04T15:17:40Z,JZA430,"48.397846,-81.422783",8000,218,190
1762269487,2025-11-04T15:18:07Z,JZA430,"48.370102,-81.430161",8875,232,189
1762269503,2025-11-04T15:18:23Z,JZA430,"48.352112,-81.435455",9025,253,192
1762269520,2025-11-04T15:18:40Z,JZA430,"48.332565,-81.442284",9300,269,193
1762269537,2025-11-04T15:18:57Z,JZA430,"48.311691,-81.449043",9625,281,190
1762269550,2025-11-04T15:19:10Z,JZA430,"48.295807,-81.453362",10200,277,190
1762269566,2025-11-04T15:19:26Z,JZA430,"48.274612,-81.459396",10850,272,191
1762269579,2025-11-04T15:19:39Z,JZA430,"48.258236,-81.464417",11400,269,191
1762269593,2025-11-04T15:19:53Z,JZA430,"48.241837,-81.469467",11925,268,191
1762269606,2025-11-04T15:20:06Z,JZA430,"48.226257,-81.474319",12425,266,191
1762269638,2025-11-04T15:20:38Z,JZA430,"48.186996,-81.486229",13625,265,191
1762269670,2025-11-04T15:21:10Z,JZA430,"48.148544,-81.496376",14700,274,183
1762269672,2025-11-04T15:21:12Z,JZA430,"48.145393,-81.496445",14700,279,180
1762269674,2025-11-04T15:21:14Z,JZA430,"48.142879,-81.4963",14725,283,178
1762269676,2025-11-04T15:21:16Z,JZA430,"48.14003,-81.496033",14750,287,175
1762269679,2025-11-04T15:21:19Z,JZA430,"48.137512,-81.495689",14775,289,174
1762269681,2025-11-04T15:21:21Z,JZA430,"48.13343,-81.494888",14825,292,172
1762269683,2025-11-04T15:21:23Z,JZA430,"48.130692,-81.494247",14850,295,170
1762269686,2025-11-04T15:21:26Z,JZA430,"48.127304,-81.493355",14900,296,169
1762269691,2025-11-04T15:21:31Z,JZA430,"48.120583,-81.491302",15000,299,168
1762269693,2025-11-04T15:21:33Z,JZA430,"48.117783,-81.490334",15050,302,167
1762269695,2025-11-04T15:21:35Z,JZA430,"48.115135,-81.489395",15075,303,166
1762269697,2025-11-04T15:21:37Z,JZA430,"48.111179,-81.487923",15150,304,166
1762269700,2025-11-04T15:21:40Z,JZA430,"48.108433,-81.486931",15200,306,165
1762269702,2025-11-04T15:21:42Z,JZA430,"48.106155,-81.486008",15225,306,165
1762269706,2025-11-04T15:21:46Z,JZA430,"48.098969,-81.483261",15350,309,165
1762269738,2025-11-04T15:22:18Z,JZA430,"48.054897,-81.465591",16075,317,164
1762269781,2025-11-04T15:23:01Z,JZA430,"47.99247,-81.441719",17200,322,165
1762269825,2025-11-04T15:23:45Z,JZA430,"47.928928,-81.418549",18225,326,166
