Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762171710,2025-11-03T12:08:30Z,ACA856,"51.470181,-0.442181",0,0,270
1762172111,2025-11-03T12:15:11Z,ACA856,"51.470501,-0.440604",0,0,182
1762172346,2025-11-03T12:19:06Z,ACA856,"51.470295,-0.440559",0,0,180
1762172357,2025-11-03T12:19:17Z,ACA856,"51.470078,-0.440567",0,5,180
1762172367,2025-11-03T12:19:27Z,ACA856,"51.469849,-0.440567",0,5,180
1762172382,2025-11-03T12:19:42Z,ACA856,"51.46954,-0.440559",0,5,180
1762172392,2025-11-03T12:19:52Z,ACA856,"51.469307,-0.440559",0,5,180
1762172403,2025-11-03T12:20:03Z,ACA856,"51.469082,-0.440548",0,4,180
1762172414,2025-11-03T12:20:14Z,ACA856,"51.468876,-0.440559",0,4,180
1762172505,2025-11-03T12:21:45Z,ACA856,"51.468655,-0.440559",0,1,180
1762172525,2025-11-03T12:22:05Z,ACA856,"51.46841,-0.440559",0,4,180
1762172534,2025-11-03T12:22:14Z,ACA856,"51.468166,-0.440559",0,7,180
1762172540,2025-11-03T12:22:20Z,ACA856,"51.467937,-0.440529",0,8,177
1762172546,2025-11-03T12:22:26Z,ACA856,"51.467766,-0.440325",0,8,149
1762172551,2025-11-03T12:22:31Z,ACA856,"51.467709,-0.440066",0,9,120
1762172557,2025-11-03T12:22:37Z,ACA856,"51.467701,-0.439587",0,9,92
1762172561,2025-11-03T12:22:41Z,ACA856,"51.467712,-0.439358",0,9,90
1762172565,2025-11-03T12:22:45Z,ACA856,"51.467709,-0.439119",0,9,90
1762172568,2025-11-03T12:22:48Z,ACA856,"51.467709,-0.438915",0,8,90
1762172573,2025-11-03T12:22:53Z,ACA856,"51.467709,-0.438655",0,7,90
1762172578,2025-11-03T12:22:58Z,ACA856,"51.467701,-0.438347",0,7,90
1762172586,2025-11-03T12:23:06Z,ACA856,"51.467712,-0.438004",0,6,90
1762172592,2025-11-03T12:23:12Z,ACA856,"51.467712,-0.437756",0,4,90
1762172602,2025-11-03T12:23:22Z,ACA856,"51.467709,-0.437505",0,2,90
1762172954,2025-11-03T12:29:14Z,ACA856,"51.467712,-0.437145",0,0,90
1762172966,2025-11-03T12:29:26Z,ACA856,"51.467712,-0.436859",0,5,92
1762172972,2025-11-03T12:29:32Z,ACA856,"51.467678,-0.436497",0,7,101
