Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762309402,2025-11-05T02:23:22Z,ACA860,"49.19791,-123.18058",0,0,42
1762309456,2025-11-05T02:24:16Z,ACA860,"49.197742,-123.180786",0,0,45
1762309488,2025-11-05T02:24:48Z,ACA860,"49.197636,-123.181",0,1,36
1762309522,2025-11-05T02:25:22Z,ACA860,"49.197533,-123.181206",0,0,14
1762309558,2025-11-05T02:25:58Z,ACA860,"49.197327,-123.181351",0,1,345
1762309590,2025-11-05T02:26:30Z,ACA860,"49.197121,-123.181366",0,1,315
1762309688,2025-11-05T02:28:08Z,ACA860,"49.197231,-123.181587",0,0,309
1762309707,2025-11-05T02:28:27Z,ACA860,"49.197311,-123.181801",0,0,303
1762309724,2025-11-05T02:28:44Z,ACA860,"49.197372,-123.182022",0,0,298
1762309741,2025-11-05T02:29:01Z,ACA860,"49.19743,-123.182236",0,2,292
1762309755,2025-11-05T02:29:15Z,ACA860,"49.197453,-123.182442",0,2,286
1762309768,2025-11-05T02:29:28Z,ACA860,"49.197487,-123.182648",0,2,284
1762309782,2025-11-05T02:29:42Z,ACA860,"49.19751,-123.182869",0,2,284
1762310033,2025-11-05T02:33:53Z,ACA860,"49.197533,-123.183075",0,0,281
1762310045,2025-11-05T02:34:05Z,ACA860,"49.197556,-123.183319",0,4,281
1762310054,2025-11-05T02:34:14Z,ACA860,"49.197582,-123.183533",0,4,281
1762310061,2025-11-05T02:34:21Z,ACA860,"49.197613,-123.183815",0,5,278
1762310068,2025-11-05T02:34:28Z,ACA860,"49.197651,-123.184113",0,6,278
1762310076,2025-11-05T02:34:36Z,ACA860,"49.197693,-123.184448",0,7,278
1762310083,2025-11-05T02:34:43Z,ACA860,"49.197727,-123.184784",0,6,278
1762310090,2025-11-05T02:34:50Z,ACA860,"49.197762,-123.185081",0,6,278
1762310097,2025-11-05T02:34:57Z,ACA860,"49.197777,-123.185379",0,7,275
1762310102,2025-11-05T02:35:02Z,ACA860,"49.19775,-123.185593",0,8,267
1762310105,2025-11-05T02:35:05Z,ACA860,"49.197647,-123.185806",0,8,247
1762310112,2025-11-05T02:35:12Z,ACA860,"49.197521,-123.186066",0,7,239
1762310117,2025-11-05T02:35:17Z,ACA860,"49.197475,-123.186317",0,8,247
1762310122,2025-11-05T02:35:22Z,ACA860,"49.197475,-123.186584",0,8,261
1762310126,2025-11-05T02:35:26Z,ACA860,"49.197498,-123.186821",0,9,270
1762310130,2025-11-05T02:35:30Z,ACA860,"49.197521,-123.187057",0,9,275
1762310134,2025-11-05T02:35:34Z,ACA860,"49.197544,-123.187332",0,9,275
1762310138,2025-11-05T02:35:38Z,ACA860,"49.197567,-123.187584",0,10,278
1762310141,2025-11-05T02:35:41Z,ACA860,"49.19759,-123.187798",0,10,278
1762310145,2025-11-05T02:35:45Z,ACA860,"49.197636,-123.188095",0,10,278
1762310149,2025-11-05T02:35:49Z,ACA860,"49.197651,-123.188324",0,11,281
1762310152,2025-11-05T02:35:52Z,ACA860,"49.197693,-123.188606",0,11,281
1762310160,2025-11-05T02:36:00Z,ACA860,"49.197765,-123.189247",0,12,278
1762310164,2025-11-05T02:36:04Z,ACA860,"49.197796,-123.18956",0,12,281
1762310168,2025-11-05T02:36:08Z,ACA860,"49.19783,-123.189873",0,12,281
1762310172,2025-11-05T02:36:12Z,ACA860,"49.197872,-123.190147",0,10,281
1762310175,2025-11-05T02:36:15Z,ACA860,"49.197895,-123.190384",0,10,281
1762310179,2025-11-05T02:36:19Z,ACA860,"49.197918,-123.190636",0,10,275
1762310183,2025-11-05T02:36:23Z,ACA860,"49.197876,-123.190895",0,10,264
1762310188,2025-11-05T02:36:28Z,ACA860,"49.197754,-123.191139",0,9,241
1762310194,2025-11-05T02:36:34Z,ACA860,"49.197533,-123.191284",0,8,213
1762310199,2025-11-05T02:36:39Z,ACA860,"49.197323,-123.19136",0,8,199
1762310205,2025-11-05T02:36:45Z,ACA860,"49.197113,-123.191414",0,9,194
1762310210,2025-11-05T02:36:50Z,ACA860,"49.196907,-123.191467",0,9,191
1762310215,2025-11-05T02:36:55Z,ACA860,"49.196686,-123.191544",0,10,191
1762310220,2025-11-05T02:37:00Z,ACA860,"49.196468,-123.191597",0,10,191
1762310228,2025-11-05T02:37:08Z,ACA860,"49.196045,-123.191704",0,11,191
1762310235,2025-11-05T02:37:15Z,ACA860,"49.195702,-123.191795",0,12,188
1762310242,2025-11-05T02:37:22Z,ACA860,"49.195301,-123.191902",0,12,188
1762310249,2025-11-05T02:37:29Z,ACA860,"49.194912,-123.192001",0,12,188
1762310257,2025-11-05T02:37:37Z,ACA860,"49.194511,-123.192108",0,11,191
