Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762091726,2025-11-02T13:55:26Z,ACA861,"51.471878,-0.443859",0,0,87
1762094305,2025-11-02T14:38:25Z,ACA861,"51.471878,-0.444107",0,2,87
1762094321,2025-11-02T14:38:41Z,ACA861,"51.471867,-0.444355",0,2,87
1762094340,2025-11-02T14:39:00Z,ACA861,"51.471863,-0.444668",0,0,81
1762094359,2025-11-02T14:39:19Z,ACA861,"51.471909,-0.444928",0,0,56
1762094378,2025-11-02T14:39:38Z,ACA861,"51.471874,-0.445188",0,0,30
1762094398,2025-11-02T14:39:58Z,ACA861,"51.471725,-0.445404",0,0,16
1762094424,2025-11-02T14:40:24Z,ACA861,"51.471508,-0.44554",0,0,2
1762094655,2025-11-02T14:44:15Z,ACA861,"51.471786,-0.445576",0,4,357
1762094665,2025-11-02T14:44:25Z,ACA861,"51.471996,-0.445576",0,6,357
1762094675,2025-11-02T14:44:35Z,ACA861,"51.472263,-0.445577",0,5,357
1762094693,2025-11-02T14:44:53Z,ACA861,"51.472763,-0.445576",0,7,357
1762094702,2025-11-02T14:45:02Z,ACA861,"51.473087,-0.445577",0,8,357
1762094710,2025-11-02T14:45:10Z,ACA861,"51.473381,-0.445576",0,9,357
1762094728,2025-11-02T14:45:28Z,ACA861,"51.474037,-0.445577",0,7,357
1762094740,2025-11-02T14:45:40Z,ACA861,"51.474461,-0.445595",0,7,357
1762094753,2025-11-02T14:45:53Z,ACA861,"51.474869,-0.445499",0,7,11
1762094761,2025-11-02T14:46:01Z,ACA861,"51.47501,-0.445132",0,8,47
1762094771,2025-11-02T14:46:11Z,ACA861,"51.475033,-0.444464",0,9,84
1762094782,2025-11-02T14:46:22Z,ACA861,"51.475044,-0.443745",0,9,87
1762094785,2025-11-02T14:46:25Z,ACA861,"51.475044,-0.443478",0,9,90
1762094798,2025-11-02T14:46:38Z,ACA861,"51.475044,-0.4426",0,11,90
1762094808,2025-11-02T14:46:48Z,ACA861,"51.475056,-0.441624",0,0,90
1762094821,2025-11-02T14:47:01Z,ACA861,"51.475056,-0.440529",0,11,90
1762094834,2025-11-02T14:47:14Z,ACA861,"51.475056,-0.439379",0,11,90
