Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762176021,2025-11-03T13:20:21Z,ACA865,"51.471874,-0.441773",0,3,270
1762176040,2025-11-03T13:20:40Z,ACA865,"51.47184,-0.44142",0,0,258
1762176054,2025-11-03T13:20:54Z,ACA865,"51.471821,-0.441132",0,3,241
1762176087,2025-11-03T13:21:27Z,ACA865,"51.471901,-0.440559",0,2,185
1762176107,2025-11-03T13:21:47Z,ACA865,"51.472103,-0.440529",0,2,174
1762176353,2025-11-03T13:25:53Z,ACA865,"51.471863,-0.440567",0,4,180
1762176365,2025-11-03T13:26:05Z,ACA865,"51.4716,-0.440567",0,0,180
1762176375,2025-11-03T13:26:15Z,ACA865,"51.471302,-0.440567",0,7,180
1762176391,2025-11-03T13:26:31Z,ACA865,"51.470741,-0.440548",0,0,180
1762176405,2025-11-03T13:26:45Z,ACA865,"51.470238,-0.440559",0,8,180
1762176423,2025-11-03T13:27:03Z,ACA865,"51.469505,-0.440548",0,0,180
1762176435,2025-11-03T13:27:15Z,ACA865,"51.469059,-0.440548",0,0,180
1762176450,2025-11-03T13:27:30Z,ACA865,"51.468647,-0.440529",0,4,180
1762176605,2025-11-03T13:30:05Z,ACA865,"51.468445,-0.44054",0,3,180
1762176615,2025-11-03T13:30:15Z,ACA865,"51.468224,-0.440529",0,6,180
1762176622,2025-11-03T13:30:22Z,ACA865,"51.467979,-0.440521",0,8,180
1762176628,2025-11-03T13:30:28Z,ACA865,"51.467758,-0.440388",0,9,163
1762176632,2025-11-03T13:30:32Z,ACA865,"51.467674,-0.440121",0,10,137
1762176636,2025-11-03T13:30:36Z,ACA865,"51.467678,-0.439873",0,9,115
1762176640,2025-11-03T13:30:40Z,ACA865,"51.467686,-0.43962",0,8,98
1762176644,2025-11-03T13:30:44Z,ACA865,"51.467709,-0.439379",0,8,92
1762176649,2025-11-03T13:30:49Z,ACA865,"51.467709,-0.439101",0,8,90
1762176652,2025-11-03T13:30:52Z,ACA865,"51.467709,-0.438896",0,8,90
1762176656,2025-11-03T13:30:56Z,ACA865,"51.467709,-0.438637",0,8,90
1762176660,2025-11-03T13:31:00Z,ACA865,"51.46772,-0.438414",0,8,90
