Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762264571,2025-11-04T13:56:11Z,JZA900,"41.976242,-87.90654",0,3,56
1762264590,2025-11-04T13:56:30Z,JZA900,"41.976158,-87.906769",0,1,271
1762264816,2025-11-04T14:00:16Z,JZA900,"41.9762,-87.906975",0,5,250
1762264825,2025-11-04T14:00:25Z,JZA900,"41.976105,-87.907295",0,8,250
1762264833,2025-11-04T14:00:33Z,JZA900,"41.975979,-87.90773",0,10,250
1762264842,2025-11-04T14:00:42Z,JZA900,"41.975826,-87.908302",0,10,250
1762264849,2025-11-04T14:00:49Z,JZA900,"41.975712,-87.908714",0,9,247
1762264855,2025-11-04T14:00:55Z,JZA900,"41.975628,-87.909019",0,8,253
1762264860,2025-11-04T14:01:00Z,JZA900,"41.975616,-87.909241",0,7,270
1762264867,2025-11-04T14:01:07Z,JZA900,"41.975723,-87.909515",0,7,312
1762264873,2025-11-04T14:01:13Z,JZA900,"41.975933,-87.909584",0,8,357
1762264880,2025-11-04T14:01:20Z,JZA900,"41.976177,-87.909531",0,8,11
1762264890,2025-11-04T14:01:30Z,JZA900,"41.976597,-87.909447",0,9,8
1762264898,2025-11-04T14:01:38Z,JZA900,"41.976933,-87.909355",0,11,11
1762264908,2025-11-04T14:01:48Z,JZA900,"41.977535,-87.909225",0,14,8
1762264912,2025-11-04T14:01:52Z,JZA900,"41.977764,-87.90918",0,14,8
1762264920,2025-11-04T14:02:00Z,JZA900,"41.978352,-87.909035",0,14,8
1762264934,2025-11-04T14:02:14Z,JZA900,"41.979214,-87.908844",0,13,8
1762264949,2025-11-04T14:02:29Z,JZA900,"41.980167,-87.908623",0,14,8
1762264956,2025-11-04T14:02:36Z,JZA900,"41.980633,-87.908524",0,12,8
1762264963,2025-11-04T14:02:43Z,JZA900,"41.981014,-87.908478",0,12,357
1762264968,2025-11-04T14:02:48Z,JZA900,"41.981266,-87.908524",0,12,351
1762264973,2025-11-04T14:02:53Z,JZA900,"41.981495,-87.908554",0,10,354
1762264979,2025-11-04T14:02:59Z,JZA900,"41.981758,-87.908585",0,7,357
1762264988,2025-11-04T14:03:08Z,JZA900,"41.98201,-87.9086",0,6,357
1762264995,2025-11-04T14:03:15Z,JZA900,"41.982239,-87.908623",0,7,357
1762265002,2025-11-04T14:03:22Z,JZA900,"41.982471,-87.908577",0,8,16
1762265009,2025-11-04T14:03:29Z,JZA900,"41.982685,-87.908356",0,9,47
1762265015,2025-11-04T14:03:35Z,JZA900,"41.982822,-87.908028",0,10,67
1762265019,2025-11-04T14:03:39Z,JZA900,"41.982868,-87.907776",0,11,78
1762265023,2025-11-04T14:03:43Z,JZA900,"41.982891,-87.907539",0,12,87
1762265025,2025-11-04T14:03:45Z,JZA900,"41.982891,-87.907295",0,12,90
1762265029,2025-11-04T14:03:49Z,JZA900,"41.982903,-87.907043",0,13,90
1762265031,2025-11-04T14:03:51Z,JZA900,"41.982903,-87.90683",0,13,90
1762265036,2025-11-04T14:03:56Z,JZA900,"41.982891,-87.906418",0,14,90
1762265039,2025-11-04T14:03:59Z,JZA900,"41.982891,-87.906166",0,14,90
1762265041,2025-11-04T14:04:01Z,JZA900,"41.982903,-87.905952",0,13,90
1762265045,2025-11-04T14:04:05Z,JZA900,"41.982903,-87.905701",0,11,90
1762265052,2025-11-04T14:04:12Z,JZA900,"41.982903,-87.90522",0,12,90
1762265058,2025-11-04T14:04:18Z,JZA900,"41.982903,-87.904724",0,12,90
1762265065,2025-11-04T14:04:25Z,JZA900,"41.982903,-87.904121",0,14,90
1762265075,2025-11-04T14:04:35Z,JZA900,"41.982903,-87.903275",0,15,90
1762265081,2025-11-04T14:04:41Z,JZA900,"41.982903,-87.902641",0,15,90
1762265089,2025-11-04T14:04:49Z,JZA900,"41.982903,-87.901909",0,13,90
1762265096,2025-11-04T14:04:56Z,JZA900,"41.982903,-87.901276",0,15,90
1762265103,2025-11-04T14:05:03Z,JZA900,"41.982903,-87.900604",0,15,90
1762265110,2025-11-04T14:05:10Z,JZA900,"41.982903,-87.899948",0,15,90
