Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762261315,2025-11-04T13:01:55Z,JZA958,"41.975632,-87.907478",0,3,358
1762261333,2025-11-04T13:02:13Z,JZA958,"41.975895,-87.907631",0,3,188
1762261565,2025-11-04T13:06:05Z,JZA958,"41.975864,-87.90818",0,4,250
1762261573,2025-11-04T13:06:13Z,JZA958,"41.975796,-87.908386",0,5,250
1762261600,2025-11-04T13:06:40Z,JZA958,"41.975716,-87.908714",0,1,250
1762261718,2025-11-04T13:08:38Z,JZA958,"41.975636,-87.908997",0,0,250
1762261732,2025-11-04T13:08:52Z,JZA958,"41.975571,-87.909225",0,3,250
1762261741,2025-11-04T13:09:01Z,JZA958,"41.975578,-87.909462",0,5,278
1762261756,2025-11-04T13:09:16Z,JZA958,"41.975967,-87.909569",0,7,5
1762261763,2025-11-04T13:09:23Z,JZA958,"41.976189,-87.909531",0,7,8
1762261773,2025-11-04T13:09:33Z,JZA958,"41.976501,-87.90947",0,7,8
1762261781,2025-11-04T13:09:41Z,JZA958,"41.976757,-87.909401",0,8,8
1762261788,2025-11-04T13:09:48Z,JZA958,"41.977036,-87.90934",0,11,8
1762261798,2025-11-04T13:09:58Z,JZA958,"41.977558,-87.909225",0,12,8
1762261805,2025-11-04T13:10:05Z,JZA958,"41.977875,-87.909149",0,9,8
1762261811,2025-11-04T13:10:11Z,JZA958,"41.978085,-87.909103",0,7,8
1762261818,2025-11-04T13:10:18Z,JZA958,"41.978313,-87.909058",0,5,8
1762261829,2025-11-04T13:10:29Z,JZA958,"41.978527,-87.909004",0,5,8
1762261837,2025-11-04T13:10:37Z,JZA958,"41.978737,-87.908958",0,5,8
1762261845,2025-11-04T13:10:45Z,JZA958,"41.978947,-87.908913",0,6,8
1762261853,2025-11-04T13:10:53Z,JZA958,"41.979172,-87.908852",0,6,8
1762261862,2025-11-04T13:11:02Z,JZA958,"41.979412,-87.908798",0,6,8
1762261870,2025-11-04T13:11:10Z,JZA958,"41.979664,-87.908745",0,8,8
1762261928,2025-11-04T13:12:08Z,JZA958,"41.980286,-87.908607",0,9,11
1762261937,2025-11-04T13:12:17Z,JZA958,"41.980576,-87.908379",0,9,36
1762261946,2025-11-04T13:12:26Z,JZA958,"41.980865,-87.907997",0,10,42
1762261951,2025-11-04T13:12:31Z,JZA958,"41.981106,-87.907852",0,11,19
1762261957,2025-11-04T13:12:37Z,JZA958,"41.981388,-87.907822",0,11,357
1762261962,2025-11-04T13:12:42Z,JZA958,"41.981678,-87.907852",0,11,354
1762261971,2025-11-04T13:12:51Z,JZA958,"41.982033,-87.907898",0,6,354
1762261990,2025-11-04T13:13:10Z,JZA958,"41.982262,-87.907928",0,7,354
1762261997,2025-11-04T13:13:17Z,JZA958,"41.982571,-87.907928",0,12,5
1762262002,2025-11-04T13:13:22Z,JZA958,"41.982811,-87.907715",0,12,45
1762262006,2025-11-04T13:13:26Z,JZA958,"41.98288,-87.90741",0,12,75
1762262011,2025-11-04T13:13:31Z,JZA958,"41.982891,-87.907043",0,12,90
1762262016,2025-11-04T13:13:36Z,JZA958,"41.982903,-87.90667",0,14,90
1762262019,2025-11-04T13:13:39Z,JZA958,"41.982891,-87.906418",0,14,90
1762262022,2025-11-04T13:13:42Z,JZA958,"41.982891,-87.90612",0,15,90
1762262024,2025-11-04T13:13:44Z,JZA958,"41.982903,-87.905884",0,15,90
1762262028,2025-11-04T13:13:48Z,JZA958,"41.982903,-87.905632",0,16,90
1762262030,2025-11-04T13:13:50Z,JZA958,"41.982903,-87.905334",0,17,90
