Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762624461,2025-11-08T17:54:21Z,AZU4800,"-6.102346,-49.907337",5225,226,55
1762624469,2025-11-08T17:54:29Z,AZU4800,"-6.096085,-49.900368",5700,224,39
1762624472,2025-11-08T17:54:32Z,AZU4800,"-6.094116,-49.89883",5825,223,34
1762624474,2025-11-08T17:54:34Z,AZU4800,"-6.092377,-49.897713",5950,223,32
1762624476,2025-11-08T17:54:36Z,AZU4800,"-6.090591,-49.896645",6050,223,30
1762624479,2025-11-08T17:54:39Z,AZU4800,"-6.08844,-49.895386",6175,223,29
1762624481,2025-11-08T17:54:41Z,AZU4800,"-6.086053,-49.894077",6300,223,28
1762624483,2025-11-08T17:54:43Z,AZU4800,"-6.083679,-49.89278",6425,223,28
1762624485,2025-11-08T17:54:45Z,AZU4800,"-6.081848,-49.891804",6550,222,28
1762624487,2025-11-08T17:54:47Z,AZU4800,"-6.079862,-49.890717",6650,223,28
1762624490,2025-11-08T17:54:50Z,AZU4800,"-6.077674,-49.88953",6775,223,28
1762624492,2025-11-08T17:54:52Z,AZU4800,"-6.076035,-49.888638",6875,223,28
1762624494,2025-11-08T17:54:54Z,AZU4800,"-6.074203,-49.887611",6975,222,28
1762624496,2025-11-08T17:54:56Z,AZU4800,"-6.071855,-49.886311",7100,223,29
1762624499,2025-11-08T17:54:59Z,AZU4800,"-6.069534,-49.88496",7225,223,29
1762624511,2025-11-08T17:55:11Z,AZU4800,"-6.058168,-49.878544",7825,223,29
1762624525,2025-11-08T17:55:25Z,AZU4800,"-6.045731,-49.871597",8325,234,29
1762624538,2025-11-08T17:55:38Z,AZU4800,"-6.032984,-49.864479",8725,246,29
1762624552,2025-11-08T17:55:52Z,AZU4800,"-6.018997,-49.856609",9250,253,29
1762624567,2025-11-08T17:56:07Z,AZU4800,"-6.003799,-49.848042",9950,254,29
1762624580,2025-11-08T17:56:20Z,AZU4800,"-5.990112,-49.840408",10550,257,29
1762624593,2025-11-08T17:56:33Z,AZU4800,"-5.975739,-49.832447",11075,263,29
1762624606,2025-11-08T17:56:46Z,AZU4800,"-5.961456,-49.82449",11525,270,29
1762624620,2025-11-08T17:57:00Z,AZU4800,"-5.946397,-49.816086",11925,279,29
1762624633,2025-11-08T17:57:13Z,AZU4800,"-5.931519,-49.807774",12425,284,29
1762624664,2025-11-08T17:57:44Z,AZU4800,"-5.895096,-49.787388",13675,289,29
1762624696,2025-11-08T17:58:16Z,AZU4800,"-5.856551,-49.765842",14575,304,29
1762624729,2025-11-08T17:58:49Z,AZU4800,"-5.816376,-49.743393",15875,304,28
1762624759,2025-11-08T17:59:19Z,AZU4800,"-5.778763,-49.722446",17200,299,29
1762624791,2025-11-08T17:59:51Z,AZU4800,"-5.740311,-49.700939",18225,308,29
1762624822,2025-11-08T18:00:22Z,AZU4800,"-5.699478,-49.678127",18425,341,29
1762624852,2025-11-08T18:00:52Z,AZU4800,"-5.656795,-49.654366",19150,352,29
1762624885,2025-11-08T18:01:25Z,AZU4800,"-5.608707,-49.627563",20000,361,29
1762624916,2025-11-08T18:01:56Z,AZU4800,"-5.562387,-49.601707",20800,368,29
1762624949,2025-11-08T18:02:29Z,AZU4800,"-5.513763,-49.574501",21600,376,29
1762624979,2025-11-08T18:02:59Z,AZU4800,"-5.467188,-49.548576",22350,381,29
1762625012,2025-11-08T18:03:32Z,AZU4800,"-5.416865,-49.520542",23425,376,29
1762625045,2025-11-08T18:04:05Z,AZU4800,"-5.366635,-49.492508",24225,380,29
1762625076,2025-11-08T18:04:36Z,AZU4800,"-5.316742,-49.464687",24975,383,29
1762625107,2025-11-08T18:05:07Z,AZU4800,"-5.268814,-49.437965",25475,393,29
1762625138,2025-11-08T18:05:38Z,AZU4800,"-5.217435,-49.413235",26075,399,19
1762625140,2025-11-08T18:05:40Z,AZU4800,"-5.214294,-49.412128",26125,399,18
1762625142,2025-11-08T18:05:42Z,AZU4800,"-5.211104,-49.411057",26175,399,17
1762625144,2025-11-08T18:05:44Z,AZU4800,"-5.206512,-49.409615",26225,400,16
1762625147,2025-11-08T18:05:47Z,AZU4800,"-5.202072,-49.40831",26275,399,16
1762625149,2025-11-08T18:05:49Z,AZU4800,"-5.198639,-49.407379",26325,400,15
1762625151,2025-11-08T18:05:51Z,AZU4800,"-5.194199,-49.406216",26375,401,14
1762625153,2025-11-08T18:05:53Z,AZU4800,"-5.190582,-49.405376",26400,401,13
1762625155,2025-11-08T18:05:55Z,AZU4800,"-5.186325,-49.4044",26450,401,12
1762625158,2025-11-08T18:05:58Z,AZU4800,"-5.182335,-49.403576",26500,402,11
1762625160,2025-11-08T18:06:00Z,AZU4800,"-5.178657,-49.402866",26550,401,11
1762625162,2025-11-08T18:06:02Z,AZU4800,"-5.17484,-49.402107",26575,402,11
1762625192,2025-11-08T18:06:32Z,AZU4800,"-5.119024,-49.390839",27175,406,11
1762625224,2025-11-08T18:07:04Z,AZU4800,"-5.058971,-49.37862",27900,407,11
1762625256,2025-11-08T18:07:36Z,AZU4800,"-5.001014,-49.366829",28550,409,11
1762625289,2025-11-08T18:08:09Z,AZU4800,"-4.939704,-49.354374",29250,411,11
1762625320,2025-11-08T18:08:40Z,AZU4800,"-4.880444,-49.342346",29800,415,11
1762625351,2025-11-08T18:09:11Z,AZU4800,"-4.821694,-49.33046",30275,420,11
