Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762182122,2025-11-03T15:02:02Z,PRWOT,"-1.38755,-48.478626",0,5,298
1762184109,2025-11-03T15:35:09Z,PRWOT,"-1.387583,-48.478394",0,8,112
1762184115,2025-11-03T15:35:15Z,PRWOT,"-1.387606,-48.478168",0,7,112
1762184131,2025-11-03T15:35:31Z,PRWOT,"-1.387207,-48.477951",0,9,25
1762184137,2025-11-03T15:35:37Z,PRWOT,"-1.386967,-48.47794",0,10,19
1762184143,2025-11-03T15:35:43Z,PRWOT,"-1.38671,-48.478062",0,11,337
1762184148,2025-11-03T15:35:48Z,PRWOT,"-1.3866,-48.478279",0,11,300
1762184152,2025-11-03T15:35:52Z,PRWOT,"-1.386593,-48.478512",0,11,292
1762184157,2025-11-03T15:35:57Z,PRWOT,"-1.386593,-48.478737",0,11,289
1762184162,2025-11-03T15:36:02Z,PRWOT,"-1.386605,-48.479019",0,12,289
1762184166,2025-11-03T15:36:06Z,PRWOT,"-1.386612,-48.479256",0,13,289
1762184170,2025-11-03T15:36:10Z,PRWOT,"-1.386612,-48.479488",0,14,289
1762184175,2025-11-03T15:36:15Z,PRWOT,"-1.386623,-48.479778",0,12,289
1762184179,2025-11-03T15:36:19Z,PRWOT,"-1.386628,-48.47998",0,12,289
1762184186,2025-11-03T15:36:26Z,PRWOT,"-1.386635,-48.48035",0,11,289
1762184193,2025-11-03T15:36:33Z,PRWOT,"-1.386635,-48.480724",0,11,289
1762184201,2025-11-03T15:36:41Z,PRWOT,"-1.386646,-48.481224",0,13,289
1762184211,2025-11-03T15:36:51Z,PRWOT,"-1.386658,-48.481747",0,12,289
1762184216,2025-11-03T15:36:56Z,PRWOT,"-1.386663,-48.482014",0,9,289
1762184339,2025-11-03T15:38:59Z,PRWOT,"-1.386675,-48.482216",0,0,289
1762184379,2025-11-03T15:39:39Z,PRWOT,"-1.386669,-48.482574",0,10,289
1762184390,2025-11-03T15:39:50Z,PRWOT,"-1.386623,-48.483109",0,9,315
1762184398,2025-11-03T15:39:58Z,PRWOT,"-1.386417,-48.483284",0,7,5
1762184458,2025-11-03T15:40:58Z,PRWOT,"-1.38607,-48.483021",0,0,64
1762184468,2025-11-03T15:41:08Z,PRWOT,"-1.385376,-48.482388",0,43,45
1762184473,2025-11-03T15:41:13Z,PRWOT,"-1.384184,-48.481102",0,53,45
1762184474,2025-11-03T15:41:14Z,PRWOT,"-1.383858,-48.48082",0,64,45
1762184475,2025-11-03T15:41:15Z,PRWOT,"-1.383636,-48.480572",0,69,46
1762184476,2025-11-03T15:41:16Z,PRWOT,"-1.383393,-48.480297",0,72,45
1762184482,2025-11-03T15:41:22Z,PRWOT,"-1.381714,-48.478615",0,81,46
1762184488,2025-11-03T15:41:28Z,PRWOT,"-1.380507,-48.477409",150,82,45
1762184490,2025-11-03T15:41:30Z,PRWOT,"-1.379715,-48.476604",175,82,44
1762184492,2025-11-03T15:41:32Z,PRWOT,"-1.379059,-48.476009",200,82,44
1762184494,2025-11-03T15:41:34Z,PRWOT,"-1.378412,-48.475372",225,81,43
1762184497,2025-11-03T15:41:37Z,PRWOT,"-1.377823,-48.474846",250,81,43
1762184499,2025-11-03T15:41:39Z,PRWOT,"-1.377248,-48.474285",275,80,43
1762184501,2025-11-03T15:41:41Z,PRWOT,"-1.376587,-48.473637",300,81,43
1762184503,2025-11-03T15:41:43Z,PRWOT,"-1.376038,-48.473148",325,81,43
1762184505,2025-11-03T15:41:45Z,PRWOT,"-1.375488,-48.472656",350,82,44
1762184508,2025-11-03T15:41:48Z,PRWOT,"-1.374874,-48.472057",375,82,43
1762184510,2025-11-03T15:41:50Z,PRWOT,"-1.374222,-48.471397",400,81,43
1762184512,2025-11-03T15:41:52Z,PRWOT,"-1.373663,-48.470875",425,82,43
1762184519,2025-11-03T15:41:59Z,PRWOT,"-1.37178,-48.46912",500,82,45
1762184521,2025-11-03T15:42:01Z,PRWOT,"-1.371185,-48.468513",525,82,45
1762184523,2025-11-03T15:42:03Z,PRWOT,"-1.370682,-48.468002",550,82,46
1762184525,2025-11-03T15:42:05Z,PRWOT,"-1.369986,-48.467228",575,82,46
1762184527,2025-11-03T15:42:07Z,PRWOT,"-1.3694,-48.466652",600,83,45
1762184529,2025-11-03T15:42:09Z,PRWOT,"-1.368822,-48.466091",625,84,45
1762184532,2025-11-03T15:42:12Z,PRWOT,"-1.36817,-48.465427",650,86,44
1762184534,2025-11-03T15:42:14Z,PRWOT,"-1.367615,-48.464836",675,89,45
1762184536,2025-11-03T15:42:16Z,PRWOT,"-1.366913,-48.464149",700,91,46
1762184539,2025-11-03T15:42:19Z,PRWOT,"-1.366287,-48.463486",700,94,45
1762184541,2025-11-03T15:42:21Z,PRWOT,"-1.36547,-48.462681",700,99,44
1762184543,2025-11-03T15:42:23Z,PRWOT,"-1.364777,-48.461998",700,103,45
1762184545,2025-11-03T15:42:25Z,PRWOT,"-1.363907,-48.461113",700,103,46
1762184548,2025-11-03T15:42:28Z,PRWOT,"-1.36322,-48.46032",725,104,50
1762184550,2025-11-03T15:42:30Z,PRWOT,"-1.362625,-48.459438",750,105,56
1762184552,2025-11-03T15:42:32Z,PRWOT,"-1.362165,-48.458611",775,105,65
1762184554,2025-11-03T15:42:34Z,PRWOT,"-1.361746,-48.45752",800,105,70
1762184556,2025-11-03T15:42:36Z,PRWOT,"-1.361467,-48.456573",825,104,74
1762184559,2025-11-03T15:42:39Z,PRWOT,"-1.361281,-48.455673",850,104,80
1762184561,2025-11-03T15:42:41Z,PRWOT,"-1.361094,-48.454491",900,104,83
1762184563,2025-11-03T15:42:43Z,PRWOT,"-1.361001,-48.453259",975,104,86
1762184565,2025-11-03T15:42:45Z,PRWOT,"-1.361001,-48.452217",1000,103,90
1762184568,2025-11-03T15:42:48Z,PRWOT,"-1.361069,-48.451012",1050,103,93
1762184570,2025-11-03T15:42:50Z,PRWOT,"-1.361187,-48.450085",1075,102,97
1762184572,2025-11-03T15:42:52Z,PRWOT,"-1.361374,-48.448902",1100,102,100
1762184574,2025-11-03T15:42:54Z,PRWOT,"-1.36156,-48.448097",1125,102,103
1762184577,2025-11-03T15:42:57Z,PRWOT,"-1.361886,-48.446915",1175,103,106
1762184579,2025-11-03T15:42:59Z,PRWOT,"-1.362259,-48.445984",1200,103,111
1762184581,2025-11-03T15:43:01Z,PRWOT,"-1.362724,-48.444973",1250,101,115
1762184583,2025-11-03T15:43:03Z,PRWOT,"-1.36322,-48.444122",1275,101,119
1762184585,2025-11-03T15:43:05Z,PRWOT,"-1.363701,-48.443363",1300,101,123
1762184587,2025-11-03T15:43:07Z,PRWOT,"-1.364273,-48.442585",1300,102,126
1762184590,2025-11-03T15:43:10Z,PRWOT,"-1.364868,-48.441841",1350,103,131
1762184592,2025-11-03T15:43:12Z,PRWOT,"-1.365703,-48.440945",1350,103,136
1762184594,2025-11-03T15:43:14Z,PRWOT,"-1.366448,-48.440331",1375,106,141
1762184596,2025-11-03T15:43:16Z,PRWOT,"-1.367477,-48.439606",1400,108,145
1762184599,2025-11-03T15:43:19Z,PRWOT,"-1.368347,-48.439095",1400,111,149
1762184601,2025-11-03T15:43:21Z,PRWOT,"-1.36952,-48.438438",1400,114,152
1762184603,2025-11-03T15:43:23Z,PRWOT,"-1.370453,-48.438068",1400,117,158
1762184605,2025-11-03T15:43:25Z,PRWOT,"-1.371894,-48.437584",1425,119,162
1762184607,2025-11-03T15:43:27Z,PRWOT,"-1.372872,-48.437347",1450,120,168
1762184609,2025-11-03T15:43:29Z,PRWOT,"-1.373886,-48.437183",1475,121,171
1762184611,2025-11-03T15:43:31Z,PRWOT,"-1.375122,-48.436996",1500,120,173
1762184614,2025-11-03T15:43:34Z,PRWOT,"-1.37641,-48.436874",1575,119,175
1762184616,2025-11-03T15:43:36Z,PRWOT,"-1.377434,-48.436825",1600,117,177
1762184618,2025-11-03T15:43:38Z,PRWOT,"-1.378784,-48.436779",1675,116,178
1762184620,2025-11-03T15:43:40Z,PRWOT,"-1.380134,-48.436733",1725,115,179
1762184622,2025-11-03T15:43:42Z,PRWOT,"-1.381073,-48.436718",1750,114,179
1762184625,2025-11-03T15:43:45Z,PRWOT,"-1.382369,-48.436684",1775,114,179
1762184627,2025-11-03T15:43:47Z,PRWOT,"-1.383408,-48.436672",1800,114,179
1762184629,2025-11-03T15:43:49Z,PRWOT,"-1.384689,-48.436672",1825,114,179
1762184631,2025-11-03T15:43:51Z,PRWOT,"-1.385907,-48.436638",1850,114,179
1762184634,2025-11-03T15:43:54Z,PRWOT,"-1.387164,-48.436638",1850,115,179
1762184636,2025-11-03T15:43:56Z,PRWOT,"-1.388306,-48.436626",1875,115,180
1762184638,2025-11-03T15:43:58Z,PRWOT,"-1.389445,-48.436638",1900,115,180
1762184641,2025-11-03T15:44:01Z,PRWOT,"-1.390778,-48.436626",1900,115,179
1762184643,2025-11-03T15:44:03Z,PRWOT,"-1.392288,-48.436626",1925,116,178
1762184645,2025-11-03T15:44:05Z,PRWOT,"-1.393158,-48.436581",1950,116,177
1762184647,2025-11-03T15:44:07Z,PRWOT,"-1.394612,-48.436543",1975,116,177
1762184649,2025-11-03T15:44:09Z,PRWOT,"-1.39559,-48.436447",1975,116,175
1762184652,2025-11-03T15:44:12Z,PRWOT,"-1.39694,-48.436352",2025,115,174
1762184654,2025-11-03T15:44:14Z,PRWOT,"-1.39801,-48.436207",2050,115,173
1762184656,2025-11-03T15:44:16Z,PRWOT,"-1.398988,-48.436115",2075,115,174
1762184658,2025-11-03T15:44:18Z,PRWOT,"-1.400345,-48.435974",2100,115,173
1762184660,2025-11-03T15:44:20Z,PRWOT,"-1.401215,-48.435883",2125,116,173
1762184662,2025-11-03T15:44:22Z,PRWOT,"-1.402496,-48.435696",2150,118,172
1762184665,2025-11-03T15:44:25Z,PRWOT,"-1.403643,-48.435547",2175,119,171
1762184667,2025-11-03T15:44:27Z,PRWOT,"-1.405086,-48.43531",2200,119,171
1762184669,2025-11-03T15:44:29Z,PRWOT,"-1.406342,-48.435135",2225,120,170
1762184671,2025-11-03T15:44:31Z,PRWOT,"-1.407486,-48.434952",2250,120,170
1762184673,2025-11-03T15:44:33Z,PRWOT,"-1.408764,-48.434742",2275,121,170
1762184676,2025-11-03T15:44:36Z,PRWOT,"-1.409729,-48.434578",2300,121,170
1762184678,2025-11-03T15:44:38Z,PRWOT,"-1.411194,-48.434345",2350,120,170
1762184680,2025-11-03T15:44:40Z,PRWOT,"-1.412535,-48.434128",2400,119,170
1762184682,2025-11-03T15:44:42Z,PRWOT,"-1.413605,-48.433937",2425,118,170
1762184685,2025-11-03T15:44:45Z,PRWOT,"-1.41481,-48.433739",2475,118,169
1762184687,2025-11-03T15:44:47Z,PRWOT,"-1.416138,-48.43346",2525,117,168
1762184689,2025-11-03T15:44:49Z,PRWOT,"-1.417423,-48.433228",2575,115,167
1762184692,2025-11-03T15:44:52Z,PRWOT,"-1.418472,-48.432949",2625,115,167
1762184698,2025-11-03T15:44:58Z,PRWOT,"-1.421768,-48.432205",2700,117,166
1762184707,2025-11-03T15:45:07Z,PRWOT,"-1.426547,-48.43119",2775,120,168
1762184709,2025-11-03T15:45:09Z,PRWOT,"-1.427811,-48.430946",2800,119,169
1762184711,2025-11-03T15:45:11Z,PRWOT,"-1.428909,-48.430759",2825,119,169
1762184714,2025-11-03T15:45:14Z,PRWOT,"-1.430457,-48.430435",2850,120,168
1762184720,2025-11-03T15:45:20Z,PRWOT,"-1.433945,-48.429783",2900,121,169
1762184723,2025-11-03T15:45:23Z,PRWOT,"-1.435345,-48.429535",2925,119,170
1762184725,2025-11-03T15:45:25Z,PRWOT,"-1.436462,-48.429363",2950,119,170
1762184727,2025-11-03T15:45:27Z,PRWOT,"-1.437859,-48.429153",3000,119,170
1762184729,2025-11-03T15:45:29Z,PRWOT,"-1.43893,-48.428967",3025,117,170
1762184732,2025-11-03T15:45:32Z,PRWOT,"-1.440326,-48.42873",3075,117,170
1762184734,2025-11-03T15:45:34Z,PRWOT,"-1.441315,-48.428574",3100,117,170
1762184743,2025-11-03T15:45:43Z,PRWOT,"-1.446442,-48.427734",3275,118,170
1762184752,2025-11-03T15:45:52Z,PRWOT,"-1.451126,-48.426929",3375,119,170
1762184761,2025-11-03T15:46:01Z,PRWOT,"-1.456294,-48.42617",3525,115,172
1762184768,2025-11-03T15:46:08Z,PRWOT,"-1.459832,-48.425697",3625,117,171
1762184775,2025-11-03T15:46:15Z,PRWOT,"-1.463695,-48.425034",3675,116,170
1762184779,2025-11-03T15:46:19Z,PRWOT,"-1.466116,-48.424656",3725,117,169
1762184782,2025-11-03T15:46:22Z,PRWOT,"-1.467187,-48.424419",3750,117,169
1762184784,2025-11-03T15:46:24Z,PRWOT,"-1.468323,-48.424244",3775,118,168
1762184787,2025-11-03T15:46:27Z,PRWOT,"-1.469879,-48.423916",3825,117,168
1762184789,2025-11-03T15:46:29Z,PRWOT,"-1.471298,-48.423637",3850,117,169
1762184791,2025-11-03T15:46:31Z,PRWOT,"-1.472168,-48.42345",3900,116,169
1762184793,2025-11-03T15:46:33Z,PRWOT,"-1.473471,-48.423237",3950,115,168
