Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762508114,2025-11-07T09:35:14Z,AFR1076,"49.002491,2.583413",0,1,160
1762508421,2025-11-07T09:40:21Z,AFR1076,"49.001816,2.583233",0,0,185
1762508435,2025-11-07T09:40:35Z,AFR1076,"49.001335,2.583178",0,9,182
1762508446,2025-11-07T09:40:46Z,AFR1076,"49.000851,2.583215",0,6,177
1762508460,2025-11-07T09:41:00Z,AFR1076,"49.000397,2.583284",0,7,171
1762508470,2025-11-07T09:41:10Z,AFR1076,"49.000168,2.583724",0,0,120
1762508479,2025-11-07T09:41:19Z,AFR1076,"49.000168,2.584322",0,10,90
1762508484,2025-11-07T09:41:24Z,AFR1076,"49.000198,2.584769",0,12,84
1762508488,2025-11-07T09:41:28Z,AFR1076,"49.000221,2.585148",0,14,84
1762508491,2025-11-07T09:41:31Z,AFR1076,"49.000237,2.585379",0,14,84
1762508493,2025-11-07T09:41:33Z,AFR1076,"49.000248,2.58566",0,15,84
1762508496,2025-11-07T09:41:36Z,AFR1076,"49.000271,2.585977",0,15,84
1762508499,2025-11-07T09:41:39Z,AFR1076,"49.000282,2.586277",0,16,84
1762508502,2025-11-07T09:41:42Z,AFR1076,"49.000305,2.586576",0,15,84
1762508509,2025-11-07T09:41:49Z,AFR1076,"49.000351,2.587262",0,11,84
1762508527,2025-11-07T09:42:07Z,AFR1076,"49.000408,2.588527",0,0,84
1762508531,2025-11-07T09:42:11Z,AFR1076,"49.000465,2.58878",0,0,75
1762508541,2025-11-07T09:42:21Z,AFR1076,"49.000843,2.588988",0,9,14
1762508550,2025-11-07T09:42:30Z,AFR1076,"49.001282,2.588925",0,11,357
1762508554,2025-11-07T09:42:34Z,AFR1076,"49.001507,2.5889",0,12,354
1762508559,2025-11-07T09:42:39Z,AFR1076,"49.001781,2.588882",0,14,354
1762508662,2025-11-07T09:44:22Z,AFR1076,"49.008472,2.586738",0,14,270
1762508809,2025-11-07T09:46:49Z,AFR1076,"49.01667,2.580079",0,0,354
1762508841,2025-11-07T09:47:21Z,AFR1076,"49.019886,2.578055",0,0,292
1762508861,2025-11-07T09:47:41Z,AFR1076,"49.019875,2.574797",0,24,264
1762508911,2025-11-07T09:48:31Z,AFR1076,"49.019337,2.564498",0,0,264
1762508976,2025-11-07T09:49:36Z,AFR1076,"49.018593,2.550765",0,0,264
1762508986,2025-11-07T09:49:46Z,AFR1076,"49.018539,2.549298",0,0,272
1762509048,2025-11-07T09:50:48Z,AFR1076,"49.018993,2.541384",0,22,264
1762509086,2025-11-07T09:51:26Z,AFR1076,"49.018696,2.535923",0,20,264
1762509105,2025-11-07T09:51:45Z,AFR1076,"49.018547,2.533106",0,18,264
1762509114,2025-11-07T09:51:54Z,AFR1076,"49.018494,2.532023",0,18,264
1762509154,2025-11-07T09:52:34Z,AFR1076,"49.018959,2.527454",0,0,348
1762509167,2025-11-07T09:52:47Z,AFR1076,"49.01968,2.527349",0,13,354
1762509178,2025-11-07T09:52:58Z,AFR1076,"49.020451,2.527271",0,17,354
1762509188,2025-11-07T09:53:08Z,AFR1076,"49.021294,2.527155",0,17,354
1762509219,2025-11-07T09:53:39Z,AFR1076,"49.022999,2.525301",0,0,267
1762509239,2025-11-07T09:53:59Z,AFR1076,"49.023136,2.524285",0,0,303
1762509259,2025-11-07T09:54:19Z,AFR1076,"49.023476,2.524235",0,8,357
1762509279,2025-11-07T09:54:39Z,AFR1076,"49.024548,2.525121",0,12,11
1762509287,2025-11-07T09:54:47Z,AFR1076,"49.024773,2.525148",0,0,5
1762509297,2025-11-07T09:54:57Z,AFR1076,"49.024792,2.525446",0,4,67
1762509326,2025-11-07T09:55:26Z,AFR1076,"49.024773,2.525746",0,10,84
1762509334,2025-11-07T09:55:34Z,AFR1076,"49.024876,2.527718",0,0,87
1762509342,2025-11-07T09:55:42Z,AFR1076,"49.025116,2.532114",0,92,87
1762509365,2025-11-07T09:56:05Z,AFR1076,"49.026352,2.553547",625,169,83
1762509371,2025-11-07T09:56:11Z,AFR1076,"49.026909,2.561332",875,166,83
1762509379,2025-11-07T09:56:19Z,AFR1076,"49.027607,2.571234",1250,165,84
1762509387,2025-11-07T09:56:27Z,AFR1076,"49.028137,2.580731",1600,167,85
1762509394,2025-11-07T09:56:34Z,AFR1076,"49.028366,2.587844",1800,171,88
1762509396,2025-11-07T09:56:36Z,AFR1076,"49.028397,2.59075",1900,172,88
1762509398,2025-11-07T09:56:38Z,AFR1076,"49.028397,2.59299",1950,174,89
1762509400,2025-11-07T09:56:40Z,AFR1076,"49.028412,2.595379",2025,174,89
1762509402,2025-11-07T09:56:42Z,AFR1076,"49.028412,2.598267",2125,175,90
1762509404,2025-11-07T09:56:44Z,AFR1076,"49.028412,2.600239",2175,176,90
1762509406,2025-11-07T09:56:46Z,AFR1076,"49.028412,2.602774",2275,176,90
1762509408,2025-11-07T09:56:48Z,AFR1076,"49.028366,2.60538",2350,174,90
1762509410,2025-11-07T09:56:50Z,AFR1076,"49.028351,2.60853",2450,172,90
1762509412,2025-11-07T09:56:52Z,AFR1076,"49.028351,2.610843",2525,172,90
1762509414,2025-11-07T09:56:54Z,AFR1076,"49.028351,2.613011",2575,172,90
1762509418,2025-11-07T09:56:58Z,AFR1076,"49.028366,2.618126",2675,173,89
1762509427,2025-11-07T09:57:07Z,AFR1076,"49.028412,2.628549",2850,176,89
1762509435,2025-11-07T09:57:15Z,AFR1076,"49.028492,2.638526",3050,177,89
1762509443,2025-11-07T09:57:23Z,AFR1076,"49.028629,2.648572",3250,176,89
1762509451,2025-11-07T09:57:31Z,AFR1076,"49.02877,2.658764",3500,174,88
1762509459,2025-11-07T09:57:39Z,AFR1076,"49.029144,2.668621",3725,175,85
1762509466,2025-11-07T09:57:46Z,AFR1076,"49.02956,2.67705",3825,180,85
1762509475,2025-11-07T09:57:55Z,AFR1076,"49.03006,2.6882",3950,187,85
1762509479,2025-11-07T09:57:59Z,AFR1076,"49.030334,2.694045",4025,192,85
1762509485,2025-11-07T09:58:05Z,AFR1076,"49.030746,2.702144",4100,196,85
1762509493,2025-11-07T09:58:13Z,AFR1076,"49.03133,2.713695",4225,204,84
1762509495,2025-11-07T09:58:15Z,AFR1076,"49.031662,2.717496",4250,208,81
1762509497,2025-11-07T09:58:17Z,AFR1076,"49.031982,2.719839",4275,211,79
1762509499,2025-11-07T09:58:19Z,AFR1076,"49.032402,2.72273",4300,214,76
1762509502,2025-11-07T09:58:22Z,AFR1076,"49.033192,2.726706",4325,217,73
1762509504,2025-11-07T09:58:24Z,AFR1076,"49.033798,2.729452",4350,221,68
1762509506,2025-11-07T09:58:26Z,AFR1076,"49.034683,2.732488",4350,225,65
1762509508,2025-11-07T09:58:28Z,AFR1076,"49.035782,2.735807",4375,226,64
1762509510,2025-11-07T09:58:30Z,AFR1076,"49.036869,2.738559",4400,231,58
1762509512,2025-11-07T09:58:32Z,AFR1076,"49.038082,2.741306",4425,234,54
1762509514,2025-11-07T09:58:34Z,AFR1076,"49.039337,2.743763",4450,237,50
1762509516,2025-11-07T09:58:36Z,AFR1076,"49.04092,2.746365",4475,239,46
1762509518,2025-11-07T09:58:38Z,AFR1076,"49.042419,2.748624",4500,242,43
1762509520,2025-11-07T09:58:40Z,AFR1076,"49.044022,2.750808",4525,245,39
1762509522,2025-11-07T09:58:42Z,AFR1076,"49.046413,2.753521",4550,249,35
1762509524,2025-11-07T09:58:44Z,AFR1076,"49.047913,2.754963",4550,253,32
1762509526,2025-11-07T09:58:46Z,AFR1076,"49.049953,2.756629",4575,256,27
1762509528,2025-11-07T09:58:48Z,AFR1076,"49.052765,2.758554",4625,258,23
1762509530,2025-11-07T09:58:50Z,AFR1076,"49.054825,2.759681",4650,261,18
1762509533,2025-11-07T09:58:53Z,AFR1076,"49.057297,2.760667",4700,263,14
1762509535,2025-11-07T09:58:55Z,AFR1076,"49.059814,2.761371",4725,265,10
1762509537,2025-11-07T09:58:57Z,AFR1076,"49.06266,2.761833",4775,267,6
1762509539,2025-11-07T09:58:59Z,AFR1076,"49.06517,2.761935",4825,271,4
1762509541,2025-11-07T09:59:01Z,AFR1076,"49.067688,2.761833",4850,273,356
1762509543,2025-11-07T09:59:03Z,AFR1076,"49.070068,2.761442",4900,275,352
1762509545,2025-11-07T09:59:05Z,AFR1076,"49.07309,2.760604",4925,276,348
1762509547,2025-11-07T09:59:07Z,AFR1076,"49.075928,2.759375",4975,278,344
1762509549,2025-11-07T09:59:09Z,AFR1076,"49.078487,2.758002",5000,279,339
1762509552,2025-11-07T09:59:12Z,AFR1076,"49.080734,2.756512",5025,280,335
1762509554,2025-11-07T09:59:14Z,AFR1076,"49.083115,2.75447",5075,281,331
1762509556,2025-11-07T09:59:16Z,AFR1076,"49.085312,2.752286",5125,282,326
1762509558,2025-11-07T09:59:18Z,AFR1076,"49.087334,2.749835",5175,282,322
1762509560,2025-11-07T09:59:20Z,AFR1076,"49.08952,2.746727",5225,281,317
1762509562,2025-11-07T09:59:22Z,AFR1076,"49.090965,2.744486",5275,280,313
1762509564,2025-11-07T09:59:24Z,AFR1076,"49.09264,2.741233",5350,279,308
