Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762700023,2025-11-09T14:53:43Z,AFR73DW,"49.002056,2.582896",0,7,163
1762700030,2025-11-09T14:53:50Z,AFR73DW,"49.001804,2.583072",0,10,165
1762700037,2025-11-09T14:53:57Z,AFR73DW,"49.001404,2.583143",0,12,171
1762700044,2025-11-09T14:54:04Z,AFR73DW,"49.001175,2.58316",0,7,174
1762700053,2025-11-09T14:54:13Z,AFR73DW,"49.000954,2.583179",0,4,177
1762700065,2025-11-09T14:54:25Z,AFR73DW,"49.000721,2.583215",0,5,174
1762700073,2025-11-09T14:54:33Z,AFR73DW,"49.000477,2.583269",0,9,174
1762700092,2025-11-09T14:54:52Z,AFR73DW,"49.000191,2.584551",0,0,87
1762700099,2025-11-09T14:54:59Z,AFR73DW,"49.000237,2.585308",0,16,84
1762700102,2025-11-09T14:55:02Z,AFR73DW,"49.000244,2.585582",0,17,87
1762700106,2025-11-09T14:55:06Z,AFR73DW,"49.000271,2.586013",0,18,84
1762700146,2025-11-09T14:55:46Z,AFR73DW,"49.000538,2.591093",0,0,84
1762700165,2025-11-09T14:56:05Z,AFR73DW,"49.000603,2.592457",0,0,87
1762700188,2025-11-09T14:56:28Z,AFR73DW,"49.000683,2.5939",0,9,87
1762700206,2025-11-09T14:56:46Z,AFR73DW,"49.000748,2.59505",0,0,84
1762700215,2025-11-09T14:56:55Z,AFR73DW,"49.000782,2.595665",0,0,84
1762700226,2025-11-09T14:57:06Z,AFR73DW,"49.00082,2.596436",0,11,84
1762700233,2025-11-09T14:57:13Z,AFR73DW,"49.000851,2.597002",0,11,84
1762700249,2025-11-09T14:57:29Z,AFR73DW,"49.000908,2.598104",0,0,87
1762700257,2025-11-09T14:57:37Z,AFR73DW,"49.000935,2.598601",0,9,87
1762700278,2025-11-09T14:57:58Z,AFR73DW,"49.00098,2.599658",0,0,84
1762700291,2025-11-09T14:58:11Z,AFR73DW,"49.001003,2.600037",0,5,84
1762700302,2025-11-09T14:58:22Z,AFR73DW,"49.001015,2.600239",0,1,84
1762700460,2025-11-09T15:01:00Z,AFR73DW,"49.001026,2.60052",0,0,84
1762700471,2025-11-09T15:01:11Z,AFR73DW,"49.001049,2.600959",0,7,84
1762700478,2025-11-09T15:01:18Z,AFR73DW,"49.001083,2.601365",0,9,84
1762700483,2025-11-09T15:01:23Z,AFR73DW,"49.001083,2.601646",0,8,90
1762700487,2025-11-09T15:01:27Z,AFR73DW,"49.001049,2.601881",0,9,101
1762700495,2025-11-09T15:01:35Z,AFR73DW,"49.000954,2.602097",0,10,129
