Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762710417,2025-11-09T17:46:57Z,AFR88TE,"49.004425,2.601122",0,0,267
1762710490,2025-11-09T17:48:10Z,AFR88TE,"49.004425,2.60133",0,0,286
1762710512,2025-11-09T17:48:32Z,AFR88TE,"49.004368,2.601594",0,0,278
1762710721,2025-11-09T17:52:01Z,AFR88TE,"49.004288,2.601946",0,0,177
1762710727,2025-11-09T17:52:07Z,AFR88TE,"49.003586,2.601971",0,0,196
1762710737,2025-11-09T17:52:17Z,AFR88TE,"49.003429,2.601647",0,6,250
1762710751,2025-11-09T17:52:31Z,AFR88TE,"49.003365,2.600959",0,8,264
1762710769,2025-11-09T17:52:49Z,AFR88TE,"49.003304,2.599833",0,0,264
1762710775,2025-11-09T17:52:55Z,AFR88TE,"49.003284,2.599441",0,8,264
1762710782,2025-11-09T17:53:02Z,AFR88TE,"49.003273,2.59908",0,8,264
1762710790,2025-11-09T17:53:10Z,AFR88TE,"49.003235,2.598628",0,7,264
1762710797,2025-11-09T17:53:17Z,AFR88TE,"49.003223,2.598284",0,7,267
1762710805,2025-11-09T17:53:25Z,AFR88TE,"49.003212,2.59796",0,5,267
1762710812,2025-11-09T17:53:32Z,AFR88TE,"49.003189,2.59767",0,5,267
1762710822,2025-11-09T17:53:42Z,AFR88TE,"49.003178,2.597404",0,3,264
1762710865,2025-11-09T17:54:25Z,AFR88TE,"49.003166,2.597183",0,0,267
1762710935,2025-11-09T17:55:35Z,AFR88TE,"49.001259,2.596351",0,0,177
1762710944,2025-11-09T17:55:44Z,AFR88TE,"49.000843,2.5964",0,0,177
1762710957,2025-11-09T17:55:57Z,AFR88TE,"49.000305,2.596496",0,8,165
1762710975,2025-11-09T17:56:15Z,AFR88TE,"48.999973,2.597386",0,0,87
1762711010,2025-11-09T17:56:50Z,AFR88TE,"49.000118,2.60011",0,0,84
1762711023,2025-11-09T17:57:03Z,AFR88TE,"49.000168,2.601136",0,11,84
1762711030,2025-11-09T17:57:10Z,AFR88TE,"49.00021,2.601718",0,11,87
1762711037,2025-11-09T17:57:17Z,AFR88TE,"49.000221,2.60217",0,10,84
1762711041,2025-11-09T17:57:21Z,AFR88TE,"49.000244,2.602477",0,9,84
1762711046,2025-11-09T17:57:26Z,AFR88TE,"49.000271,2.602809",0,8,84
1762711051,2025-11-09T17:57:31Z,AFR88TE,"49.000282,2.603073",0,7,84
1762711056,2025-11-09T17:57:36Z,AFR88TE,"49.000294,2.603308",0,7,87
1762711062,2025-11-09T17:57:42Z,AFR88TE,"49.000271,2.603566",0,6,104
1762711069,2025-11-09T17:57:49Z,AFR88TE,"49.000153,2.603832",0,6,129
