Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762250452,2025-11-04T10:00:52Z,AIC2445,"17.234232,78.434906",0,0,0
1762250474,2025-11-04T10:01:14Z,AIC2445,"17.234013,78.434914",0,0,357
1762250496,2025-11-04T10:01:36Z,AIC2445,"17.233812,78.434937",0,2,47
1762250529,2025-11-04T10:02:09Z,AIC2445,"17.233696,78.434731",0,2,87
1762250779,2025-11-04T10:06:19Z,AIC2445,"17.233673,78.434937",0,4,90
1762250788,2025-11-04T10:06:28Z,AIC2445,"17.233673,78.435158",0,5,90
1762250795,2025-11-04T10:06:35Z,AIC2445,"17.233681,78.435371",0,6,87
1762250806,2025-11-04T10:06:46Z,AIC2445,"17.233681,78.435722",0,7,90
1762250812,2025-11-04T10:06:52Z,AIC2445,"17.233681,78.435974",0,8,90
1762250819,2025-11-04T10:06:59Z,AIC2445,"17.233685,78.436226",0,8,92
1762250825,2025-11-04T10:07:05Z,AIC2445,"17.233681,78.436447",0,7,90
1762250832,2025-11-04T10:07:12Z,AIC2445,"17.233669,78.436661",0,7,95
1762250843,2025-11-04T10:07:23Z,AIC2445,"17.233429,78.436905",0,7,146
1762250851,2025-11-04T10:07:31Z,AIC2445,"17.233162,78.436935",0,7,171
1762250858,2025-11-04T10:07:38Z,AIC2445,"17.232929,78.436966",0,7,174
1762250866,2025-11-04T10:07:46Z,AIC2445,"17.232639,78.437057",0,8,154
1762250873,2025-11-04T10:07:53Z,AIC2445,"17.232525,78.437309",0,9,109
1762250880,2025-11-04T10:08:00Z,AIC2445,"17.232536,78.437592",0,10,90
1762250885,2025-11-04T10:08:05Z,AIC2445,"17.232544,78.437836",0,10,90
1762250889,2025-11-04T10:08:09Z,AIC2445,"17.232544,78.438057",0,11,90
1762250894,2025-11-04T10:08:14Z,AIC2445,"17.232555,78.438263",0,11,87
1762250897,2025-11-04T10:08:17Z,AIC2445,"17.232555,78.438499",0,11,87
1762250901,2025-11-04T10:08:21Z,AIC2445,"17.232567,78.438705",0,11,90
1762250905,2025-11-04T10:08:25Z,AIC2445,"17.232559,78.438934",0,11,90
1762250909,2025-11-04T10:08:29Z,AIC2445,"17.232559,78.43914",0,11,90
1762250921,2025-11-04T10:08:41Z,AIC2445,"17.232582,78.439758",0,10,90
1762250932,2025-11-04T10:08:52Z,AIC2445,"17.23258,78.440262",0,10,90
1762250949,2025-11-04T10:09:09Z,AIC2445,"17.232592,78.441055",0,9,90
1762250958,2025-11-04T10:09:18Z,AIC2445,"17.232594,78.441406",0,9,90
1762250964,2025-11-04T10:09:24Z,AIC2445,"17.232594,78.441681",0,9,87
1762250969,2025-11-04T10:09:29Z,AIC2445,"17.232603,78.44194",0,9,90
1762250975,2025-11-04T10:09:35Z,AIC2445,"17.232603,78.442184",0,9,87
1762250990,2025-11-04T10:09:50Z,AIC2445,"17.232626,78.442886",0,0,87
1762250999,2025-11-04T10:09:59Z,AIC2445,"17.232628,78.44326",0,0,90
1762251011,2025-11-04T10:10:11Z,AIC2445,"17.232388,78.443687",0,0,143
1762251022,2025-11-04T10:10:22Z,AIC2445,"17.23185,78.443687",0,10,180
