Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762237545,2025-11-04T06:25:45Z,AIC2630,"13.199284,77.722763",0,0,90
1762237571,2025-11-04T06:26:11Z,AIC2630,"13.199284,77.722557",0,0,92
1762237592,2025-11-04T06:26:32Z,AIC2630,"13.199284,77.722343",0,0,104
1762237616,2025-11-04T06:26:56Z,AIC2630,"13.199351,77.722137",0,0,104
1762237640,2025-11-04T06:27:20Z,AIC2630,"13.199432,77.721924",0,2,53
1762237903,2025-11-04T06:31:43Z,AIC2630,"13.199642,77.721779",0,4,2
1762237911,2025-11-04T06:31:51Z,AIC2630,"13.199856,77.721771",0,6,2
1762237919,2025-11-04T06:31:59Z,AIC2630,"13.200108,77.721786",0,7,2
1762237927,2025-11-04T06:32:07Z,AIC2630,"13.200434,77.721779",0,8,2
1762237935,2025-11-04T06:32:15Z,AIC2630,"13.200726,77.721786",0,8,2
1762237942,2025-11-04T06:32:22Z,AIC2630,"13.200966,77.721786",0,7,2
1762237949,2025-11-04T06:32:29Z,AIC2630,"13.201195,77.721786",0,8,2
1762237957,2025-11-04T06:32:37Z,AIC2630,"13.201505,77.721802",0,8,5
1762237965,2025-11-04T06:32:45Z,AIC2630,"13.20171,77.721985",0,8,45
1762237970,2025-11-04T06:32:50Z,AIC2630,"13.201744,77.722198",0,8,78
1762237976,2025-11-04T06:32:56Z,AIC2630,"13.201737,77.722404",0,7,90
1762237982,2025-11-04T06:33:02Z,AIC2630,"13.201737,77.72261",0,8,90
1762237987,2025-11-04T06:33:07Z,AIC2630,"13.201733,77.722839",0,10,90
1762237995,2025-11-04T06:33:15Z,AIC2630,"13.201721,77.723228",0,12,90
1762238002,2025-11-04T06:33:22Z,AIC2630,"13.201721,77.723656",0,12,90
1762238010,2025-11-04T06:33:30Z,AIC2630,"13.201715,77.724106",0,13,90
1762238018,2025-11-04T06:33:38Z,AIC2630,"13.201715,77.724449",0,13,90
1762238025,2025-11-04T06:33:45Z,AIC2630,"13.20171,77.724945",0,9,87
1762238030,2025-11-04T06:33:50Z,AIC2630,"13.201796,77.725174",0,9,67
1762238039,2025-11-04T06:33:59Z,AIC2630,"13.202005,77.725296",0,6,28
1762238045,2025-11-04T06:34:05Z,AIC2630,"13.202213,77.725288",0,7,2
1762238051,2025-11-04T06:34:11Z,AIC2630,"13.202435,77.725281",0,9,2
1762238056,2025-11-04T06:34:16Z,AIC2630,"13.202645,77.725281",0,8,2
1762238064,2025-11-04T06:34:24Z,AIC2630,"13.202913,77.725281",0,8,2
1762238071,2025-11-04T06:34:31Z,AIC2630,"13.203238,77.725296",0,9,2
1762238076,2025-11-04T06:34:36Z,AIC2630,"13.203461,77.725266",0,8,348
1762238104,2025-11-04T06:35:04Z,AIC2630,"13.203678,77.725098",0,3,320
1762238116,2025-11-04T06:35:16Z,AIC2630,"13.203861,77.724884",0,6,312
1762238126,2025-11-04T06:35:26Z,AIC2630,"13.204065,77.724655",0,8,312
1762238133,2025-11-04T06:35:33Z,AIC2630,"13.204239,77.724434",0,9,309
1762238140,2025-11-04T06:35:40Z,AIC2630,"13.204461,77.724174",0,10,309
1762238147,2025-11-04T06:35:47Z,AIC2630,"13.204659,77.723938",0,11,309
1762238154,2025-11-04T06:35:54Z,AIC2630,"13.204891,77.723656",0,10,309
1762238160,2025-11-04T06:36:00Z,AIC2630,"13.205031,77.72345",0,9,303
1762238165,2025-11-04T06:36:05Z,AIC2630,"13.205097,77.723244",0,8,286
1762238171,2025-11-04T06:36:11Z,AIC2630,"13.205148,77.72303",0,7,286
1762238181,2025-11-04T06:36:21Z,AIC2630,"13.205395,77.722839",0,7,329
1762238189,2025-11-04T06:36:29Z,AIC2630,"13.205692,77.722824",0,9,354
1762238193,2025-11-04T06:36:33Z,AIC2630,"13.205904,77.722824",0,11,357
1762238197,2025-11-04T06:36:37Z,AIC2630,"13.206104,77.722824",0,12,357
1762238201,2025-11-04T06:36:41Z,AIC2630,"13.206358,77.722824",0,13,357
1762238205,2025-11-04T06:36:45Z,AIC2630,"13.206579,77.722801",0,12,351
1762238210,2025-11-04T06:36:50Z,AIC2630,"13.206788,77.722656",0,9,323
1762238217,2025-11-04T06:36:57Z,AIC2630,"13.206825,77.72245",0,6,284
1762238255,2025-11-04T06:37:35Z,AIC2630,"13.206825,77.722244",0,0,272
1762238262,2025-11-04T06:37:42Z,AIC2630,"13.206837,77.721985",0,12,272
1762238269,2025-11-04T06:37:49Z,AIC2630,"13.206848,77.721046",0,37,270
1762238276,2025-11-04T06:37:56Z,AIC2630,"13.20687,77.718704",0,74,270
1762238280,2025-11-04T06:38:00Z,AIC2630,"13.206882,77.71714",0,90,270
1762238281,2025-11-04T06:38:01Z,AIC2630,"13.206882,77.716904",0,90,270
1762238283,2025-11-04T06:38:03Z,AIC2630,"13.20687,77.716034",2875,99,270
1762238286,2025-11-04T06:38:06Z,AIC2630,"13.206894,77.714111",2875,115,270
1762238294,2025-11-04T06:38:14Z,AIC2630,"13.20694,77.709",2875,136,270
1762238300,2025-11-04T06:38:20Z,AIC2630,"13.207009,77.704369",2825,157,271
