Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762691903,2025-11-09T12:38:23Z,AIC2910,"19.088419,72.842354",1100,152,269
1762691912,2025-11-09T12:38:32Z,AIC2910,"19.088379,72.836067",1275,162,269
1762691920,2025-11-09T12:38:40Z,AIC2910,"19.088326,72.82917",1450,173,269
1762691926,2025-11-09T12:38:46Z,AIC2910,"19.088287,72.823708",1600,181,269
1762691935,2025-11-09T12:38:55Z,AIC2910,"19.088242,72.815712",1875,191,269
1762691943,2025-11-09T12:39:03Z,AIC2910,"19.088104,72.807915",2225,194,269
1762691949,2025-11-09T12:39:09Z,AIC2910,"19.088047,72.802452",2500,194,269
1762691957,2025-11-09T12:39:17Z,AIC2910,"19.08786,72.79406",2900,196,268
1762691966,2025-11-09T12:39:26Z,AIC2910,"19.087721,72.785973",3250,200,268
1762691974,2025-11-09T12:39:34Z,AIC2910,"19.087627,72.778282",3575,204,269
1762691980,2025-11-09T12:39:40Z,AIC2910,"19.087555,72.771721",3875,206,269
1762691988,2025-11-09T12:39:48Z,AIC2910,"19.087395,72.762947",4275,207,268
1762691995,2025-11-09T12:39:55Z,AIC2910,"19.087509,72.757301",4575,208,273
1762691997,2025-11-09T12:39:57Z,AIC2910,"19.087767,72.754761",4700,208,276
1762691999,2025-11-09T12:39:59Z,AIC2910,"19.088047,72.753113",4775,209,279
1762692001,2025-11-09T12:40:01Z,AIC2910,"19.088608,72.750633",4900,210,282
1762692003,2025-11-09T12:40:03Z,AIC2910,"19.089211,72.748665",4975,210,286
1762692005,2025-11-09T12:40:05Z,AIC2910,"19.090002,72.746719",5075,212,290
1762692007,2025-11-09T12:40:07Z,AIC2910,"19.090714,72.745087",5150,213,294
1762692009,2025-11-09T12:40:09Z,AIC2910,"19.091724,72.743378",5250,214,298
1762692011,2025-11-09T12:40:11Z,AIC2910,"19.092794,72.74173",5325,215,303
1762692013,2025-11-09T12:40:13Z,AIC2910,"19.094238,72.73983",5425,216,308
1762692015,2025-11-09T12:40:15Z,AIC2910,"19.095634,72.738434",5525,217,313
1762692017,2025-11-09T12:40:17Z,AIC2910,"19.097351,72.736847",5625,219,320
1762692019,2025-11-09T12:40:19Z,AIC2910,"19.099173,72.735687",5700,220,323
1762692021,2025-11-09T12:40:21Z,AIC2910,"19.100988,72.734589",5800,221,330
1762692023,2025-11-09T12:40:23Z,AIC2910,"19.102936,72.733658",5900,222,335
