Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762748844,2025-11-10T04:27:24Z,AMX564,"19.423956,-99.079178",0,0,61
1762748887,2025-11-10T04:28:07Z,AMX564,"19.423769,-99.079575",0,0,50
1762748922,2025-11-10T04:28:42Z,AMX564,"19.423565,-99.079773",0,1,326
1762749162,2025-11-10T04:32:42Z,AMX564,"19.423725,-99.080078",0,3,298
1762749173,2025-11-10T04:32:53Z,AMX564,"19.423794,-99.080299",0,5,289
1762749182,2025-11-10T04:33:02Z,AMX564,"19.423874,-99.080528",0,5,286
1762749193,2025-11-10T04:33:13Z,AMX564,"19.423943,-99.080765",0,4,286
1762749205,2025-11-10T04:33:25Z,AMX564,"19.424015,-99.080986",0,4,286
1762749220,2025-11-10T04:33:40Z,AMX564,"19.424068,-99.081207",0,3,286
1762749242,2025-11-10T04:34:02Z,AMX564,"19.424143,-99.081413",0,0,286
1762749256,2025-11-10T04:34:16Z,AMX564,"19.424177,-99.081627",0,5,278
1762749267,2025-11-10T04:34:27Z,AMX564,"19.42408,-99.081871",0,5,244
1762749277,2025-11-10T04:34:37Z,AMX564,"19.424038,-99.0821",0,5,264
1762749288,2025-11-10T04:34:48Z,AMX564,"19.424223,-99.082314",0,6,320
1762749296,2025-11-10T04:34:56Z,AMX564,"19.424433,-99.08242",0,7,331
1762749304,2025-11-10T04:35:04Z,AMX564,"19.424677,-99.082573",0,8,329
1762749312,2025-11-10T04:35:12Z,AMX564,"19.424934,-99.082733",0,8,331
1762749318,2025-11-10T04:35:18Z,AMX564,"19.425156,-99.082863",0,8,329
1762749325,2025-11-10T04:35:25Z,AMX564,"19.425373,-99.083008",0,8,323
1762749333,2025-11-10T04:35:33Z,AMX564,"19.425562,-99.083237",0,8,306
1762749340,2025-11-10T04:35:40Z,AMX564,"19.425667,-99.083458",0,8,295
1762749347,2025-11-10T04:35:47Z,AMX564,"19.425772,-99.08371",0,8,295
1762749354,2025-11-10T04:35:54Z,AMX564,"19.425877,-99.083961",0,8,292
1762749361,2025-11-10T04:36:01Z,AMX564,"19.425968,-99.084198",0,8,292
1762749368,2025-11-10T04:36:08Z,AMX564,"19.426083,-99.084457",0,8,292
1762749375,2025-11-10T04:36:15Z,AMX564,"19.426167,-99.084671",0,7,292
1762749385,2025-11-10T04:36:25Z,AMX564,"19.42626,-99.084885",0,3,292
1762749794,2025-11-10T04:43:14Z,AMX564,"19.426353,-99.085106",0,6,292
1762749801,2025-11-10T04:43:21Z,AMX564,"19.42647,-99.085381",0,10,292
1762749809,2025-11-10T04:43:29Z,AMX564,"19.426634,-99.085793",0,14,292
1762749812,2025-11-10T04:43:32Z,AMX564,"19.426689,-99.086021",0,15,284
1762749815,2025-11-10T04:43:35Z,AMX564,"19.426714,-99.086227",0,16,278
