Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762295013,2025-11-04T22:23:33Z,ASA1399,"23.165646,-106.270973",0,0,334
1762295119,2025-11-04T22:25:19Z,ASA1399,"23.16544,-106.270866",0,0,351
1762295142,2025-11-04T22:25:42Z,ASA1399,"23.165234,-106.270828",0,0,8
1762295163,2025-11-04T22:26:03Z,ASA1399,"23.165028,-106.270866",0,0,30
1762295197,2025-11-04T22:26:37Z,ASA1399,"23.164822,-106.271049",0,0,87
1762295421,2025-11-04T22:30:21Z,ASA1399,"23.164812,-106.270813",0,6,92
1762295428,2025-11-04T22:30:28Z,ASA1399,"23.164801,-106.270561",0,9,92
1762295435,2025-11-04T22:30:35Z,ASA1399,"23.164787,-106.270203",0,11,92
1762295443,2025-11-04T22:30:43Z,ASA1399,"23.164776,-106.269775",0,11,92
1762295450,2025-11-04T22:30:50Z,ASA1399,"23.164753,-106.269363",0,11,92
1762295457,2025-11-04T22:30:57Z,ASA1399,"23.164742,-106.26902",0,10,92
1762295462,2025-11-04T22:31:02Z,ASA1399,"23.164719,-106.268784",0,9,98
1762295468,2025-11-04T22:31:08Z,ASA1399,"23.164568,-106.268578",0,9,135
1762295473,2025-11-04T22:31:13Z,ASA1399,"23.164358,-106.268539",0,9,168
1762295479,2025-11-04T22:31:19Z,ASA1399,"23.164148,-106.268539",0,9,180
1762295484,2025-11-04T22:31:24Z,ASA1399,"23.163904,-106.268555",0,9,182
1762295490,2025-11-04T22:31:30Z,ASA1399,"23.163654,-106.268555",0,9,182
1762295496,2025-11-04T22:31:36Z,ASA1399,"23.163391,-106.268539",0,10,174
1762295501,2025-11-04T22:31:41Z,ASA1399,"23.16316,-106.268478",0,11,165
1762295507,2025-11-04T22:31:47Z,ASA1399,"23.162905,-106.268333",0,11,149
1762295512,2025-11-04T22:31:52Z,ASA1399,"23.162672,-106.26812",0,11,135
1762295517,2025-11-04T22:31:57Z,ASA1399,"23.162521,-106.267891",0,11,126
1762295522,2025-11-04T22:32:02Z,ASA1399,"23.162373,-106.267632",0,12,120
1762295527,2025-11-04T22:32:07Z,ASA1399,"23.16223,-106.26738",0,12,118
1762295532,2025-11-04T22:32:12Z,ASA1399,"23.162098,-106.26712",0,13,118
1762295536,2025-11-04T22:32:16Z,ASA1399,"23.161972,-106.266869",0,12,118
1762295543,2025-11-04T22:32:23Z,ASA1399,"23.1618,-106.26651",0,13,115
1762295546,2025-11-04T22:32:26Z,ASA1399,"23.161705,-106.266251",0,15,109
1762295549,2025-11-04T22:32:29Z,ASA1399,"23.161659,-106.266045",0,17,106
1762295551,2025-11-04T22:32:31Z,ASA1399,"23.1616,-106.265808",0,18,101
1762295554,2025-11-04T22:32:34Z,ASA1399,"23.16156,-106.265572",0,20,98
1762295556,2025-11-04T22:32:36Z,ASA1399,"23.161537,-106.265282",0,22,95
1762295559,2025-11-04T22:32:39Z,ASA1399,"23.161526,-106.264984",0,23,92
1762295561,2025-11-04T22:32:41Z,ASA1399,"23.161507,-106.264671",0,23,92
1762295563,2025-11-04T22:32:43Z,ASA1399,"23.161495,-106.26442",0,23,92
1762295566,2025-11-04T22:32:46Z,ASA1399,"23.161484,-106.264175",0,23,92
1762295568,2025-11-04T22:32:48Z,ASA1399,"23.161461,-106.263901",0,23,92
1762295570,2025-11-04T22:32:50Z,ASA1399,"23.161449,-106.263603",0,23,92
1762295578,2025-11-04T22:32:58Z,ASA1399,"23.161402,-106.262726",0,23,92
1762295585,2025-11-04T22:33:05Z,ASA1399,"23.161356,-106.261848",0,22,92
1762295592,2025-11-04T22:33:12Z,ASA1399,"23.16132,-106.261055",0,22,92
1762295599,2025-11-04T22:33:19Z,ASA1399,"23.161274,-106.260315",0,22,92
1762295606,2025-11-04T22:33:26Z,ASA1399,"23.16124,-106.259552",0,21,92
1762295614,2025-11-04T22:33:34Z,ASA1399,"23.161205,-106.258636",0,21,92
1762295623,2025-11-04T22:33:43Z,ASA1399,"23.161146,-106.257668",0,22,92
1762295629,2025-11-04T22:33:49Z,ASA1399,"23.161114,-106.256958",0,22,92
1762295636,2025-11-04T22:33:56Z,ASA1399,"23.161064,-106.256119",0,22,92
1762295643,2025-11-04T22:34:03Z,ASA1399,"23.161041,-106.255341",0,21,92
1762295650,2025-11-04T22:34:10Z,ASA1399,"23.161007,-106.254601",0,21,92
1762295658,2025-11-04T22:34:18Z,ASA1399,"23.160976,-106.253807",0,21,92
1762295664,2025-11-04T22:34:24Z,ASA1399,"23.160973,-106.253181",0,20,90
1762295666,2025-11-04T22:34:26Z,ASA1399,"23.160984,-106.252914",0,19,84
1762295669,2025-11-04T22:34:29Z,ASA1399,"23.161011,-106.252647",0,17,84
1762295673,2025-11-04T22:34:33Z,ASA1399,"23.161057,-106.252365",0,14,81
1762295678,2025-11-04T22:34:38Z,ASA1399,"23.161114,-106.252022",0,13,81
1762295682,2025-11-04T22:34:42Z,ASA1399,"23.161114,-106.251778",0,11,95
1762295692,2025-11-04T22:34:52Z,ASA1399,"23.160868,-106.251602",0,6,174
1762295701,2025-11-04T22:35:01Z,ASA1399,"23.160856,-106.251816",0,4,261
1762295710,2025-11-04T22:35:10Z,ASA1399,"23.160868,-106.252022",0,4,272
1762295719,2025-11-04T22:35:19Z,ASA1399,"23.160879,-106.252266",0,8,272
1762295724,2025-11-04T22:35:24Z,ASA1399,"23.160891,-106.252571",0,20,272
1762295727,2025-11-04T22:35:27Z,ASA1399,"23.160919,-106.253014",0,34,272
1762295728,2025-11-04T22:35:28Z,ASA1399,"23.160931,-106.253326",0,39,272
1762295735,2025-11-04T22:35:35Z,ASA1399,"23.161007,-106.254921",0,66,272
1762295743,2025-11-04T22:35:43Z,ASA1399,"23.16118,-106.258698",0,95,273
1762295749,2025-11-04T22:35:49Z,ASA1399,"23.161377,-106.26226",25,122,272
1762295758,2025-11-04T22:35:58Z,ASA1399,"23.161648,-106.268211",25,152,273
1762295762,2025-11-04T22:36:02Z,ASA1399,"23.161835,-106.271797",25,166,273
1762295764,2025-11-04T22:36:04Z,ASA1399,"23.161972,-106.273994",75,169,273
1762295766,2025-11-04T22:36:06Z,ASA1399,"23.162066,-106.275841",125,170,273
1762295769,2025-11-04T22:36:09Z,ASA1399,"23.162155,-106.277695",225,169,273
1762295775,2025-11-04T22:36:15Z,ASA1399,"23.162485,-106.282806",500,166,273
1762295785,2025-11-04T22:36:25Z,ASA1399,"23.163025,-106.291077",875,168,273
1762295793,2025-11-04T22:36:33Z,ASA1399,"23.163462,-106.298424",1175,168,273
1762295801,2025-11-04T22:36:41Z,ASA1399,"23.163742,-106.304932",1350,174,272
1762295810,2025-11-04T22:36:50Z,ASA1399,"23.16394,-106.312103",1525,183,271
1762295820,2025-11-04T22:37:00Z,ASA1399,"23.164307,-106.321938",1725,194,272
1762295827,2025-11-04T22:37:07Z,ASA1399,"23.164627,-106.329552",1875,200,272
1762295836,2025-11-04T22:37:16Z,ASA1399,"23.165045,-106.338348",2025,212,272
1762295843,2025-11-04T22:37:23Z,ASA1399,"23.165405,-106.345955",2175,219,272
1762295852,2025-11-04T22:37:32Z,ASA1399,"23.165836,-106.355949",2325,229,272
1762295860,2025-11-04T22:37:40Z,ASA1399,"23.166208,-106.366371",2550,239,272
1762295867,2025-11-04T22:37:47Z,ASA1399,"23.166489,-106.374153",2750,244,272
1762295876,2025-11-04T22:37:56Z,ASA1399,"23.166908,-106.384277",2950,252,273
1762295880,2025-11-04T22:38:00Z,ASA1399,"23.167606,-106.390633",3075,257,279
1762295882,2025-11-04T22:38:02Z,ASA1399,"23.168198,-106.393745",3125,260,282
1762295885,2025-11-04T22:38:05Z,ASA1399,"23.168884,-106.396393",3175,262,288
1762295887,2025-11-04T22:38:07Z,ASA1399,"23.170166,-106.399994",3250,263,292
1762295889,2025-11-04T22:38:09Z,ASA1399,"23.17119,-106.402283",3300,263,296
1762295892,2025-11-04T22:38:12Z,ASA1399,"23.172447,-106.404572",3375,264,303
1762295895,2025-11-04T22:38:15Z,ASA1399,"23.175156,-106.408577",3525,263,307
1762295897,2025-11-04T22:38:17Z,ASA1399,"23.176497,-106.410217",3600,263,314
1762295899,2025-11-04T22:38:19Z,ASA1399,"23.179184,-106.412827",3725,262,319
1762295903,2025-11-04T22:38:23Z,ASA1399,"23.182316,-106.415199",3850,261,325
1762295905,2025-11-04T22:38:25Z,ASA1399,"23.183479,-106.415962",3925,261,330
1762295907,2025-11-04T22:38:27Z,ASA1399,"23.186878,-106.417999",4025,261,331
1762295909,2025-11-04T22:38:29Z,ASA1399,"23.189117,-106.41922",4125,262,334
1762295911,2025-11-04T22:38:31Z,ASA1399,"23.191452,-106.420364",4200,263,334
1762295913,2025-11-04T22:38:33Z,ASA1399,"23.193628,-106.421455",4275,264,335
1762295916,2025-11-04T22:38:36Z,ASA1399,"23.196562,-106.422882",4375,265,335
1762295918,2025-11-04T22:38:38Z,ASA1399,"23.198639,-106.423859",4450,265,335
1762295920,2025-11-04T22:38:40Z,ASA1399,"23.200705,-106.424866",4500,266,336
1762295922,2025-11-04T22:38:42Z,ASA1399,"23.203491,-106.426208",4625,266,335
1762295924,2025-11-04T22:38:44Z,ASA1399,"23.205643,-106.427254",4700,266,334
1762295927,2025-11-04T22:38:47Z,ASA1399,"23.209763,-106.429405",4875,266,333
1762295929,2025-11-04T22:38:49Z,ASA1399,"23.21196,-106.430603",4950,266,333
1762295932,2025-11-04T22:38:52Z,ASA1399,"23.214577,-106.432037",5050,268,332
1762295934,2025-11-04T22:38:54Z,ASA1399,"23.216721,-106.43325",5100,269,332
1762295936,2025-11-04T22:38:56Z,ASA1399,"23.218906,-106.434532",5150,271,331
1762295950,2025-11-04T22:39:10Z,ASA1399,"23.233887,-106.443886",5700,274,328
1762295964,2025-11-04T22:39:24Z,ASA1399,"23.250004,-106.455177",6325,274,326
1762295978,2025-11-04T22:39:38Z,ASA1399,"23.264061,-106.465302",6900,274,325
1762295991,2025-11-04T22:39:51Z,ASA1399,"23.277695,-106.475548",7400,276,324
1762296004,2025-11-04T22:40:04Z,ASA1399,"23.291382,-106.486031",7900,280,324
1762296017,2025-11-04T22:40:17Z,ASA1399,"23.305161,-106.496674",8350,284,324
1762296030,2025-11-04T22:40:30Z,ASA1399,"23.319227,-106.507362",8850,287,324
1762296043,2025-11-04T22:40:43Z,ASA1399,"23.333471,-106.51815",9400,288,325
1762296057,2025-11-04T22:40:57Z,ASA1399,"23.349335,-106.530128",9900,292,325
1762296071,2025-11-04T22:41:11Z,ASA1399,"23.364532,-106.541618",10225,304,325
1762296085,2025-11-04T22:41:25Z,ASA1399,"23.381882,-106.554596",10475,317,325
1762296099,2025-11-04T22:41:39Z,ASA1399,"23.399872,-106.568085",10725,331,325
