Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762144322,2025-11-03T04:32:02Z,AVA240,"-33.395496,-70.799347",0,0,357
1762144340,2025-11-03T04:32:20Z,AVA240,"-33.393265,-70.799454",0,0,357
1762144347,2025-11-03T04:32:27Z,AVA240,"-33.392456,-70.7995",0,24,357
1762144389,2025-11-03T04:33:09Z,AVA240,"-33.387554,-70.799767",0,0,357
1762144408,2025-11-03T04:33:28Z,AVA240,"-33.385197,-70.799896",0,23,357
1762144445,2025-11-03T04:34:05Z,AVA240,"-33.381878,-70.800072",0,0,357
1762144460,2025-11-03T04:34:20Z,AVA240,"-33.380928,-70.800499",0,14,300
1762144464,2025-11-03T04:34:24Z,AVA240,"-33.380894,-70.800827",0,12,281
1762144468,2025-11-03T04:34:28Z,AVA240,"-33.380802,-70.801048",0,13,298
1762144473,2025-11-03T04:34:33Z,AVA240,"-33.380585,-70.801193",0,13,334
1762144476,2025-11-03T04:34:36Z,AVA240,"-33.380341,-70.801193",0,12,357
1762144482,2025-11-03T04:34:42Z,AVA240,"-33.37999,-70.801216",0,14,357
1762144486,2025-11-03T04:34:46Z,AVA240,"-33.379757,-70.801224",0,15,357
1762144489,2025-11-03T04:34:49Z,AVA240,"-33.379478,-70.801254",0,16,357
1762144493,2025-11-03T04:34:53Z,AVA240,"-33.379143,-70.801254",0,17,357
1762144496,2025-11-03T04:34:56Z,AVA240,"-33.378838,-70.801277",0,19,357
1762144498,2025-11-03T04:34:58Z,AVA240,"-33.378628,-70.801277",0,20,357
1762144505,2025-11-03T04:35:05Z,AVA240,"-33.37793,-70.801323",0,23,357
1762144512,2025-11-03T04:35:12Z,AVA240,"-33.377083,-70.801361",0,25,357
1762144519,2025-11-03T04:35:19Z,AVA240,"-33.376232,-70.801422",0,28,357
1762144531,2025-11-03T04:35:31Z,AVA240,"-33.374683,-70.801491",0,27,357
1762144538,2025-11-03T04:35:38Z,AVA240,"-33.373764,-70.801544",0,28,357
1762144545,2025-11-03T04:35:45Z,AVA240,"-33.372879,-70.801605",0,28,357
1762144552,2025-11-03T04:35:52Z,AVA240,"-33.372036,-70.801636",0,21,357
1762144556,2025-11-03T04:35:56Z,AVA240,"-33.371681,-70.801674",0,17,351
1762144563,2025-11-03T04:36:03Z,AVA240,"-33.371235,-70.802025",0,16,315
1762144569,2025-11-03T04:36:09Z,AVA240,"-33.37109,-70.802399",0,13,289
1762144580,2025-11-03T04:36:20Z,AVA240,"-33.371132,-70.80307",0,11,255
1762144585,2025-11-03T04:36:25Z,AVA240,"-33.371239,-70.803322",0,12,241
1762144589,2025-11-03T04:36:29Z,AVA240,"-33.371426,-70.803551",0,13,219
1762144593,2025-11-03T04:36:33Z,AVA240,"-33.371647,-70.803665",0,14,202
1762144596,2025-11-03T04:36:36Z,AVA240,"-33.371887,-70.803688",0,15,185
1762144599,2025-11-03T04:36:39Z,AVA240,"-33.372181,-70.803673",0,17,177
1762144603,2025-11-03T04:36:43Z,AVA240,"-33.372494,-70.803673",0,21,177
1762144604,2025-11-03T04:36:44Z,AVA240,"-33.3727,-70.803658",0,25,177
1762144606,2025-11-03T04:36:46Z,AVA240,"-33.372902,-70.80365",0,28,177
1762144608,2025-11-03T04:36:48Z,AVA240,"-33.373463,-70.803604",0,41,177
1762144610,2025-11-03T04:36:50Z,AVA240,"-33.373997,-70.803581",0,51,177
1762144613,2025-11-03T04:36:53Z,AVA240,"-33.374634,-70.803551",0,60,177
1762144614,2025-11-03T04:36:54Z,AVA240,"-33.374989,-70.803535",0,65,177
1762144615,2025-11-03T04:36:55Z,AVA240,"-33.375332,-70.80352",0,69,177
1762144616,2025-11-03T04:36:56Z,AVA240,"-33.375778,-70.803497",0,74,177
1762144617,2025-11-03T04:36:57Z,AVA240,"-33.376019,-70.803482",0,78,177
1762144623,2025-11-03T04:37:03Z,AVA240,"-33.379257,-70.803314",1525,104,177
1762144634,2025-11-03T04:37:14Z,AVA240,"-33.386242,-70.802963",1500,144,177
1762144646,2025-11-03T04:37:26Z,AVA240,"-33.394619,-70.802567",1650,168,177
1762144655,2025-11-03T04:37:35Z,AVA240,"-33.401791,-70.802231",2025,165,177
1762144664,2025-11-03T04:37:44Z,AVA240,"-33.408493,-70.801895",2375,166,177
1762144671,2025-11-03T04:37:51Z,AVA240,"-33.414093,-70.801666",2625,168,178
1762144677,2025-11-03T04:37:57Z,AVA240,"-33.419312,-70.801498",2850,170,178
1762144684,2025-11-03T04:38:04Z,AVA240,"-33.424713,-70.801392",3100,171,178
1762144691,2025-11-03T04:38:11Z,AVA240,"-33.429886,-70.801224",3300,175,178
1762144700,2025-11-03T04:38:20Z,AVA240,"-33.437588,-70.800941",3475,186,178
1762144709,2025-11-03T04:38:29Z,AVA240,"-33.445595,-70.800659",3675,197,178
1762144718,2025-11-03T04:38:38Z,AVA240,"-33.454254,-70.800385",3925,207,178
1762144727,2025-11-03T04:38:47Z,AVA240,"-33.46312,-70.800072",4150,217,179
1762144731,2025-11-03T04:38:51Z,AVA240,"-33.468033,-70.800323",4300,221,183
1762144734,2025-11-03T04:38:54Z,AVA240,"-33.469757,-70.800552",4350,223,185
1762144736,2025-11-03T04:38:56Z,AVA240,"-33.472549,-70.80117",4425,225,188
1762144738,2025-11-03T04:38:58Z,AVA240,"-33.474644,-70.801781",4500,228,193
1762144740,2025-11-03T04:39:00Z,AVA240,"-33.477264,-70.802711",4550,231,196
1762144743,2025-11-03T04:39:03Z,AVA240,"-33.479206,-70.803635",4625,233,199
1762144745,2025-11-03T04:39:05Z,AVA240,"-33.481705,-70.80513",4675,238,203
1762144747,2025-11-03T04:39:07Z,AVA240,"-33.483673,-70.806381",4700,240,206
1762144749,2025-11-03T04:39:09Z,AVA240,"-33.485538,-70.807892",4750,245,212
1762144751,2025-11-03T04:39:11Z,AVA240,"-33.487518,-70.809631",4775,248,215
1762144754,2025-11-03T04:39:14Z,AVA240,"-33.489899,-70.812271",4825,252,219
1762144756,2025-11-03T04:39:16Z,AVA240,"-33.491821,-70.814674",4850,256,224
1762144758,2025-11-03T04:39:18Z,AVA240,"-33.493076,-70.816635",4875,260,230
1762144760,2025-11-03T04:39:20Z,AVA240,"-33.494801,-70.81955",4925,264,234
1762144763,2025-11-03T04:39:23Z,AVA240,"-33.496243,-70.822693",4975,266,239
1762144765,2025-11-03T04:39:25Z,AVA240,"-33.497269,-70.825554",5025,269,244
1762144767,2025-11-03T04:39:27Z,AVA240,"-33.498001,-70.828636",5075,271,250
1762144770,2025-11-03T04:39:30Z,AVA240,"-33.498734,-70.83226",5175,272,255
1762144772,2025-11-03T04:39:32Z,AVA240,"-33.499176,-70.835808",5250,273,260
1762144774,2025-11-03T04:39:34Z,AVA240,"-33.499176,-70.839005",5350,274,267
1762144776,2025-11-03T04:39:36Z,AVA240,"-33.499039,-70.842926",5475,274,271
1762144778,2025-11-03T04:39:38Z,AVA240,"-33.498688,-70.846054",5575,273,276
1762144780,2025-11-03T04:39:40Z,AVA240,"-33.49823,-70.848465",5675,272,280
1762144783,2025-11-03T04:39:43Z,AVA240,"-33.497547,-70.85173",5800,272,283
1762144785,2025-11-03T04:39:45Z,AVA240,"-33.496628,-70.855553",5975,270,285
1762144787,2025-11-03T04:39:47Z,AVA240,"-33.495918,-70.858452",6100,269,286
1762144789,2025-11-03T04:39:49Z,AVA240,"-33.495209,-70.86132",6250,267,286
1762144791,2025-11-03T04:39:51Z,AVA240,"-33.494522,-70.864227",6375,267,286
1762144794,2025-11-03T04:39:54Z,AVA240,"-33.493652,-70.867859",6550,264,285
1762144796,2025-11-03T04:39:56Z,AVA240,"-33.493031,-70.870613",6675,264,285
1762144798,2025-11-03T04:39:58Z,AVA240,"-33.492195,-70.874313",6850,263,285
1762144800,2025-11-03T04:40:00Z,AVA240,"-33.491592,-70.87709",6975,262,284
