Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761846126,2025-10-30T17:42:06Z,QFA7289,"-34.941044,138.529984",0,0,101
1761846440,2025-10-30T17:47:20Z,QFA7289,"-34.941227,138.52977",0,4,255
1761846450,2025-10-30T17:47:30Z,QFA7289,"-34.941273,138.529556",0,5,253
1761846457,2025-10-30T17:47:37Z,QFA7289,"-34.941433,138.529343",0,6,210
1761846463,2025-10-30T17:47:43Z,QFA7289,"-34.941639,138.529312",0,8,177
1761846471,2025-10-30T17:47:51Z,QFA7289,"-34.941948,138.529358",0,8,177
1761846477,2025-10-30T17:47:57Z,QFA7289,"-34.942181,138.529327",0,9,188
1761846482,2025-10-30T17:48:02Z,QFA7289,"-34.942383,138.529282",0,9,185
1761846487,2025-10-30T17:48:07Z,QFA7289,"-34.9426,138.529266",0,9,188
1761846493,2025-10-30T17:48:13Z,QFA7289,"-34.942841,138.529236",0,10,185
1761846499,2025-10-30T17:48:19Z,QFA7289,"-34.943127,138.529251",0,10,171
1761846504,2025-10-30T17:48:24Z,QFA7289,"-34.943367,138.529327",0,11,157
1761846509,2025-10-30T17:48:29Z,QFA7289,"-34.943588,138.529495",0,11,143
1761846513,2025-10-30T17:48:33Z,QFA7289,"-34.943756,138.529724",0,12,129
1761846519,2025-10-30T17:48:39Z,QFA7289,"-34.943924,138.529999",0,13,123
1761846522,2025-10-30T17:48:42Z,QFA7289,"-34.944054,138.530212",0,13,123
1761846526,2025-10-30T17:48:46Z,QFA7289,"-34.94418,138.530472",0,14,120
1761846529,2025-10-30T17:48:49Z,QFA7289,"-34.944317,138.530701",0,14,123
1761846533,2025-10-30T17:48:53Z,QFA7289,"-34.944454,138.530975",0,15,123
1761846537,2025-10-30T17:48:57Z,QFA7289,"-34.94458,138.531204",0,15,120
1761846540,2025-10-30T17:49:00Z,QFA7289,"-34.944717,138.531464",0,15,120
1761846544,2025-10-30T17:49:04Z,QFA7289,"-34.944878,138.531784",0,15,123
1761846549,2025-10-30T17:49:09Z,QFA7289,"-34.945042,138.532104",0,15,118
1761846552,2025-10-30T17:49:12Z,QFA7289,"-34.945118,138.532318",0,15,109
1761846555,2025-10-30T17:49:15Z,QFA7289,"-34.945171,138.532532",0,15,101
1761846557,2025-10-30T17:49:17Z,QFA7289,"-34.945183,138.532776",0,15,92
1761846561,2025-10-30T17:49:21Z,QFA7289,"-34.945148,138.533142",0,15,75
1761846564,2025-10-30T17:49:24Z,QFA7289,"-34.945065,138.533386",0,15,61
1761846567,2025-10-30T17:49:27Z,QFA7289,"-34.944939,138.5336",0,15,50
1761846571,2025-10-30T17:49:31Z,QFA7289,"-34.944775,138.533859",0,16,50
1761846574,2025-10-30T17:49:34Z,QFA7289,"-34.944626,138.534073",0,16,50
1761846578,2025-10-30T17:49:38Z,QFA7289,"-34.944439,138.534348",0,16,47
1761846581,2025-10-30T17:49:41Z,QFA7289,"-34.944237,138.534622",0,17,47
1761846584,2025-10-30T17:49:44Z,QFA7289,"-34.944077,138.534851",0,17,50
1761846588,2025-10-30T17:49:48Z,QFA7289,"-34.943859,138.535172",0,18,50
1761846592,2025-10-30T17:49:52Z,QFA7289,"-34.943657,138.535477",0,18,50
1761846597,2025-10-30T17:49:57Z,QFA7289,"-34.94347,138.535751",0,18,50
1761846604,2025-10-30T17:50:04Z,QFA7289,"-34.943005,138.536407",0,19,50
1761846611,2025-10-30T17:50:11Z,QFA7289,"-34.942612,138.537003",0,19,50
1761846618,2025-10-30T17:50:18Z,QFA7289,"-34.942211,138.537567",0,19,53
1761846620,2025-10-30T17:50:20Z,QFA7289,"-34.942062,138.537796",0,19,50
1761846623,2025-10-30T17:50:23Z,QFA7289,"-34.941914,138.538025",0,19,50
1761846625,2025-10-30T17:50:25Z,QFA7289,"-34.941753,138.538239",0,20,53
1761846629,2025-10-30T17:50:29Z,QFA7289,"-34.941551,138.538544",0,20,50
1761846632,2025-10-30T17:50:32Z,QFA7289,"-34.941319,138.538879",0,20,50
1761846635,2025-10-30T17:50:35Z,QFA7289,"-34.941177,138.539093",0,20,50
1761846640,2025-10-30T17:50:40Z,QFA7289,"-34.940895,138.53949",0,20,50
1761846643,2025-10-30T17:50:43Z,QFA7289,"-34.940655,138.539841",0,20,50
1761846646,2025-10-30T17:50:46Z,QFA7289,"-34.940483,138.540085",0,20,50
1761846656,2025-10-30T17:50:56Z,QFA7289,"-34.939911,138.540909",0,18,50
1761846664,2025-10-30T17:51:04Z,QFA7289,"-34.939602,138.541367",0,12,56
1761846668,2025-10-30T17:51:08Z,QFA7289,"-34.939514,138.541626",0,11,75
1761846672,2025-10-30T17:51:12Z,QFA7289,"-34.939526,138.541855",0,11,104
1761846677,2025-10-30T17:51:17Z,QFA7289,"-34.939671,138.54213",0,10,129
1761846684,2025-10-30T17:51:24Z,QFA7289,"-34.939911,138.542358",0,11,143
1761846690,2025-10-30T17:51:30Z,QFA7289,"-34.940155,138.542603",0,11,137
1761846696,2025-10-30T17:51:36Z,QFA7289,"-34.940376,138.542862",0,11,135
