Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762155058,2025-11-03T07:30:58Z,FIN2AT,"51.47168,-0.464439",0,3,230
1762155072,2025-11-03T07:31:12Z,FIN2AT,"51.471821,-0.46423",0,0,253
1762155093,2025-11-03T07:31:33Z,FIN2AT,"51.471947,-0.463905",0,0,298
1762155112,2025-11-03T07:31:52Z,FIN2AT,"51.471897,-0.46369",0,2,326
1762155337,2025-11-03T07:35:37Z,FIN2AT,"51.472206,-0.464024",0,6,326
1762155351,2025-11-03T07:35:51Z,FIN2AT,"51.472401,-0.465031",0,12,272
1762155354,2025-11-03T07:35:54Z,FIN2AT,"51.472389,-0.465249",0,12,270
1762155363,2025-11-03T07:36:03Z,FIN2AT,"51.472401,-0.466099",0,13,270
1762155365,2025-11-03T07:36:05Z,FIN2AT,"51.472401,-0.466362",0,0,270
1762155368,2025-11-03T07:36:08Z,FIN2AT,"51.472389,-0.466614",0,13,267
1762155382,2025-11-03T07:36:22Z,FIN2AT,"51.472252,-0.467105",0,12,239
1762155391,2025-11-03T07:36:31Z,FIN2AT,"51.471176,-0.467253",0,14,180
1762155413,2025-11-03T07:36:53Z,FIN2AT,"51.469841,-0.466518",0,0,146
1762155423,2025-11-03T07:37:03Z,FIN2AT,"51.469265,-0.46588",0,15,146
1762155434,2025-11-03T07:37:14Z,FIN2AT,"51.468609,-0.465164",0,16,146
1762155448,2025-11-03T07:37:28Z,FIN2AT,"51.467743,-0.464265",0,0,154
1762155459,2025-11-03T07:37:39Z,FIN2AT,"51.46701,-0.464209",0,0,180
1762155469,2025-11-03T07:37:49Z,FIN2AT,"51.466606,-0.463753",0,12,126
1762155482,2025-11-03T07:38:02Z,FIN2AT,"51.466606,-0.462456",0,13,90
1762155491,2025-11-03T07:38:11Z,FIN2AT,"51.466606,-0.461559",0,0,90
1762155505,2025-11-03T07:38:25Z,FIN2AT,"51.466618,-0.459824",0,16,90
1762155515,2025-11-03T07:38:35Z,FIN2AT,"51.466621,-0.458586",0,18,90
1762155542,2025-11-03T07:39:02Z,FIN2AT,"51.466633,-0.454392",0,22,90
1762155556,2025-11-03T07:39:16Z,FIN2AT,"51.46664,-0.452023",0,22,90
1762155574,2025-11-03T07:39:34Z,FIN2AT,"51.466656,-0.449382",0,0,90
1762155584,2025-11-03T07:39:44Z,FIN2AT,"51.466656,-0.44799",0,18,90
1762155591,2025-11-03T07:39:51Z,FIN2AT,"51.466652,-0.447178",0,19,90
1762155600,2025-11-03T07:40:00Z,FIN2AT,"51.466663,-0.445614",0,20,90
1762155607,2025-11-03T07:40:07Z,FIN2AT,"51.466663,-0.444412",0,21,90
1762155616,2025-11-03T07:40:16Z,FIN2AT,"51.466667,-0.443295",0,22,90
1762155622,2025-11-03T07:40:22Z,FIN2AT,"51.466667,-0.442014",0,18,90
1762155630,2025-11-03T07:40:30Z,FIN2AT,"51.466675,-0.441189",0,12,90
1762155637,2025-11-03T07:40:37Z,FIN2AT,"51.466679,-0.440697",0,9,90
1762155645,2025-11-03T07:40:45Z,FIN2AT,"51.466675,-0.440216",0,8,90
1762155651,2025-11-03T07:40:51Z,FIN2AT,"51.466675,-0.439873",0,7,90
1762155658,2025-11-03T07:40:58Z,FIN2AT,"51.466679,-0.439564",0,6,90
1762155665,2025-11-03T07:41:05Z,FIN2AT,"51.466675,-0.439243",0,6,90
1762155673,2025-11-03T07:41:13Z,FIN2AT,"51.466675,-0.438938",0,5,90
1762155680,2025-11-03T07:41:20Z,FIN2AT,"51.466675,-0.43869",0,4,90
1762155687,2025-11-03T07:41:27Z,FIN2AT,"51.466679,-0.438488",0,3,90
1762155697,2025-11-03T07:41:37Z,FIN2AT,"51.466679,-0.438284",0,3,90
1762155707,2025-11-03T07:41:47Z,FIN2AT,"51.466686,-0.43808",0,3,90
1762155716,2025-11-03T07:41:56Z,FIN2AT,"51.466686,-0.43787",0,3,90
1762155734,2025-11-03T07:42:14Z,FIN2AT,"51.466679,-0.437653",0,1,90
1762155774,2025-11-03T07:42:54Z,FIN2AT,"51.466679,-0.437412",0,2,90
1762155783,2025-11-03T07:43:03Z,FIN2AT,"51.466679,-0.437208",0,3,90
1762155793,2025-11-03T07:43:13Z,FIN2AT,"51.46669,-0.437003",0,2,90
1762155803,2025-11-03T07:43:23Z,FIN2AT,"51.466686,-0.436802",0,2,90
1762155964,2025-11-03T07:46:04Z,FIN2AT,"51.46669,-0.436577",0,3,90
1762155972,2025-11-03T07:46:12Z,FIN2AT,"51.466675,-0.436344",0,5,92
1762155981,2025-11-03T07:46:21Z,FIN2AT,"51.466587,-0.436057",0,5,115
1762155990,2025-11-03T07:46:30Z,FIN2AT,"51.46637,-0.436038",0,5,163
1762156015,2025-11-03T07:46:55Z,FIN2AT,"51.466118,-0.436058",0,2,177
1762156086,2025-11-03T07:48:06Z,FIN2AT,"51.465797,-0.436038",0,5,180
1762156094,2025-11-03T07:48:14Z,FIN2AT,"51.465557,-0.436039",0,6,180
1762156104,2025-11-03T07:48:24Z,FIN2AT,"51.465191,-0.43602",0,7,180
1762156121,2025-11-03T07:48:41Z,FIN2AT,"51.464943,-0.436039",0,0,185
1762156133,2025-11-03T07:48:53Z,FIN2AT,"51.464916,-0.436372",0,4,241
1762156142,2025-11-03T07:49:02Z,FIN2AT,"51.464951,-0.436577",0,3,267
1762156196,2025-11-03T07:49:56Z,FIN2AT,"51.464951,-0.436781",0,5,267
1762156203,2025-11-03T07:50:03Z,FIN2AT,"51.464939,-0.438136",0,33,270
1762156209,2025-11-03T07:50:09Z,FIN2AT,"51.464928,-0.441198",0,70,267
1762156214,2025-11-03T07:50:14Z,FIN2AT,"51.464905,-0.444278",150,92,269
1762156216,2025-11-03T07:50:16Z,FIN2AT,"51.464905,-0.44606",150,101,269
1762156218,2025-11-03T07:50:18Z,FIN2AT,"51.464905,-0.447916",150,111,269
1762156221,2025-11-03T07:50:21Z,FIN2AT,"51.464897,-0.450516",150,129,269
1762156225,2025-11-03T07:50:25Z,FIN2AT,"51.464897,-0.454483",100,141,269
1762156227,2025-11-03T07:50:27Z,FIN2AT,"51.464905,-0.457417",150,141,269
1762156231,2025-11-03T07:50:31Z,FIN2AT,"51.464897,-0.461044",275,155,270
