Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762614847,2025-11-08T15:14:07Z,FIN61,"60.313522,24.954218",0,0,137
1762617172,2025-11-08T15:52:52Z,FIN61,"60.313614,24.953997",0,4,140
1762617182,2025-11-08T15:53:02Z,FIN61,"60.313705,24.953764",0,4,146
1762617193,2025-11-08T15:53:13Z,FIN61,"60.313911,24.953384",0,5,168
1762617203,2025-11-08T15:53:23Z,FIN61,"60.314106,24.953148",0,4,196
1762617217,2025-11-08T15:53:37Z,FIN61,"60.314312,24.953138",0,2,222
1762617236,2025-11-08T15:53:56Z,FIN61,"60.314461,24.953384",0,2,227
1762617405,2025-11-08T15:56:45Z,FIN61,"60.314346,24.953148",0,5,227
1762617419,2025-11-08T15:56:59Z,FIN61,"60.314102,24.952623",0,6,227
1762617425,2025-11-08T15:57:05Z,FIN61,"60.31398,24.952343",0,7,227
1762617433,2025-11-08T15:57:13Z,FIN61,"60.313812,24.951962",0,7,227
1762617437,2025-11-08T15:57:17Z,FIN61,"60.313728,24.951679",0,9,236
1762617440,2025-11-08T15:57:20Z,FIN61,"60.313721,24.951471",0,9,247
1762617442,2025-11-08T15:57:22Z,FIN61,"60.313751,24.951254",0,10,264
1762617446,2025-11-08T15:57:26Z,FIN61,"60.313881,24.950981",0,10,289
1762617450,2025-11-08T15:57:30Z,FIN61,"60.314011,24.95076",0,10,303
1762617453,2025-11-08T15:57:33Z,FIN61,"60.31414,24.950472",0,11,309
1762617457,2025-11-08T15:57:37Z,FIN61,"60.314266,24.950197",0,11,312
1762617460,2025-11-08T15:57:40Z,FIN61,"60.314373,24.949976",0,10,312
1762617464,2025-11-08T15:57:44Z,FIN61,"60.314472,24.949762",0,8,312
1762617470,2025-11-08T15:57:50Z,FIN61,"60.314724,24.949644",0,10,340
1762617474,2025-11-08T15:57:54Z,FIN61,"60.314919,24.949877",0,10,11
1762617478,2025-11-08T15:57:58Z,FIN61,"60.315022,24.950098",0,11,28
1762617481,2025-11-08T15:58:01Z,FIN61,"60.31514,24.950417",0,12,42
1762617484,2025-11-08T15:58:04Z,FIN61,"60.315239,24.950638",0,13,45
1762617486,2025-11-08T15:58:06Z,FIN61,"60.315331,24.950874",0,14,45
1762617488,2025-11-08T15:58:08Z,FIN61,"60.315441,24.951103",0,14,47
1762617491,2025-11-08T15:58:11Z,FIN61,"60.315559,24.951347",0,15,47
1762617493,2025-11-08T15:58:13Z,FIN61,"60.315674,24.951632",0,15,47
1762617497,2025-11-08T15:58:17Z,FIN61,"60.315823,24.951941",0,15,47
1762617499,2025-11-08T15:58:19Z,FIN61,"60.315952,24.952232",0,16,47
1762617506,2025-11-08T15:58:26Z,FIN61,"60.316326,24.953066",0,17,47
1762617513,2025-11-08T15:58:33Z,FIN61,"60.3167,24.953899",0,17,47
1762617520,2025-11-08T15:58:40Z,FIN61,"60.317093,24.954758",0,18,47
1762617527,2025-11-08T15:58:47Z,FIN61,"60.317505,24.955658",0,19,47
1762617534,2025-11-08T15:58:54Z,FIN61,"60.317944,24.956621",0,20,47
1762617541,2025-11-08T15:59:01Z,FIN61,"60.318443,24.957741",0,22,47
1762617548,2025-11-08T15:59:08Z,FIN61,"60.31889,24.958712",0,19,47
1762617555,2025-11-08T15:59:15Z,FIN61,"60.31921,24.959398",0,13,47
1762617559,2025-11-08T15:59:19Z,FIN61,"60.319386,24.959711",0,9,42
1762617566,2025-11-08T15:59:26Z,FIN61,"60.319645,24.959705",0,9,8
1762617570,2025-11-08T15:59:30Z,FIN61,"60.319805,24.959417",0,10,337
1762617574,2025-11-08T15:59:34Z,FIN61,"60.319901,24.959171",0,10,323
1762617577,2025-11-08T15:59:37Z,FIN61,"60.320004,24.958952",0,11,317
1762617581,2025-11-08T15:59:41Z,FIN61,"60.32016,24.958664",0,12,317
1762617583,2025-11-08T15:59:43Z,FIN61,"60.320259,24.95846",0,13,317
1762617586,2025-11-08T15:59:46Z,FIN61,"60.320435,24.958143",0,14,317
1762617589,2025-11-08T15:59:49Z,FIN61,"60.320549,24.95793",0,15,317
1762617592,2025-11-08T15:59:52Z,FIN61,"60.320702,24.957651",0,15,317
1762617599,2025-11-08T15:59:59Z,FIN61,"60.321075,24.956984",0,16,317
1762617605,2025-11-08T16:00:05Z,FIN61,"60.32151,24.956154",0,18,317
1762617612,2025-11-08T16:00:12Z,FIN61,"60.321926,24.95542",0,19,317
1762617619,2025-11-08T16:00:19Z,FIN61,"60.322403,24.954536",0,19,317
1762617627,2025-11-08T16:00:27Z,FIN61,"60.322903,24.953581",0,18,317
1762617634,2025-11-08T16:00:34Z,FIN61,"60.323353,24.952793",0,15,320
1762617637,2025-11-08T16:00:37Z,FIN61,"60.323589,24.952576",0,15,331
1762617642,2025-11-08T16:00:42Z,FIN61,"60.323833,24.952452",0,15,340
1762617644,2025-11-08T16:00:44Z,FIN61,"60.324039,24.952318",0,16,343
1762617648,2025-11-08T16:00:48Z,FIN61,"60.324314,24.952152",0,16,343
1762617651,2025-11-08T16:00:51Z,FIN61,"60.324554,24.951986",0,16,343
1762617654,2025-11-08T16:00:54Z,FIN61,"60.324787,24.951839",0,17,343
1762617657,2025-11-08T16:00:57Z,FIN61,"60.325008,24.951693",0,17,343
1762617665,2025-11-08T16:01:05Z,FIN61,"60.325615,24.9513",0,18,343
1762617671,2025-11-08T16:01:11Z,FIN61,"60.326134,24.95097",0,18,343
1762617678,2025-11-08T16:01:18Z,FIN61,"60.326752,24.950567",0,20,343
1762617685,2025-11-08T16:01:25Z,FIN61,"60.327438,24.950117",0,22,343
1762617692,2025-11-08T16:01:32Z,FIN61,"60.328175,24.949657",0,21,343
1762617699,2025-11-08T16:01:39Z,FIN61,"60.328766,24.949242",0,18,340
1762617702,2025-11-08T16:01:42Z,FIN61,"60.328949,24.949028",0,18,334
1762617704,2025-11-08T16:01:44Z,FIN61,"60.329117,24.948799",0,18,329
1762617706,2025-11-08T16:01:46Z,FIN61,"60.329258,24.948555",0,18,323
1762617709,2025-11-08T16:01:49Z,FIN61,"60.329418,24.948235",0,18,317
1762617711,2025-11-08T16:01:51Z,FIN61,"60.329544,24.948009",0,18,317
1762617713,2025-11-08T16:01:53Z,FIN61,"60.329674,24.947744",0,18,317
1762617715,2025-11-08T16:01:55Z,FIN61,"60.329838,24.947451",0,18,317
1762617718,2025-11-08T16:01:58Z,FIN61,"60.32999,24.947182",0,18,317
1762617720,2025-11-08T16:02:00Z,FIN61,"60.330162,24.94685",0,18,317
1762617723,2025-11-08T16:02:03Z,FIN61,"60.330315,24.946592",0,18,317
1762617730,2025-11-08T16:02:10Z,FIN61,"60.33078,24.945709",0,18,317
1762617737,2025-11-08T16:02:17Z,FIN61,"60.331181,24.944979",0,13,317
1762617744,2025-11-08T16:02:24Z,FIN61,"60.331387,24.944553",0,8,315
1762617748,2025-11-08T16:02:28Z,FIN61,"60.331398,24.944317",0,7,298
1762617751,2025-11-08T16:02:31Z,FIN61,"60.331352,24.944103",0,7,278
1762617757,2025-11-08T16:02:37Z,FIN61,"60.331203,24.94389",0,6,244
1762617764,2025-11-08T16:02:44Z,FIN61,"60.331024,24.943649",0,7,227
1762617768,2025-11-08T16:02:48Z,FIN61,"60.33094,24.943439",0,8,227
1762617772,2025-11-08T16:02:52Z,FIN61,"60.330803,24.943134",0,14,227
1762617774,2025-11-08T16:02:54Z,FIN61,"60.330677,24.942839",0,22,227
1762617776,2025-11-08T16:02:56Z,FIN61,"60.330444,24.942348",0,33,227
1762617777,2025-11-08T16:02:57Z,FIN61,"60.330299,24.942043",0,39,227
1762617778,2025-11-08T16:02:58Z,FIN61,"60.330105,24.941616",0,46,227
1762617785,2025-11-08T16:03:05Z,FIN61,"60.32893,24.939014",0,72,227
1762617794,2025-11-08T16:03:14Z,FIN61,"60.326347,24.933275",150,112,227
1762617803,2025-11-08T16:03:23Z,FIN61,"60.32267,24.925232",125,145,227
1762617809,2025-11-08T16:03:29Z,FIN61,"60.319412,24.918072",75,165,227
1762617818,2025-11-08T16:03:38Z,FIN61,"60.315083,24.908655",350,170,227
1762617824,2025-11-08T16:03:44Z,FIN61,"60.311497,24.900806",675,167,227
1762617833,2025-11-08T16:03:53Z,FIN61,"60.30698,24.891193",1100,165,226
1762617837,2025-11-08T16:03:57Z,FIN61,"60.30484,24.886387",1300,164,229
1762617839,2025-11-08T16:03:59Z,FIN61,"60.304001,24.88423",1400,165,231
1762617841,2025-11-08T16:04:01Z,FIN61,"60.302856,24.881191",1475,165,234
1762617843,2025-11-08T16:04:03Z,FIN61,"60.301987,24.878445",1550,168,236
1762617845,2025-11-08T16:04:05Z,FIN61,"60.301254,24.875889",1575,169,241
1762617847,2025-11-08T16:04:07Z,FIN61,"60.300556,24.873047",1625,170,243
1762617849,2025-11-08T16:04:09Z,FIN61,"60.299904,24.870203",1650,172,246
1762617851,2025-11-08T16:04:11Z,FIN61,"60.299286,24.866985",1700,175,250
1762617853,2025-11-08T16:04:13Z,FIN61,"60.29874,24.863434",1725,177,253
1762617856,2025-11-08T16:04:16Z,FIN61,"60.298321,24.860001",1750,181,257
1762617858,2025-11-08T16:04:18Z,FIN61,"60.297951,24.856077",1775,184,259
1762617860,2025-11-08T16:04:20Z,FIN61,"60.297623,24.851957",1800,186,262
1762617862,2025-11-08T16:04:22Z,FIN61,"60.297485,24.848818",1800,190,264
1762617864,2025-11-08T16:04:24Z,FIN61,"60.297298,24.844404",1825,194,267
1762617867,2025-11-08T16:04:27Z,FIN61,"60.297298,24.840382",1850,198,269
1762617869,2025-11-08T16:04:29Z,FIN61,"60.297298,24.836851",1875,200,271
1762617871,2025-11-08T16:04:31Z,FIN61,"60.29744,24.832045",1900,203,273
1762617873,2025-11-08T16:04:33Z,FIN61,"60.297577,24.828905",1925,205,275
1762617875,2025-11-08T16:04:35Z,FIN61,"60.297821,24.824272",1950,208,276
1762617877,2025-11-08T16:04:37Z,FIN61,"60.298042,24.820568",2000,210,277
1762617879,2025-11-08T16:04:39Z,FIN61,"60.29837,24.816448",2025,211,278
1762617881,2025-11-08T16:04:41Z,FIN61,"60.298695,24.812819",2050,214,280
1762617883,2025-11-08T16:04:43Z,FIN61,"60.299149,24.808266",2075,218,281
1762617886,2025-11-08T16:04:46Z,FIN61,"60.299717,24.802813",2100,220,282
1762617888,2025-11-08T16:04:48Z,FIN61,"60.300045,24.799576",2125,222,281
1762617890,2025-11-08T16:04:50Z,FIN61,"60.300522,24.794628",2175,225,280
1762617892,2025-11-08T16:04:52Z,FIN61,"60.300934,24.789513",2225,227,278
1762617895,2025-11-08T16:04:55Z,FIN61,"60.301208,24.784683",2250,230,275
1762617897,2025-11-08T16:04:57Z,FIN61,"60.3013,24.779852",2275,232,271
1762617899,2025-11-08T16:04:59Z,FIN61,"60.3013,24.775936",2300,234,268
1762617901,2025-11-08T16:05:01Z,FIN61,"60.301067,24.77054",2350,235,264
1762617903,2025-11-08T16:05:03Z,FIN61,"60.300652,24.76544",2375,238,260
1762617906,2025-11-08T16:05:06Z,FIN61,"60.300278,24.76181",2400,240,257
1762617908,2025-11-08T16:05:08Z,FIN61,"60.299534,24.756514",2425,243,254
1762617910,2025-11-08T16:05:10Z,FIN61,"60.298828,24.751913",2475,244,251
1762617912,2025-11-08T16:05:12Z,FIN61,"60.297867,24.746609",2525,246,250
1762617915,2025-11-08T16:05:15Z,FIN61,"60.296906,24.741306",2600,247,249
1762617917,2025-11-08T16:05:17Z,FIN61,"60.29604,24.736895",2675,247,248
1762617919,2025-11-08T16:05:19Z,FIN61,"60.295158,24.732382",2775,248,247
1762617921,2025-11-08T16:05:21Z,FIN61,"60.29425,24.728046",2850,248,247
1762617923,2025-11-08T16:05:23Z,FIN61,"60.293434,24.724045",2900,248,247
1762617925,2025-11-08T16:05:25Z,FIN61,"60.292557,24.719902",2975,249,247
1762617927,2025-11-08T16:05:27Z,FIN61,"60.291504,24.714787",3075,250,247
1762617929,2025-11-08T16:05:29Z,FIN61,"60.290596,24.710215",3150,250,247
1762617932,2025-11-08T16:05:32Z,FIN61,"60.28949,24.705032",3250,251,247
1762617934,2025-11-08T16:05:34Z,FIN61,"60.288574,24.700581",3325,251,247
1762617936,2025-11-08T16:05:36Z,FIN61,"60.287567,24.69556",3425,251,247
1762617938,2025-11-08T16:05:38Z,FIN61,"60.286652,24.691299",3500,252,247
1762617945,2025-11-08T16:05:45Z,FIN61,"60.283768,24.677376",3775,251,247
1762617953,2025-11-08T16:05:53Z,FIN61,"60.279888,24.658421",4125,252,247
1762617962,2025-11-08T16:06:02Z,FIN61,"60.276306,24.641293",4375,255,247
1762617968,2025-11-08T16:06:08Z,FIN61,"60.273418,24.627228",4575,258,247
1762617976,2025-11-08T16:06:16Z,FIN61,"60.269459,24.608002",4975,256,247
