Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762704935,2025-11-09T16:15:35Z,ITY1733,"41.798031,12.256782",0,0,295
1762705165,2025-11-09T16:19:25Z,ITY1733,"41.797962,12.257022",0,5,300
1762705172,2025-11-09T16:19:32Z,ITY1733,"41.797905,12.257229",0,5,329
1762705184,2025-11-09T16:19:44Z,ITY1733,"41.797695,12.257421",0,5,11
1762705217,2025-11-09T16:20:17Z,ITY1733,"41.797905,12.257612",0,3,25
1762705443,2025-11-09T16:24:03Z,ITY1733,"41.798115,12.257746",0,2,25
1762705455,2025-11-09T16:24:15Z,ITY1733,"41.798347,12.257915",0,7,28
1762705463,2025-11-09T16:24:23Z,ITY1733,"41.798607,12.258105",0,10,28
1762705469,2025-11-09T16:24:29Z,ITY1733,"41.798893,12.258324",0,12,28
1762705473,2025-11-09T16:24:33Z,ITY1733,"41.799103,12.258459",0,13,25
1762705477,2025-11-09T16:24:37Z,ITY1733,"41.799335,12.258602",0,14,25
1762705484,2025-11-09T16:24:44Z,ITY1733,"41.799686,12.258826",0,13,25
1762705491,2025-11-09T16:24:51Z,ITY1733,"41.800129,12.259097",0,12,25
1762705498,2025-11-09T16:24:58Z,ITY1733,"41.800465,12.259305",0,10,22
1762705505,2025-11-09T16:25:05Z,ITY1733,"41.800701,12.259447",0,9,25
1762705514,2025-11-09T16:25:14Z,ITY1733,"41.800987,12.259624",0,3,25
1762705731,2025-11-09T16:28:51Z,ITY1733,"41.801205,12.259759",0,5,25
1762705738,2025-11-09T16:28:58Z,ITY1733,"41.801411,12.259899",0,7,25
1762705745,2025-11-09T16:29:05Z,ITY1733,"41.80164,12.26004",0,8,25
1762705752,2025-11-09T16:29:12Z,ITY1733,"41.801891,12.260196",0,9,25
1762705760,2025-11-09T16:29:20Z,ITY1733,"41.802189,12.260367",0,6,25
1762705822,2025-11-09T16:30:22Z,ITY1733,"41.802444,12.260519",0,3,25
1762705833,2025-11-09T16:30:33Z,ITY1733,"41.80267,12.260664",0,6,25
1762705840,2025-11-09T16:30:40Z,ITY1733,"41.802887,12.260804",0,8,25
1762705847,2025-11-09T16:30:47Z,ITY1733,"41.803154,12.260965",0,9,25
1762705854,2025-11-09T16:30:54Z,ITY1733,"41.803448,12.261147",0,10,25
1762705862,2025-11-09T16:31:02Z,ITY1733,"41.803768,12.261351",0,9,25
1762705869,2025-11-09T16:31:09Z,ITY1733,"41.803989,12.261493",0,6,25
1762705880,2025-11-09T16:31:20Z,ITY1733,"41.804211,12.261621",0,5,25
1762705896,2025-11-09T16:31:36Z,ITY1733,"41.80442,12.261748",0,2,22
1762705918,2025-11-09T16:31:58Z,ITY1733,"41.804653,12.26178",0,3,5
1762705936,2025-11-09T16:32:16Z,ITY1733,"41.804867,12.261772",0,1,357
1762706024,2025-11-09T16:33:44Z,ITY1733,"41.805073,12.261716",0,5,348
1762706032,2025-11-09T16:33:52Z,ITY1733,"41.805294,12.261621",0,7,343
1762706038,2025-11-09T16:33:58Z,ITY1733,"41.805496,12.261539",0,8,343
1762706044,2025-11-09T16:34:04Z,ITY1733,"41.805748,12.261429",0,9,343
1762706052,2025-11-09T16:34:12Z,ITY1733,"41.806034,12.261319",0,8,343
1762706182,2025-11-09T16:36:22Z,ITY1733,"41.806248,12.261221",0,0,343
1762706193,2025-11-09T16:36:33Z,ITY1733,"41.806458,12.261147",0,6,343
1762706200,2025-11-09T16:36:40Z,ITY1733,"41.806686,12.261039",0,8,343
1762706208,2025-11-09T16:36:48Z,ITY1733,"41.806995,12.260886",0,11,334
1762706211,2025-11-09T16:36:51Z,ITY1733,"41.807087,12.260664",0,12,303
1762706215,2025-11-09T16:36:55Z,ITY1733,"41.807098,12.260391",0,13,275
1762706218,2025-11-09T16:36:58Z,ITY1733,"41.807041,12.260087",0,19,255
1762706220,2025-11-09T16:37:00Z,ITY1733,"41.806984,12.259852",0,23,250
1762706222,2025-11-09T16:37:02Z,ITY1733,"41.806858,12.2594",0,38,250
1762706224,2025-11-09T16:37:04Z,ITY1733,"41.806664,12.258698",0,48,247
1762706226,2025-11-09T16:37:06Z,ITY1733,"41.806469,12.257996",0,59,250
1762706227,2025-11-09T16:37:07Z,ITY1733,"41.806355,12.25759",0,64,250
1762706229,2025-11-09T16:37:09Z,ITY1733,"41.80619,12.256958",0,74,250
1762706230,2025-11-09T16:37:10Z,ITY1733,"41.806068,12.256513",0,80,250
1762706231,2025-11-09T16:37:11Z,ITY1733,"41.805862,12.255779",0,84,250
1762706233,2025-11-09T16:37:13Z,ITY1733,"41.805538,12.254674",0,94,250
1762706234,2025-11-09T16:37:14Z,ITY1733,"41.805401,12.254099",0,99,249
1762706235,2025-11-09T16:37:15Z,ITY1733,"41.805222,12.253439",0,99,249
1762706237,2025-11-09T16:37:17Z,ITY1733,"41.804935,12.252439",75,112,249
1762706240,2025-11-09T16:37:20Z,ITY1733,"41.804516,12.25097",75,121,249
1762706242,2025-11-09T16:37:22Z,ITY1733,"41.80405,12.249181",75,130,249
1762706244,2025-11-09T16:37:24Z,ITY1733,"41.803574,12.247446",50,140,249
1762706246,2025-11-09T16:37:26Z,ITY1733,"41.80307,12.245761",25,147,249
