Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762701775,2025-11-09T15:22:55Z,JBU1633,"28.416929,-81.31768",0,0,287
1762701780,2025-11-09T15:23:00Z,JBU1633,"28.41721,-81.317917",0,15,323
1762701784,2025-11-09T15:23:04Z,JBU1633,"28.417459,-81.317932",0,15,354
1762701788,2025-11-09T15:23:08Z,JBU1633,"28.41769,-81.317879",0,14,13
1762701793,2025-11-09T15:23:13Z,JBU1633,"28.417999,-81.317932",0,14,357
1762701797,2025-11-09T15:23:17Z,JBU1633,"28.41823,-81.317932",0,13,359
1762701802,2025-11-09T15:23:22Z,JBU1633,"28.418539,-81.317917",0,13,359
1762701806,2025-11-09T15:23:26Z,JBU1633,"28.418779,-81.317917",0,13,359
1762701809,2025-11-09T15:23:29Z,JBU1633,"28.418989,-81.317932",0,14,359
1762701813,2025-11-09T15:23:33Z,JBU1633,"28.41921,-81.317917",0,13,359
1762701821,2025-11-09T15:23:41Z,JBU1633,"28.41976,-81.317917",0,14,359
1762701828,2025-11-09T15:23:48Z,JBU1633,"28.420259,-81.31794",0,16,356
1762701832,2025-11-09T15:23:52Z,JBU1633,"28.42054,-81.317932",0,15,1
1762701835,2025-11-09T15:23:55Z,JBU1633,"28.420771,-81.317947",0,16,358
1762701838,2025-11-09T15:23:58Z,JBU1633,"28.421009,-81.317932",0,16,1
1762701841,2025-11-09T15:24:01Z,JBU1633,"28.421249,-81.317902",0,17,5
1762701844,2025-11-09T15:24:04Z,JBU1633,"28.421499,-81.317802",0,18,14
1762701848,2025-11-09T15:24:08Z,JBU1633,"28.42181,-81.31768",0,17,15
1762701851,2025-11-09T15:24:11Z,JBU1633,"28.42207,-81.317619",0,18,13
1762701855,2025-11-09T15:24:15Z,JBU1633,"28.422371,-81.31752",0,17,15
1762701861,2025-11-09T15:24:21Z,JBU1633,"28.422609,-81.317299",0,11,35
1762701866,2025-11-09T15:24:26Z,JBU1633,"28.42268,-81.316971",0,13,75
1762701871,2025-11-09T15:24:31Z,JBU1633,"28.42277,-81.316757",0,10,70
1762701875,2025-11-09T15:24:35Z,JBU1633,"28.422991,-81.316658",0,12,32
1762701879,2025-11-09T15:24:39Z,JBU1633,"28.42321,-81.316628",0,12,7
1762701883,2025-11-09T15:24:43Z,JBU1633,"28.42345,-81.316589",0,13,7
1762701887,2025-11-09T15:24:47Z,JBU1633,"28.423519,-81.316307",0,13,50
1762701891,2025-11-09T15:24:51Z,JBU1633,"28.4235,-81.316101",0,14,91
1762701895,2025-11-09T15:24:55Z,JBU1633,"28.42347,-81.315819",0,12,101
1762701899,2025-11-09T15:24:59Z,JBU1633,"28.42347,-81.315582",0,11,91
1762701903,2025-11-09T15:25:03Z,JBU1633,"28.42347,-81.315353",0,11,89
1762701907,2025-11-09T15:25:07Z,JBU1633,"28.42347,-81.315147",0,11,89
1762701911,2025-11-09T15:25:11Z,JBU1633,"28.4235,-81.314827",0,12,87
1762701915,2025-11-09T15:25:15Z,JBU1633,"28.4235,-81.314537",0,13,87
1762701920,2025-11-09T15:25:20Z,JBU1633,"28.4235,-81.314217",0,13,90
1762701924,2025-11-09T15:25:24Z,JBU1633,"28.4235,-81.313927",0,13,90
1762701928,2025-11-09T15:25:28Z,JBU1633,"28.4235,-81.31366",0,13,90
1762701931,2025-11-09T15:25:31Z,JBU1633,"28.4235,-81.313454",0,13,90
1762701934,2025-11-09T15:25:34Z,JBU1633,"28.4235,-81.31324",0,13,89
1762701937,2025-11-09T15:25:37Z,JBU1633,"28.4235,-81.313019",0,14,89
1762701941,2025-11-09T15:25:41Z,JBU1633,"28.4235,-81.312729",0,14,89
1762701944,2025-11-09T15:25:44Z,JBU1633,"28.423479,-81.312477",0,15,94
1762701948,2025-11-09T15:25:48Z,JBU1633,"28.42347,-81.312233",0,16,93
1762701950,2025-11-09T15:25:50Z,JBU1633,"28.423441,-81.311974",0,16,94
1762701954,2025-11-09T15:25:54Z,JBU1633,"28.42341,-81.311691",0,17,96
1762701957,2025-11-09T15:25:57Z,JBU1633,"28.423361,-81.311378",0,19,99
1762701959,2025-11-09T15:25:59Z,JBU1633,"28.4233,-81.311073",0,19,100
1762701962,2025-11-09T15:26:02Z,JBU1633,"28.42325,-81.31086",0,20,102
1762701965,2025-11-09T15:26:05Z,JBU1633,"28.423189,-81.310463",0,19,100
1762701968,2025-11-09T15:26:08Z,JBU1633,"28.423161,-81.31012",0,21,97
1762701972,2025-11-09T15:26:12Z,JBU1633,"28.42314,-81.309738",0,19,94
1762701975,2025-11-09T15:26:15Z,JBU1633,"28.423149,-81.309486",0,16,90
1762701979,2025-11-09T15:26:19Z,JBU1633,"28.42318,-81.309273",0,15,85
1762701982,2025-11-09T15:26:22Z,JBU1633,"28.423201,-81.30899",0,14,86
