Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762090714,2025-11-02T13:38:34Z,BAW119,"51.469143,-0.480442",0,0,270
1762091444,2025-11-02T13:50:44Z,BAW119,"51.469143,-0.480194",0,2,270
1762091455,2025-11-02T13:50:55Z,BAW119,"51.469139,-0.479984",0,3,270
1762091468,2025-11-02T13:51:08Z,BAW119,"51.469139,-0.479687",0,3,267
1762091479,2025-11-02T13:51:19Z,BAW119,"51.469154,-0.479469",0,3,270
1762091490,2025-11-02T13:51:30Z,BAW119,"51.469185,-0.479223",0,3,284
1762091509,2025-11-02T13:51:49Z,BAW119,"51.469196,-0.478889",0,3,329
1762091526,2025-11-02T13:52:06Z,BAW119,"51.469063,-0.478687",0,2,329
1762091779,2025-11-02T13:56:19Z,BAW119,"51.469288,-0.478685",0,3,329
1762091794,2025-11-02T13:56:34Z,BAW119,"51.469574,-0.478685",0,0,329
1762091809,2025-11-02T13:56:49Z,BAW119,"51.469929,-0.478685",0,6,329
1762091826,2025-11-02T13:57:06Z,BAW119,"51.470436,-0.478687",0,7,329
1762091834,2025-11-02T13:57:14Z,BAW119,"51.47073,-0.478685",0,8,329
1762091843,2025-11-02T13:57:23Z,BAW119,"51.471066,-0.478687",0,8,329
1762091854,2025-11-02T13:57:34Z,BAW119,"51.471458,-0.478706",0,8,329
1762091861,2025-11-02T13:57:41Z,BAW119,"51.471714,-0.478706",0,7,329
1762091874,2025-11-02T13:57:54Z,BAW119,"51.472122,-0.478706",0,0,329
1762091884,2025-11-02T13:58:04Z,BAW119,"51.472469,-0.478703",0,7,329
1762091893,2025-11-02T13:58:13Z,BAW119,"51.472733,-0.478703",0,5,329
1762091904,2025-11-02T13:58:24Z,BAW119,"51.473019,-0.478706",0,6,329
1762091912,2025-11-02T13:58:32Z,BAW119,"51.473248,-0.478722",0,7,329
1762091922,2025-11-02T13:58:42Z,BAW119,"51.473568,-0.478722",0,8,329
1762091936,2025-11-02T13:58:56Z,BAW119,"51.474091,-0.478725",0,8,329
1762091942,2025-11-02T13:59:02Z,BAW119,"51.474323,-0.47874",0,9,329
1762091949,2025-11-02T13:59:09Z,BAW119,"51.474625,-0.478725",0,9,329
1762091960,2025-11-02T13:59:20Z,BAW119,"51.47493,-0.478184",0,10,64
1762091963,2025-11-02T13:59:23Z,BAW119,"51.47493,-0.477961",0,10,81
1762091971,2025-11-02T13:59:31Z,BAW119,"51.474915,-0.477314",0,0,92
1762091980,2025-11-02T13:59:40Z,BAW119,"51.474907,-0.476588",0,0,90
1762091990,2025-11-02T13:59:50Z,BAW119,"51.474915,-0.475693",0,13,90
1762091992,2025-11-02T13:59:52Z,BAW119,"51.474903,-0.475407",0,13,90
1762092002,2025-11-02T14:00:02Z,BAW119,"51.474915,-0.474472",0,12,90
1762092011,2025-11-02T14:00:11Z,BAW119,"51.47493,-0.473841",0,9,84
1762092014,2025-11-02T14:00:14Z,BAW119,"51.475056,-0.473633",0,9,56
1762092027,2025-11-02T14:00:27Z,BAW119,"51.475533,-0.473557",0,8,2
1762092035,2025-11-02T14:00:35Z,BAW119,"51.475788,-0.473289",0,0,39
1762092040,2025-11-02T14:00:40Z,BAW119,"51.475822,-0.472946",0,9,73
1762092048,2025-11-02T14:00:48Z,BAW119,"51.475811,-0.472616",0,10,87
1762092049,2025-11-02T14:00:49Z,BAW119,"51.475822,-0.472317",0,10,87
1762092054,2025-11-02T14:00:54Z,BAW119,"51.475822,-0.472115",0,10,90
1762092057,2025-11-02T14:00:57Z,BAW119,"51.475822,-0.4718",0,8,90
1762092062,2025-11-02T14:01:02Z,BAW119,"51.475822,-0.471516",0,6,90
1762092075,2025-11-02T14:01:15Z,BAW119,"51.475822,-0.471115",0,4,90
1762092085,2025-11-02T14:01:25Z,BAW119,"51.475834,-0.470779",0,0,90
1762092094,2025-11-02T14:01:34Z,BAW119,"51.475834,-0.470371",0,0,90
1762092103,2025-11-02T14:01:43Z,BAW119,"51.475834,-0.46987",0,8,90
1762092117,2025-11-02T14:01:57Z,BAW119,"51.475834,-0.469294",0,9,90
1762092128,2025-11-02T14:02:08Z,BAW119,"51.475906,-0.468102",0,10,81
1762092140,2025-11-02T14:02:20Z,BAW119,"51.475925,-0.467735",0,10,87
1762092141,2025-11-02T14:02:21Z,BAW119,"51.475929,-0.46711",0,10,90
1762092145,2025-11-02T14:02:25Z,BAW119,"51.475929,-0.466881",0,9,90
1762092151,2025-11-02T14:02:31Z,BAW119,"51.475929,-0.466423",0,10,90
1762092154,2025-11-02T14:02:34Z,BAW119,"51.475925,-0.466195",0,10,90
1762092163,2025-11-02T14:02:43Z,BAW119,"51.475925,-0.465564",0,11,90
1762092175,2025-11-02T14:02:55Z,BAW119,"51.475925,-0.464506",0,13,90
