Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762208284,2025-11-03T22:18:04Z,BAW6R,"25.794273,-80.283699",0,0,14
1762209071,2025-11-03T22:31:11Z,BAW6R,"25.794071,-80.28373",0,2,11
1762209098,2025-11-03T22:31:38Z,BAW6R,"25.793779,-80.283798",0,3,11
1762209118,2025-11-03T22:31:58Z,BAW6R,"25.793564,-80.283928",0,3,351
1762209137,2025-11-03T22:32:17Z,BAW6R,"25.793358,-80.284027",0,3,315
1762209159,2025-11-03T22:32:39Z,BAW6R,"25.793129,-80.283905",0,3,281
1762209177,2025-11-03T22:32:57Z,BAW6R,"25.793013,-80.283691",0,2,250
1762209533,2025-11-03T22:38:53Z,BAW6R,"25.793015,-80.283943",0,6,255
1762209540,2025-11-03T22:39:00Z,BAW6R,"25.793001,-80.284203",0,8,261
1762209545,2025-11-03T22:39:05Z,BAW6R,"25.792976,-80.284416",0,8,264
1762209551,2025-11-03T22:39:11Z,BAW6R,"25.792969,-80.284653",0,8,264
1762209556,2025-11-03T22:39:16Z,BAW6R,"25.792953,-80.284889",0,8,267
1762209564,2025-11-03T22:39:24Z,BAW6R,"25.792934,-80.285225",0,9,267
1762209571,2025-11-03T22:39:31Z,BAW6R,"25.792923,-80.285568",0,9,267
1762209577,2025-11-03T22:39:37Z,BAW6R,"25.792873,-80.28582",0,8,261
1762209586,2025-11-03T22:39:46Z,BAW6R,"25.792637,-80.286064",0,8,233
1762209592,2025-11-03T22:39:52Z,BAW6R,"25.792522,-80.286278",0,8,239
1762209598,2025-11-03T22:39:58Z,BAW6R,"25.792524,-80.28653",0,10,258
1762209603,2025-11-03T22:40:03Z,BAW6R,"25.79258,-80.286751",0,10,275
1762209608,2025-11-03T22:40:08Z,BAW6R,"25.792728,-80.286995",0,10,292
1762209615,2025-11-03T22:40:15Z,BAW6R,"25.792873,-80.287285",0,10,298
1762209619,2025-11-03T22:40:19Z,BAW6R,"25.79299,-80.287491",0,11,298
1762209623,2025-11-03T22:40:23Z,BAW6R,"25.793095,-80.287704",0,12,300
1762209627,2025-11-03T22:40:27Z,BAW6R,"25.793209,-80.287918",0,12,300
1762209632,2025-11-03T22:40:32Z,BAW6R,"25.793358,-80.2882",0,13,300
1762209636,2025-11-03T22:40:36Z,BAW6R,"25.793461,-80.288406",0,13,300
1762209643,2025-11-03T22:40:43Z,BAW6R,"25.793663,-80.288773",0,10,303
1762209648,2025-11-03T22:40:48Z,BAW6R,"25.793873,-80.288879",0,11,323
1762209653,2025-11-03T22:40:53Z,BAW6R,"25.79413,-80.288879",0,11,345
1762209657,2025-11-03T22:40:57Z,BAW6R,"25.79435,-80.288879",0,11,354
1762209662,2025-11-03T22:41:02Z,BAW6R,"25.794571,-80.288887",0,11,357
1762209667,2025-11-03T22:41:07Z,BAW6R,"25.794828,-80.288887",0,11,357
1762209672,2025-11-03T22:41:12Z,BAW6R,"25.795118,-80.288902",0,12,357
1762209679,2025-11-03T22:41:19Z,BAW6R,"25.795515,-80.288918",0,13,357
1762209687,2025-11-03T22:41:27Z,BAW6R,"25.795992,-80.288956",0,14,357
1762209695,2025-11-03T22:41:35Z,BAW6R,"25.79648,-80.288979",0,14,357
1762209703,2025-11-03T22:41:43Z,BAW6R,"25.7971,-80.289032",0,15,355
1762209712,2025-11-03T22:41:52Z,BAW6R,"25.797482,-80.289047",0,12,357
1762209721,2025-11-03T22:42:01Z,BAW6R,"25.797993,-80.289078",0,8,357
1762209728,2025-11-03T22:42:08Z,BAW6R,"25.798225,-80.289093",0,6,357
1762209744,2025-11-03T22:42:24Z,BAW6R,"25.798429,-80.289124",0,1,271
1762210015,2025-11-03T22:46:55Z,BAW6R,"25.798639,-80.289124",0,3,3
1762210023,2025-11-03T22:47:03Z,BAW6R,"25.79887,-80.289124",0,7,359
1762210030,2025-11-03T22:47:10Z,BAW6R,"25.79908,-80.289139",0,7,358
1762210036,2025-11-03T22:47:16Z,BAW6R,"25.79933,-80.289139",0,9,359
1762210044,2025-11-03T22:47:24Z,BAW6R,"25.799601,-80.289162",0,8,357
1762210049,2025-11-03T22:47:29Z,BAW6R,"25.799841,-80.289169",0,8,358
1762210058,2025-11-03T22:47:38Z,BAW6R,"25.800051,-80.289391",0,7,314
1762210067,2025-11-03T22:47:47Z,BAW6R,"25.800091,-80.289719",0,8,277
1762210075,2025-11-03T22:47:55Z,BAW6R,"25.800041,-80.290085",0,8,272
1762210080,2025-11-03T22:48:00Z,BAW6R,"25.800039,-80.290298",0,8,268
1762210089,2025-11-03T22:48:09Z,BAW6R,"25.800018,-80.290703",0,10,267
1762210095,2025-11-03T22:48:15Z,BAW6R,"25.799999,-80.291023",0,11,267
1762210098,2025-11-03T22:48:18Z,BAW6R,"25.799984,-80.291237",0,11,267
1762210105,2025-11-03T22:48:25Z,BAW6R,"25.799973,-80.291634",0,12,267
1762210113,2025-11-03T22:48:33Z,BAW6R,"25.799959,-80.292107",0,14,267
1762210120,2025-11-03T22:48:40Z,BAW6R,"25.799948,-80.292709",0,14,267
1762210129,2025-11-03T22:48:49Z,BAW6R,"25.799925,-80.293373",0,14,267
1762210136,2025-11-03T22:48:56Z,BAW6R,"25.799925,-80.293839",0,14,267
1762210144,2025-11-03T22:49:04Z,BAW6R,"25.799904,-80.294418",0,15,267
1762210150,2025-11-03T22:49:10Z,BAW6R,"25.799881,-80.294937",0,14,267
1762210157,2025-11-03T22:49:17Z,BAW6R,"25.799868,-80.295418",0,12,267
1762210165,2025-11-03T22:49:25Z,BAW6R,"25.799843,-80.29586",0,9,267
1762210173,2025-11-03T22:49:33Z,BAW6R,"25.799835,-80.29615",0,6,267
1762210182,2025-11-03T22:49:42Z,BAW6R,"25.799835,-80.296379",0,4,267
1762210214,2025-11-03T22:50:14Z,BAW6R,"25.79982,-80.296585",0,0,267
1762210226,2025-11-03T22:50:26Z,BAW6R,"25.799801,-80.296799",0,5,267
1762210233,2025-11-03T22:50:33Z,BAW6R,"25.799789,-80.297012",0,7,267
1762210240,2025-11-03T22:50:40Z,BAW6R,"25.799786,-80.297234",0,5,267
1762210379,2025-11-03T22:52:59Z,BAW6R,"25.799829,-80.297447",0,5,279
1762210388,2025-11-03T22:53:08Z,BAW6R,"25.800039,-80.297661",0,9,317
1762210394,2025-11-03T22:53:14Z,BAW6R,"25.800339,-80.297737",0,10,334
1762210399,2025-11-03T22:53:19Z,BAW6R,"25.800543,-80.297752",0,9,348
1762210404,2025-11-03T22:53:24Z,BAW6R,"25.800751,-80.297699",0,8,2
1762210412,2025-11-03T22:53:32Z,BAW6R,"25.800915,-80.297493",0,7,33
1762210419,2025-11-03T22:53:39Z,BAW6R,"25.800922,-80.297256",0,6,61
1762210426,2025-11-03T22:53:46Z,BAW6R,"25.800867,-80.29705",0,6,84
1762210433,2025-11-03T22:53:53Z,BAW6R,"25.800867,-80.296776",0,12,84
1762210437,2025-11-03T22:53:57Z,BAW6R,"25.800888,-80.296402",0,25,87
1762210439,2025-11-03T22:53:59Z,BAW6R,"25.800903,-80.296051",0,34,87
1762210441,2025-11-03T22:54:01Z,BAW6R,"25.800911,-80.295692",0,41,87
1762210442,2025-11-03T22:54:02Z,BAW6R,"25.800922,-80.295448",0,46,87
1762210443,2025-11-03T22:54:03Z,BAW6R,"25.800934,-80.295128",0,51,87
1762210444,2025-11-03T22:54:04Z,BAW6R,"25.800945,-80.294861",0,54,87
1762210446,2025-11-03T22:54:06Z,BAW6R,"25.800961,-80.294212",0,62,87
1762210448,2025-11-03T22:54:08Z,BAW6R,"25.800983,-80.293762",0,67,87
1762210450,2025-11-03T22:54:10Z,BAW6R,"25.80102,-80.292953",0,74,87
1762210458,2025-11-03T22:54:18Z,BAW6R,"25.801159,-80.289589",0,102,87
1762210466,2025-11-03T22:54:26Z,BAW6R,"25.801346,-80.284561",0,127,87
1762210473,2025-11-03T22:54:33Z,BAW6R,"25.801579,-80.279793",0,145,87
1762210481,2025-11-03T22:54:41Z,BAW6R,"25.801857,-80.273109",25,154,87
1762210489,2025-11-03T22:54:49Z,BAW6R,"25.80209,-80.266838",200,155,87
1762210498,2025-11-03T22:54:58Z,BAW6R,"25.802307,-80.260216",400,155,88
1762210506,2025-11-03T22:55:06Z,BAW6R,"25.802416,-80.253883",600,156,90
1762210508,2025-11-03T22:55:08Z,BAW6R,"25.80237,-80.252121",675,156,92
1762210510,2025-11-03T22:55:10Z,BAW6R,"25.802307,-80.250755",725,156,96
1762210512,2025-11-03T22:55:12Z,BAW6R,"25.801987,-80.248871",800,157,102
1762210514,2025-11-03T22:55:14Z,BAW6R,"25.80167,-80.247406",850,158,106
1762210516,2025-11-03T22:55:16Z,BAW6R,"25.801163,-80.245872",900,160,111
1762210518,2025-11-03T22:55:18Z,BAW6R,"25.800554,-80.244293",950,161,114
