Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762036081,2025-11-01T22:28:01Z,BAW251,"51.468498,-0.481969",0,1,90
1762036127,2025-11-01T22:28:47Z,BAW251,"51.468498,-0.482174",0,3,90
1762036142,2025-11-01T22:29:02Z,BAW251,"51.468491,-0.482445",0,2,92
1762036154,2025-11-01T22:29:14Z,BAW251,"51.468498,-0.482656",0,2,92
1762036177,2025-11-01T22:29:37Z,BAW251,"51.468502,-0.48296",0,2,95
1762036197,2025-11-01T22:29:57Z,BAW251,"51.468452,-0.483176",0,0,123
1762036215,2025-11-01T22:30:15Z,BAW251,"51.468441,-0.48338",0,0,160
1762036451,2025-11-01T22:34:11Z,BAW251,"51.468224,-0.483547",0,5,182
1762036462,2025-11-01T22:34:22Z,BAW251,"51.467922,-0.48357",0,5,180
1762036474,2025-11-01T22:34:34Z,BAW251,"51.46769,-0.483551",0,5,180
1762036485,2025-11-01T22:34:45Z,BAW251,"51.467457,-0.483246",0,6,137
1762036492,2025-11-01T22:34:52Z,BAW251,"51.467445,-0.482922",0,7,109
1762036496,2025-11-01T22:34:56Z,BAW251,"51.467434,-0.482712",0,7,98
1762036501,2025-11-01T22:35:01Z,BAW251,"51.467434,-0.482508",0,7,95
1762036507,2025-11-01T22:35:07Z,BAW251,"51.467319,-0.482248",0,7,118
1762036513,2025-11-01T22:35:13Z,BAW251,"51.467091,-0.482118",0,8,154
1762036523,2025-11-01T22:35:23Z,BAW251,"51.466759,-0.482081",0,8,174
1762036530,2025-11-01T22:35:30Z,BAW251,"51.466553,-0.481821",0,9,143
1762036533,2025-11-01T22:35:33Z,BAW251,"51.466526,-0.481606",0,9,118
1762036538,2025-11-01T22:35:38Z,BAW251,"51.466526,-0.481396",0,8,101
1762036540,2025-11-01T22:35:40Z,BAW251,"51.466537,-0.481129",0,9,92
1762036545,2025-11-01T22:35:45Z,BAW251,"51.466541,-0.480856",0,9,90
1762036551,2025-11-01T22:35:51Z,BAW251,"51.466537,-0.480423",0,9,90
1762036555,2025-11-01T22:35:55Z,BAW251,"51.466541,-0.480188",0,9,90
1762036561,2025-11-01T22:36:01Z,BAW251,"51.466541,-0.479761",0,9,90
1762036569,2025-11-01T22:36:09Z,BAW251,"51.466541,-0.479241",0,9,90
1762036577,2025-11-01T22:36:17Z,BAW251,"51.466541,-0.478648",0,10,90
1762036584,2025-11-01T22:36:24Z,BAW251,"51.466549,-0.478134",0,10,90
1762036591,2025-11-01T22:36:31Z,BAW251,"51.466553,-0.477627",0,10,90
1762036599,2025-11-01T22:36:39Z,BAW251,"51.466553,-0.477052",0,10,90
1762036609,2025-11-01T22:36:49Z,BAW251,"51.466553,-0.476346",0,10,90
1762036615,2025-11-01T22:36:55Z,BAW251,"51.466553,-0.475808",0,11,90
1762036624,2025-11-01T22:37:04Z,BAW251,"51.46656,-0.475483",0,12,90
1762036633,2025-11-01T22:37:13Z,BAW251,"51.46656,-0.47411",0,13,90
1762036641,2025-11-01T22:37:21Z,BAW251,"51.46656,-0.473576",0,13,90
1762036648,2025-11-01T22:37:28Z,BAW251,"51.466564,-0.472672",0,13,90
1762036659,2025-11-01T22:37:39Z,BAW251,"51.466572,-0.471859",0,13,90
1762036668,2025-11-01T22:37:48Z,BAW251,"51.466576,-0.470835",0,12,90
1762036675,2025-11-01T22:37:55Z,BAW251,"51.466572,-0.4702",0,12,90
1762036681,2025-11-01T22:38:01Z,BAW251,"51.466576,-0.469647",0,12,90
1762036688,2025-11-01T22:38:08Z,BAW251,"51.466576,-0.469053",0,12,90
1762036697,2025-11-01T22:38:17Z,BAW251,"51.466583,-0.468292",0,11,90
1762036704,2025-11-01T22:38:24Z,BAW251,"51.466583,-0.467701",0,11,90
1762036711,2025-11-01T22:38:31Z,BAW251,"51.466587,-0.467067",0,11,90
1762036719,2025-11-01T22:38:39Z,BAW251,"51.466583,-0.466423",0,12,90
1762036727,2025-11-01T22:38:47Z,BAW251,"51.466595,-0.46566",0,12,90
1762036736,2025-11-01T22:38:56Z,BAW251,"51.466599,-0.464785",0,13,90
1762036743,2025-11-01T22:39:03Z,BAW251,"51.466599,-0.464172",0,14,90
1762036751,2025-11-01T22:39:11Z,BAW251,"51.466595,-0.463295",0,14,90
1762036759,2025-11-01T22:39:19Z,BAW251,"51.466595,-0.462666",0,0,90
1762036775,2025-11-01T22:39:35Z,BAW251,"51.466606,-0.460854",0,0,90
1762036784,2025-11-01T22:39:44Z,BAW251,"51.46661,-0.459941",0,14,90
1762036795,2025-11-01T22:39:55Z,BAW251,"51.46661,-0.458753",0,14,90
1762036803,2025-11-01T22:40:03Z,BAW251,"51.46661,-0.457937",0,14,90
1762036811,2025-11-01T22:40:11Z,BAW251,"51.466618,-0.457706",0,14,90
1762036823,2025-11-01T22:40:23Z,BAW251,"51.466618,-0.455742",0,15,90
1762036840,2025-11-01T22:40:40Z,BAW251,"51.466629,-0.453815",0,0,90
1762036847,2025-11-01T22:40:47Z,BAW251,"51.466633,-0.453464",0,0,90
1762036858,2025-11-01T22:40:58Z,BAW251,"51.46664,-0.451679",0,0,90
1762036866,2025-11-01T22:41:06Z,BAW251,"51.466644,-0.450959",0,15,90
1762036875,2025-11-01T22:41:15Z,BAW251,"51.46664,-0.449696",0,15,90
1762036883,2025-11-01T22:41:23Z,BAW251,"51.466652,-0.448723",0,14,90
1762036894,2025-11-01T22:41:34Z,BAW251,"51.466656,-0.447619",0,13,90
1762036905,2025-11-01T22:41:45Z,BAW251,"51.466656,-0.446542",0,14,90
1762036914,2025-11-01T22:41:54Z,BAW251,"51.466652,-0.445652",0,13,90
1762036920,2025-11-01T22:42:00Z,BAW251,"51.466652,-0.444984",0,14,90
1762036927,2025-11-01T22:42:07Z,BAW251,"51.466663,-0.444241",0,14,90
1762036935,2025-11-01T22:42:15Z,BAW251,"51.466667,-0.443517",0,14,90
1762036942,2025-11-01T22:42:22Z,BAW251,"51.466663,-0.44281",0,13,90
1762036948,2025-11-01T22:42:28Z,BAW251,"51.466667,-0.4422",0,11,90
1762036955,2025-11-01T22:42:35Z,BAW251,"51.466663,-0.441647",0,11,90
1762036963,2025-11-01T22:42:43Z,BAW251,"51.466675,-0.441074",0,11,90
1762036969,2025-11-01T22:42:49Z,BAW251,"51.466679,-0.440548",0,11,90
1762036976,2025-11-01T22:42:56Z,BAW251,"51.466675,-0.439892",0,11,90
1762036983,2025-11-01T22:43:03Z,BAW251,"51.466675,-0.439415",0,9,90
1762036990,2025-11-01T22:43:10Z,BAW251,"51.466679,-0.438971",0,8,90
1762036998,2025-11-01T22:43:18Z,BAW251,"51.466675,-0.43848",0,9,90
1762037004,2025-11-01T22:43:24Z,BAW251,"51.466675,-0.438099",0,9,90
1762037011,2025-11-01T22:43:31Z,BAW251,"51.466686,-0.437565",0,9,90
1762037019,2025-11-01T22:43:39Z,BAW251,"51.466686,-0.43705",0,9,90
1762037026,2025-11-01T22:43:46Z,BAW251,"51.466686,-0.436668",0,7,90
1762037033,2025-11-01T22:43:53Z,BAW251,"51.46669,-0.436354",0,6,90
1762037038,2025-11-01T22:43:58Z,BAW251,"51.466606,-0.436134",0,6,112
1762037048,2025-11-01T22:44:08Z,BAW251,"51.466393,-0.436057",0,5,154
1762037059,2025-11-01T22:44:19Z,BAW251,"51.466187,-0.436057",0,3,174
1762037106,2025-11-01T22:45:06Z,BAW251,"51.465969,-0.436038",0,5,177
1762037114,2025-11-01T22:45:14Z,BAW251,"51.46571,-0.436039",0,8,177
1762037122,2025-11-01T22:45:22Z,BAW251,"51.465397,-0.43602",0,9,180
1762037128,2025-11-01T22:45:28Z,BAW251,"51.465168,-0.43602",0,6,180
1762037141,2025-11-01T22:45:41Z,BAW251,"51.464966,-0.436268",0,4,219
1762037153,2025-11-01T22:45:53Z,BAW251,"51.464966,-0.436478",0,0,247
1762037165,2025-11-01T22:46:05Z,BAW251,"51.464973,-0.436688",0,4,261
1762037170,2025-11-01T22:46:10Z,BAW251,"51.464966,-0.436954",0,11,267
1762037173,2025-11-01T22:46:13Z,BAW251,"51.464962,-0.437245",0,18,267
1762037177,2025-11-01T22:46:17Z,BAW251,"51.464954,-0.437813",0,31,270
1762037179,2025-11-01T22:46:19Z,BAW251,"51.464954,-0.438385",0,40,270
1762037180,2025-11-01T22:46:20Z,BAW251,"51.464951,-0.439453",0,54,270
1762037182,2025-11-01T22:46:22Z,BAW251,"51.464951,-0.439787",0,58,270
1762037183,2025-11-01T22:46:23Z,BAW251,"51.464951,-0.440529",0,62,270
1762037184,2025-11-01T22:46:24Z,BAW251,"51.464943,-0.441093",0,67,270
1762037185,2025-11-01T22:46:25Z,BAW251,"51.464943,-0.441742",0,70,270
1762037186,2025-11-01T22:46:26Z,BAW251,"51.464939,-0.442033",0,74,270
1762037188,2025-11-01T22:46:28Z,BAW251,"51.464943,-0.442924",0,78,270
1762037190,2025-11-01T22:46:30Z,BAW251,"51.464939,-0.444334",0,90,270
1762037192,2025-11-01T22:46:32Z,BAW251,"51.464943,-0.446014",275,100,270
1762037194,2025-11-01T22:46:34Z,BAW251,"51.464951,-0.448287",275,104,270
1762037205,2025-11-01T22:46:45Z,BAW251,"51.464905,-0.456675",275,147,269
1762037211,2025-11-01T22:46:51Z,BAW251,"51.464897,-0.465622",275,147,269
1762037218,2025-11-01T22:46:58Z,BAW251,"51.464859,-0.473897",275,185,270
1762037227,2025-11-01T22:47:07Z,BAW251,"51.464813,-0.486962",525,188,269
1762037233,2025-11-01T22:47:13Z,BAW251,"51.464802,-0.495377",825,185,269
1762037241,2025-11-01T22:47:21Z,BAW251,"51.464664,-0.506973",1325,178,269
1762037250,2025-11-01T22:47:30Z,BAW251,"51.464523,-0.517273",1850,171,268
1762037256,2025-11-01T22:47:36Z,BAW251,"51.464432,-0.525589",2150,170,269
1762037264,2025-11-01T22:47:44Z,BAW251,"51.464355,-0.535955",2350,176,269
1762037273,2025-11-01T22:47:53Z,BAW251,"51.464291,-0.547256",2400,189,269
1762037281,2025-11-01T22:48:01Z,BAW251,"51.464172,-0.55956",2500,199,269
1762037290,2025-11-01T22:48:10Z,BAW251,"51.464081,-0.572848",2625,209,269
1762037296,2025-11-01T22:48:16Z,BAW251,"51.463989,-0.58235",2725,216,269
1762037304,2025-11-01T22:48:24Z,BAW251,"51.463852,-0.596231",2950,221,268
1762037313,2025-11-01T22:48:33Z,BAW251,"51.463303,-0.609815",3125,228,263
1762037315,2025-11-01T22:48:35Z,BAW251,"51.462982,-0.613898",3175,229,262
1762037317,2025-11-01T22:48:37Z,BAW251,"51.462616,-0.61761",3225,231,261
1762037319,2025-11-01T22:48:39Z,BAW251,"51.462196,-0.621567",3275,234,260
1762037321,2025-11-01T22:48:41Z,BAW251,"51.461868,-0.624313",3325,235,259
1762037323,2025-11-01T22:48:43Z,BAW251,"51.461311,-0.628357",3375,236,257
1762037325,2025-11-01T22:48:45Z,BAW251,"51.4608,-0.63179",3450,238,256
1762037328,2025-11-01T22:48:48Z,BAW251,"51.460281,-0.635054",3500,238,255
1762037330,2025-11-01T22:48:50Z,BAW251,"51.459595,-0.639211",3575,240,254
1762037332,2025-11-01T22:48:52Z,BAW251,"51.459137,-0.641958",3625,240,254
1762037334,2025-11-01T22:48:54Z,BAW251,"51.458496,-0.645744",3700,241,254
1762037336,2025-11-01T22:48:56Z,BAW251,"51.457958,-0.649033",3775,242,256
1762037338,2025-11-01T22:48:58Z,BAW251,"51.457443,-0.652722",3850,243,258
