Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762108962,2025-11-02T18:42:42Z,EFW3MG,"37.421879,-5.894433",0,8,137
1762108968,2025-11-02T18:42:48Z,EFW3MG,"37.421658,-5.894449",0,8,180
1762108974,2025-11-02T18:42:54Z,EFW3MG,"37.421471,-5.894658",0,9,213
1762108981,2025-11-02T18:43:01Z,EFW3MG,"37.421261,-5.894911",0,9,222
1762108988,2025-11-02T18:43:08Z,EFW3MG,"37.421017,-5.895061",0,9,202
1762108998,2025-11-02T18:43:18Z,EFW3MG,"37.420643,-5.894777",0,10,143
1762109003,2025-11-02T18:43:23Z,EFW3MG,"37.420486,-5.894559",0,10,135
1762109009,2025-11-02T18:43:29Z,EFW3MG,"37.420269,-5.894282",0,11,135
1762109017,2025-11-02T18:43:37Z,EFW3MG,"37.420097,-5.894063",0,11,135
1762109020,2025-11-02T18:43:40Z,EFW3MG,"37.419899,-5.893762",0,12,126
1762109024,2025-11-02T18:43:44Z,EFW3MG,"37.41983,-5.893493",0,12,109
1762109027,2025-11-02T18:43:47Z,EFW3MG,"37.419834,-5.89323",0,12,92
1762109031,2025-11-02T18:43:51Z,EFW3MG,"37.41983,-5.893001",0,13,90
1762109034,2025-11-02T18:43:54Z,EFW3MG,"37.419842,-5.892702",0,14,87
1762109037,2025-11-02T18:43:57Z,EFW3MG,"37.419842,-5.892493",0,14,90
1762109042,2025-11-02T18:44:02Z,EFW3MG,"37.419842,-5.89206",0,14,90
1762109048,2025-11-02T18:44:08Z,EFW3MG,"37.419846,-5.891564",0,15,90
1762109051,2025-11-02T18:44:11Z,EFW3MG,"37.419842,-5.891359",0,15,90
1762109053,2025-11-02T18:44:13Z,EFW3MG,"37.419846,-5.891097",0,15,90
1762109055,2025-11-02T18:44:15Z,EFW3MG,"37.419842,-5.890896",0,15,90
1762109064,2025-11-02T18:44:24Z,EFW3MG,"37.419842,-5.890075",0,16,90
1762109073,2025-11-02T18:44:33Z,EFW3MG,"37.419853,-5.889134",0,17,90
1762109079,2025-11-02T18:44:39Z,EFW3MG,"37.419842,-5.888508",0,16,90
1762109087,2025-11-02T18:44:47Z,EFW3MG,"37.419846,-5.887795",0,16,90
1762109095,2025-11-02T18:44:55Z,EFW3MG,"37.419853,-5.886985",0,17,90
1762109102,2025-11-02T18:45:02Z,EFW3MG,"37.419853,-5.886194",0,18,90
1762109109,2025-11-02T18:45:09Z,EFW3MG,"37.419853,-5.885478",0,19,90
1762109116,2025-11-02T18:45:16Z,EFW3MG,"37.419868,-5.884611",0,20,90
1762109122,2025-11-02T18:45:22Z,EFW3MG,"37.419868,-5.883851",0,20,90
1762109130,2025-11-02T18:45:30Z,EFW3MG,"37.419865,-5.882925",0,19,90
1762109137,2025-11-02T18:45:37Z,EFW3MG,"37.419865,-5.882074",0,20,90
1762109145,2025-11-02T18:45:45Z,EFW3MG,"37.419865,-5.881164",0,21,90
1762109153,2025-11-02T18:45:53Z,EFW3MG,"37.419876,-5.880223",0,21,90
1762109160,2025-11-02T18:46:00Z,EFW3MG,"37.419876,-5.879313",0,22,90
1762109167,2025-11-02T18:46:07Z,EFW3MG,"37.41988,-5.878328",0,23,90
1762109174,2025-11-02T18:46:14Z,EFW3MG,"37.419888,-5.877581",0,23,90
1762109182,2025-11-02T18:46:22Z,EFW3MG,"37.419891,-5.876297",0,19,90
1762109189,2025-11-02T18:46:29Z,EFW3MG,"37.419834,-5.875553",0,18,101
1762109191,2025-11-02T18:46:31Z,EFW3MG,"37.419769,-5.875327",0,18,106
1762109195,2025-11-02T18:46:35Z,EFW3MG,"37.419632,-5.874954",0,18,115
1762109198,2025-11-02T18:46:38Z,EFW3MG,"37.419468,-5.874705",0,17,129
1762109205,2025-11-02T18:46:45Z,EFW3MG,"37.419003,-5.874432",0,15,165
1762109208,2025-11-02T18:46:48Z,EFW3MG,"37.41877,-5.874442",0,14,180
1762109215,2025-11-02T18:46:55Z,EFW3MG,"37.418404,-5.874647",0,14,205
1762109219,2025-11-02T18:46:59Z,EFW3MG,"37.418152,-5.874849",0,13,213
1762109223,2025-11-02T18:47:03Z,EFW3MG,"37.418037,-5.875085",0,13,236
1762109227,2025-11-02T18:47:07Z,EFW3MG,"37.418003,-5.875406",0,14,258
1762109231,2025-11-02T18:47:11Z,EFW3MG,"37.418003,-5.875775",0,18,267
1762109234,2025-11-02T18:47:14Z,EFW3MG,"37.418003,-5.876239",0,29,270
1762109235,2025-11-02T18:47:15Z,EFW3MG,"37.418003,-5.876551",0,39,270
1762109241,2025-11-02T18:47:21Z,EFW3MG,"37.418003,-5.878208",0,63,270
1762109242,2025-11-02T18:47:22Z,EFW3MG,"37.417992,-5.878869",0,72,270
1762109244,2025-11-02T18:47:24Z,EFW3MG,"37.417992,-5.879731",0,78,270
1762109245,2025-11-02T18:47:25Z,EFW3MG,"37.417992,-5.880402",0,86,270
1762109246,2025-11-02T18:47:26Z,EFW3MG,"37.417992,-5.880958",0,92,270
