Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762094974,2025-11-02T14:49:34Z,BAW277,"51.469162,-0.482044",0,0,90
1762095489,2025-11-02T14:58:09Z,BAW277,"51.469154,-0.482407",0,0,90
1762095505,2025-11-02T14:58:25Z,BAW277,"51.469154,-0.482655",0,0,90
1762095523,2025-11-02T14:58:43Z,BAW277,"51.469116,-0.48286",0,0,109
1762095541,2025-11-02T14:59:01Z,BAW277,"51.469128,-0.483083",0,0,126
1762095568,2025-11-02T14:59:28Z,BAW277,"51.469189,-0.48336",0,0,157
1762095675,2025-11-02T15:01:15Z,BAW277,"51.468864,-0.483532",0,3,180
1762095696,2025-11-02T15:01:36Z,BAW277,"51.468609,-0.483532",0,3,180
1762096076,2025-11-02T15:07:56Z,BAW277,"51.468399,-0.483532",0,4,180
1762096088,2025-11-02T15:08:08Z,BAW277,"51.46804,-0.483528",0,0,180
1762096094,2025-11-02T15:08:14Z,BAW277,"51.467781,-0.483532",0,9,180
1762096102,2025-11-02T15:08:22Z,BAW277,"51.467457,-0.483398",0,9,163
1762096112,2025-11-02T15:08:32Z,BAW277,"51.467434,-0.482788",0,8,95
1762096119,2025-11-02T15:08:39Z,BAW277,"51.467411,-0.482359",0,8,95
1762096124,2025-11-02T15:08:44Z,BAW277,"51.467316,-0.482159",0,9,118
1762096129,2025-11-02T15:08:49Z,BAW277,"51.467083,-0.482121",0,9,160
1762096135,2025-11-02T15:08:55Z,BAW277,"51.46685,-0.482136",0,8,180
1762096141,2025-11-02T15:09:01Z,BAW277,"51.466621,-0.482081",0,9,171
1762096145,2025-11-02T15:09:05Z,BAW277,"51.46653,-0.481858",0,10,140
1762096148,2025-11-02T15:09:08Z,BAW277,"51.466518,-0.481635",0,9,115
1762096152,2025-11-02T15:09:12Z,BAW277,"51.466518,-0.481339",0,9,95
1762096158,2025-11-02T15:09:18Z,BAW277,"51.46653,-0.480986",0,10,90
1762096161,2025-11-02T15:09:21Z,BAW277,"51.466537,-0.480709",0,10,90
1762096166,2025-11-02T15:09:26Z,BAW277,"51.466537,-0.480366",0,10,90
1762096174,2025-11-02T15:09:34Z,BAW277,"51.466541,-0.479761",0,11,90
1762096189,2025-11-02T15:09:49Z,BAW277,"51.466537,-0.478535",0,11,90
1762096196,2025-11-02T15:09:56Z,BAW277,"51.466553,-0.47798",0,12,90
1762096203,2025-11-02T15:10:03Z,BAW277,"51.466553,-0.477274",0,12,90
1762096211,2025-11-02T15:10:11Z,BAW277,"51.466541,-0.476513",0,13,90
1762096220,2025-11-02T15:10:20Z,BAW277,"51.466553,-0.47566",0,14,90
1762096227,2025-11-02T15:10:27Z,BAW277,"51.466553,-0.474899",0,15,90
1762096237,2025-11-02T15:10:37Z,BAW277,"51.466553,-0.473785",0,15,90
1762096244,2025-11-02T15:10:44Z,BAW277,"51.466564,-0.472932",0,15,90
1762096255,2025-11-02T15:10:55Z,BAW277,"51.46656,-0.47224",0,15,90
1762096262,2025-11-02T15:11:02Z,BAW277,"51.466564,-0.470983",0,15,90
