Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762156538,2025-11-03T07:55:38Z,BAW30DG,"51.47398,-0.47527",0,0,270
1762156555,2025-11-03T07:55:55Z,BAW30DG,"51.473984,-0.47493",0,2,270
1762156567,2025-11-03T07:56:07Z,BAW30DG,"51.473991,-0.474713",0,3,270
1762156581,2025-11-03T07:56:21Z,BAW30DG,"51.47398,-0.474453",0,0,270
1762156590,2025-11-03T07:56:30Z,BAW30DG,"51.473991,-0.474249",0,0,272
1762156600,2025-11-03T07:56:40Z,BAW30DG,"51.474014,-0.474027",0,3,292
1762156614,2025-11-03T07:56:54Z,BAW30DG,"51.474007,-0.473766",0,2,326
1762156632,2025-11-03T07:57:12Z,BAW30DG,"51.473869,-0.473557",0,2,354
1762156863,2025-11-03T08:01:03Z,BAW30DG,"51.474216,-0.473537",0,0,2
1762156872,2025-11-03T08:01:12Z,BAW30DG,"51.474438,-0.473544",0,6,2
1762156880,2025-11-03T08:01:20Z,BAW30DG,"51.474659,-0.473537",0,6,2
1762156891,2025-11-03T08:01:31Z,BAW30DG,"51.474892,-0.473309",0,6,30
1762156897,2025-11-03T08:01:37Z,BAW30DG,"51.474941,-0.473062",0,5,59
1762156904,2025-11-03T08:01:44Z,BAW30DG,"51.474937,-0.472832",0,5,78
1762156915,2025-11-03T08:01:55Z,BAW30DG,"51.474918,-0.472468",0,4,90
1762156926,2025-11-03T08:02:06Z,BAW30DG,"51.474926,-0.472183",0,2,90
1762156945,2025-11-03T08:02:25Z,BAW30DG,"51.474926,-0.471916",0,0,90
1762156956,2025-11-03T08:02:36Z,BAW30DG,"51.47493,-0.471688",0,0,90
1762156973,2025-11-03T08:02:53Z,BAW30DG,"51.474926,-0.471306",0,2,90
1762157041,2025-11-03T08:04:01Z,BAW30DG,"51.474926,-0.47081",0,7,90
1762157049,2025-11-03T08:04:09Z,BAW30DG,"51.47493,-0.470204",0,11,90
1762157056,2025-11-03T08:04:16Z,BAW30DG,"51.474937,-0.469627",0,13,90
1762157070,2025-11-03T08:04:30Z,BAW30DG,"51.474949,-0.468254",0,13,90
1762157081,2025-11-03T08:04:41Z,BAW30DG,"51.47501,-0.467472",0,8,75
1762157086,2025-11-03T08:04:46Z,BAW30DG,"51.475101,-0.467234",0,7,64
1762157093,2025-11-03T08:04:53Z,BAW30DG,"51.475159,-0.466862",0,7,75
1762157098,2025-11-03T08:04:58Z,BAW30DG,"51.475159,-0.466603",0,9,87
1762157100,2025-11-03T08:05:00Z,BAW30DG,"51.475159,-0.466381",0,10,87
1762157106,2025-11-03T08:05:06Z,BAW30DG,"51.475159,-0.465972",0,11,90
1762157108,2025-11-03T08:05:08Z,BAW30DG,"51.475159,-0.465713",0,12,90
1762157124,2025-11-03T08:05:24Z,BAW30DG,"51.475159,-0.464096",0,15,90
1762157133,2025-11-03T08:05:33Z,BAW30DG,"51.47517,-0.463022",0,0,90
1762157144,2025-11-03T08:05:44Z,BAW30DG,"51.47517,-0.461741",0,16,90
1762157152,2025-11-03T08:05:52Z,BAW30DG,"51.47517,-0.461483",0,0,90
1762157161,2025-11-03T08:06:01Z,BAW30DG,"51.475185,-0.459557",0,16,90
1762157186,2025-11-03T08:06:26Z,BAW30DG,"51.475079,-0.456219",0,18,90
1762157203,2025-11-03T08:06:43Z,BAW30DG,"51.47509,-0.453965",0,17,90
1762157211,2025-11-03T08:06:51Z,BAW30DG,"51.47509,-0.452908",0,0,90
1762157219,2025-11-03T08:06:59Z,BAW30DG,"51.47509,-0.451851",0,0,90
1762157228,2025-11-03T08:07:08Z,BAW30DG,"51.475101,-0.450699",0,0,90
1762157245,2025-11-03T08:07:25Z,BAW30DG,"51.475113,-0.448547",0,0,90
1762157264,2025-11-03T08:07:44Z,BAW30DG,"51.47517,-0.446765",0,0,75
1762157282,2025-11-03T08:08:02Z,BAW30DG,"51.475872,-0.446529",0,8,8
1762157306,2025-11-03T08:08:26Z,BAW30DG,"51.475998,-0.445061",0,0,90
1762157320,2025-11-03T08:08:40Z,BAW30DG,"51.476006,-0.444074",0,10,90
1762157327,2025-11-03T08:08:47Z,BAW30DG,"51.476009,-0.443535",0,11,90
1762157336,2025-11-03T08:08:56Z,BAW30DG,"51.475948,-0.442719",0,0,98
1762157347,2025-11-03T08:09:07Z,BAW30DG,"51.475918,-0.441608",0,15,90
1762157355,2025-11-03T08:09:15Z,BAW30DG,"51.475925,-0.440659",0,15,90
