Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762272774,2025-11-04T16:12:54Z,BAW411,"39.489887,-0.471875",0,0,19
1762272828,2025-11-04T16:13:48Z,BAW411,"39.489681,-0.471964",0,2,22
1762272855,2025-11-04T16:14:15Z,BAW411,"39.489414,-0.472107",0,2,22
1762272879,2025-11-04T16:14:39Z,BAW411,"39.489201,-0.472218",0,3,22
1762272894,2025-11-04T16:14:54Z,BAW411,"39.488995,-0.472337",0,3,16
1762272912,2025-11-04T16:15:12Z,BAW411,"39.488789,-0.472442",0,3,2
1762273179,2025-11-04T16:19:39Z,BAW411,"39.489029,-0.472626",0,4,337
1762273189,2025-11-04T16:19:49Z,BAW411,"39.489216,-0.47287",0,6,312
1762273195,2025-11-04T16:19:55Z,BAW411,"39.489296,-0.473083",0,8,298
1762273200,2025-11-04T16:20:00Z,BAW411,"39.489384,-0.473308",0,8,298
1762273207,2025-11-04T16:20:07Z,BAW411,"39.489498,-0.473621",0,9,295
1762273212,2025-11-04T16:20:12Z,BAW411,"39.48959,-0.47386",0,9,295
1762273216,2025-11-04T16:20:16Z,BAW411,"39.48967,-0.474069",0,9,295
1762273223,2025-11-04T16:20:23Z,BAW411,"39.489807,-0.474412",0,10,295
1762273232,2025-11-04T16:20:32Z,BAW411,"39.489948,-0.474808",0,11,295
1762273241,2025-11-04T16:20:41Z,BAW411,"39.490231,-0.475532",0,12,298
1762273248,2025-11-04T16:20:48Z,BAW411,"39.490414,-0.476013",0,13,295
1762273251,2025-11-04T16:20:51Z,BAW411,"39.490494,-0.476219",0,13,295
1762273254,2025-11-04T16:20:54Z,BAW411,"39.490578,-0.476471",0,13,292
1762273258,2025-11-04T16:20:58Z,BAW411,"39.490631,-0.476756",0,14,284
1762273260,2025-11-04T16:21:00Z,BAW411,"39.490646,-0.476959",0,14,278
1762273263,2025-11-04T16:21:03Z,BAW411,"39.490669,-0.477173",0,15,275
1762273265,2025-11-04T16:21:05Z,BAW411,"39.490688,-0.477398",0,15,275
1762273268,2025-11-04T16:21:08Z,BAW411,"39.490707,-0.477615",0,15,275
1762273270,2025-11-04T16:21:10Z,BAW411,"39.490734,-0.47786",0,15,278
1762273273,2025-11-04T16:21:13Z,BAW411,"39.490776,-0.478149",0,15,284
1762273276,2025-11-04T16:21:16Z,BAW411,"39.490845,-0.478363",0,15,289
1762273279,2025-11-04T16:21:19Z,BAW411,"39.49094,-0.478622",0,15,295
1762273281,2025-11-04T16:21:21Z,BAW411,"39.49102,-0.478831",0,15,295
1762273284,2025-11-04T16:21:24Z,BAW411,"39.4911,-0.47904",0,16,295
1762273287,2025-11-04T16:21:27Z,BAW411,"39.491192,-0.479279",0,16,295
1762273290,2025-11-04T16:21:30Z,BAW411,"39.491322,-0.479614",0,16,295
1762273294,2025-11-04T16:21:34Z,BAW411,"39.491428,-0.479889",0,15,295
1762273297,2025-11-04T16:21:37Z,BAW411,"39.491524,-0.480129",0,15,295
1762273303,2025-11-04T16:21:43Z,BAW411,"39.491695,-0.480606",0,13,295
1762273310,2025-11-04T16:21:50Z,BAW411,"39.491821,-0.480988",0,11,289
1762273312,2025-11-04T16:21:52Z,BAW411,"39.49181,-0.481189",0,11,270
1762273317,2025-11-04T16:21:57Z,BAW411,"39.49165,-0.481445",0,11,227
1762273322,2025-11-04T16:22:02Z,BAW411,"39.491478,-0.481697",0,10,233
1762273326,2025-11-04T16:22:06Z,BAW411,"39.491444,-0.481921",0,9,255
1762273330,2025-11-04T16:22:10Z,BAW411,"39.491478,-0.48213",0,9,278
1762273334,2025-11-04T16:22:14Z,BAW411,"39.491543,-0.48233",0,9,289
1762273339,2025-11-04T16:22:19Z,BAW411,"39.491638,-0.482574",0,10,295
1762273343,2025-11-04T16:22:23Z,BAW411,"39.491718,-0.482801",0,11,295
1762273347,2025-11-04T16:22:27Z,BAW411,"39.49181,-0.483032",0,12,295
1762273349,2025-11-04T16:22:29Z,BAW411,"39.49189,-0.483234",0,14,295
1762273353,2025-11-04T16:22:33Z,BAW411,"39.492004,-0.483548",0,15,295
1762273361,2025-11-04T16:22:41Z,BAW411,"39.492287,-0.484268",0,19,295
1762273369,2025-11-04T16:22:49Z,BAW411,"39.492626,-0.485153",0,23,298
1762273371,2025-11-04T16:22:51Z,BAW411,"39.49276,-0.485488",0,24,295
1762273373,2025-11-04T16:22:53Z,BAW411,"39.492836,-0.485718",0,24,295
1762273375,2025-11-04T16:22:55Z,BAW411,"39.492962,-0.486023",0,24,295
1762273378,2025-11-04T16:22:58Z,BAW411,"39.493103,-0.48642",0,24,295
1762273380,2025-11-04T16:23:00Z,BAW411,"39.493233,-0.48674",0,24,295
1762273383,2025-11-04T16:23:03Z,BAW411,"39.493332,-0.487011",0,24,295
1762273385,2025-11-04T16:23:05Z,BAW411,"39.493465,-0.48735",0,24,295
1762273388,2025-11-04T16:23:08Z,BAW411,"39.493591,-0.487686",0,24,295
1762273394,2025-11-04T16:23:14Z,BAW411,"39.493908,-0.488525",0,24,295
1762273402,2025-11-04T16:23:22Z,BAW411,"39.494236,-0.489399",0,23,295
1762273414,2025-11-04T16:23:34Z,BAW411,"39.494877,-0.491071",0,23,295
