Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762350184,2025-11-05T13:43:04Z,BAW437Z,"52.304272,4.772129",0,8,149
1762350192,2025-11-05T13:43:12Z,BAW437Z,"52.304035,4.772382",0,7,143
1762350203,2025-11-05T13:43:23Z,BAW437Z,"52.303894,4.772657",0,1,132
1762350303,2025-11-05T13:45:03Z,BAW437Z,"52.303802,4.772892",0,4,123
1762350312,2025-11-05T13:45:12Z,BAW437Z,"52.303688,4.773197",0,6,120
1762350318,2025-11-05T13:45:18Z,BAW437Z,"52.303593,4.773481",0,8,120
1762350323,2025-11-05T13:45:23Z,BAW437Z,"52.303463,4.773756",0,8,129
1762350331,2025-11-05T13:45:31Z,BAW437Z,"52.303242,4.773913",0,6,157
1762350342,2025-11-05T13:45:42Z,BAW437Z,"52.303082,4.773674",0,4,222
1762350361,2025-11-05T13:46:01Z,BAW437Z,"52.302998,4.773383",0,6,239
1762350365,2025-11-05T13:46:05Z,BAW437Z,"52.302799,4.772853",0,25,236
1762350399,2025-11-05T13:46:39Z,BAW437Z,"52.294006,4.749451",200,151,239
1762350408,2025-11-05T13:46:48Z,BAW437Z,"52.291199,4.741778",575,146,238
1762350414,2025-11-05T13:46:54Z,BAW437Z,"52.288834,4.735641",900,143,238
1762350422,2025-11-05T13:47:02Z,BAW437Z,"52.285904,4.728165",1325,140,237
1762350427,2025-11-05T13:47:07Z,BAW437Z,"52.284439,4.724503",1475,143,236
1762350429,2025-11-05T13:47:09Z,BAW437Z,"52.283516,4.722159",1550,144,236
1762350431,2025-11-05T13:47:11Z,BAW437Z,"52.282913,4.720668",1625,145,236
1762350439,2025-11-05T13:47:19Z,BAW437Z,"52.279587,4.712296",1875,153,236
1762350447,2025-11-05T13:47:27Z,BAW437Z,"52.276253,4.704189",2075,163,233
1762350450,2025-11-05T13:47:30Z,BAW437Z,"52.275467,4.702606",2125,165,232
1762350452,2025-11-05T13:47:32Z,BAW437Z,"52.274277,4.700165",2200,167,230
1762350454,2025-11-05T13:47:34Z,BAW437Z,"52.273182,4.698146",2250,169,228
1762350456,2025-11-05T13:47:36Z,BAW437Z,"52.272064,4.696263",2300,171,226
1762350458,2025-11-05T13:47:38Z,BAW437Z,"52.271179,4.694772",2350,174,225
1762350460,2025-11-05T13:47:40Z,BAW437Z,"52.269924,4.692731",2400,178,225
1762350462,2025-11-05T13:47:42Z,BAW437Z,"52.268738,4.690781",2450,183,224
1762350464,2025-11-05T13:47:44Z,BAW437Z,"52.267365,4.688644",2475,185,224
1762350466,2025-11-05T13:47:46Z,BAW437Z,"52.266201,4.686768",2500,192,224
1762350468,2025-11-05T13:47:48Z,BAW437Z,"52.264664,4.684335",2575,193,224
1762350470,2025-11-05T13:47:50Z,BAW437Z,"52.263428,4.682388",2625,197,223
1762350472,2025-11-05T13:47:52Z,BAW437Z,"52.262146,4.680328",2675,200,223
1762350474,2025-11-05T13:47:54Z,BAW437Z,"52.260452,4.677734",2750,205,224
1762350477,2025-11-05T13:47:57Z,BAW437Z,"52.259079,4.675522",2800,208,224
1762350479,2025-11-05T13:47:59Z,BAW437Z,"52.25766,4.673309",2850,212,224
1762350481,2025-11-05T13:48:01Z,BAW437Z,"52.256241,4.671021",2900,214,224
1762350483,2025-11-05T13:48:03Z,BAW437Z,"52.254375,4.668012",2975,219,224
1762350489,2025-11-05T13:48:09Z,BAW437Z,"52.249859,4.660714",3150,230,226
1762350491,2025-11-05T13:48:11Z,BAW437Z,"52.248367,4.657974",3225,234,228
1762350494,2025-11-05T13:48:14Z,BAW437Z,"52.246902,4.655075",3275,238,231
1762350496,2025-11-05T13:48:16Z,BAW437Z,"52.245483,4.651925",3350,241,234
1762350498,2025-11-05T13:48:18Z,BAW437Z,"52.244247,4.648819",3400,244,238
1762350500,2025-11-05T13:48:20Z,BAW437Z,"52.242874,4.644623",3500,248,241
1762350502,2025-11-05T13:48:22Z,BAW437Z,"52.241913,4.641266",3575,252,245
1762350504,2025-11-05T13:48:24Z,BAW437Z,"52.241043,4.637756",3675,253,247
1762350506,2025-11-05T13:48:26Z,BAW437Z,"52.240223,4.63419",3750,256,249
1762350508,2025-11-05T13:48:28Z,BAW437Z,"52.239441,4.630508",3875,258,250
1762350510,2025-11-05T13:48:30Z,BAW437Z,"52.238571,4.626465",3975,259,250
1762350512,2025-11-05T13:48:32Z,BAW437Z,"52.237793,4.622803",4100,260,251
1762350514,2025-11-05T13:48:34Z,BAW437Z,"52.236919,4.618495",4225,261,251
1762350516,2025-11-05T13:48:36Z,BAW437Z,"52.236099,4.614487",4350,262,251
1762350518,2025-11-05T13:48:38Z,BAW437Z,"52.235321,4.610672",4475,263,251
1762350521,2025-11-05T13:48:41Z,BAW437Z,"52.234543,4.606881",4600,264,251
1762350523,2025-11-05T13:48:43Z,BAW437Z,"52.233765,4.603119",4725,264,251
1762350525,2025-11-05T13:48:45Z,BAW437Z,"52.23296,4.599191",4850,263,251
1762350527,2025-11-05T13:48:47Z,BAW437Z,"52.231983,4.594561",4975,264,251
1762350529,2025-11-05T13:48:49Z,BAW437Z,"52.231384,4.591446",5050,264,251
1762350542,2025-11-05T13:49:02Z,BAW437Z,"52.226303,4.567337",5650,260,251
1762350556,2025-11-05T13:49:16Z,BAW437Z,"52.220535,4.539948",6475,267,251
1762350569,2025-11-05T13:49:29Z,BAW437Z,"52.215271,4.514832",7250,270,251
1762350582,2025-11-05T13:49:42Z,BAW437Z,"52.210243,4.490897",8150,267,251
