Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762540764,2025-11-07T18:39:24Z,BAW43,"51.473972,-0.480404",0,0,270
1762540883,2025-11-07T18:41:23Z,BAW43,"51.473984,-0.480175",0,0,267
1762540898,2025-11-07T18:41:38Z,BAW43,"51.473984,-0.479965",0,2,267
1762540916,2025-11-07T18:41:56Z,BAW43,"51.473984,-0.479736",0,1,267
1762540932,2025-11-07T18:42:12Z,BAW43,"51.47398,-0.47952",0,2,261
1762540948,2025-11-07T18:42:28Z,BAW43,"51.473934,-0.479297",0,0,239
1762540966,2025-11-07T18:42:46Z,BAW43,"51.473969,-0.479093",0,0,222
1762540981,2025-11-07T18:43:01Z,BAW43,"51.474026,-0.478889",0,2,205
1762541411,2025-11-07T18:50:11Z,BAW43,"51.473785,-0.478725",0,0,180
1762541425,2025-11-07T18:50:25Z,BAW43,"51.473541,-0.478725",0,5,180
1762541433,2025-11-07T18:50:33Z,BAW43,"51.473328,-0.478722",0,6,180
1762541440,2025-11-07T18:50:40Z,BAW43,"51.47311,-0.478722",0,7,180
1762541447,2025-11-07T18:50:47Z,BAW43,"51.472889,-0.478725",0,7,180
1762541455,2025-11-07T18:50:55Z,BAW43,"51.472633,-0.478706",0,8,180
1762541462,2025-11-07T18:51:02Z,BAW43,"51.472366,-0.478722",0,8,180
1762541469,2025-11-07T18:51:09Z,BAW43,"51.472088,-0.478706",0,9,180
1762541477,2025-11-07T18:51:17Z,BAW43,"51.471714,-0.478703",0,10,180
1762541484,2025-11-07T18:51:24Z,BAW43,"51.471401,-0.478706",0,10,180
1762541492,2025-11-07T18:51:32Z,BAW43,"51.471027,-0.478706",0,11,180
1762541498,2025-11-07T18:51:38Z,BAW43,"51.470707,-0.478703",0,11,180
1762541506,2025-11-07T18:51:46Z,BAW43,"51.470306,-0.478685",0,12,180
1762541516,2025-11-07T18:51:56Z,BAW43,"51.469757,-0.478685",0,12,180
1762541525,2025-11-07T18:52:05Z,BAW43,"51.4692,-0.478687",0,13,180
1762541534,2025-11-07T18:52:14Z,BAW43,"51.468689,-0.478668",0,12,180
1762541542,2025-11-07T18:52:22Z,BAW43,"51.468292,-0.478685",0,0,180
1762541549,2025-11-07T18:52:29Z,BAW43,"51.467995,-0.478666",0,8,180
1762541557,2025-11-07T18:52:37Z,BAW43,"51.467743,-0.478666",0,7,180
1762541567,2025-11-07T18:52:47Z,BAW43,"51.467457,-0.478821",0,6,199
1762541576,2025-11-07T18:52:56Z,BAW43,"51.4674,-0.479223",0,7,244
1762541580,2025-11-07T18:53:00Z,BAW43,"51.467411,-0.479427",0,6,258
1762541585,2025-11-07T18:53:05Z,BAW43,"51.467434,-0.479631",0,5,267
1762541593,2025-11-07T18:53:13Z,BAW43,"51.467434,-0.47991",0,4,270
1762541600,2025-11-07T18:53:20Z,BAW43,"51.467434,-0.480114",0,4,270
1762541607,2025-11-07T18:53:27Z,BAW43,"51.467434,-0.480336",0,4,270
1762541614,2025-11-07T18:53:34Z,BAW43,"51.467434,-0.480541",0,4,270
1762541625,2025-11-07T18:53:45Z,BAW43,"51.467434,-0.480745",0,1,270
1762542001,2025-11-07T19:00:01Z,BAW43,"51.467434,-0.480986",0,3,270
1762542011,2025-11-07T19:00:11Z,BAW43,"51.467434,-0.481186",0,4,270
1762542020,2025-11-07T19:00:20Z,BAW43,"51.467434,-0.481548",0,6,270
1762542026,2025-11-07T19:00:26Z,BAW43,"51.467434,-0.482025",0,7,270
1762542034,2025-11-07T19:00:34Z,BAW43,"51.467422,-0.482304",0,7,270
1762542044,2025-11-07T19:00:44Z,BAW43,"51.467422,-0.482616",0,8,270
1762542050,2025-11-07T19:00:50Z,BAW43,"51.467422,-0.483436",0,9,270
1762542057,2025-11-07T19:00:57Z,BAW43,"51.467422,-0.483913",0,10,270
1762542065,2025-11-07T19:01:05Z,BAW43,"51.467422,-0.484524",0,11,270
1762542073,2025-11-07T19:01:13Z,BAW43,"51.467422,-0.485161",0,11,270
1762542080,2025-11-07T19:01:20Z,BAW43,"51.467422,-0.485668",0,10,270
1762542089,2025-11-07T19:01:29Z,BAW43,"51.467422,-0.486219",0,11,270
1762542097,2025-11-07T19:01:37Z,BAW43,"51.467411,-0.486906",0,7,270
1762542104,2025-11-07T19:01:44Z,BAW43,"51.467373,-0.487213",0,5,261
1762542112,2025-11-07T19:01:52Z,BAW43,"51.467216,-0.487444",0,6,233
1762542121,2025-11-07T19:02:01Z,BAW43,"51.466969,-0.48748",0,6,199
1762542128,2025-11-07T19:02:08Z,BAW43,"51.466747,-0.48748",0,7,185
1762542135,2025-11-07T19:02:15Z,BAW43,"51.466541,-0.487463",0,7,180
1762542144,2025-11-07T19:02:24Z,BAW43,"51.466267,-0.487481",0,7,185
1762542155,2025-11-07T19:02:35Z,BAW43,"51.465874,-0.487728",0,9,199
1762542162,2025-11-07T19:02:42Z,BAW43,"51.465534,-0.487871",0,11,194
1762542168,2025-11-07T19:02:48Z,BAW43,"51.465237,-0.487815",0,11,177
