Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762150698,2025-11-03T06:18:18Z,BAW456,"51.469166,-0.482063",0,0,90
1762150771,2025-11-03T06:19:31Z,BAW456,"51.469177,-0.482769",0,3,87
1762150787,2025-11-03T06:19:47Z,BAW456,"51.469162,-0.483083",0,2,90
1762150801,2025-11-03T06:20:01Z,BAW456,"51.46912,-0.483341",0,2,132
1762150817,2025-11-03T06:20:17Z,BAW456,"51.469196,-0.483565",0,0,180
1762150844,2025-11-03T06:20:44Z,BAW456,"51.46899,-0.483547",0,3,177
1762150862,2025-11-03T06:21:02Z,BAW456,"51.468784,-0.483551",0,2,180
1762150883,2025-11-03T06:21:23Z,BAW456,"51.468563,-0.483551",0,2,180
1762151228,2025-11-03T06:27:08Z,BAW456,"51.468319,-0.483551",0,0,180
1762151239,2025-11-03T06:27:19Z,BAW456,"51.467979,-0.483532",0,8,180
1762151248,2025-11-03T06:27:28Z,BAW456,"51.467701,-0.483532",0,8,177
1762151262,2025-11-03T06:27:42Z,BAW456,"51.467445,-0.482545",0,11,92
1762151265,2025-11-03T06:27:45Z,BAW456,"51.467457,-0.483093",0,0,118
1762151275,2025-11-03T06:27:55Z,BAW456,"51.467457,-0.48172",0,0,90
1762151276,2025-11-03T06:27:56Z,BAW456,"51.467457,-0.481097",0,14,90
1762151280,2025-11-03T06:28:00Z,BAW456,"51.467457,-0.480689",0,15,90
1762151282,2025-11-03T06:28:02Z,BAW456,"51.467457,-0.48048",0,15,90
1762151284,2025-11-03T06:28:04Z,BAW456,"51.467457,-0.480262",0,14,90
1762151287,2025-11-03T06:28:07Z,BAW456,"51.467457,-0.480003",0,14,90
1762151292,2025-11-03T06:28:12Z,BAW456,"51.467457,-0.479507",0,13,90
1762151295,2025-11-03T06:28:15Z,BAW456,"51.467457,-0.479223",0,12,90
1762151304,2025-11-03T06:28:24Z,BAW456,"51.467457,-0.478497",0,11,90
1762151312,2025-11-03T06:28:32Z,BAW456,"51.467457,-0.477868",0,10,90
1762151326,2025-11-03T06:28:46Z,BAW456,"51.467468,-0.476933",0,8,90
1762151339,2025-11-03T06:28:59Z,BAW456,"51.467468,-0.476198",0,8,90
1762151356,2025-11-03T06:29:16Z,BAW456,"51.46748,-0.474825",0,0,90
1762151365,2025-11-03T06:29:25Z,BAW456,"51.46748,-0.473915",0,0,90
1762151377,2025-11-03T06:29:37Z,BAW456,"51.46748,-0.472932",0,9,90
1762151386,2025-11-03T06:29:46Z,BAW456,"51.46748,-0.472505",0,0,90
1762151394,2025-11-03T06:29:54Z,BAW456,"51.46748,-0.472183",0,6,90
1762151402,2025-11-03T06:30:02Z,BAW456,"51.46748,-0.471744",0,7,90
1762151410,2025-11-03T06:30:10Z,BAW456,"51.467491,-0.47121",0,10,90
1762151418,2025-11-03T06:30:18Z,BAW456,"51.467491,-0.470486",0,12,90
1762151427,2025-11-03T06:30:27Z,BAW456,"51.467491,-0.469704",0,12,90
1762151441,2025-11-03T06:30:41Z,BAW456,"51.467491,-0.468255",0,15,90
1762151465,2025-11-03T06:31:05Z,BAW456,"51.467503,-0.465694",0,0,90
1762151478,2025-11-03T06:31:18Z,BAW456,"51.467491,-0.464287",0,15,92
1762151485,2025-11-03T06:31:25Z,BAW456,"51.467491,-0.463449",0,16,90
1762151492,2025-11-03T06:31:32Z,BAW456,"51.467491,-0.462532",0,17,90
1762151514,2025-11-03T06:31:54Z,BAW456,"51.467503,-0.45996",0,16,90
1762151523,2025-11-03T06:32:03Z,BAW456,"51.467503,-0.458939",0,15,90
1762151531,2025-11-03T06:32:11Z,BAW456,"51.467503,-0.458183",0,10,92
1762151537,2025-11-03T06:32:17Z,BAW456,"51.467373,-0.457878",0,8,123
1762151547,2025-11-03T06:32:27Z,BAW456,"51.466953,-0.457751",0,9,174
1762151564,2025-11-03T06:32:44Z,BAW456,"51.466629,-0.456753",0,12,92
1762151575,2025-11-03T06:32:55Z,BAW456,"51.466629,-0.455627",0,0,90
1762151594,2025-11-03T06:33:14Z,BAW456,"51.466644,-0.453446",0,17,90
1762151605,2025-11-03T06:33:25Z,BAW456,"51.466652,-0.451889",0,19,90
1762151615,2025-11-03T06:33:35Z,BAW456,"51.466652,-0.450344",0,0,90
