Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762240043,2025-11-04T07:07:23Z,BAW5LI,"51.469849,-0.477423",0,0,90
1762240052,2025-11-04T07:07:32Z,BAW5LI,"51.469849,-0.477664",0,3,90
1762240068,2025-11-04T07:07:48Z,BAW5LI,"51.469852,-0.477982",0,2,92
1762240083,2025-11-04T07:08:03Z,BAW5LI,"51.46983,-0.478268",0,3,112
1762240093,2025-11-04T07:08:13Z,BAW5LI,"51.469852,-0.478477",0,2,140
1762240355,2025-11-04T07:12:35Z,BAW5LI,"51.469643,-0.478666",0,9,180
1762240365,2025-11-04T07:12:45Z,BAW5LI,"51.469177,-0.478668",0,11,180
1762240378,2025-11-04T07:12:58Z,BAW5LI,"51.468452,-0.478666",0,0,180
1762240390,2025-11-04T07:13:10Z,BAW5LI,"51.467655,-0.478649",0,0,180
1762240400,2025-11-04T07:13:20Z,BAW5LI,"51.466942,-0.478648",0,13,180
1762240405,2025-11-04T07:13:25Z,BAW5LI,"51.466698,-0.478516",0,13,160
1762240411,2025-11-04T07:13:31Z,BAW5LI,"51.466572,-0.478249",0,14,132
1762240413,2025-11-04T07:13:33Z,BAW5LI,"51.466549,-0.477867",0,14,98
1762240417,2025-11-04T07:13:37Z,BAW5LI,"51.46656,-0.477295",0,15,87
1762240420,2025-11-04T07:13:40Z,BAW5LI,"51.46656,-0.476971",0,15,90
1762240423,2025-11-04T07:13:43Z,BAW5LI,"51.466564,-0.476625",0,15,90
1762240425,2025-11-04T07:13:45Z,BAW5LI,"51.46656,-0.476398",0,15,90
1762240428,2025-11-04T07:13:48Z,BAW5LI,"51.466564,-0.476105",0,16,90
1762240434,2025-11-04T07:13:54Z,BAW5LI,"51.466572,-0.475769",0,17,90
1762240436,2025-11-04T07:13:56Z,BAW5LI,"51.466576,-0.475289",0,18,90
1762240438,2025-11-04T07:13:58Z,BAW5LI,"51.466572,-0.474701",0,19,90
1762240447,2025-11-04T07:14:07Z,BAW5LI,"51.466576,-0.473303",0,20,90
1762240454,2025-11-04T07:14:14Z,BAW5LI,"51.466583,-0.472164",0,21,90
1762240462,2025-11-04T07:14:22Z,BAW5LI,"51.466583,-0.471134",0,21,90
1762240471,2025-11-04T07:14:31Z,BAW5LI,"51.466587,-0.469406",0,23,90
1762240478,2025-11-04T07:14:38Z,BAW5LI,"51.466599,-0.468162",0,23,90
1762240488,2025-11-04T07:14:48Z,BAW5LI,"51.466599,-0.466418",0,24,90
1762240499,2025-11-04T07:14:59Z,BAW5LI,"51.466606,-0.46423",0,26,90
1762240507,2025-11-04T07:15:07Z,BAW5LI,"51.466606,-0.46257",0,0,90
1762240517,2025-11-04T07:15:17Z,BAW5LI,"51.466618,-0.46051",0,29,90
1762240545,2025-11-04T07:15:45Z,BAW5LI,"51.46664,-0.454483",0,0,90
1762240554,2025-11-04T07:15:54Z,BAW5LI,"51.46664,-0.452518",0,30,90
1762240563,2025-11-04T07:16:03Z,BAW5LI,"51.466656,-0.450495",0,26,90
1762240575,2025-11-04T07:16:15Z,BAW5LI,"51.466663,-0.448132",0,27,90
1762240586,2025-11-04T07:16:26Z,BAW5LI,"51.466667,-0.446134",0,23,90
1762240593,2025-11-04T07:16:33Z,BAW5LI,"51.466667,-0.444816",0,22,90
1762240600,2025-11-04T07:16:40Z,BAW5LI,"51.466679,-0.443721",0,20,90
1762240608,2025-11-04T07:16:48Z,BAW5LI,"51.466675,-0.442772",0,18,90
1762240614,2025-11-04T07:16:54Z,BAW5LI,"51.466675,-0.441818",0,14,90
1762240622,2025-11-04T07:17:02Z,BAW5LI,"51.46669,-0.441216",0,9,90
1762240630,2025-11-04T07:17:10Z,BAW5LI,"51.46669,-0.440826",0,5,90
1762240636,2025-11-04T07:17:16Z,BAW5LI,"51.466644,-0.440622",0,5,104
1762240646,2025-11-04T07:17:26Z,BAW5LI,"51.466442,-0.440483",0,5,154
1762240668,2025-11-04T07:17:48Z,BAW5LI,"51.466232,-0.440521",0,1,180
1762240741,2025-11-04T07:19:01Z,BAW5LI,"51.466,-0.440521",0,5,180
1762240750,2025-11-04T07:19:10Z,BAW5LI,"51.46574,-0.440511",0,8,180
1762240754,2025-11-04T07:19:14Z,BAW5LI,"51.465534,-0.440502",0,9,180
1762240759,2025-11-04T07:19:19Z,BAW5LI,"51.465294,-0.440511",0,10,180
1762240766,2025-11-04T07:19:26Z,BAW5LI,"51.465065,-0.440567",0,9,191
1762240769,2025-11-04T07:19:29Z,BAW5LI,"51.464962,-0.440771",0,9,225
1762240775,2025-11-04T07:19:35Z,BAW5LI,"51.464931,-0.441113",0,9,258
1762240778,2025-11-04T07:19:38Z,BAW5LI,"51.464943,-0.44136",0,9,270
1762240782,2025-11-04T07:19:42Z,BAW5LI,"51.464943,-0.441628",0,11,270
1762240785,2025-11-04T07:19:45Z,BAW5LI,"51.464931,-0.441933",0,17,270
1762240787,2025-11-04T07:19:47Z,BAW5LI,"51.464931,-0.442276",0,24,270
1762240788,2025-11-04T07:19:48Z,BAW5LI,"51.464939,-0.442608",0,29,270
1762240789,2025-11-04T07:19:49Z,BAW5LI,"51.464928,-0.442886",0,34,270
1762240790,2025-11-04T07:19:50Z,BAW5LI,"51.464928,-0.44322",0,40,270
1762240793,2025-11-04T07:19:53Z,BAW5LI,"51.464931,-0.44405",0,51,270
1762240794,2025-11-04T07:19:54Z,BAW5LI,"51.46492,-0.444698",0,61,270
1762240796,2025-11-04T07:19:56Z,BAW5LI,"51.464928,-0.445188",0,67,270
1762240807,2025-11-04T07:20:07Z,BAW5LI,"51.464905,-0.45378",125,106,269
1762240816,2025-11-04T07:20:16Z,BAW5LI,"51.464905,-0.46291",175,131,270
1762240818,2025-11-04T07:20:18Z,BAW5LI,"51.464905,-0.465063",250,147,270
1762240820,2025-11-04T07:20:20Z,BAW5LI,"51.464943,-0.4673",325,146,270
1762240822,2025-11-04T07:20:22Z,BAW5LI,"51.464951,-0.469369",425,144,270
1762240824,2025-11-04T07:20:24Z,BAW5LI,"51.464951,-0.471521",500,142,270
1762240826,2025-11-04T07:20:26Z,BAW5LI,"51.464951,-0.473823",600,141,270
1762240828,2025-11-04T07:20:28Z,BAW5LI,"51.464951,-0.475901",700,140,270
1762240837,2025-11-04T07:20:37Z,BAW5LI,"51.464943,-0.484467",1100,138,269
1762240845,2025-11-04T07:20:45Z,BAW5LI,"51.464905,-0.493197",1450,142,269
1762240853,2025-11-04T07:20:53Z,BAW5LI,"51.464813,-0.501882",1700,150,268
1762240861,2025-11-04T07:21:01Z,BAW5LI,"51.46463,-0.511681",2000,157,268
1762240870,2025-11-04T07:21:10Z,BAW5LI,"51.464447,-0.521479",2300,164,268
1762240876,2025-11-04T07:21:16Z,BAW5LI,"51.464355,-0.52868",2550,170,268
1762240884,2025-11-04T07:21:24Z,BAW5LI,"51.464199,-0.53978",2900,180,268
1762240893,2025-11-04T07:21:33Z,BAW5LI,"51.463989,-0.551543",3300,190,268
1762240899,2025-11-04T07:21:39Z,BAW5LI,"51.463871,-0.560226",3575,199,268
1762240907,2025-11-04T07:21:47Z,BAW5LI,"51.463684,-0.573654",3950,212,268
1762240915,2025-11-04T07:21:55Z,BAW5LI,"51.463531,-0.586581",4175,226,268
1762240924,2025-11-04T07:22:04Z,BAW5LI,"51.463314,-0.601196",4375,238,268
1762240928,2025-11-04T07:22:08Z,BAW5LI,"51.463081,-0.608215",4450,244,265
1762240930,2025-11-04T07:22:10Z,BAW5LI,"51.462753,-0.612564",4525,249,263
1762240932,2025-11-04T07:22:12Z,BAW5LI,"51.462479,-0.615457",4550,252,261
1762240934,2025-11-04T07:22:14Z,BAW5LI,"51.461964,-0.620193",4600,256,259
1762240936,2025-11-04T07:22:16Z,BAW5LI,"51.461498,-0.623779",4650,260,257
1762240938,2025-11-04T07:22:18Z,BAW5LI,"51.460968,-0.62726",4675,264,256
1762240940,2025-11-04T07:22:20Z,BAW5LI,"51.460381,-0.63118",4725,267,256
1762240942,2025-11-04T07:22:22Z,BAW5LI,"51.459774,-0.635223",4775,271,255
