Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762108062,2025-11-02T18:27:42Z,BAW55G,"51.472191,-0.476894",0,0,90
1762108138,2025-11-02T18:28:58Z,BAW55G,"51.472183,-0.477126",0,0,90
1762108155,2025-11-02T18:29:15Z,BAW55G,"51.472179,-0.477333",0,0,87
1762108170,2025-11-02T18:29:30Z,BAW55G,"51.472172,-0.477534",0,0,90
1762108193,2025-11-02T18:29:53Z,BAW55G,"51.472137,-0.477812",0,0,101
1762108208,2025-11-02T18:30:08Z,BAW55G,"51.472103,-0.478035",0,0,115
1762108224,2025-11-02T18:30:24Z,BAW55G,"51.472103,-0.478258",0,0,132
1762108238,2025-11-02T18:30:38Z,BAW55G,"51.472126,-0.478462",0,2,151
1762108253,2025-11-02T18:30:53Z,BAW55G,"51.472191,-0.478668",0,0,174
1762108503,2025-11-02T18:35:03Z,BAW55G,"51.471851,-0.478685",0,5,180
1762108509,2025-11-02T18:35:09Z,BAW55G,"51.471645,-0.478687",0,7,180
1762108524,2025-11-02T18:35:24Z,BAW55G,"51.471119,-0.478685",0,9,180
1762108532,2025-11-02T18:35:32Z,BAW55G,"51.470776,-0.478685",0,10,180
1762108544,2025-11-02T18:35:44Z,BAW55G,"51.470192,-0.478685",0,11,180
1762108552,2025-11-02T18:35:52Z,BAW55G,"51.469791,-0.478685",0,13,180
1762108559,2025-11-02T18:35:59Z,BAW55G,"51.469364,-0.478668",0,13,180
1762108568,2025-11-02T18:36:08Z,BAW55G,"51.469059,-0.478666",0,13,180
1762108576,2025-11-02T18:36:16Z,BAW55G,"51.468269,-0.478649",0,14,180
1762108583,2025-11-02T18:36:23Z,BAW55G,"51.467823,-0.478648",0,13,180
1762108592,2025-11-02T18:36:32Z,BAW55G,"51.46735,-0.478649",0,11,180
1762108600,2025-11-02T18:36:40Z,BAW55G,"51.46693,-0.478648",0,10,180
1762108606,2025-11-02T18:36:46Z,BAW55G,"51.466698,-0.478554",0,9,168
1762108611,2025-11-02T18:36:51Z,BAW55G,"51.466595,-0.478325",0,9,149
1762108614,2025-11-02T18:36:54Z,BAW55G,"51.466564,-0.478054",0,9,123
1762108617,2025-11-02T18:36:57Z,BAW55G,"51.466572,-0.477848",0,9,109
1762108622,2025-11-02T18:37:02Z,BAW55G,"51.466587,-0.477645",0,9,101
1762108625,2025-11-02T18:37:05Z,BAW55G,"51.466587,-0.47733",0,9,92
1762108629,2025-11-02T18:37:09Z,BAW55G,"51.466587,-0.477107",0,9,92
1762108632,2025-11-02T18:37:12Z,BAW55G,"51.466587,-0.476866",0,9,90
1762108635,2025-11-02T18:37:15Z,BAW55G,"51.466587,-0.476643",0,9,90
1762108639,2025-11-02T18:37:19Z,BAW55G,"51.466572,-0.476398",0,10,90
1762108644,2025-11-02T18:37:24Z,BAW55G,"51.466572,-0.476055",0,10,90
1762108649,2025-11-02T18:37:29Z,BAW55G,"51.466572,-0.475826",0,10,90
1762108651,2025-11-02T18:37:31Z,BAW55G,"51.466564,-0.475474",0,12,90
1762108665,2025-11-02T18:37:45Z,BAW55G,"51.466553,-0.474194",0,14,90
1762108671,2025-11-02T18:37:51Z,BAW55G,"51.466553,-0.473563",0,13,90
1762108679,2025-11-02T18:37:59Z,BAW55G,"51.466549,-0.472736",0,14,90
1762108686,2025-11-02T18:38:06Z,BAW55G,"51.466549,-0.472145",0,14,90
1762108695,2025-11-02T18:38:15Z,BAW55G,"51.46656,-0.471401",0,10,90
1762108703,2025-11-02T18:38:23Z,BAW55G,"51.466553,-0.470779",0,8,90
1762108710,2025-11-02T18:38:30Z,BAW55G,"51.466553,-0.470352",0,8,90
1762108719,2025-11-02T18:38:39Z,BAW55G,"51.46656,-0.469818",0,8,90
1762108730,2025-11-02T18:38:50Z,BAW55G,"51.466572,-0.46917",0,8,90
1762108739,2025-11-02T18:38:59Z,BAW55G,"51.466564,-0.468663",0,8,90
1762108747,2025-11-02T18:39:07Z,BAW55G,"51.466572,-0.468197",0,8,90
1762108755,2025-11-02T18:39:15Z,BAW55G,"51.466572,-0.46772",0,8,90
1762108763,2025-11-02T18:39:23Z,BAW55G,"51.466572,-0.467262",0,8,90
1762108773,2025-11-02T18:39:33Z,BAW55G,"51.466576,-0.466696",0,8,90
1762108787,2025-11-02T18:39:47Z,BAW55G,"51.466576,-0.465713",0,10,90
1762108796,2025-11-02T18:39:56Z,BAW55G,"51.466576,-0.46536",0,10,90
1762108803,2025-11-02T18:40:03Z,BAW55G,"51.466576,-0.464544",0,11,90
