Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762275090,2025-11-04T16:51:30Z,BAW58L,"-33.967747,18.5975",0,0,255
1762276873,2025-11-04T17:21:13Z,BAW58L,"-33.967701,18.59771",0,0,255
1762276895,2025-11-04T17:21:35Z,BAW58L,"-33.967632,18.597919",0,0,264
1762276920,2025-11-04T17:22:00Z,BAW58L,"-33.967587,18.598122",0,0,289
1762276939,2025-11-04T17:22:19Z,BAW58L,"-33.967609,18.598324",0,0,309
1762276964,2025-11-04T17:22:44Z,BAW58L,"-33.967724,18.598536",0,0,331
1762277259,2025-11-04T17:27:39Z,BAW58L,"-33.967491,18.598522",0,8,345
1762277266,2025-11-04T17:27:46Z,BAW58L,"-33.96722,18.598425",0,10,345
1762277274,2025-11-04T17:27:54Z,BAW58L,"-33.966888,18.598312",0,10,345
1762277281,2025-11-04T17:28:01Z,BAW58L,"-33.966557,18.598213",0,11,345
1762277289,2025-11-04T17:28:09Z,BAW58L,"-33.96619,18.598108",0,10,345
1762277295,2025-11-04T17:28:15Z,BAW58L,"-33.965839,18.598007",0,11,345
1762277302,2025-11-04T17:28:22Z,BAW58L,"-33.965477,18.597893",0,11,345
1762277309,2025-11-04T17:28:29Z,BAW58L,"-33.96513,18.597794",0,11,348
1762277316,2025-11-04T17:28:36Z,BAW58L,"-33.964748,18.597723",0,11,348
1762277323,2025-11-04T17:28:43Z,BAW58L,"-33.964375,18.597637",0,12,348
1762277330,2025-11-04T17:28:50Z,BAW58L,"-33.963982,18.597555",0,13,348
1762277338,2025-11-04T17:28:58Z,BAW58L,"-33.963558,18.597466",0,12,348
1762277344,2025-11-04T17:29:04Z,BAW58L,"-33.963192,18.597401",0,12,348
1762277352,2025-11-04T17:29:12Z,BAW58L,"-33.962826,18.597321",0,11,348
1762277358,2025-11-04T17:29:18Z,BAW58L,"-33.962517,18.597246",0,9,351
1762277364,2025-11-04T17:29:24Z,BAW58L,"-33.962288,18.597275",0,8,8
1762277373,2025-11-04T17:29:33Z,BAW58L,"-33.962082,18.597492",0,7,36
1762277380,2025-11-04T17:29:40Z,BAW58L,"-33.961895,18.597721",0,7,45
1762277388,2025-11-04T17:29:48Z,BAW58L,"-33.961731,18.597923",0,6,45
1762277397,2025-11-04T17:29:57Z,BAW58L,"-33.961567,18.598129",0,7,45
1762277404,2025-11-04T17:30:04Z,BAW58L,"-33.961395,18.598341",0,8,45
1762277411,2025-11-04T17:30:11Z,BAW58L,"-33.961208,18.598566",0,8,45
1762277418,2025-11-04T17:30:18Z,BAW58L,"-33.961021,18.598795",0,7,45
1762277427,2025-11-04T17:30:27Z,BAW58L,"-33.960857,18.598999",0,4,45
1762277698,2025-11-04T17:34:58Z,BAW58L,"-33.96067,18.599209",0,5,45
1762277706,2025-11-04T17:35:06Z,BAW58L,"-33.960499,18.599424",0,8,45
1762277712,2025-11-04T17:35:12Z,BAW58L,"-33.960377,18.599644",0,10,56
1762277716,2025-11-04T17:35:16Z,BAW58L,"-33.960335,18.599895",0,10,75
1762277721,2025-11-04T17:35:21Z,BAW58L,"-33.960369,18.600111",0,9,95
1762277727,2025-11-04T17:35:27Z,BAW58L,"-33.960567,18.600311",0,8,137
1762277734,2025-11-04T17:35:34Z,BAW58L,"-33.960789,18.600372",0,7,163
