Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762157117,2025-11-03T08:05:17Z,BAW630,"51.472092,-0.472227",0,0,90
1762157129,2025-11-03T08:05:29Z,BAW630,"51.47208,-0.472468",0,3,92
1762157142,2025-11-03T08:05:42Z,BAW630,"51.472088,-0.472717",0,3,95
1762157160,2025-11-03T08:06:00Z,BAW630,"51.472111,-0.473042",0,2,95
1762157177,2025-11-03T08:06:17Z,BAW630,"51.472103,-0.473377",0,3,123
1762157193,2025-11-03T08:06:33Z,BAW630,"51.472172,-0.473618",0,0,160
1762157377,2025-11-03T08:09:37Z,BAW630,"51.471924,-0.47369",0,5,180
1762157385,2025-11-03T08:09:45Z,BAW630,"51.471691,-0.47369",0,6,180
1762157402,2025-11-03T08:10:02Z,BAW630,"51.471203,-0.47369",0,0,180
1762157410,2025-11-03T08:10:10Z,BAW630,"51.470959,-0.47369",0,0,180
1762157422,2025-11-03T08:10:22Z,BAW630,"51.470612,-0.47369",0,0,180
1762157436,2025-11-03T08:10:36Z,BAW630,"51.470158,-0.473674",0,7,180
1762157456,2025-11-03T08:10:56Z,BAW630,"51.469517,-0.473674",0,7,180
1762157465,2025-11-03T08:11:05Z,BAW630,"51.469208,-0.473674",0,8,180
1762157474,2025-11-03T08:11:14Z,BAW630,"51.468853,-0.473674",0,0,180
1762157481,2025-11-03T08:11:21Z,BAW630,"51.468613,-0.473655",0,8,180
1762157496,2025-11-03T08:11:36Z,BAW630,"51.46806,-0.473652",0,8,180
1762157507,2025-11-03T08:11:47Z,BAW630,"51.467606,-0.473652",0,10,180
1762157516,2025-11-03T08:11:56Z,BAW630,"51.467171,-0.473655",0,0,180
1762157523,2025-11-03T08:12:03Z,BAW630,"51.466896,-0.473652",0,8,177
1762157539,2025-11-03T08:12:19Z,BAW630,"51.46656,-0.472908",0,0,95
1762157543,2025-11-03T08:12:23Z,BAW630,"51.466572,-0.472641",0,10,90
1762157546,2025-11-03T08:12:26Z,BAW630,"51.466572,-0.472412",0,11,90
1762157549,2025-11-03T08:12:29Z,BAW630,"51.466576,-0.472097",0,11,90
1762157554,2025-11-03T08:12:34Z,BAW630,"51.466572,-0.471802",0,11,90
1762157561,2025-11-03T08:12:41Z,BAW630,"51.466572,-0.471096",0,12,90
1762157569,2025-11-03T08:12:49Z,BAW630,"51.466576,-0.470426",0,12,90
1762157581,2025-11-03T08:13:01Z,BAW630,"51.466576,-0.469257",0,14,90
1762157590,2025-11-03T08:13:10Z,BAW630,"51.466572,-0.468273",0,0,90
1762157608,2025-11-03T08:13:28Z,BAW630,"51.466587,-0.466177",0,0,90
1762157616,2025-11-03T08:13:36Z,BAW630,"51.466587,-0.465174",0,18,90
1762157633,2025-11-03T08:13:53Z,BAW630,"51.466595,-0.462608",0,21,90
1762157644,2025-11-03T08:14:04Z,BAW630,"51.466599,-0.461018",0,0,90
1762157652,2025-11-03T08:14:12Z,BAW630,"51.466606,-0.459843",0,19,90
1762157669,2025-11-03T08:14:29Z,BAW630,"51.466606,-0.457592",0,15,90
1762157678,2025-11-03T08:14:38Z,BAW630,"51.46661,-0.456489",0,0,90
1762157693,2025-11-03T08:14:53Z,BAW630,"51.46661,-0.454968",0,0,90
1762157709,2025-11-03T08:15:09Z,BAW630,"51.466629,-0.453472",0,0,90
1762157728,2025-11-03T08:15:28Z,BAW630,"51.466629,-0.452194",0,0,90
1762157742,2025-11-03T08:15:42Z,BAW630,"51.466629,-0.451355",0,7,90
1762157749,2025-11-03T08:15:49Z,BAW630,"51.46664,-0.451031",0,6,90
1762157755,2025-11-03T08:15:55Z,BAW630,"51.466633,-0.450755",0,6,90
1762157765,2025-11-03T08:16:05Z,BAW630,"51.466633,-0.450291",0,7,90
1762157777,2025-11-03T08:16:17Z,BAW630,"51.466644,-0.449586",0,10,90
1762157785,2025-11-03T08:16:25Z,BAW630,"51.46664,-0.44899",0,11,90
1762157798,2025-11-03T08:16:38Z,BAW630,"51.46664,-0.44817",0,5,90
1762157810,2025-11-03T08:16:50Z,BAW630,"51.466644,-0.447767",0,4,90
1762157818,2025-11-03T08:16:58Z,BAW630,"51.466644,-0.447507",0,5,90
1762157826,2025-11-03T08:17:06Z,BAW630,"51.466652,-0.447292",0,5,90
1762157833,2025-11-03T08:17:13Z,BAW630,"51.466644,-0.447043",0,3,90
1762157850,2025-11-03T08:17:30Z,BAW630,"51.466644,-0.446784",0,0,90
1762157881,2025-11-03T08:18:01Z,BAW630,"51.466644,-0.446579",0,0,90
1762157897,2025-11-03T08:18:17Z,BAW630,"51.466644,-0.446227",0,5,90
1762157910,2025-11-03T08:18:30Z,BAW630,"51.466644,-0.445652",0,7,90
1762157918,2025-11-03T08:18:38Z,BAW630,"51.466652,-0.445366",0,9,90
1762157925,2025-11-03T08:18:45Z,BAW630,"51.466652,-0.444622",0,9,90
1762157933,2025-11-03T08:18:53Z,BAW630,"51.466652,-0.444164",0,9,90
1762157942,2025-11-03T08:19:02Z,BAW630,"51.466656,-0.443573",0,8,90
1762157951,2025-11-03T08:19:11Z,BAW630,"51.466667,-0.443035",0,7,90
1762157959,2025-11-03T08:19:19Z,BAW630,"51.466663,-0.442638",0,6,90
1762157966,2025-11-03T08:19:26Z,BAW630,"51.466663,-0.44239",0,5,90
1762157973,2025-11-03T08:19:33Z,BAW630,"51.466667,-0.442125",0,5,90
