Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762239845,2025-11-04T07:04:05Z,BAW630,"51.471985,-0.480175",0,0,180
1762240866,2025-11-04T07:21:06Z,BAW630,"51.471947,-0.480385",0,0,270
1762242807,2025-11-04T07:53:27Z,BAW630,"51.471954,-0.480169",0,0,270
1762242854,2025-11-04T07:54:14Z,BAW630,"51.471958,-0.479889",0,3,267
1762242869,2025-11-04T07:54:29Z,BAW630,"51.471966,-0.479594",0,3,267
1762242879,2025-11-04T07:54:39Z,BAW630,"51.471977,-0.47939",0,2,267
1762242900,2025-11-04T07:55:00Z,BAW630,"51.471943,-0.479056",0,2,247
1762242913,2025-11-04T07:55:13Z,BAW630,"51.471912,-0.47884",0,2,205
1762243310,2025-11-04T08:01:50Z,BAW630,"51.471691,-0.478685",0,4,180
1762243320,2025-11-04T08:02:00Z,BAW630,"51.471474,-0.478685",0,4,180
1762243330,2025-11-04T08:02:10Z,BAW630,"51.471256,-0.478685",0,5,180
1762243338,2025-11-04T08:02:18Z,BAW630,"51.471039,-0.478687",0,6,180
1762243345,2025-11-04T08:02:25Z,BAW630,"51.470821,-0.478666",0,7,180
1762243354,2025-11-04T08:02:34Z,BAW630,"51.470524,-0.478666",0,8,180
1762243360,2025-11-04T08:02:40Z,BAW630,"51.470284,-0.478666",0,8,180
1762243367,2025-11-04T08:02:47Z,BAW630,"51.470005,-0.478668",0,9,180
1762243374,2025-11-04T08:02:54Z,BAW630,"51.469688,-0.478666",0,10,180
1762243381,2025-11-04T08:03:01Z,BAW630,"51.469368,-0.478666",0,10,180
1762243388,2025-11-04T08:03:08Z,BAW630,"51.46904,-0.478668",0,10,180
1762243402,2025-11-04T08:03:22Z,BAW630,"51.468338,-0.478648",0,11,180
1762243410,2025-11-04T08:03:30Z,BAW630,"51.46796,-0.478648",0,11,180
1762243420,2025-11-04T08:03:40Z,BAW630,"51.467457,-0.478648",0,11,180
1762243427,2025-11-04T08:03:47Z,BAW630,"51.46706,-0.478649",0,11,180
1762243437,2025-11-04T08:03:57Z,BAW630,"51.466656,-0.478443",0,10,154
1762243449,2025-11-04T08:04:09Z,BAW630,"51.466537,-0.477676",0,8,95
1762243454,2025-11-04T08:04:14Z,BAW630,"51.466541,-0.477386",0,8,90
1762243457,2025-11-04T08:04:17Z,BAW630,"51.466553,-0.477163",0,8,87
1762243462,2025-11-04T08:04:22Z,BAW630,"51.466553,-0.476885",0,8,90
1762243467,2025-11-04T08:04:27Z,BAW630,"51.466553,-0.476532",0,9,90
1762243478,2025-11-04T08:04:38Z,BAW630,"51.466564,-0.475808",0,10,90
1762243481,2025-11-04T08:04:41Z,BAW630,"51.466564,-0.475567",0,11,90
1762243485,2025-11-04T08:04:45Z,BAW630,"51.466564,-0.475233",0,12,90
1762243497,2025-11-04T08:04:57Z,BAW630,"51.466564,-0.474138",0,13,90
1762243505,2025-11-04T08:05:05Z,BAW630,"51.466572,-0.473385",0,12,90
1762243513,2025-11-04T08:05:13Z,BAW630,"51.466572,-0.472679",0,12,90
1762243520,2025-11-04T08:05:20Z,BAW630,"51.466572,-0.472126",0,12,90
1762243527,2025-11-04T08:05:27Z,BAW630,"51.466572,-0.47142",0,12,90
1762243534,2025-11-04T08:05:34Z,BAW630,"51.466583,-0.470753",0,11,90
