Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762512576,2025-11-07T10:49:36Z,BAW668R,"51.471165,-0.480206",0,0,132
1762518748,2025-11-07T12:32:28Z,BAW668R,"51.471153,-0.47991",0,3,270
1762518759,2025-11-07T12:32:39Z,BAW668R,"51.471153,-0.479705",0,2,270
1762518771,2025-11-07T12:32:51Z,BAW668R,"51.471153,-0.479501",0,2,270
1762518787,2025-11-07T12:33:07Z,BAW668R,"51.471123,-0.479183",0,2,253
1762518800,2025-11-07T12:33:20Z,BAW668R,"51.471119,-0.478963",0,2,230
1762518813,2025-11-07T12:33:33Z,BAW668R,"51.471142,-0.47874",0,0,191
1762518989,2025-11-07T12:36:29Z,BAW668R,"51.470924,-0.478703",0,6,180
1762518997,2025-11-07T12:36:37Z,BAW668R,"51.470684,-0.478703",0,7,180
1762519004,2025-11-07T12:36:44Z,BAW668R,"51.470409,-0.478703",0,7,180
1762519014,2025-11-07T12:36:54Z,BAW668R,"51.470066,-0.478703",0,8,180
1762519022,2025-11-07T12:37:02Z,BAW668R,"51.469837,-0.478703",0,8,180
1762519029,2025-11-07T12:37:09Z,BAW668R,"51.469528,-0.478703",0,8,180
1762519037,2025-11-07T12:37:17Z,BAW668R,"51.469212,-0.478687",0,8,180
1762519047,2025-11-07T12:37:27Z,BAW668R,"51.468853,-0.478687",0,8,180
1762519060,2025-11-07T12:37:40Z,BAW668R,"51.468353,-0.478687",0,8,180
1762519072,2025-11-07T12:37:52Z,BAW668R,"51.467838,-0.478687",0,0,180
1762519080,2025-11-07T12:38:00Z,BAW668R,"51.467628,-0.478722",0,9,188
1762519083,2025-11-07T12:38:03Z,BAW668R,"51.467457,-0.478992",0,10,222
1762519091,2025-11-07T12:38:11Z,BAW668R,"51.467445,-0.479557",0,10,267
1762519095,2025-11-07T12:38:15Z,BAW668R,"51.467445,-0.479835",0,10,270
1762519099,2025-11-07T12:38:19Z,BAW668R,"51.467445,-0.480095",0,10,270
1762519102,2025-11-07T12:38:22Z,BAW668R,"51.467445,-0.480355",0,9,270
1762519106,2025-11-07T12:38:26Z,BAW668R,"51.467445,-0.480596",0,7,270
1762519112,2025-11-07T12:38:32Z,BAW668R,"51.467445,-0.480843",0,4,270
1762519226,2025-11-07T12:40:26Z,BAW668R,"51.467434,-0.48106",0,0,270
1762519235,2025-11-07T12:40:35Z,BAW668R,"51.467434,-0.481281",0,5,270
1762519253,2025-11-07T12:40:53Z,BAW668R,"51.467434,-0.482311",0,9,270
1762519266,2025-11-07T12:41:06Z,BAW668R,"51.467434,-0.483287",0,11,270
1762519273,2025-11-07T12:41:13Z,BAW668R,"51.467434,-0.483937",0,12,270
1762519280,2025-11-07T12:41:20Z,BAW668R,"51.467422,-0.484549",0,12,270
1762519287,2025-11-07T12:41:27Z,BAW668R,"51.467422,-0.485001",0,13,270
1762519296,2025-11-07T12:41:36Z,BAW668R,"51.467422,-0.485935",0,8,270
1762519304,2025-11-07T12:41:44Z,BAW668R,"51.467422,-0.486256",0,3,270
1762519384,2025-11-07T12:43:04Z,BAW668R,"51.467422,-0.486488",0,4,270
1762519394,2025-11-07T12:43:14Z,BAW668R,"51.467422,-0.486946",0,7,270
1762519401,2025-11-07T12:43:21Z,BAW668R,"51.467388,-0.487296",0,6,261
1762519414,2025-11-07T12:43:34Z,BAW668R,"51.467068,-0.4875",0,6,199
1762519421,2025-11-07T12:43:41Z,BAW668R,"51.466839,-0.487499",0,8,182
1762519431,2025-11-07T12:43:51Z,BAW668R,"51.466576,-0.487481",0,9,180
1762519437,2025-11-07T12:43:57Z,BAW668R,"51.466198,-0.487555",0,8,191
1762519445,2025-11-07T12:44:05Z,BAW668R,"51.465965,-0.487709",0,4,199
1762519469,2025-11-07T12:44:29Z,BAW668R,"51.465672,-0.487852",0,4,196
1762519486,2025-11-07T12:44:46Z,BAW668R,"51.465191,-0.487834",0,9,171
1762519492,2025-11-07T12:44:52Z,BAW668R,"51.464966,-0.487652",0,10,154
1762519499,2025-11-07T12:44:59Z,BAW668R,"51.464767,-0.48724",0,9,123
1762519510,2025-11-07T12:45:10Z,BAW668R,"51.464756,-0.486999",0,9,106
1762519512,2025-11-07T12:45:12Z,BAW668R,"51.464779,-0.486646",0,0,90
1762519535,2025-11-07T12:45:35Z,BAW668R,"51.464779,-0.486201",0,19,90
1762519542,2025-11-07T12:45:42Z,BAW668R,"51.46479,-0.484159",0,55,90
1762519549,2025-11-07T12:45:49Z,BAW668R,"51.46479,-0.480175",0,90,90
1762519559,2025-11-07T12:45:59Z,BAW668R,"51.464802,-0.47226",350,129,90
1762519569,2025-11-07T12:46:09Z,BAW668R,"51.464848,-0.461273",325,156,89
1762519576,2025-11-07T12:46:16Z,BAW668R,"51.464943,-0.451736",600,166,89
1762519584,2025-11-07T12:46:24Z,BAW668R,"51.465034,-0.441589",975,166,88
1762519593,2025-11-07T12:46:33Z,BAW668R,"51.465134,-0.431807",1300,167,88
1762519595,2025-11-07T12:46:35Z,BAW668R,"51.465134,-0.429432",1375,168,90
1762519597,2025-11-07T12:46:37Z,BAW668R,"51.465088,-0.426834",1475,168,92
1762519599,2025-11-07T12:46:39Z,BAW668R,"51.464989,-0.424271",1550,170,93
1762519601,2025-11-07T12:46:41Z,BAW668R,"51.464802,-0.421371",1600,171,97
1762519603,2025-11-07T12:46:43Z,BAW668R,"51.464584,-0.419114",1650,171,98
1762519605,2025-11-07T12:46:45Z,BAW668R,"51.464172,-0.415922",1725,173,101
1762519607,2025-11-07T12:46:47Z,BAW668R,"51.463852,-0.414066",1750,175,105
1762519609,2025-11-07T12:46:49Z,BAW668R,"51.463211,-0.4108",1825,176,109
1762519611,2025-11-07T12:46:51Z,BAW668R,"51.462616,-0.40835",1875,178,112
1762519613,2025-11-07T12:46:53Z,BAW668R,"51.461929,-0.406123",1925,178,115
1762519615,2025-11-07T12:46:55Z,BAW668R,"51.461197,-0.403896",1950,180,119
1762519617,2025-11-07T12:46:57Z,BAW668R,"51.460327,-0.401595",2000,182,122
1762519619,2025-11-07T12:46:59Z,BAW668R,"51.459263,-0.39917",2050,183,126
1762519621,2025-11-07T12:47:01Z,BAW668R,"51.458176,-0.396992",2100,185,129
1762519623,2025-11-07T12:47:03Z,BAW668R,"51.457077,-0.395062",2150,187,132
1762519626,2025-11-07T12:47:06Z,BAW668R,"51.455631,-0.392532",2200,189,133
1762519628,2025-11-07T12:47:08Z,BAW668R,"51.454422,-0.390534",2250,191,133
1762519630,2025-11-07T12:47:10Z,BAW668R,"51.453213,-0.388336",2300,194,132
1762519632,2025-11-07T12:47:12Z,BAW668R,"51.451904,-0.386006",2350,199,130
1762519634,2025-11-07T12:47:14Z,BAW668R,"51.450512,-0.383301",2425,202,129
1762519636,2025-11-07T12:47:16Z,BAW668R,"51.449532,-0.381317",2450,205,127
1762519638,2025-11-07T12:47:18Z,BAW668R,"51.44838,-0.37888",2500,208,126
1762519640,2025-11-07T12:47:20Z,BAW668R,"51.44725,-0.376282",2550,211,125
1762519642,2025-11-07T12:47:22Z,BAW668R,"51.445995,-0.373459",2575,215,124
1762519644,2025-11-07T12:47:24Z,BAW668R,"51.444717,-0.370417",2625,219,123
1762519646,2025-11-07T12:47:26Z,BAW668R,"51.443623,-0.367737",2650,222,123
1762519648,2025-11-07T12:47:28Z,BAW668R,"51.442505,-0.36499",2700,226,123
1762519650,2025-11-07T12:47:30Z,BAW668R,"51.441292,-0.362015",2750,228,123
1762519653,2025-11-07T12:47:33Z,BAW668R,"51.440094,-0.359283",2800,230,124
1762519655,2025-11-07T12:47:35Z,BAW668R,"51.438492,-0.355794",2875,232,126
1762519657,2025-11-07T12:47:37Z,BAW668R,"51.437336,-0.353622",2925,235,131
1762519659,2025-11-07T12:47:39Z,BAW668R,"51.435654,-0.350746",2975,236,133
1762519661,2025-11-07T12:47:41Z,BAW668R,"51.433868,-0.348148",3050,238,137
1762519663,2025-11-07T12:47:43Z,BAW668R,"51.432175,-0.345995",3125,238,141
1762519665,2025-11-07T12:47:45Z,BAW668R,"51.430305,-0.343933",3200,240,145
1762519667,2025-11-07T12:47:47Z,BAW668R,"51.428307,-0.342026",3300,239,150
1762519669,2025-11-07T12:47:49Z,BAW668R,"51.426258,-0.340271",3375,238,152
1762519671,2025-11-07T12:47:51Z,BAW668R,"51.424347,-0.338646",3475,238,153
1762519673,2025-11-07T12:47:53Z,BAW668R,"51.422394,-0.337143",3550,238,153
1762519675,2025-11-07T12:47:55Z,BAW668R,"51.420456,-0.335603",3625,238,154
1762519677,2025-11-07T12:47:57Z,BAW668R,"51.418579,-0.334192",3725,239,155
1762519679,2025-11-07T12:47:59Z,BAW668R,"51.416061,-0.332489",3825,239,157
1762519681,2025-11-07T12:48:01Z,BAW668R,"51.413956,-0.331223",3900,240,160
1762519683,2025-11-07T12:48:03Z,BAW668R,"51.411777,-0.330048",3975,240,162
1762519685,2025-11-07T12:48:05Z,BAW668R,"51.409607,-0.329144",4050,240,165
1762519687,2025-11-07T12:48:07Z,BAW668R,"51.40741,-0.328402",4100,241,168
1762519689,2025-11-07T12:48:09Z,BAW668R,"51.405262,-0.327835",4150,240,171
1762519692,2025-11-07T12:48:12Z,BAW668R,"51.403168,-0.32753",4200,240,174
1762519694,2025-11-07T12:48:14Z,BAW668R,"51.400772,-0.327363",4250,240,180
1762519696,2025-11-07T12:48:16Z,BAW668R,"51.398605,-0.32753",4300,241,185
1762519698,2025-11-07T12:48:18Z,BAW668R,"51.39592,-0.328105",4350,241,189
1762519700,2025-11-07T12:48:20Z,BAW668R,"51.393764,-0.328827",4400,242,194
1762519702,2025-11-07T12:48:22Z,BAW668R,"51.391708,-0.329813",4450,244,198
1762519704,2025-11-07T12:48:24Z,BAW668R,"51.389282,-0.331371",4500,244,203
1762519706,2025-11-07T12:48:26Z,BAW668R,"51.387108,-0.333099",4550,245,207
1762519708,2025-11-07T12:48:28Z,BAW668R,"51.385162,-0.334786",4600,246,209
1762519710,2025-11-07T12:48:30Z,BAW668R,"51.383148,-0.336761",4675,246,211
1762519712,2025-11-07T12:48:32Z,BAW668R,"51.381615,-0.338287",4725,246,212
1762519714,2025-11-07T12:48:34Z,BAW668R,"51.379532,-0.340428",4800,245,212
1762519716,2025-11-07T12:48:36Z,BAW668R,"51.377014,-0.342877",4900,246,211
1762519718,2025-11-07T12:48:38Z,BAW668R,"51.375515,-0.344391",4975,245,211
1762519720,2025-11-07T12:48:40Z,BAW668R,"51.373444,-0.346366",5075,246,210
1762519722,2025-11-07T12:48:42Z,BAW668R,"51.371418,-0.348206",5175,246,209
1762519725,2025-11-07T12:48:45Z,BAW668R,"51.368904,-0.350418",5300,246,208
1762519727,2025-11-07T12:48:47Z,BAW668R,"51.366852,-0.352156",5425,246,207
1762519729,2025-11-07T12:48:49Z,BAW668R,"51.364948,-0.353622",5525,246,206
1762519731,2025-11-07T12:48:51Z,BAW668R,"51.363098,-0.355126",5625,245,205
1762519733,2025-11-07T12:48:53Z,BAW668R,"51.361038,-0.35661",5750,246,205
1762519735,2025-11-07T12:48:55Z,BAW668R,"51.35907,-0.358021",5850,246,204
1762519737,2025-11-07T12:48:57Z,BAW668R,"51.356781,-0.359654",5950,246,202
1762519739,2025-11-07T12:48:59Z,BAW668R,"51.354675,-0.361064",6050,246,202
1762519741,2025-11-07T12:49:01Z,BAW668R,"51.352112,-0.362697",6150,247,202
1762519743,2025-11-07T12:49:03Z,BAW668R,"51.350143,-0.363922",6250,248,201
1762519745,2025-11-07T12:49:05Z,BAW668R,"51.348049,-0.365295",6350,248,201
1762519747,2025-11-07T12:49:07Z,BAW668R,"51.345768,-0.366745",6450,249,201
1762519760,2025-11-07T12:49:20Z,BAW668R,"51.332268,-0.375137",7050,253,201
1762519774,2025-11-07T12:49:34Z,BAW668R,"51.316208,-0.384903",7775,256,200
1762519788,2025-11-07T12:49:48Z,BAW668R,"51.300018,-0.39432",8375,264,200
1762519803,2025-11-07T12:50:03Z,BAW668R,"51.283447,-0.403748",9175,262,199
1762519817,2025-11-07T12:50:17Z,BAW668R,"51.266956,-0.413055",9900,266,199
1762519827,2025-11-07T12:50:27Z,BAW668R,"51.255615,-0.421637",10250,274,211
1762519829,2025-11-07T12:50:29Z,BAW668R,"51.25351,-0.423939",10300,276,214
1762519831,2025-11-07T12:50:31Z,BAW668R,"51.251408,-0.426483",10350,280,217
1762519833,2025-11-07T12:50:33Z,BAW668R,"51.249252,-0.429283",10400,282,220
1762519836,2025-11-07T12:50:36Z,BAW668R,"51.247169,-0.432358",10425,284,222
1762519838,2025-11-07T12:50:38Z,BAW668R,"51.245262,-0.435257",10475,287,223
1762519840,2025-11-07T12:50:40Z,BAW668R,"51.243301,-0.43834",10525,289,225
1762519842,2025-11-07T12:50:42Z,BAW668R,"51.241333,-0.441606",10575,292,225
1762519844,2025-11-07T12:50:44Z,BAW668R,"51.239273,-0.445021",10600,294,225
1762519846,2025-11-07T12:50:46Z,BAW668R,"51.237301,-0.448227",10650,297,226
1762519848,2025-11-07T12:50:48Z,BAW668R,"51.235298,-0.451584",10700,300,226
1762519850,2025-11-07T12:50:50Z,BAW668R,"51.233459,-0.454671",10725,302,226
1762519852,2025-11-07T12:50:52Z,BAW668R,"51.231438,-0.457993",10750,304,226
1762519854,2025-11-07T12:50:54Z,BAW668R,"51.229389,-0.461426",10800,306,226
1762519856,2025-11-07T12:50:56Z,BAW668R,"51.227154,-0.465164",10850,309,226
1762519858,2025-11-07T12:50:58Z,BAW668R,"51.225174,-0.468404",10875,311,226
1762519871,2025-11-07T12:51:11Z,BAW668R,"51.212585,-0.489189",11100,326,226
1762519885,2025-11-07T12:51:25Z,BAW668R,"51.19693,-0.514724",11400,340,225
1762519900,2025-11-07T12:51:40Z,BAW668R,"51.181046,-0.540854",12000,345,226
1762519916,2025-11-07T12:51:56Z,BAW668R,"51.163795,-0.57312",12625,354,236
1762519918,2025-11-07T12:51:58Z,BAW668R,"51.161911,-0.577896",12700,356,238
1762519921,2025-11-07T12:52:01Z,BAW668R,"51.160126,-0.582943",12775,356,240
1762519923,2025-11-07T12:52:03Z,BAW668R,"51.158569,-0.587843",12875,358,243
1762519925,2025-11-07T12:52:05Z,BAW668R,"51.157093,-0.593033",12975,358,245
1762519927,2025-11-07T12:52:07Z,BAW668R,"51.155823,-0.59779",13050,360,247
1762519929,2025-11-07T12:52:09Z,BAW668R,"51.154312,-0.60358",13175,360,247
1762519931,2025-11-07T12:52:11Z,BAW668R,"51.152996,-0.608597",13275,359,247
1762519933,2025-11-07T12:52:13Z,BAW668R,"51.151878,-0.613022",13375,359,247
1762519935,2025-11-07T12:52:15Z,BAW668R,"51.150574,-0.618134",13475,359,247
1762519937,2025-11-07T12:52:17Z,BAW668R,"51.149368,-0.622954",13550,359,247
1762519939,2025-11-07T12:52:19Z,BAW668R,"51.14806,-0.627899",13650,359,247
1762519941,2025-11-07T12:52:21Z,BAW668R,"51.146805,-0.632782",13750,360,247
1762519943,2025-11-07T12:52:23Z,BAW668R,"51.145477,-0.637801",13850,359,247
1762519945,2025-11-07T12:52:25Z,BAW668R,"51.143967,-0.643591",13975,359,247
1762519976,2025-11-07T12:52:56Z,BAW668R,"51.124134,-0.717163",15350,360,246
1762520008,2025-11-07T12:53:28Z,BAW668R,"51.103279,-0.795288",16550,367,247
1762520039,2025-11-07T12:53:59Z,BAW668R,"51.082718,-0.872374",17575,376,246
1762520070,2025-11-07T12:54:30Z,BAW668R,"51.060974,-0.953435",18775,381,246
1762520101,2025-11-07T12:55:01Z,BAW668R,"51.039276,-1.034422",19725,390,246
1762520133,2025-11-07T12:55:33Z,BAW668R,"51.016754,-1.118007",20650,398,246
1762520164,2025-11-07T12:56:04Z,BAW668R,"50.994114,-1.202011",21600,404,245
1762520174,2025-11-07T12:56:14Z,BAW668R,"50.984711,-1.229133",21925,398,236
1762520176,2025-11-07T12:56:16Z,BAW668R,"50.982651,-1.233883",22000,398,234
1762520179,2025-11-07T12:56:19Z,BAW668R,"50.980362,-1.238783",22050,395,231
1762520181,2025-11-07T12:56:21Z,BAW668R,"50.978004,-1.243362",22125,394,230
1762520183,2025-11-07T12:56:23Z,BAW668R,"50.975418,-1.248062",22200,392,228
1762520185,2025-11-07T12:56:25Z,BAW668R,"50.972466,-1.252975",22275,392,226
1762520187,2025-11-07T12:56:27Z,BAW668R,"50.969925,-1.256821",22325,390,224
1762520189,2025-11-07T12:56:29Z,BAW668R,"50.9673,-1.260529",22400,389,220
1762520191,2025-11-07T12:56:31Z,BAW668R,"50.964554,-1.264114",22450,388,218
1762520193,2025-11-07T12:56:33Z,BAW668R,"50.961777,-1.267436",22525,386,216
1762520195,2025-11-07T12:56:35Z,BAW668R,"50.95808,-1.271667",22600,386,215
1762520197,2025-11-07T12:56:37Z,BAW668R,"50.955147,-1.274872",22675,386,214
1762520199,2025-11-07T12:56:39Z,BAW668R,"50.952118,-1.278126",22750,386,214
1762520202,2025-11-07T12:56:42Z,BAW668R,"50.949097,-1.281357",22825,386,214
1762520204,2025-11-07T12:56:44Z,BAW668R,"50.946163,-1.284485",22900,386,214
1762520206,2025-11-07T12:56:46Z,BAW668R,"50.942551,-1.288444",22975,386,214
1762520208,2025-11-07T12:56:48Z,BAW668R,"50.94017,-1.290968",23025,385,214
1762520210,2025-11-07T12:56:50Z,BAW668R,"50.936691,-1.294828",23100,387,215
1762520212,2025-11-07T12:56:52Z,BAW668R,"50.933899,-1.297946",23150,386,215
1762520214,2025-11-07T12:56:54Z,BAW668R,"50.930969,-1.301212",23200,387,215
1762520216,2025-11-07T12:56:56Z,BAW668R,"50.928009,-1.304626",23275,387,215
1762520249,2025-11-07T12:57:29Z,BAW668R,"50.879314,-1.359711",24150,393,215
1762520280,2025-11-07T12:58:00Z,BAW668R,"50.833553,-1.410294",24775,402,215
1762520311,2025-11-07T12:58:31Z,BAW668R,"50.785374,-1.463242",25425,408,214
1762520342,2025-11-07T12:59:02Z,BAW668R,"50.736446,-1.516876",26025,416,214
1762520373,2025-11-07T12:59:33Z,BAW668R,"50.686935,-1.571045",26600,421,214
1762520404,2025-11-07T13:00:04Z,BAW668R,"50.636765,-1.625615",27125,429,214
1762520412,2025-11-07T13:00:12Z,BAW668R,"50.623928,-1.639561",27250,431,214
1762520468,2025-11-07T13:01:08Z,BAW668R,"50.530884,-1.740104",28050,443,214
