Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762534875,2025-11-07T17:01:15Z,BAW669R,"31.6012,-8.023318",0,0,275
1762534907,2025-11-07T17:01:47Z,BAW669R,"31.601183,-8.023109",0,0,275
1762534925,2025-11-07T17:02:05Z,BAW669R,"31.601177,-8.022901",0,2,275
1762534940,2025-11-07T17:02:20Z,BAW669R,"31.601171,-8.022697",0,2,278
1762534955,2025-11-07T17:02:35Z,BAW669R,"31.6012,-8.022484",0,3,317
1762535093,2025-11-07T17:04:53Z,BAW669R,"31.601171,-8.022272",0,0,5
1762535102,2025-11-07T17:05:02Z,BAW669R,"31.601381,-8.022244",0,6,8
1762535109,2025-11-07T17:05:09Z,BAW669R,"31.601603,-8.022203",0,8,8
1762535116,2025-11-07T17:05:16Z,BAW669R,"31.60187,-8.022176",0,9,8
1762535123,2025-11-07T17:05:23Z,BAW669R,"31.602243,-8.02212",0,11,8
1762535131,2025-11-07T17:05:31Z,BAW669R,"31.602596,-8.022066",0,10,8
1762535137,2025-11-07T17:05:37Z,BAW669R,"31.602917,-8.022026",0,11,8
1762535143,2025-11-07T17:05:43Z,BAW669R,"31.603146,-8.021998",0,10,8
1762535147,2025-11-07T17:05:47Z,BAW669R,"31.603352,-8.021972",0,9,5
1762535153,2025-11-07T17:05:53Z,BAW669R,"31.60358,-8.021997",0,8,354
1762535159,2025-11-07T17:05:59Z,BAW669R,"31.603718,-8.022227",0,8,315
1762535163,2025-11-07T17:06:03Z,BAW669R,"31.603756,-8.022436",0,9,292
1762535168,2025-11-07T17:06:08Z,BAW669R,"31.60379,-8.022684",0,10,281
1762535173,2025-11-07T17:06:13Z,BAW669R,"31.603809,-8.022927",0,11,278
1762535180,2025-11-07T17:06:20Z,BAW669R,"31.603844,-8.023372",0,12,275
1762535183,2025-11-07T17:06:23Z,BAW669R,"31.603867,-8.023601",0,13,275
1762535187,2025-11-07T17:06:27Z,BAW669R,"31.603889,-8.023911",0,14,275
1762535191,2025-11-07T17:06:31Z,BAW669R,"31.603918,-8.02418",0,15,275
1762535195,2025-11-07T17:06:35Z,BAW669R,"31.603935,-8.024557",0,15,278
1762535199,2025-11-07T17:06:39Z,BAW669R,"31.60397,-8.024907",0,16,275
1762535202,2025-11-07T17:06:42Z,BAW669R,"31.604,-8.025156",0,17,275
1762535204,2025-11-07T17:06:44Z,BAW669R,"31.604012,-8.025389",0,17,275
1762535207,2025-11-07T17:06:47Z,BAW669R,"31.604038,-8.025674",0,17,275
1762535210,2025-11-07T17:06:50Z,BAW669R,"31.604057,-8.025911",0,17,275
1762535212,2025-11-07T17:06:52Z,BAW669R,"31.604082,-8.026144",0,18,275
1762535219,2025-11-07T17:06:59Z,BAW669R,"31.604141,-8.026873",0,19,275
1762535226,2025-11-07T17:07:06Z,BAW669R,"31.60421,-8.027533",0,18,275
1762535234,2025-11-07T17:07:14Z,BAW669R,"31.604279,-8.028286",0,15,275
1762535242,2025-11-07T17:07:22Z,BAW669R,"31.604324,-8.028852",0,11,275
1762535246,2025-11-07T17:07:26Z,BAW669R,"31.604361,-8.029056",0,11,281
1762535250,2025-11-07T17:07:30Z,BAW669R,"31.604443,-8.029276",0,11,289
1762535254,2025-11-07T17:07:34Z,BAW669R,"31.604559,-8.029482",0,12,300
1762535258,2025-11-07T17:07:38Z,BAW669R,"31.604675,-8.029729",0,13,298
1762535261,2025-11-07T17:07:41Z,BAW669R,"31.604713,-8.029983",0,13,284
1762535265,2025-11-07T17:07:45Z,BAW669R,"31.604733,-8.030264",0,14,275
1762535268,2025-11-07T17:07:48Z,BAW669R,"31.604759,-8.030535",0,14,275
1762535273,2025-11-07T17:07:53Z,BAW669R,"31.604782,-8.030777",0,15,275
1762535275,2025-11-07T17:07:55Z,BAW669R,"31.604803,-8.031006",0,15,275
1762535277,2025-11-07T17:07:57Z,BAW669R,"31.604815,-8.031253",0,15,275
1762535280,2025-11-07T17:08:00Z,BAW669R,"31.604839,-8.031517",0,15,275
1762535288,2025-11-07T17:08:08Z,BAW669R,"31.604908,-8.032201",0,17,275
1762535295,2025-11-07T17:08:15Z,BAW669R,"31.604965,-8.032887",0,18,275
1762535302,2025-11-07T17:08:22Z,BAW669R,"31.605036,-8.033643",0,20,275
1762535309,2025-11-07T17:08:29Z,BAW669R,"31.605106,-8.034452",0,21,275
1762535317,2025-11-07T17:08:37Z,BAW669R,"31.605194,-8.035476",0,22,275
1762535324,2025-11-07T17:08:44Z,BAW669R,"31.605268,-8.036334",0,23,275
1762535331,2025-11-07T17:08:51Z,BAW669R,"31.605354,-8.037239",0,23,275
1762535339,2025-11-07T17:08:59Z,BAW669R,"31.605431,-8.038202",0,24,275
1762535346,2025-11-07T17:09:06Z,BAW669R,"31.605515,-8.039138",0,25,275
1762535353,2025-11-07T17:09:13Z,BAW669R,"31.605606,-8.040179",0,26,275
1762535360,2025-11-07T17:09:20Z,BAW669R,"31.605686,-8.04109",0,27,275
1762535364,2025-11-07T17:09:24Z,BAW669R,"31.605757,-8.041773",0,28,275
